"pld0043","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","16-34 y.","Urban Area","238","0.0547609795576496","0.0476397318171703","0.0618822272981288","5"
"Never","2003","16-34 y.","Rural Area","98","0.0589389857386938","0.0484913408093924","0.0693866306679951","5"
"Never","2003","35-65 y.","Urban Area","1213","0.156290548700939","0.148579896597602","0.164001200804276","5"
"Never","2003","35-65 y.","Rural Area","674","0.181613924660001","0.169848982347054","0.193378866972949","5"
"Never","2003","66 and older","Urban Area","973","0.419887472856907","0.400154442387003","0.439620503326811","5"
"Never","2003","66 and older","Rural Area","538","0.463856624971356","0.436054934139734","0.491658315802978","5"
"Often","2003","35-65 y.","Urban Area","1324","0.153287560261955","0.145637766621893","0.160937353902018","2"
"Often","2003","16-34 y.","Urban Area","1159","0.292816358042761","0.278572965600126","0.307059750485397","2"
"Often","2003","16-34 y.","Rural Area","477","0.23561507995321","0.21678874500634","0.254441414900079","2"
"Often","2003","66 and older","Urban Area","151","0.0596348998509346","0.0501666501217165","0.0691031495801527","2"
"Often","2003","35-65 y.","Rural Area","573","0.143655074956693","0.132951694441555","0.15435845547183","2"
"Often","2003","66 and older","Rural Area","57","0.0438810486969784","0.032461910789426","0.0553001866045309","2"
"Rarely","2003","35-65 y.","Urban Area","2484","0.282780878262973","0.273218206631038","0.292343549894907","4"
"Rarely","2003","16-34 y.","Urban Area","686","0.174108918589909","0.162239715333628","0.18597812184619","4"
"Rarely","2003","16-34 y.","Rural Area","425","0.2189494257673","0.200604343332471","0.23729450820213","4"
"Rarely","2003","66 and older","Urban Area","743","0.304656208129502","0.286253742613411","0.323058673645594","4"
"Rarely","2003","35-65 y.","Rural Area","1336","0.320216961156489","0.305979142974957","0.334454779338021","4"
"Rarely","2003","66 and older","Rural Area","374","0.290354292287561","0.265048276708491","0.31566030786663","4"
"Sometimes","2003","16-34 y.","Urban Area","1482","0.384006598324084","0.36878336010725","0.399229836540917","3"
"Sometimes","2003","16-34 y.","Rural Area","808","0.412562729072973","0.390723669711649","0.434401788434297","3"
"Sometimes","2003","35-65 y.","Urban Area","3214","0.371845898964263","0.361583641849977","0.382108156078549","3"
"Sometimes","2003","66 and older","Urban Area","522","0.210059700259019","0.193772752192648","0.22634664832539","3"
"Sometimes","2003","35-65 y.","Rural Area","1430","0.328176072476382","0.313847025550951","0.342505119401812","3"
"Sometimes","2003","66 and older","Rural Area","260","0.195221956754753","0.173124553259786","0.217319360249719","3"
"Very often","2003","16-34 y.","Urban Area","356","0.0943071454855964","0.0851594343854244","0.103454856585768","1"
"Very often","2003","16-34 y.","Rural Area","144","0.0739337794678231","0.0623259596075251","0.085541599328121","1"
"Very often","2003","35-65 y.","Urban Area","285","0.0357951138098699","0.0318503152459701","0.0397399123737697","1"
"Very often","2003","35-65 y.","Rural Area","112","0.0263379667504356","0.021451090350436","0.0312248431504352","1"
"Very often","2003","66 and older","Urban Area","14","","","","1"
"Very often","2003","66 and older","Rural Area","7","","","","1"
"Never","2004","16-34 y.","Urban Area","","","","","5"
"Never","2004","16-34 y.","Rural Area","","","","","5"
"Never","2004","35-65 y.","Urban Area","","","","","5"
"Never","2004","35-65 y.","Rural Area","","","","","5"
"Never","2004","66 and older","Urban Area","","","","","5"
"Never","2004","66 and older","Rural Area","","","","","5"
"Often","2004","16-34 y.","Rural Area","","","","","2"
"Often","2004","16-34 y.","Urban Area","","","","","2"
"Often","2004","35-65 y.","Urban Area","","","","","2"
"Often","2004","35-65 y.","Rural Area","","","","","2"
"Often","2004","66 and older","Urban Area","","","","","2"
"Often","2004","66 and older","Rural Area","","","","","2"
"Rarely","2004","16-34 y.","Urban Area","","","","","4"
"Rarely","2004","35-65 y.","Urban Area","","","","","4"
"Rarely","2004","16-34 y.","Rural Area","","","","","4"
"Rarely","2004","66 and older","Urban Area","","","","","4"
"Rarely","2004","35-65 y.","Rural Area","","","","","4"
"Rarely","2004","66 and older","Rural Area","","","","","4"
"Sometimes","2004","16-34 y.","Rural Area","","","","","3"
"Sometimes","2004","66 and older","Urban Area","","","","","3"
"Sometimes","2004","16-34 y.","Urban Area","","","","","3"
"Sometimes","2004","35-65 y.","Urban Area","","","","","3"
