"pld0043","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2003","1-pers.-HH","(0) in school","","","",""
"Very often","2003","1-pers.-HH","(1a) inadequately completed","1","","",""
"Very often","2003","1-pers.-HH","(1b) general elementary school","7","","",""
"Very often","2003","1-pers.-HH","(1c) basic vocational qualification","23","","",""
"Very often","2003","1-pers.-HH","(2b) intermediate general qualification","4","","",""
"Very often","2003","1-pers.-HH","(2a) intermediate vocational","38","0.068275342221842","0.0488108099993304","0.0877398744443537"
"Very often","2003","1-pers.-HH","(2c_gen) general maturity certificate","18","","",""
"Very often","2003","1-pers.-HH","(2c_voc) vocational maturity certificate","12","","",""
"Very often","2003","1-pers.-HH","(3a) lower tertiary education","10","","",""
"Very often","2003","1-pers.-HH","(3b) higher tertiary education","17","","",""
"Very often","2003","(Married) couple without C. ","(0) in school","","","",""
"Very often","2003","(Married) couple without C. ","(1a) inadequately completed","2","","",""
"Very often","2003","(Married) couple without C. ","(1b) general elementary school","8","","",""
"Very often","2003","(Married) couple without C. ","(1c) basic vocational qualification","47","0.0158224436664149","0.0110891225594494","0.0205557647733804"
"Very often","2003","(Married) couple without C. ","(2b) intermediate general qualification","3","","",""
"Very often","2003","(Married) couple without C. ","(2a) intermediate vocational","42","0.0298440303242251","0.0211159008579362","0.0385721597905139"
"Very often","2003","(Married) couple without C. ","(2c_gen) general maturity certificate","9","","",""
"Very often","2003","(Married) couple without C. ","(2c_voc) vocational maturity certificate","19","","",""
"Very often","2003","(Married) couple without C. ","(3a) lower tertiary education","18","","",""
"Very often","2003","(Married) couple without C. ","(3b) higher tertiary education","29","","",""
"Very often","2003","Single parent ","(0) in school","8","","",""
"Very often","2003","Single parent ","(1a) inadequately completed","1","","",""
"Very often","2003","Single parent ","(1b) general elementary school","6","","",""
"Very often","2003","Single parent ","(1c) basic vocational qualification","10","","",""
"Very often","2003","Single parent ","(2b) intermediate general qualification","4","","",""
"Very often","2003","Single parent ","(2a) intermediate vocational","14","","",""
"Very often","2003","Single parent ","(2c_gen) general maturity certificate","6","","",""
"Very often","2003","Single parent ","(2c_voc) vocational maturity certificate","3","","",""
"Very often","2003","Single parent ","(3a) lower tertiary education","4","","",""
"Very often","2003","Single parent ","(3b) higher tertiary education","7","","",""
