"pld0043","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","no migration background","West Germany","2079","0.186060276985109","0.17950737834101","0.192613175629207","5"
"Never","2003","no migration background","East Germany","934","0.214250515728186","0.203106100308377","0.225394931147995","5"
"Never","2003","direct migration background","West Germany","612","0.230983643273484","0.214492295035148","0.247474991511819","5"
"Never","2003","direct migration background","East Germany","28","","","","5"
"Never","2003","indirect migration background","West Germany","76","0.117804758999684","0.0948247091649088","0.140784808834459","5"
"Never","2003","indirect migration background","East Germany","5","","","","5"
"Often","2003","direct migration background","West Germany","369","0.166517625356934","0.151940359479406","0.181094891234461","2"
"Often","2003","no migration background","West Germany","2315","0.157701680068055","0.151564602332918","0.163838757803191","2"
"Often","2003","no migration background","East Germany","824","0.15040370492648","0.140694361238983","0.160113048613978","2"
"Often","2003","indirect migration background","West Germany","209","0.267461950075287","0.235909485295142","0.299014414855432","2"
"Often","2003","direct migration background","East Germany","13","","","","2"
"Often","2003","indirect migration background","East Germany","11","","","","2"
"Rarely","2003","direct migration background","West Germany","628","0.247282710922243","0.230401228431103","0.264164193413382","4"
"Rarely","2003","no migration background","West Germany","3730","0.273094092766554","0.265591597170163","0.280596588362944","4"
"Rarely","2003","no migration background","East Germany","1526","0.288450675205621","0.276145364398668","0.300755986012574","4"
"Rarely","2003","indirect migration background","West Germany","125","0.161655023009981","0.135413249765976","0.187896796253985","4"
"Rarely","2003","direct migration background","East Germany","34","0.282121611438982","0.196042641967573","0.36820058091039","4"
"Rarely","2003","indirect migration background","East Germany","5","","","","4"
"Sometimes","2003","no migration background","West Germany","4852","0.343821669416916","0.335823546733089","0.351819792100743","3"
"Sometimes","2003","no migration background","East Germany","1733","0.311288432928857","0.298712086779054","0.32386477907866","3"
"Sometimes","2003","direct migration background","West Germany","807","0.312941345735679","0.294797633866018","0.33108505760534","3"
"Sometimes","2003","indirect migration background","West Germany","287","0.351881004036551","0.31783920686336","0.385922801209742","3"
"Sometimes","2003","direct migration background","East Germany","29","","","","3"
"Sometimes","2003","indirect migration background","East Germany","8","","","","3"
"Very often","2003","no migration background","West Germany","572","0.0393222807633671","0.0360494864937532","0.0425950750329811","1"
"Very often","2003","no migration background","East Germany","190","0.0356066712108555","0.0305734375997404","0.0406399048219706","1"
"Very often","2003","direct migration background","West Germany","93","0.0422746747116609","0.0344013460026234","0.0501480034206984","1"
"Very often","2003","direct migration background","East Germany","1","","","","1"
"Very often","2003","indirect migration background","West Germany","59","0.101197263878497","0.0796989810853758","0.122695546671619","1"
"Very often","2003","indirect migration background","East Germany","3","","","","1"
"Never","2004","no migration background","West Germany","","","","","5"
"Never","2004","no migration background","East Germany","","","","","5"
"Never","2004","direct migration background","West Germany","","","","","5"
"Never","2004","direct migration background","East Germany","","","","","5"
"Never","2004","indirect migration background","West Germany","","","","","5"
"Never","2004","indirect migration background","East Germany","","","","","5"
"Often","2004","no migration background","East Germany","","","","","2"
"Often","2004","no migration background","West Germany","","","","","2"
"Often","2004","direct migration background","West Germany","","","","","2"
"Often","2004","direct migration background","East Germany","","","","","2"
"Often","2004","indirect migration background","West Germany","","","","","2"
"Often","2004","indirect migration background","East Germany","","","","","2"
"Rarely","2004","no migration background","West Germany","","","","","4"
"Rarely","2004","direct migration background","West Germany","","","","","4"
"Rarely","2004","no migration background","East Germany","","","","","4"
"Rarely","2004","indirect migration background","West Germany","","","","","4"
"Rarely","2004","direct migration background","East Germany","","","","","4"
"Rarely","2004","indirect migration background","East Germany","","","","","4"
"Sometimes","2004","no migration background","East Germany","","","","","3"
"Sometimes","2004","indirect migration background","West Germany","","","","","3"
"Sometimes","2004","no migration background","West Germany","","","","","3"
"Sometimes","2004","direct migration background","West Germany","","","","","3"
"Sometimes","2004","direct migration background","East Germany","","","","","3"
"Sometimes","2004","indirect migration background","East Germany","","","","","3"
"Very often","2004","direct migration background","West Germany","","","","","1"
"Very often","2004","no migration background","West Germany","","","","","1"
"Very often","2004","no migration background","East Germany","","","","","1"
"Very often","2004","direct migration background","East Germany","","","","","1"
"Very often","2004","indirect migration background","West Germany","","","","","1"
"Very often","2004","indirect migration background","East Germany","","","","","1"
"Never","2005","direct migration background","West Germany","","","","","5"
"Never","2005","no migration background","West Germany","","","","","5"
"Never","2005","no migration background","East Germany","","","","","5"
"Never","2005","direct migration background","East Germany","","","","","5"
"Never","2005","indirect migration background","West Germany","","","","","5"
"Never","2005","indirect migration background","East Germany","","","","","5"
"Often","2005","no migration background","West Germany","","","","","2"
"Often","2005","no migration background","East Germany","","","","","2"
"Often","2005","direct migration background","West Germany","","","","","2"
"Often","2005","indirect migration background","West Germany","","","","","2"
"Often","2005","direct migration background","East Germany","","","","","2"
"Often","2005","indirect migration background","East Germany","","","","","2"
"Rarely","2005","no migration background","East Germany","","","","","4"
"Rarely","2005","no migration background","West Germany","","","","","4"
"Rarely","2005","direct migration background","West Germany","","","","","4"
"Rarely","2005","direct migration background","East Germany","","","","","4"
