"pld0043","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Schleswig-Holstein","in school","2","","",""
"Very often","2003","Schleswig-Holstein","inadequately","","","",""
"Very often","2003","Schleswig-Holstein","general elemantary","3","","",""
"Very often","2003","Schleswig-Holstein","middle vocational","11","","",""
"Very often","2003","Schleswig-Holstein","vocational + Abi","","","",""
"Very often","2003","Schleswig-Holstein","higher vocational","1","","",""
"Very often","2003","Schleswig-Holstein","higher education","1","","",""
"Very often","2003","Hamburg","in school","2","","",""
"Very often","2003","Hamburg","inadequately","","","",""
"Very often","2003","Hamburg","general elemantary","1","","",""
"Very often","2003","Hamburg","middle vocational","7","","",""
"Very often","2003","Hamburg","vocational + Abi","","","",""
"Very often","2003","Hamburg","higher vocational","","","",""
"Very often","2003","Hamburg","higher education","3","","",""
"Very often","2003","Lower Saxony","in school","11","","",""
"Very often","2003","Lower Saxony","inadequately","1","","",""
"Very often","2003","Lower Saxony","general elemantary","15","","",""
"Very often","2003","Lower Saxony","middle vocational","48","0.045886944575449","0.0328792782311029","0.0588946109197951"
"Very often","2003","Lower Saxony","vocational + Abi","9","","",""
"Very often","2003","Lower Saxony","higher vocational","3","","",""
"Very often","2003","Lower Saxony","higher education","24","","",""
"Very often","2003","Bremen","in school","1","","",""
"Very often","2003","Bremen","inadequately","","","",""
"Very often","2003","Bremen","general elemantary","","","",""
"Very often","2003","Bremen","middle vocational","5","","",""
"Very often","2003","Bremen","vocational + Abi","","","",""
"Very often","2003","Bremen","higher vocational","","","",""
"Very often","2003","Bremen","higher education","2","","",""
"Very often","2003","North Rhine-Westphalia","in school","18","","",""
"Very often","2003","North Rhine-Westphalia","inadequately","3","","",""
"Very often","2003","North Rhine-Westphalia","general elemantary","24","","",""
"Very often","2003","North Rhine-Westphalia","middle vocational","80","0.0348327024416595","0.0272766202235008","0.0423887846598181"
"Very often","2003","North Rhine-Westphalia","vocational + Abi","13","","",""
"Very often","2003","North Rhine-Westphalia","higher vocational","13","","",""
"Very often","2003","North Rhine-Westphalia","higher education","39","0.0405571877716161","0.0272803811898632","0.0538339943533691"
"Very often","2003","Hesse","in school","6","","",""
"Very often","2003","Hesse","inadequately","","","",""
"Very often","2003","Hesse","general elemantary","12","","",""
"Very often","2003","Hesse","middle vocational","31","0.0448632839189152","0.0294734480294609","0.0602531198083694"
"Very often","2003","Hesse","vocational + Abi","3","","",""
"Very often","2003","Hesse","higher vocational","3","","",""
"Very often","2003","Hesse","higher education","18","","",""
