"pld0043","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","vocational + Abi","132","0.116081747421544","0.0976641469991256","0.134499347843963","5"
"Never","2003","higher education","362","0.0966702174181743","0.0878876215444068","0.105452813291942","5"
"Never","2003","middle vocational","2094","0.208290397723316","0.200738645427685","0.215842150018947","5"
"Never","2003","higher vocational","234","0.170233261338811","0.152288059014117","0.188178463663505","5"
"Never","2003","in school","12","","","","5"
"Never","2003","inadequately","95","0.352784070184194","0.294813587086189","0.410754553282199","5"
"Never","2003","general elemantary","789","0.319297168671363","0.301837805968447","0.336756531374278","5"
"Often","2003","higher education","863","0.208081810347613","0.196017274860098","0.220146345835128","2"
"Often","2003","middle vocational","1628","0.140254524096162","0.133796888346074","0.146712159846249","2"
"Often","2003","vocational + Abi","232","0.188744061392377","0.166245195892899","0.211242926891855","2"
"Often","2003","higher vocational","289","0.169685593123769","0.151763368730105","0.187607817517433","2"
"Often","2003","in school","250","0.414576469862757","0.375703929721853","0.453449010003661","2"
"Often","2003","inadequately","23","","","","2"
"Often","2003","general elemantary","386","0.127937554816505","0.115428488639792","0.140446620993219","2"
"Rarely","2003","higher education","1212","0.269287636644732","0.256104012219811","0.282471261069654","4"
"Rarely","2003","in school","70","0.115286486623403","0.0900867476919326","0.140486225554873","4"
"Rarely","2003","middle vocational","3224","0.287545633166563","0.27912854124386","0.295962725089265","4"
"Rarely","2003","vocational + Abi","287","0.258384349846827","0.233215256432586","0.283553443261068","4"
"Rarely","2003","higher vocational","491","0.255193047031764","0.234376704849861","0.276009389213666","4"
"Rarely","2003","inadequately","65","0.216087749092887","0.166156016503256","0.266019481682518","4"
"Rarely","2003","general elemantary","651","0.241678349614788","0.225645981504825","0.257710717724752","4"
"Sometimes","2003","higher education","1732","0.387261927782743","0.372784439515689","0.401739416049798","3"
"Sometimes","2003","vocational + Abi","464","0.389473177379508","0.361435878052186","0.417510476706829","3"
"Sometimes","2003","middle vocational","3734","0.324590727350226","0.315883463207088","0.333297991493365","3"
"Sometimes","2003","in school","210","0.339607802266751","0.302240193658274","0.376975410875228","3"
"Sometimes","2003","inadequately","72","0.293750728748747","0.238492581412244","0.34900887608525","3"
"Sometimes","2003","general elemantary","805","0.276402773436597","0.25965443531813","0.293151111555065","3"
"Sometimes","2003","higher vocational","617","0.363470402000385","0.340504052720437","0.386436751280332","3"
"Very often","2003","in school","75","0.109479932266717","0.0848425464595932","0.134117318073841","1"
"Very often","2003","inadequately","6","","","","1"
"Very often","2003","general elemantary","108","0.034684153460746","0.0278316014227632","0.0415367054987288","1"
"Very often","2003","middle vocational","428","0.0393187176637334","0.0357044568198342","0.0429329785076326","1"
"Very often","2003","vocational + Abi","47","0.0473166639597436","0.0351091741611658","0.0595241537583215","1"
"Very often","2003","higher vocational","54","0.041417696505272","0.0319038571765249","0.050931535834019","1"
"Very often","2003","higher education","180","0.0386984078067369","0.0329660965169943","0.0444307190964794","1"
"Never","2004","middle vocational","","","","","5"
"Never","2004","vocational + Abi","","","","","5"
"Never","2004","higher education","","","","","5"
"Never","2004","higher vocational","","","","","5"
"Never","2004","in school","","","","","5"
"Never","2004","inadequately","","","","","5"
"Never","2004","general elemantary","","","","","5"
"Often","2004","vocational + Abi","","","","","2"
"Often","2004","higher education","","","","","2"
"Often","2004","middle vocational","","","","","2"
"Often","2004","higher vocational","","","","","2"
"Often","2004","inadequately","","","","","2"
"Often","2004","general elemantary","","","","","2"
"Often","2004","in school","","","","","2"
"Rarely","2004","higher education","","","","","4"
"Rarely","2004","in school","","","","","4"
"Rarely","2004","vocational + Abi","","","","","4"
"Rarely","2004","higher vocational","","","","","4"
"Rarely","2004","inadequately","","","","","4"
"Rarely","2004","middle vocational","","","","","4"
"Rarely","2004","general elemantary","","","","","4"
"Sometimes","2004","higher education","","","","","3"
"Sometimes","2004","middle vocational","","","","","3"
"Sometimes","2004","vocational + Abi","","","","","3"
"Sometimes","2004","in school","","","","","3"
"Sometimes","2004","inadequately","","","","","3"
"Sometimes","2004","general elemantary","","","","","3"
"Sometimes","2004","higher vocational","","","","","3"
"Very often","2004","in school","","","","","1"
"Very often","2004","inadequately","","","","","1"
"Very often","2004","general elemantary","","","","","1"
"Very often","2004","middle vocational","","","","","1"
"Very often","2004","vocational + Abi","","","","","1"
"Very often","2004","higher vocational","","","","","1"
"Very often","2004","higher education","","","","","1"
"Never","2005","middle vocational","","","","","5"
"Never","2005","vocational + Abi","","","","","5"
"Never","2005","higher vocational","","","","","5"
"Never","2005","in school","","","","","5"
"Never","2005","inadequately","","","","","5"
"Never","2005","general elemantary","","","","","5"
"Never","2005","higher education","","","","","5"
"Often","2005","higher vocational","","","","","2"
"Often","2005","middle vocational","","","","","2"
"Often","2005","vocational + Abi","","","","","2"
"Often","2005","in school","","","","","2"
"Often","2005","higher education","","","","","2"
"Often","2005","inadequately","","","","","2"
"Often","2005","general elemantary","","","","","2"
"Rarely","2005","in school","","","","","4"
"Rarely","2005","middle vocational","","","","","4"
"Rarely","2005","higher education","","","","","4"
"Rarely","2005","vocational + Abi","","","","","4"
"Rarely","2005","higher vocational","","","","","4"
"Rarely","2005","inadequately","","","","","4"
"Rarely","2005","general elemantary","","","","","4"
"Sometimes","2005","middle vocational","","","","","3"
"Sometimes","2005","inadequately","","","","","3"
"Sometimes","2005","general elemantary","","","","","3"
"Sometimes","2005","vocational + Abi","","","","","3"
"Sometimes","2005","in school","","","","","3"
"Sometimes","2005","higher education","","","","","3"
"Sometimes","2005","higher vocational","","","","","3"
"Very often","2005","in school","","","","","1"
"Very often","2005","inadequately","","","","","1"
"Very often","2005","general elemantary","","","","","1"
"Very often","2005","middle vocational","","","","","1"
"Very often","2005","vocational + Abi","","","","","1"
"Very often","2005","higher vocational","","","","","1"
"Very often","2005","higher education","","","","","1"
"Never","2006","middle vocational","","","","","5"
"Never","2006","vocational + Abi","","","","","5"
"Never","2006","higher vocational","","","","","5"
"Never","2006","higher education","","","","","5"
"Never","2006","in school","","","","","5"
"Never","2006","inadequately","","","","","5"
"Never","2006","general elemantary","","","","","5"
"Often","2006","higher education","","","","","2"
"Often","2006","middle vocational","","","","","2"
"Often","2006","vocational + Abi","","","","","2"
"Often","2006","higher vocational","","","","","2"
"Often","2006","in school","","","","","2"
"Often","2006","inadequately","","","","","2"
"Often","2006","general elemantary","","","","","2"
"Rarely","2006","in school","","","","","4"
"Rarely","2006","middle vocational","","","","","4"
"Rarely","2006","vocational + Abi","","","","","4"
"Rarely","2006","higher vocational","","","","","4"
"Rarely","2006","higher education","","","","","4"
"Rarely","2006","inadequately","","","","","4"
"Rarely","2006","general elemantary","","","","","4"
"Sometimes","2006","middle vocational","","","","","3"
"Sometimes","2006","in school","","","","","3"
"Sometimes","2006","vocational + Abi","","","","","3"
"Sometimes","2006","inadequately","","","","","3"
"Sometimes","2006","general elemantary","","","","","3"
"Sometimes","2006","higher vocational","","","","","3"
"Sometimes","2006","higher education","","","","","3"
"Very often","2006","vocational + Abi","","","","","1"
"Very often","2006","in school","","","","","1"
"Very often","2006","inadequately","","","","","1"
"Very often","2006","general elemantary","","","","","1"
"Very often","2006","middle vocational","","","","","1"
"Very often","2006","higher vocational","","","","","1"
"Very often","2006","higher education","","","","","1"
"Never","2007","higher education","","","","","5"
"Never","2007","middle vocational","","","","","5"
"Never","2007","vocational + Abi","","","","","5"
"Never","2007","higher vocational","","","","","5"
"Never","2007","in school","","","","","5"
"Never","2007","inadequately","","","","","5"
"Never","2007","general elemantary","","","","","5"
"Often","2007","middle vocational","","","","","2"
"Often","2007","in school","","","","","2"
"Often","2007","inadequately","","","","","2"
"Often","2007","vocational + Abi","","","","","2"
"Often","2007","higher vocational","","","","","2"
"Often","2007","higher education","","","","","2"
"Often","2007","general elemantary","","","","","2"
"Rarely","2007","in school","","","","","4"
"Rarely","2007","vocational + Abi","","","","","4"
"Rarely","2007","higher vocational","","","","","4"
"Rarely","2007","higher education","","","","","4"
"Rarely","2007","inadequately","","","","","4"
"Rarely","2007","middle vocational","","","","","4"
"Rarely","2007","general elemantary","","","","","4"
"Sometimes","2007","in school","","","","","3"
"Sometimes","2007","vocational + Abi","","","","","3"
"Sometimes","2007","inadequately","","","","","3"
"Sometimes","2007","middle vocational","","","","","3"
"Sometimes","2007","general elemantary","","","","","3"
"Sometimes","2007","higher vocational","","","","","3"
"Sometimes","2007","higher education","","","","","3"
"Very often","2007","in school","","","","","1"
"Very often","2007","inadequately","","","","","1"
"Very often","2007","general elemantary","","","","","1"
"Very often","2007","middle vocational","","","","","1"
"Very often","2007","vocational + Abi","","","","","1"
"Very often","2007","higher vocational","","","","","1"
"Very often","2007","higher education","","","","","1"
"Never","2008","vocational + Abi","121","0.104704597611785","0.0865948259654524","0.122814369258117","5"
"Never","2008","middle vocational","1928","0.205198744480041","0.197167404356108","0.213230084603975","5"
"Never","2008","higher vocational","186","0.142374559189464","0.124128981501267","0.16062013687766","5"
"Never","2008","in school","7","","","","5"
"Never","2008","inadequately","75","0.350454357819754","0.280754417291741","0.420154298347767","5"
"Never","2008","general elemantary","632","0.323237032020196","0.302815448534512","0.34365861550588","5"
"Never","2008","higher education","384","0.0959037160412625","0.0869856678613396","0.104821764221185","5"
"Often","2008","higher education","812","0.198223564489762","0.1861496237697","0.210297505209825","2"
"Often","2008","middle vocational","1348","0.136977126515877","0.130139481100265","0.143814771931488","2"
"Often","2008","in school","122","0.345473372102382","0.295867660091384","0.395079084113381","2"
"Often","2008","vocational + Abi","215","0.19325669838682","0.169901590225992","0.216611806547647","2"
"Often","2008","higher vocational","199","0.143495868637019","0.125190561323439","0.1618011759506","2"
"Often","2008","inadequately","12","","","","2"
"Often","2008","general elemantary","234","0.11059161106285","0.0968978650367281","0.124285357088972","2"
"Rarely","2008","higher education","1213","0.293697315589289","0.279903317182972","0.307491313995606","4"
"Rarely","2008","middle vocational","2981","0.301817167524352","0.292688067845576","0.310946267203127","4"
"Rarely","2008","vocational + Abi","301","0.302320193982178","0.275155264866879","0.329485123097477","4"
"Rarely","2008","higher vocational","500","0.327738913819402","0.303229914152225","0.352247913486579","4"
"Rarely","2008","in school","46","0.141599678933462","0.105230222662166","0.177969135204758","4"
"Rarely","2008","inadequately","44","0.311081000274133","0.243452047416986","0.378709953131281","4"
"Rarely","2008","general elemantary","535","0.267661649066706","0.248330417228292","0.286992880905119","4"
"Sometimes","2008","inadequately","45","0.233929611134509","0.172086863639582","0.295772358629435","3"
"Sometimes","2008","middle vocational","3186","0.327518518959606","0.318185342178607","0.336851695740605","3"
"Sometimes","2008","vocational + Abi","420","0.368818860815315","0.3402804038012","0.397357317829429","3"
"Sometimes","2008","in school","141","0.408379744755712","0.357103719562604","0.45965576994882","3"
"Sometimes","2008","general elemantary","567","0.275670169491228","0.256159434138747","0.295180904843709","3"
"Sometimes","2008","higher vocational","489","0.365599393939037","0.340452918487183","0.390745869390891","3"
"Sometimes","2008","higher education","1619","0.373563128699389","0.358912191307453","0.388214066091325","3"
"Very often","2008","in school","37","0.0823876080228118","0.0537048228400475","0.111070393205576","1"
"Very often","2008","inadequately","4","","","","1"
