"pld0043","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","direct migration background","general elemantary","195","0.293287698873365","0.258448799949376","0.328126597797354","5"
"Never","2003","indirect migration background","vocational + Abi","7","","","","5"
"Never","2003","indirect migration background","higher education","2","","","","5"
"Never","2003","direct migration background","in school","1","","","","5"
"Never","2003","direct migration background","middle vocational","243","0.230952008434698","0.204403018356454","0.257500998512942","5"
"Never","2003","direct migration background","vocational + Abi","49","0.204171530655356","0.152077075410931","0.256265985899781","5"
"Never","2003","direct migration background","inadequately","66","0.421195598926712","0.345396836753136","0.496994361100289","5"
"Never","2003","indirect migration background","general elemantary","19","","","","5"
"Never","2003","indirect migration background","middle vocational","37","0.143647644360903","0.105748828159734","0.181546460562072","5"
"Never","2003","indirect migration background","higher vocational","2","","","","5"
"Never","2003","indirect migration background","in school","3","","","","5"
"Never","2003","indirect migration background","inadequately","5","","","","5"
"Never","2003","direct migration background","higher vocational","23","","","","5"
"Never","2003","direct migration background","higher education","59","0.158976495129018","0.121668197407703","0.196284792850334","5"
"Never","2003","no migration background","in school","8","","","","5"
"Never","2003","no migration background","inadequately","24","","","","5"
"Never","2003","no migration background","general elemantary","575","0.344784532159461","0.323379096988494","0.366189967330428","5"
"Never","2003","no migration background","middle vocational","1814","0.207742335534663","0.199714708575941","0.215769962493384","5"
"Never","2003","no migration background","vocational + Abi","76","0.0877574457964153","0.0691372847879494","0.106377606804881","5"
"Never","2003","no migration background","higher vocational","209","0.172580378511896","0.153463527244797","0.191697229778995","5"
"Never","2003","no migration background","higher education","301","0.088625974643422","0.0797246306444659","0.0975273186423781","5"
"Often","2003","indirect migration background","middle vocational","84","0.246979388281474","0.200379601528002","0.293579175034946","2"
"Often","2003","indirect migration background","vocational + Abi","7","","","","2"
"Often","2003","indirect migration background","general elemantary","48","0.273174118202363","0.209648023777718","0.336700212627009","2"
"Often","2003","indirect migration background","in school","31","0.392642350144366","0.279052444214997","0.506232256073735","2"
"Often","2003","indirect migration background","inadequately","","","","","2"
"Often","2003","direct migration background","in school","16","","","","2"
"Often","2003","direct migration background","inadequately","9","","","","2"
"Often","2003","direct migration background","general elemantary","73","0.118370937090024","0.0936501859112563","0.143091688268792","2"
"Often","2003","indirect migration background","higher vocational","13","","","","2"
"Often","2003","indirect migration background","higher education","27","","","","2"
"Often","2003","no migration background","in school","203","0.420608935715975","0.377164676459231","0.464053194972719","2"
"Often","2003","direct migration background","middle vocational","130","0.159696131022516","0.136619320126741","0.18277294191829","2"
"Often","2003","direct migration background","vocational + Abi","34","0.153751995441408","0.107135096247413","0.200368894635403","2"
"Often","2003","direct migration background","higher vocational","30","0.23836538427361","0.168530084327374","0.308200684219847","2"
"Often","2003","direct migration background","higher education","81","0.227894118806149","0.185094500392598","0.270693737219699","2"
"Often","2003","no migration background","inadequately","14","","","","2"
"Often","2003","no migration background","general elemantary","265","0.119473067999333","0.10486595349161","0.134080182507057","2"
"Often","2003","no migration background","middle vocational","1414","0.13536733592506","0.128597717137611","0.14213695471251","2"
"Often","2003","no migration background","vocational + Abi","191","0.204595007677725","0.178047243358338","0.231142771997112","2"
"Often","2003","no migration background","higher vocational","246","0.160947139255646","0.142356512269517","0.179537766241776","2"
"Often","2003","no migration background","higher education","755","0.200507823147926","0.187967765884054","0.213047880411798","2"
"Rarely","2003","indirect migration background","general elemantary","34","0.166904388524095","0.1137427338177","0.220066043230491","4"
"Rarely","2003","indirect migration background","middle vocational","55","0.168024327484904","0.127623381083941","0.208425273885867","4"
"Rarely","2003","indirect migration background","in school","7","","","","4"
"Rarely","2003","indirect migration background","inadequately","3","","","","4"
"Rarely","2003","direct migration background","in school","7","","","","4"
"Rarely","2003","direct migration background","inadequately","43","0.236907393839847","0.171634597414267","0.302180190265426","4"
"Rarely","2003","indirect migration background","vocational + Abi","6","","","","4"
"Rarely","2003","indirect migration background","higher vocational","8","","","","4"
"Rarely","2003","indirect migration background","higher education","9","","","","4"
"Rarely","2003","direct migration background","general elemantary","159","0.231615161136769","0.199332520105204","0.263897802168334","4"
"Rarely","2003","direct migration background","middle vocational","252","0.261310866564102","0.233633803544887","0.288987929583317","4"
"Rarely","2003","direct migration background","vocational + Abi","60","0.230366905038353","0.175949718521583","0.284784091555123","4"
"Rarely","2003","direct migration background","higher vocational","45","0.314263211015963","0.238177068071476","0.39034935396045","4"
"Rarely","2003","direct migration background","higher education","89","0.250695570248751","0.206473671280411","0.294917469217091","4"
"Rarely","2003","no migration background","in school","56","0.118196056898743","0.0897845175090633","0.146607596288423","4"
"Rarely","2003","no migration background","inadequately","19","","","","4"
"Rarely","2003","no migration background","general elemantary","458","0.250294243115166","0.230785514966768","0.269802971263563","4"
"Rarely","2003","no migration background","middle vocational","2917","0.293473364543578","0.284463047591954","0.302483681495202","4"
"Rarely","2003","no migration background","vocational + Abi","221","0.270215756693194","0.240991810662891","0.299439702723496","4"
"Rarely","2003","no migration background","higher vocational","438","0.252489696491844","0.23051169661237","0.274467696371318","4"
"Rarely","2003","no migration background","higher education","1114","0.274107140224679","0.260136278765775","0.288078001683582","4"
"Sometimes","2003","direct migration background","general elemantary","211","0.331524175373857","0.295499786182858","0.367548564564857","3"
"Sometimes","2003","indirect migration background","general elemantary","75","0.366926060602403","0.298213887141601","0.435638234063205","3"
"Sometimes","2003","indirect migration background","middle vocational","125","0.344041775867733","0.292709109527463","0.395374442208003","3"
"Sometimes","2003","indirect migration background","higher education","22","","","","3"
"Sometimes","2003","direct migration background","middle vocational","300","0.299699930327528","0.270839964126763","0.328559896528293","3"
"Sometimes","2003","direct migration background","vocational + Abi","82","0.382180256105669","0.319381767994245","0.444978744217094","3"
"Sometimes","2003","direct migration background","higher vocational","41","0.212239745320158","0.145221899680206","0.279257590960109","3"
"Sometimes","2003","direct migration background","higher education","124","0.313665043364622","0.26632419590805","0.361005890821194","3"
"Sometimes","2003","indirect migration background","vocational + Abi","22","","","","3"
