"pld0043","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very often","2003","lower secondary degree","1-pers.-HH","29","","",""
"Very often","2003","lower secondary degree","(Married) couple without C. ","52","0.0144022268339697","0.0103124089361643","0.018492044731775"
"Very often","2003","lower secondary degree","Single parent ","17","","",""
"Very often","2003","lower secondary degree","Couple + C. LE 16 ","35","0.0359364719588909","0.0251174399822054","0.0467555039355765"
"Very often","2003","lower secondary degree","Couple + C. GT 16 ","42","0.0450018482832721","0.0328281667385335","0.0571755298280107"
"Very often","2003","lower secondary degree","Couple + C. LE and GT 16","14","","",""
"Very often","2003","secondary school degree","1-pers.-HH","44","0.0660477497912014","0.0484823179840259","0.0836131815983769"
"Very often","2003","secondary school degree","(Married) couple without C. ","47","0.0271492590153794","0.0196725259833264","0.0346259920474323"
"Very often","2003","secondary school degree","Single parent ","21","","",""
"Very often","2003","secondary school degree","Couple + C. LE 16 ","69","0.0413307218488821","0.0314939039906977","0.0511675397070665"
"Very often","2003","secondary school degree","Couple + C. GT 16 ","68","0.0662540086403702","0.0522163430498211","0.0802916742309194"
"Very often","2003","secondary school degree","Couple + C. LE and GT 16","28","","",""
"Very often","2003","college entrance qualification","1-pers.-HH","52","0.0571466357096373","0.0407406498583574","0.0735526215609172"
"Very often","2003","college entrance qualification","(Married) couple without C. ","68","0.0380725645584094","0.0289941804868204","0.0471509486299984"
"Very often","2003","college entrance qualification","Single parent ","15","","",""
"Very often","2003","college entrance qualification","Couple + C. LE 16 ","60","0.0545562830550011","0.0422530714167538","0.0668594946932485"
"Very often","2003","college entrance qualification","Couple + C. GT 16 ","67","0.11044717849515","0.0908226949262531","0.130071662064047"
"Very often","2003","college entrance qualification","Couple + C. LE and GT 16","28","","",""
"Very often","2003","Other degree","1-pers.-HH","4","","",""
"Very often","2003","Other degree","(Married) couple without C. ","8","","",""
"Very often","2003","Other degree","Single parent ","1","","",""
"Very often","2003","Other degree","Couple + C. LE 16 ","13","","",""
"Very often","2003","Other degree","Couple + C. GT 16 ","7","","",""
"Very often","2003","Other degree","Couple + C. LE and GT 16","2","","",""
"Very often","2003","no degree/no degree yet","1-pers.-HH","1","","",""
"Very often","2003","no degree/no degree yet","(Married) couple without C. ","2","","",""
"Very often","2003","no degree/no degree yet","Single parent ","9","","",""
"Very often","2003","no degree/no degree yet","Couple + C. LE 16 ","1","","",""
"Very often","2003","no degree/no degree yet","Couple + C. GT 16 ","37","0.112522298156877","0.0789818451995133","0.14606275111424"
"Very often","2003","no degree/no degree yet","Couple + C. LE and GT 16","29","","",""
"Often","2003","lower secondary degree","1-pers.-HH","127","0.0997612741366347","0.0833886362445521","0.116133912028717"
"Often","2003","lower secondary degree","(Married) couple without C. ","261","0.0811304392391633","0.0717578812293388","0.0905029972489877"
"Often","2003","lower secondary degree","Single parent ","45","0.130911093867869","0.0965420414883772","0.165280146247362"
"Often","2003","lower secondary degree","Couple + C. LE 16 ","179","0.149242036257599","0.128530302574343","0.169953769940855"
"Often","2003","lower secondary degree","Couple + C. GT 16 ","143","0.128513873445095","0.108861693083812","0.148166053806378"
"Often","2003","lower secondary degree","Couple + C. LE and GT 16","70","0.192671816814707","0.155986627966288","0.229357005663126"
"Often","2003","secondary school degree","1-pers.-HH","140","0.177528671108438","0.150503894303425","0.204553447913451"
"Often","2003","secondary school degree","(Married) couple without C. ","241","0.11694834245445","0.10216407308599","0.131732611822911"
"Often","2003","secondary school degree","Single parent ","78","0.196900404597175","0.156598989312151","0.237201819882199"
"Often","2003","secondary school degree","Couple + C. LE 16 ","301","0.202610669533712","0.182747429276074","0.22247390979135"
"Often","2003","secondary school degree","Couple + C. GT 16 ","234","0.195138160707","0.172771239434827","0.217505081979172"
