"pld0043","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","35-65 y.","indirect migration background","18","","","","5"
"Never","2003","16-34 y.","no migration background","200","0.044921859297998","0.038913879665522","0.0509298389304739","5"
"Never","2003","16-34 y.","direct migration background","79","0.0845059310656945","0.0634604821512498","0.105551379980139","5"
"Never","2003","35-65 y.","no migration background","1473","0.152116005783453","0.145378303896878","0.158853707670028","5"
"Never","2003","35-65 y.","direct migration background","396","0.242072372683424","0.221038139432905","0.263106605933943","5"
"Never","2003","16-34 y.","indirect migration background","57","0.102037798593506","0.0785128273419695","0.125562769845043","5"
"Never","2003","66 and older","no migration background","1340","0.430655708890006","0.413696912408161","0.447614505371851","5"
"Never","2003","66 and older","direct migration background","165","0.463636044755822","0.411392521545075","0.515879567966569","5"
"Never","2003","66 and older","indirect migration background","6","","","","5"
"Often","2003","16-34 y.","direct migration background","143","0.24341216232709","0.210941761785232","0.275882562868948","2"
"Often","2003","16-34 y.","no migration background","1303","0.277109820307316","0.264127800772641","0.290091839841992","2"
"Often","2003","35-65 y.","no migration background","1651","0.14967422387217","0.142981201205747","0.156367246538593","2"
"Often","2003","35-65 y.","direct migration background","217","0.152739884382752","0.1350744299764","0.170405338789103","2"
"Often","2003","16-34 y.","indirect migration background","190","0.30594224492764","0.270129545038375","0.341754944816905","2"
"Often","2003","35-65 y.","indirect migration background","29","","","","2"
"Often","2003","66 and older","direct migration background","22","","","","2"
"Often","2003","66 and older","indirect migration background","1","","","","2"
"Often","2003","66 and older","no migration background","185","0.0534839817182763","0.0457781718563095","0.0611897915802431","2"
"Rarely","2003","16-34 y.","no migration background","881","0.193105650623203","0.181656165276409","0.204555135969997","4"
"Rarely","2003","16-34 y.","direct migration background","137","0.201303929596344","0.170964757103461","0.231643102089227","4"
"Rarely","2003","16-34 y.","indirect migration background","93","0.128025320695719","0.102058462495559","0.153992178895879","4"
"Rarely","2003","35-65 y.","no migration background","3350","0.298606291414319","0.290020377571018","0.307192205257621","4"
"Rarely","2003","35-65 y.","direct migration background","437","0.269739001366549","0.247944289637528","0.29153371309557","4"
"Rarely","2003","35-65 y.","indirect migration background","33","0.270091289973826","0.196011778371489","0.344170801576163","4"
"Rarely","2003","66 and older","no migration background","1025","0.30497571015855","0.289207766632443","0.320743653684657","4"
"Rarely","2003","66 and older","direct migration background","88","0.252977269168468","0.20743425947629","0.298520278860646","4"
"Rarely","2003","66 and older","indirect migration background","4","","","","4"
"Sometimes","2003","16-34 y.","direct migration background","260","0.39021938308318","0.353310741818659","0.427128024347702","3"
"Sometimes","2003","35-65 y.","indirect migration background","50","0.408890013660483","0.326865068632062","0.490914958688903","3"
"Sometimes","2003","66 and older","no migration background","708","0.20564644316424","0.19180408882152","0.219488797506961","3"
"Sometimes","2003","16-34 y.","no migration background","1788","0.399614681174686","0.385407239332093","0.413822123017278","3"
"Sometimes","2003","16-34 y.","indirect migration background","242","0.343313001326294","0.306411514288311","0.380214488364278","3"
"Sometimes","2003","35-65 y.","no migration background","4089","0.366257399255399","0.357218703445826","0.375296095064972","3"
"Sometimes","2003","35-65 y.","direct migration background","505","0.305934479967667","0.283306038067949","0.328562921867386","3"
"Sometimes","2003","66 and older","direct migration background","71","0.201346063270366","0.15933487567882","0.243357250861913","3"
"Sometimes","2003","66 and older","indirect migration background","3","","","","3"
"Very often","2003","16-34 y.","no migration background","394","0.0852479885967972","0.0771481960768683","0.0933477811167262","1"
"Very often","2003","16-34 y.","direct migration background","52","0.0805585939276914","0.0599662966814827","0.1011508911739","1"
"Very often","2003","16-34 y.","indirect migration background","54","0.12068163445684","0.0953645787683478","0.145998690145332","1"
"Very often","2003","35-65 y.","no migration background","351","0.0333460796746589","0.0299777544600548","0.0367144048892629","1"
"Very often","2003","35-65 y.","direct migration background","38","0.0295142615996079","0.0212033101913864","0.0378252130078294","1"
"Very often","2003","35-65 y.","indirect migration background","8","","","","1"
"Very often","2003","66 and older","no migration background","17","","","","1"
"Very often","2003","66 and older","direct migration background","4","","","","1"
