"pld0043","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Very often","2003","in school","Urban Area","48","0.113781447673585","0.0835203934597816","0.144042501887389"
"Very often","2003","in school","Rural Area","27","","",""
"Very often","2003","inadequately","Urban Area","5","","",""
"Very often","2003","inadequately","Rural Area","1","","",""
"Very often","2003","general elemantary","Urban Area","75","0.0372624119435906","0.0286339313404712","0.0458908925467101"
"Very often","2003","general elemantary","Rural Area","33","0.0291454189917527","0.0180816308296471","0.0402092071538583"
"Very often","2003","middle vocational","Urban Area","297","0.0424460223829422","0.0377658227608544","0.0471262220050299"
"Very often","2003","middle vocational","Rural Area","131","0.0331181896030258","0.027558807250868","0.0386775719551836"
"Very often","2003","vocational + Abi","Urban Area","38","0.0518096598504405","0.0372807688563642","0.0663385508445167"
"Very often","2003","vocational + Abi","Rural Area","9","","",""
"Very often","2003","higher vocational","Urban Area","45","0.0518859532635161","0.0386763719306372","0.0650955345963951"
"Very often","2003","higher vocational","Rural Area","9","","",""
"Very often","2003","higher education","Urban Area","133","0.0386434673309326","0.0318563138726959","0.0454306207891693"
"Very often","2003","higher education","Rural Area","47","0.0388530551922294","0.0281445976625276","0.0495615127219312"
"Often","2003","in school","Urban Area","179","0.433413815033918","0.386189869104149","0.480637760963687"
"Often","2003","in school","Rural Area","71","0.369538589276379","0.301617228373393","0.437459950179366"
"Often","2003","inadequately","Urban Area","20","","",""
"Often","2003","inadequately","Rural Area","3","","",""
"Often","2003","general elemantary","Urban Area","275","0.139004796750018","0.123244654207682","0.154764939292353"
"Often","2003","general elemantary","Rural Area","111","0.104162392325348","0.0840709217223406","0.124253862928356"
"Often","2003","middle vocational","Urban Area","1082","0.143375652717959","0.135239910930415","0.151511394505504"
"Often","2003","middle vocational","Rural Area","546","0.134066241425251","0.123480808916441","0.144651673934062"
"Often","2003","vocational + Abi","Urban Area","184","0.184868295506983","0.159422007237536","0.21031458377643"
"Often","2003","vocational + Abi","Rural Area","48","0.203773612837215","0.155548533612947","0.251998692061483"
"Often","2003","higher vocational","Urban Area","184","0.17005548068847","0.147680961572319","0.192429999804622"
"Often","2003","higher vocational","Rural Area","105","0.168899305871487","0.138970416545768","0.198828195197207"
"Often","2003","higher education","Urban Area","657","0.220840799980681","0.206233829834411","0.235447770126951"
"Often","2003","higher education","Rural Area","206","0.172167589376712","0.151247364513065","0.193087814240358"
"Sometimes","2003","in school","Urban Area","139","0.303456942351006","0.259644200757904","0.347269683944108"
"Sometimes","2003","in school","Rural Area","71","0.426040263804527","0.356455643441671","0.495624884167383"
"Sometimes","2003","inadequately","Urban Area","58","0.319626084618169","0.25547632889666","0.383775840339678"
"Sometimes","2003","inadequately","Rural Area","14","","",""
"Sometimes","2003","general elemantary","Urban Area","556","0.287884757932591","0.267258076639855","0.308511439225327"
"Sometimes","2003","general elemantary","Rural Area","249","0.251736641734301","0.223190851859482","0.280282431609119"
"Sometimes","2003","middle vocational","Urban Area","2410","0.32520588392629","0.314330888415139","0.336080879437441"
"Sometimes","2003","middle vocational","Rural Area","1324","0.323371052277254","0.308838817287341","0.337903287267166"
"Sometimes","2003","vocational + Abi","Urban Area","352","0.397765215058281","0.365682164886497","0.429848265230066"
"Sometimes","2003","vocational + Abi","Rural Area","112","0.357318085828362","0.29994526110881","0.414690910547915"
"Sometimes","2003","higher vocational","Urban Area","414","0.395352859979128","0.366233802974294","0.424471916983961"
