"pld0043","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Very often","2003","lower secondary degree","no migration background","162","0.0217259897003942","0.018298503370818","0.0251534760299705"
"Very often","2003","lower secondary degree","direct migration background","24","","",""
"Very often","2003","lower secondary degree","indirect migration background","11","","",""
"Very often","2003","secondary school degree","no migration background","249","0.044956160552763","0.0397030961702919","0.0502092249352341"
"Very often","2003","secondary school degree","direct migration background","11","","",""
"Very often","2003","secondary school degree","indirect migration background","21","","",""
"Very often","2003","college entrance qualification","no migration background","266","0.0560072513884241","0.0496017673910148","0.0624127353858334"
"Very often","2003","college entrance qualification","direct migration background","16","","",""
"Very often","2003","college entrance qualification","indirect migration background","18","","",""
"Very often","2003","Other degree","no migration background","4","","",""
"Very often","2003","Other degree","direct migration background","34","0.0390009769877872","0.0276375356685353","0.050364418307039"
"Very often","2003","Other degree","indirect migration background","","","",""
"Very often","2003","no degree/no degree yet","no migration background","65","0.0926822443154354","0.0691632014706249","0.116201287160246"
"Very often","2003","no degree/no degree yet","direct migration background","7","","",""
"Very often","2003","no degree/no degree yet","indirect migration background","8","","",""
"Often","2003","lower secondary degree","no migration background","710","0.100710624477518","0.0936353537151368","0.1077858952399"
"Often","2003","lower secondary degree","direct migration background","99","0.164396136980945","0.136559256890886","0.192233017071003"
"Often","2003","lower secondary degree","indirect migration background","44","0.179607740141509","0.132119668802346","0.227095811480672"
"Often","2003","secondary school degree","no migration background","1015","0.168372754228654","0.15888623861644","0.177859269840869"
"Often","2003","secondary school degree","direct migration background","49","0.170127456709983","0.124099572574789","0.216155340845177"
"Often","2003","secondary school degree","indirect migration background","66","0.289707954514363","0.228354767239534","0.351061141789192"
"Often","2003","college entrance qualification","no migration background","1130","0.22452597569766","0.212901793319324","0.236150158075996"
"Often","2003","college entrance qualification","direct migration background","71","0.293881216603289","0.241542099398389","0.346220333808188"
"Often","2003","college entrance qualification","indirect migration background","66","0.373623344878691","0.305016698433723","0.44222999132366"
"Often","2003","Other degree","no migration background","11","","",""
"Often","2003","Other degree","direct migration background","127","0.127955525245109","0.108348599835839","0.147562450654379"
"Often","2003","Other degree","indirect migration background","3","","",""
"Often","2003","no degree/no degree yet","no migration background","215","0.351630656350185","0.312905224525591","0.390356088174778"
"Often","2003","no degree/no degree yet","direct migration background","27","","",""
"Often","2003","no degree/no degree yet","indirect migration background","31","0.323016848445349","0.220544989351431","0.425488707539268"
"Sometimes","2003","lower secondary degree","no migration background","2014","0.279108142995906","0.2685624043928","0.289653881599012"
"Sometimes","2003","lower secondary degree","direct migration background","219","0.302842872627649","0.268332587344366","0.337353157910932"
"Sometimes","2003","lower secondary degree","indirect migration background","100","0.373293264792753","0.31345644709211","0.433130082493396"
"Sometimes","2003","secondary school degree","no migration background","2236","0.369524272679585","0.357287634064432","0.381760911294739"
"Sometimes","2003","secondary school degree","direct migration background","96","0.43156244934374","0.370890030038542","0.492234868648939"
"Sometimes","2003","secondary school degree","indirect migration background","86","0.372306973493927","0.306924299083982","0.437689647903873"
"Sometimes","2003","college entrance qualification","no migration background","2037","0.409353769266659","0.395655723692706","0.423051814840612"
"Sometimes","2003","college entrance qualification","direct migration background","101","0.301332674013879","0.248614552597314","0.354050795430443"
"Sometimes","2003","college entrance qualification","indirect migration background","68","0.330518900534663","0.263807705966139","0.397230095103188"
"Sometimes","2003","Other degree","no migration background","40","0.407112671915919","0.312233065810921","0.501992278020917"
"Sometimes","2003","Other degree","direct migration background","337","0.297770803724417","0.270930269545353","0.324611337903481"
"Sometimes","2003","Other degree","indirect migration background","5","","",""
"Sometimes","2003","no degree/no degree yet","no migration background","190","0.319756689895517","0.281931281399219","0.357582098391815"
"Sometimes","2003","no degree/no degree yet","direct migration background","65","0.284676147756834","0.225972909911155","0.343379385602513"
"Sometimes","2003","no degree/no degree yet","indirect migration background","25","","",""
"Rarely","2003","lower secondary degree","no migration background","2109","0.293540294455322","0.282834146288244","0.304246442622401"
"Rarely","2003","lower secondary degree","direct migration background","174","0.25757409484483","0.22473038665954","0.29041780303012"
"Rarely","2003","lower secondary degree","indirect migration background","62","0.237521560956558","0.184874208839253","0.290168913073862"
"Rarely","2003","secondary school degree","no migration background","1817","0.296070927633788","0.28449731889691","0.307644536370667"
"Rarely","2003","secondary school degree","direct migration background","66","0.218030409055762","0.167450088721848","0.268610729389676"
"Rarely","2003","secondary school degree","indirect migration background","23","","",""
"Rarely","2003","college entrance qualification","no migration background","1196","0.236583717203405","0.224744618904415","0.248422815502395"
"Rarely","2003","college entrance qualification","direct migration background","66","0.221208756476456","0.173520298057574","0.268897214895338"
"Rarely","2003","college entrance qualification","indirect migration background","24","","",""
"Rarely","2003","Other degree","no migration background","17","","",""
"Rarely","2003","Other degree","direct migration background","289","0.258857578359809","0.23314817870764","0.284566978011978"
"Rarely","2003","Other degree","indirect migration background","3","","",""
"Rarely","2003","no degree/no degree yet","no migration background","77","0.138408261068047","0.110400819619208","0.166415702516885"
"Rarely","2003","no degree/no degree yet","direct migration background","57","0.242361526704587","0.186617541676687","0.298105511732486"
"Rarely","2003","no degree/no degree yet","indirect migration background","10","","",""
"Never","2003","lower secondary degree","no migration background","1955","0.304914948370859","0.294091540590774","0.315738356150944"
"Never","2003","lower secondary degree","direct migration background","165","0.232290912189038","0.200574139796987","0.26400768458109"
"Never","2003","lower secondary degree","indirect migration background","34","0.160181324224164","0.114807024634017","0.205555623814311"
"Never","2003","secondary school degree","no migration background","660","0.121075884905209","0.11280578074891","0.129345989061509"
"Never","2003","secondary school degree","direct migration background","34","0.149325302686303","0.105666022835273","0.192984582537332"
"Never","2003","secondary school degree","indirect migration background","14","","",""
"Never","2003","college entrance qualification","no migration background","321","0.0735292864438518","0.0662583304691914","0.0808002424185122"
"Never","2003","college entrance qualification","direct migration background","37","0.122205823251733","0.0845749848146694","0.159836661688796"
"Never","2003","college entrance qualification","indirect migration background","15","","",""
"Never","2003","Other degree","no migration background","31","0.301985553479758","0.21332003296153","0.390651073997985"
"Never","2003","Other degree","direct migration background","328","0.276415115682878","0.25016469337522","0.302665537990535"
"Never","2003","Other degree","indirect migration background","6","","",""
"Never","2003","no degree/no degree yet","no migration background","37","0.0975221483708163","0.0734612646847404","0.121583032056892"
"Never","2003","no degree/no degree yet","direct migration background","71","0.307665855994117","0.247626961268491","0.367704750719743"
"Never","2003","no degree/no degree yet","indirect migration background","6","","",""
"Very often","2004","lower secondary degree","no migration background","","","",""
"Very often","2004","lower secondary degree","direct migration background","","","",""
"Very often","2004","lower secondary degree","indirect migration background","","","",""
"Very often","2004","secondary school degree","no migration background","","","",""
"Very often","2004","secondary school degree","direct migration background","","","",""
"Very often","2004","secondary school degree","indirect migration background","","","",""
"Very often","2004","college entrance qualification","no migration background","","","",""
"Very often","2004","college entrance qualification","direct migration background","","","",""
"Very often","2004","college entrance qualification","indirect migration background","","","",""
"Very often","2004","Other degree","no migration background","","","",""
"Very often","2004","Other degree","direct migration background","","","",""
"Very often","2004","Other degree","indirect migration background","","","",""
"Very often","2004","no degree/no degree yet","no migration background","","","",""
"Very often","2004","no degree/no degree yet","direct migration background","","","",""
"Very often","2004","no degree/no degree yet","indirect migration background","","","",""
"Often","2004","lower secondary degree","no migration background","","","",""
"Often","2004","lower secondary degree","direct migration background","","","",""
"Often","2004","lower secondary degree","indirect migration background","","","",""
"Often","2004","secondary school degree","no migration background","","","",""
"Often","2004","secondary school degree","direct migration background","","","",""
"Often","2004","secondary school degree","indirect migration background","","","",""
"Often","2004","college entrance qualification","no migration background","","","",""
"Often","2004","college entrance qualification","direct migration background","","","",""
"Often","2004","college entrance qualification","indirect migration background","","","",""
"Often","2004","Other degree","no migration background","","","",""
"Often","2004","Other degree","direct migration background","","","",""
"Often","2004","Other degree","indirect migration background","","","",""
"Often","2004","no degree/no degree yet","no migration background","","","",""
"Often","2004","no degree/no degree yet","direct migration background","","","",""
"Often","2004","no degree/no degree yet","indirect migration background","","","",""
"Sometimes","2004","lower secondary degree","no migration background","","","",""
"Sometimes","2004","lower secondary degree","direct migration background","","","",""
"Sometimes","2004","lower secondary degree","indirect migration background","","","",""
"Sometimes","2004","secondary school degree","no migration background","","","",""
"Sometimes","2004","secondary school degree","direct migration background","","","",""
"Sometimes","2004","secondary school degree","indirect migration background","","","",""
"Sometimes","2004","college entrance qualification","no migration background","","","",""
"Sometimes","2004","college entrance qualification","direct migration background","","","",""
"Sometimes","2004","college entrance qualification","indirect migration background","","","",""
"Sometimes","2004","Other degree","no migration background","","","",""
"Sometimes","2004","Other degree","direct migration background","","","",""
"Sometimes","2004","Other degree","indirect migration background","","","",""
"Sometimes","2004","no degree/no degree yet","no migration background","","","",""
"Sometimes","2004","no degree/no degree yet","direct migration background","","","",""
"Sometimes","2004","no degree/no degree yet","indirect migration background","","","",""
"Rarely","2004","lower secondary degree","no migration background","","","",""
"Rarely","2004","lower secondary degree","direct migration background","","","",""
"Rarely","2004","lower secondary degree","indirect migration background","","","",""
"Rarely","2004","secondary school degree","no migration background","","","",""
"Rarely","2004","secondary school degree","direct migration background","","","",""
"Rarely","2004","secondary school degree","indirect migration background","","","",""
"Rarely","2004","college entrance qualification","no migration background","","","",""
"Rarely","2004","college entrance qualification","direct migration background","","","",""
"Rarely","2004","college entrance qualification","indirect migration background","","","",""
"Rarely","2004","Other degree","no migration background","","","",""
"Rarely","2004","Other degree","direct migration background","","","",""
"Rarely","2004","Other degree","indirect migration background","","","",""
"Rarely","2004","no degree/no degree yet","no migration background","","","",""
"Rarely","2004","no degree/no degree yet","direct migration background","","","",""
"Rarely","2004","no degree/no degree yet","indirect migration background","","","",""
"Never","2004","lower secondary degree","no migration background","","","",""
"Never","2004","lower secondary degree","direct migration background","","","",""
"Never","2004","lower secondary degree","indirect migration background","","","",""
"Never","2004","secondary school degree","no migration background","","","",""
"Never","2004","secondary school degree","direct migration background","","","",""
"Never","2004","secondary school degree","indirect migration background","","","",""
"Never","2004","college entrance qualification","no migration background","","","",""
"Never","2004","college entrance qualification","direct migration background","","","",""
"Never","2004","college entrance qualification","indirect migration background","","","",""
"Never","2004","Other degree","no migration background","","","",""
"Never","2004","Other degree","direct migration background","","","",""
"Never","2004","Other degree","indirect migration background","","","",""
"Never","2004","no degree/no degree yet","no migration background","","","",""
"Never","2004","no degree/no degree yet","direct migration background","","","",""
"Never","2004","no degree/no degree yet","indirect migration background","","","",""
"Very often","2005","lower secondary degree","no migration background","","","",""
"Very often","2005","lower secondary degree","direct migration background","","","",""
"Very often","2005","lower secondary degree","indirect migration background","","","",""
"Very often","2005","secondary school degree","no migration background","","","",""
"Very often","2005","secondary school degree","direct migration background","","","",""
"Very often","2005","secondary school degree","indirect migration background","","","",""
"Very often","2005","college entrance qualification","no migration background","","","",""
"Very often","2005","college entrance qualification","direct migration background","","","",""
"Very often","2005","college entrance qualification","indirect migration background","","","",""
"Very often","2005","Other degree","no migration background","","","",""
"Very often","2005","Other degree","direct migration background","","","",""
"Very often","2005","Other degree","indirect migration background","","","",""
"Very often","2005","no degree/no degree yet","no migration background","","","",""
"Very often","2005","no degree/no degree yet","direct migration background","","","",""
"Very often","2005","no degree/no degree yet","indirect migration background","","","",""
"Often","2005","lower secondary degree","no migration background","","","",""
"Often","2005","lower secondary degree","direct migration background","","","",""
"Often","2005","lower secondary degree","indirect migration background","","","",""
"Often","2005","secondary school degree","no migration background","","","",""
"Often","2005","secondary school degree","direct migration background","","","",""
"Often","2005","secondary school degree","indirect migration background","","","",""
"Often","2005","college entrance qualification","no migration background","","","",""
"Often","2005","college entrance qualification","direct migration background","","","",""
"Often","2005","college entrance qualification","indirect migration background","","","",""
"Often","2005","Other degree","no migration background","","","",""
"Often","2005","Other degree","direct migration background","","","",""
"Often","2005","Other degree","indirect migration background","","","",""
"Often","2005","no degree/no degree yet","no migration background","","","",""
"Often","2005","no degree/no degree yet","direct migration background","","","",""
"Often","2005","no degree/no degree yet","indirect migration background","","","",""
"Sometimes","2005","lower secondary degree","no migration background","","","",""
"Sometimes","2005","lower secondary degree","direct migration background","","","",""
"Sometimes","2005","lower secondary degree","indirect migration background","","","",""
"Sometimes","2005","secondary school degree","no migration background","","","",""
"Sometimes","2005","secondary school degree","direct migration background","","","",""
"Sometimes","2005","secondary school degree","indirect migration background","","","",""
"Sometimes","2005","college entrance qualification","no migration background","","","",""
"Sometimes","2005","college entrance qualification","direct migration background","","","",""
"Sometimes","2005","college entrance qualification","indirect migration background","","","",""
"Sometimes","2005","Other degree","no migration background","","","",""
"Sometimes","2005","Other degree","direct migration background","","","",""
"Sometimes","2005","Other degree","indirect migration background","","","",""
"Sometimes","2005","no degree/no degree yet","no migration background","","","",""
"Sometimes","2005","no degree/no degree yet","direct migration background","","","",""
"Sometimes","2005","no degree/no degree yet","indirect migration background","","","",""
"Rarely","2005","lower secondary degree","no migration background","","","",""
"Rarely","2005","lower secondary degree","direct migration background","","","",""
"Rarely","2005","lower secondary degree","indirect migration background","","","",""
"Rarely","2005","secondary school degree","no migration background","","","",""
"Rarely","2005","secondary school degree","direct migration background","","","",""
"Rarely","2005","secondary school degree","indirect migration background","","","",""
"Rarely","2005","college entrance qualification","no migration background","","","",""
"Rarely","2005","college entrance qualification","direct migration background","","","",""
"Rarely","2005","college entrance qualification","indirect migration background","","","",""
"Rarely","2005","Other degree","no migration background","","","",""
"Rarely","2005","Other degree","direct migration background","","","",""
"Rarely","2005","Other degree","indirect migration background","","","",""
"Rarely","2005","no degree/no degree yet","no migration background","","","",""
"Rarely","2005","no degree/no degree yet","direct migration background","","","",""
"Rarely","2005","no degree/no degree yet","indirect migration background","","","",""
"Never","2005","lower secondary degree","no migration background","","","",""
"Never","2005","lower secondary degree","direct migration background","","","",""
"Never","2005","lower secondary degree","indirect migration background","","","",""
"Never","2005","secondary school degree","no migration background","","","",""
"Never","2005","secondary school degree","direct migration background","","","",""
"Never","2005","secondary school degree","indirect migration background","","","",""
"Never","2005","college entrance qualification","no migration background","","","",""
"Never","2005","college entrance qualification","direct migration background","","","",""
