"pld0043","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2003","lower secondary degree","(0) in school","","","",""
"Very often","2003","lower secondary degree","(1a) inadequately completed","","","",""
"Very often","2003","lower secondary degree","(1b) general elementary school","44","0.0239123937008875","0.0167215562787372","0.0311032311230377"
"Very often","2003","lower secondary degree","(1c) basic vocational qualification","146","0.0234387964266451","0.0195744008413831","0.0273031920119071"
"Very often","2003","lower secondary degree","(2b) intermediate general qualification","","","",""
"Very often","2003","lower secondary degree","(2a) intermediate vocational","3","","",""
"Very often","2003","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Very often","2003","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Very often","2003","lower secondary degree","(3a) lower tertiary education","3","","",""
"Very often","2003","lower secondary degree","(3b) higher tertiary education","1","","",""
"Very often","2003","secondary school degree","(0) in school","","","",""
"Very often","2003","secondary school degree","(1a) inadequately completed","","","",""
"Very often","2003","secondary school degree","(1b) general elementary school","","","",""
"Very often","2003","secondary school degree","(1c) basic vocational qualification","","","",""
"Very often","2003","secondary school degree","(2b) intermediate general qualification","56","0.0818217088567773","0.0604186621490003","0.103224755564554"
"Very often","2003","secondary school degree","(2a) intermediate vocational","207","0.0458538371156492","0.0401261246358154","0.051581549595483"
"Very often","2003","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Very often","2003","secondary school degree","(2c_voc) vocational maturity certificate","1","","",""
"Very often","2003","secondary school degree","(3a) lower tertiary education","13","","",""
"Very often","2003","secondary school degree","(3b) higher tertiary education","4","","",""
"Very often","2003","college entrance qualification","(0) in school","","","",""
"Very often","2003","college entrance qualification","(1a) inadequately completed","","","",""
"Very often","2003","college entrance qualification","(1b) general elementary school","","","",""
"Very often","2003","college entrance qualification","(1c) basic vocational qualification","","","",""
"Very often","2003","college entrance qualification","(2b) intermediate general qualification","","","",""
"Very often","2003","college entrance qualification","(2a) intermediate vocational","","","",""
"Very often","2003","college entrance qualification","(2c_gen) general maturity certificate","84","0.114051927902376","0.0918576800630581","0.136246175741693"
"Very often","2003","college entrance qualification","(2c_voc) vocational maturity certificate","62","0.0601694695279828","0.0474228432376146","0.072916095818351"
"Very often","2003","college entrance qualification","(3a) lower tertiary education","52","0.0465842448829376","0.0335999453090268","0.0595685444568485"
"Very often","2003","college entrance qualification","(3b) higher tertiary education","102","0.0411866360404817","0.0330564226149034","0.04931684946606"
"Very often","2003","Other degree","(0) in school","","","",""
"Very often","2003","Other degree","(1a) inadequately completed","","","",""
"Very often","2003","Other degree","(1b) general elementary school","9","","",""
"Very often","2003","Other degree","(1c) basic vocational qualification","15","","",""
"Very often","2003","Other degree","(2b) intermediate general qualification","","","",""
"Very often","2003","Other degree","(2a) intermediate vocational","","","",""
"Very often","2003","Other degree","(2c_gen) general maturity certificate","4","","",""
"Very often","2003","Other degree","(2c_voc) vocational maturity certificate","5","","",""
"Very often","2003","Other degree","(3a) lower tertiary education","","","",""
"Very often","2003","Other degree","(3b) higher tertiary education","5","","",""
"Very often","2003","no degree/no degree yet","(0) in school","75","0.109479932266717","0.0848425464595932","0.134117318073841"
"Very often","2003","no degree/no degree yet","(1a) inadequately completed","5","","",""
"Very often","2003","no degree/no degree yet","(1b) general elementary school","","","",""
"Very often","2003","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Very often","2003","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Very often","2003","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Very often","2003","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Very often","2003","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Very often","2003","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Very often","2003","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Often","2003","lower secondary degree","(0) in school","","","",""
"Often","2003","lower secondary degree","(1a) inadequately completed","","","",""
"Often","2003","lower secondary degree","(1b) general elementary school","187","0.103564812715796","0.0892234934490974","0.117906131982495"
"Often","2003","lower secondary degree","(1c) basic vocational qualification","636","0.108162628199558","0.100229478680298","0.116095777718818"
"Often","2003","lower secondary degree","(2b) intermediate general qualification","1","","",""
"Often","2003","lower secondary degree","(2a) intermediate vocational","1","","",""
"Often","2003","lower secondary degree","(2c_gen) general maturity certificate","1","","",""
"Often","2003","lower secondary degree","(2c_voc) vocational maturity certificate","5","","",""
"Often","2003","lower secondary degree","(3a) lower tertiary education","17","","",""
"Often","2003","lower secondary degree","(3b) higher tertiary education","5","","",""
"Often","2003","secondary school degree","(0) in school","","","",""
"Often","2003","secondary school degree","(1a) inadequately completed","","","",""
"Often","2003","secondary school degree","(1b) general elementary school","","","",""
"Often","2003","secondary school degree","(1c) basic vocational qualification","","","",""
