"pld0043","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","35-65 y.","general elemantary","298","0.309674662395714","0.280697329702987","0.33865199508844","5"
"Never","2003","66 and older","vocational + Abi","34","0.286318237338195","0.197720037801926","0.374916436874464","5"
"Never","2003","66 and older","higher education","119","0.236128485055146","0.201293599749134","0.270963370361159","5"
"Never","2003","35-65 y.","in school","","","","","5"
"Never","2003","35-65 y.","middle vocational","1092","0.174454147376743","0.165229086149867","0.18367920860362","5"
"Never","2003","35-65 y.","vocational + Abi","75","0.134257066315708","0.107312351745572","0.161201780885844","5"
"Never","2003","35-65 y.","inadequately","58","0.383357773555984","0.304760371494036","0.461955175617931","5"
"Never","2003","66 and older","general elemantary","417","0.539387967363226","0.504475103380513","0.57430083134594","5"
"Never","2003","66 and older","middle vocational","823","0.442801265069019","0.420371892283988","0.465230637854051","5"
"Never","2003","66 and older","higher vocational","94","0.439503847388373","0.377481500451937","0.501526194324808","5"
"Never","2003","66 and older","in school","","","","","5"
"Never","2003","66 and older","inadequately","22","","","","5"
"Never","2003","35-65 y.","higher vocational","132","0.123293574669135","0.10441442431366","0.142172725024611","5"
"Never","2003","35-65 y.","higher education","230","0.0812161817034026","0.0717707746013859","0.0906615888054192","5"
"Never","2003","16-34 y.","in school","12","","","","5"
"Never","2003","16-34 y.","inadequately","15","","","","5"
"Never","2003","16-34 y.","general elemantary","74","0.0710003777421933","0.0549044222688967","0.0870963332154899","5"
"Never","2003","16-34 y.","middle vocational","179","0.0684669406362236","0.0589813611494092","0.077952520123038","5"
"Never","2003","16-34 y.","vocational + Abi","23","","","","5"
"Never","2003","16-34 y.","higher vocational","8","","","","5"
"Never","2003","16-34 y.","higher education","13","","","","5"
"Often","2003","66 and older","middle vocational","89","0.0463633566715794","0.0368685409002181","0.0558581724429407","2"
"Often","2003","66 and older","vocational + Abi","3","","","","2"
"Often","2003","66 and older","general elemantary","38","0.0522399502546455","0.0366545562288879","0.0678253442804031","2"
"Often","2003","66 and older","in school","","","","","2"
"Often","2003","66 and older","inadequately","4","","","","2"
"Often","2003","35-65 y.","in school","","","","","2"
"Often","2003","35-65 y.","inadequately","8","","","","2"
"Often","2003","35-65 y.","general elemantary","87","0.0834344348672742","0.0661030567849364","0.100765812949612","2"
"Often","2003","66 and older","higher vocational","16","","","","2"
"Often","2003","66 and older","higher education","58","0.0993795109840364","0.0748409338828344","0.123918088085238","2"
"Often","2003","16-34 y.","in school","250","0.414576469862757","0.375703929721853","0.453449010003661","2"
"Often","2003","35-65 y.","middle vocational","860","0.13739103894936","0.129022604963753","0.145759472934966","2"
"Often","2003","35-65 y.","vocational + Abi","120","0.164987985853304","0.135653190987813","0.194322780718796","2"
"Often","2003","35-65 y.","higher vocational","198","0.179059519686505","0.157043456068831","0.201075583304179","2"
"Often","2003","35-65 y.","higher education","619","0.206504530381463","0.192507698510153","0.220501362252772","2"
"Often","2003","16-34 y.","inadequately","11","","","","2"
"Often","2003","16-34 y.","general elemantary","261","0.267878631277848","0.240123758514663","0.295633504041034","2"
"Often","2003","16-34 y.","middle vocational","679","0.239248045009757","0.223224079270298","0.255272010749216","2"
"Often","2003","16-34 y.","vocational + Abi","109","0.273944944410232","0.232601110111934","0.31528877870853","2"
"Often","2003","16-34 y.","higher vocational","75","0.287374372838874","0.233791308586547","0.340957437091201","2"
"Often","2003","16-34 y.","higher education","186","0.323450668714126","0.28487818286864","0.362023154559612","2"
"Rarely","2003","66 and older","general elemantary","200","0.243276569973682","0.213223700684414","0.27332943926295","4"
"Rarely","2003","66 and older","middle vocational","583","0.30826599437071","0.287414364158044","0.329117624583377","4"
"Rarely","2003","66 and older","in school","","","","","4"
"Rarely","2003","66 and older","inadequately","14","","","","4"
"Rarely","2003","35-65 y.","in school","","","","","4"
"Rarely","2003","35-65 y.","inadequately","35","0.208015898529299","0.142401988322007","0.273629808736592","4"
"Rarely","2003","66 and older","vocational + Abi","36","0.433711708928733","0.336578562846283","0.530844855011184","4"
"Rarely","2003","66 and older","higher vocational","75","0.267436592495541","0.212125331057468","0.322747853933613","4"
"Rarely","2003","66 and older","higher education","207","0.359782751973629","0.320417422406606","0.399148081540652","4"
"Rarely","2003","35-65 y.","general elemantary","281","0.284292428070442","0.256022212773972","0.312562643366912","4"
"Rarely","2003","35-65 y.","middle vocational","2073","0.315329762507314","0.304034893081221","0.326624631933406","4"
"Rarely","2003","35-65 y.","vocational + Abi","170","0.257730732563228","0.223162722715669","0.292298742410787","4"
"Rarely","2003","35-65 y.","higher vocational","351","0.266575676933382","0.24118507229622","0.291966281570544","4"
"Rarely","2003","35-65 y.","higher education","899","0.263830932061411","0.248592356710745","0.279069507412077","4"
"Rarely","2003","16-34 y.","in school","70","0.115286486623403","0.0900867476919326","0.140486225554873","4"
"Rarely","2003","16-34 y.","inadequately","16","","","","4"
"Rarely","2003","16-34 y.","general elemantary","170","0.19118353520749","0.166538530846948","0.215828539568031","4"
"Rarely","2003","16-34 y.","middle vocational","568","0.194532644020223","0.179664920130701","0.209400367909745","4"
"Rarely","2003","16-34 y.","vocational + Abi","81","0.200421388705213","0.163310876629826","0.2375319007806","4"
"Rarely","2003","16-34 y.","higher vocational","65","0.186733856196496","0.140591402079955","0.232876310313036","4"
"Rarely","2003","16-34 y.","higher education","106","0.199412327916656","0.166466204727217","0.232358451106095","4"
"Sometimes","2003","35-65 y.","general elemantary","292","0.299480356098055","0.270774335432147","0.328186376763963","3"
"Sometimes","2003","66 and older","general elemantary","126","0.162872736513881","0.137009245212101","0.188736227815662","3"
"Sometimes","2003","66 and older","middle vocational","374","0.193262619514352","0.17543277060492","0.211092468423785","3"
"Sometimes","2003","66 and older","higher education","185","0.303699408919627","0.265981258151749","0.341417559687506","3"
"Sometimes","2003","35-65 y.","middle vocational","2292","0.343877494635232","0.332330941664485","0.355424047605979","3"
"Sometimes","2003","35-65 y.","vocational + Abi","234","0.410667608534024","0.371786743950731","0.449548473117317","3"
"Sometimes","2003","35-65 y.","higher vocational","445","0.383280155353108","0.355361965459169","0.411198345247047","3"
