"pld0043","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Very often","2003","no migration background","Male","354","0.0397590985753145","0.0357279124475395","0.0437902847030896"
"Very often","2003","no migration background","Female","408","0.0373536339572717","0.0335858023231269","0.0411214655914164"
"Very often","2003","direct migration background","Male","52","0.0517993647792877","0.0395623592459726","0.0640363703126029"
"Very often","2003","direct migration background","Female","42","0.0311437444216533","0.0218913562216592","0.0403961326216474"
"Very often","2003","indirect migration background","Male","35","0.100126804884354","0.069746068677035","0.130507541091674"
"Very often","2003","indirect migration background","Female","27","","",""
"Often","2003","no migration background","Male","1524","0.163012100545561","0.155391415777982","0.17063278531314"
"Often","2003","no migration background","Female","1615","0.149648550157129","0.142560493898204","0.156736606416054"
"Often","2003","direct migration background","Male","179","0.170434100842829","0.149672228759311","0.191195972926347"
"Often","2003","direct migration background","Female","203","0.15929664050049","0.139804323811323","0.178788957189658"
"Often","2003","indirect migration background","Male","98","0.275266899506155","0.23006064754071","0.320473151471599"
"Often","2003","indirect migration background","Female","122","0.265136150642928","0.222565432136567","0.307706869149289"
"Sometimes","2003","no migration background","Male","3213","0.348345444440624","0.338515789532576","0.358175099348673"
"Sometimes","2003","no migration background","Female","3372","0.325927230767805","0.316613892314807","0.335240569220804"
"Sometimes","2003","direct migration background","Male","410","0.310936282009932","0.285378202866537","0.336494361153327"
"Sometimes","2003","direct migration background","Female","426","0.31549918675101","0.290746356410319","0.340252017091701"
"Sometimes","2003","indirect migration background","Male","136","0.319686347186791","0.272485575919196","0.366887118454386"
"Sometimes","2003","indirect migration background","Female","159","0.383007600361578","0.336124462788526","0.429890737934631"
"Rarely","2003","no migration background","Male","2585","0.280378736761423","0.271111526499715","0.289645947023132"
"Rarely","2003","no migration background","Female","2671","0.272683576952875","0.263834807927113","0.281532345978637"
"Rarely","2003","direct migration background","Male","314","0.237447752754594","0.213952417142492","0.260943088366695"
"Rarely","2003","direct migration background","Female","348","0.259089472990745","0.235752392434132","0.282426553547358"
"Rarely","2003","indirect migration background","Male","68","0.16457534057468","0.127046211712476","0.202104469436884"
"Rarely","2003","indirect migration background","Female","62","0.157525454690515","0.122391516731628","0.192659392649401"
"Never","2003","no migration background","Male","1349","0.168504619677077","0.160782077089165","0.176227162264988"
"Never","2003","no migration background","Female","1664","0.214387008164919","0.206232547706993","0.222541468622845"
"Never","2003","direct migration background","Male","305","0.229382499613357","0.206167836124673","0.252597163102042"
"Never","2003","direct migration background","Female","335","0.234970955336101","0.212387790110214","0.257554120561988"
"Never","2003","indirect migration background","Male","38","0.14034460784802","0.105189169404515","0.175500046291525"
"Never","2003","indirect migration background","Female","43","0.0931903866575793","0.065154346084823","0.121226427230336"
"Very often","2004","no migration background","Male","","","",""
"Very often","2004","no migration background","Female","","","",""
"Very often","2004","direct migration background","Male","","","",""
"Very often","2004","direct migration background","Female","","","",""
"Very often","2004","indirect migration background","Male","","","",""
"Very often","2004","indirect migration background","Female","","","",""
"Often","2004","no migration background","Male","","","",""
"Often","2004","no migration background","Female","","","",""
"Often","2004","direct migration background","Male","","","",""
"Often","2004","direct migration background","Female","","","",""
"Often","2004","indirect migration background","Male","","","",""
"Often","2004","indirect migration background","Female","","","",""
"Sometimes","2004","no migration background","Male","","","",""
"Sometimes","2004","no migration background","Female","","","",""
"Sometimes","2004","direct migration background","Male","","","",""
"Sometimes","2004","direct migration background","Female","","","",""
"Sometimes","2004","indirect migration background","Male","","","",""
"Sometimes","2004","indirect migration background","Female","","","",""
"Rarely","2004","no migration background","Male","","","",""
"Rarely","2004","no migration background","Female","","","",""
"Rarely","2004","direct migration background","Male","","","",""
"Rarely","2004","direct migration background","Female","","","",""
"Rarely","2004","indirect migration background","Male","","","",""
"Rarely","2004","indirect migration background","Female","","","",""
"Never","2004","no migration background","Male","","","",""
"Never","2004","no migration background","Female","","","",""
"Never","2004","direct migration background","Male","","","",""
"Never","2004","direct migration background","Female","","","",""
"Never","2004","indirect migration background","Male","","","",""
"Never","2004","indirect migration background","Female","","","",""
"Very often","2005","no migration background","Male","","","",""
"Very often","2005","no migration background","Female","","","",""
"Very often","2005","direct migration background","Male","","","",""
"Very often","2005","direct migration background","Female","","","",""
"Very often","2005","indirect migration background","Male","","","",""
"Very often","2005","indirect migration background","Female","","","",""
"Often","2005","no migration background","Male","","","",""
"Often","2005","no migration background","Female","","","",""
"Often","2005","direct migration background","Male","","","",""
"Often","2005","direct migration background","Female","","","",""
"Often","2005","indirect migration background","Male","","","",""
"Often","2005","indirect migration background","Female","","","",""
"Sometimes","2005","no migration background","Male","","","",""
"Sometimes","2005","no migration background","Female","","","",""
"Sometimes","2005","direct migration background","Male","","","",""
"Sometimes","2005","direct migration background","Female","","","",""
"Sometimes","2005","indirect migration background","Male","","","",""
"Sometimes","2005","indirect migration background","Female","","","",""
"Rarely","2005","no migration background","Male","","","",""
"Rarely","2005","no migration background","Female","","","",""
"Rarely","2005","direct migration background","Male","","","",""
"Rarely","2005","direct migration background","Female","","","",""
"Rarely","2005","indirect migration background","Male","","","",""
"Rarely","2005","indirect migration background","Female","","","",""
"Never","2005","no migration background","Male","","","",""
"Never","2005","no migration background","Female","","","",""
"Never","2005","direct migration background","Male","","","",""
"Never","2005","direct migration background","Female","","","",""
"Never","2005","indirect migration background","Male","","","",""
"Never","2005","indirect migration background","Female","","","",""
"Very often","2006","no migration background","Male","","","",""
"Very often","2006","no migration background","Female","","","",""
