"pld0043","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","Not Employed","Full Time","","","","","5"
"Never","2003","Not Employed","Part Time","","","","","5"
"Never","2003","Not Employed","Not Working","2322","0.311960034747769","0.301891204536021","0.322028864959517","5"
"Never","2003","Employed","Full Time","919","0.11203284924796","0.105478985078398","0.118586713417521","5"
"Never","2003","Employed","Part Time","493","0.117041439034899","0.108241970967907","0.125840907101891","5"
"Never","2003","Employed","Not Working","","","","","5"
"Often","2003","Not Employed","Not Working","1041","0.116588724262474","0.109613913177786","0.123563535347163","2"
"Often","2003","Not Employed","Full Time","","","","","2"
"Often","2003","Not Employed","Part Time","","","","","2"
"Often","2003","Employed","Part Time","1082","0.209688059888472","0.198545049004762","0.220831070772182","2"
"Often","2003","Employed","Full Time","1618","0.180705404365331","0.172710156881229","0.188700651849434","2"
"Often","2003","Employed","Not Working","","","","","2"
"Rarely","2003","Not Employed","Not Working","2259","0.280478760741946","0.270715508632644","0.290242012851249","4"
"Rarely","2003","Not Employed","Full Time","","","","","4"
"Rarely","2003","Not Employed","Part Time","","","","","4"
"Rarely","2003","Employed","Part Time","1331","0.253769225198823","0.241857559761039","0.265680890636607","4"
"Rarely","2003","Employed","Full Time","2458","0.265943693639203","0.256762781506589","0.275124605771817","4"
"Rarely","2003","Employed","Not Working","","","","","4"
"Sometimes","2003","Not Employed","Full Time","","","","","3"
"Sometimes","2003","Not Employed","Part Time","","","","","3"
"Sometimes","2003","Not Employed","Not Working","2279","0.266555591280433","0.256946104264309","0.276165078296558","3"
"Sometimes","2003","Employed","Part Time","1948","0.365953744891657","0.352768445331772","0.379139044451543","3"
"Sometimes","2003","Employed","Full Time","3489","0.390003146728295","0.37986813749615","0.400138155960441","3"
"Sometimes","2003","Employed","Not Working","","","","","3"
"Very often","2003","Not Employed","Full Time","","","","","1"
"Very often","2003","Not Employed","Part Time","","","","","1"
"Very often","2003","Not Employed","Not Working","232","0.0244168889673766","0.0210626036150472","0.0277711743197059","1"
"Very often","2003","Employed","Full Time","413","0.0513149060192102","0.0467302252298011","0.0558995868086193","1"
"Very often","2003","Employed","Part Time","273","0.0535475309861481","0.0473853342166857","0.0597097277556105","1"
"Very often","2003","Employed","Not Working","","","","","1"
"Never","2004","Not Employed","Full Time","","","","","5"
"Never","2004","Not Employed","Part Time","","","","","5"
"Never","2004","Not Employed","Not Working","","","","","5"
"Never","2004","Employed","Full Time","","","","","5"
"Never","2004","Employed","Part Time","","","","","5"
"Never","2004","Employed","Not Working","","","","","5"
"Often","2004","Not Employed","Part Time","","","","","2"
"Often","2004","Not Employed","Full Time","","","","","2"
"Often","2004","Not Employed","Not Working","","","","","2"
"Often","2004","Employed","Full Time","","","","","2"
"Often","2004","Employed","Part Time","","","","","2"
"Often","2004","Employed","Not Working","","","","","2"
"Rarely","2004","Not Employed","Full Time","","","","","4"
"Rarely","2004","Not Employed","Not Working","","","","","4"
"Rarely","2004","Not Employed","Part Time","","","","","4"
"Rarely","2004","Employed","Part Time","","","","","4"
"Rarely","2004","Employed","Full Time","","","","","4"
"Rarely","2004","Employed","Not Working","","","","","4"
"Sometimes","2004","Not Employed","Part Time","","","","","3"
"Sometimes","2004","Employed","Part Time","","","","","3"
"Sometimes","2004","Not Employed","Full Time","","","","","3"
"Sometimes","2004","Not Employed","Not Working","","","","","3"
"Sometimes","2004","Employed","Full Time","","","","","3"
"Sometimes","2004","Employed","Not Working","","","","","3"
"Very often","2004","Not Employed","Not Working","","","","","1"
"Very often","2004","Not Employed","Full Time","","","","","1"
"Very often","2004","Not Employed","Part Time","","","","","1"
"Very often","2004","Employed","Full Time","","","","","1"
"Very often","2004","Employed","Part Time","","","","","1"
"Very often","2004","Employed","Not Working","","","","","1"
"Never","2005","Not Employed","Not Working","","","","","5"
"Never","2005","Not Employed","Full Time","","","","","5"
"Never","2005","Not Employed","Part Time","","","","","5"
"Never","2005","Employed","Full Time","","","","","5"
"Never","2005","Employed","Part Time","","","","","5"
"Never","2005","Employed","Not Working","","","","","5"
"Often","2005","Not Employed","Full Time","","","","","2"
"Often","2005","Not Employed","Part Time","","","","","2"
"Often","2005","Not Employed","Not Working","","","","","2"
"Often","2005","Employed","Part Time","","","","","2"
"Often","2005","Employed","Full Time","","","","","2"
"Often","2005","Employed","Not Working","","","","","2"
"Rarely","2005","Not Employed","Part Time","","","","","4"
"Rarely","2005","Not Employed","Full Time","","","","","4"
"Rarely","2005","Not Employed","Not Working","","","","","4"
"Rarely","2005","Employed","Full Time","","","","","4"
"Rarely","2005","Employed","Part Time","","","","","4"
"Rarely","2005","Employed","Not Working","","","","","4"
"Sometimes","2005","Not Employed","Full Time","","","","","3"
"Sometimes","2005","Not Employed","Not Working","","","","","3"
"Sometimes","2005","Employed","Full Time","","","","","3"
"Sometimes","2005","Employed","Not Working","","","","","3"
"Sometimes","2005","Not Employed","Part Time","","","","","3"
"Sometimes","2005","Employed","Part Time","","","","","3"
"Very often","2005","Not Employed","Full Time","","","","","1"
"Very often","2005","Not Employed","Part Time","","","","","1"
"Very often","2005","Not Employed","Not Working","","","","","1"
"Very often","2005","Employed","Full Time","","","","","1"
"Very often","2005","Employed","Part Time","","","","","1"
"Very often","2005","Employed","Not Working","","","","","1"
"Never","2006","Not Employed","Part Time","","","","","5"
"Never","2006","Not Employed","Full Time","","","","","5"
"Never","2006","Employed","Full Time","","","","","5"
"Never","2006","Not Employed","Not Working","","","","","5"
"Never","2006","Employed","Part Time","","","","","5"
"Never","2006","Employed","Not Working","","","","","5"
"Often","2006","Not Employed","Full Time","","","","","2"
"Often","2006","Not Employed","Not Working","","","","","2"
"Often","2006","Not Employed","Part Time","","","","","2"
"Often","2006","Employed","Part Time","","","","","2"
"Often","2006","Employed","Full Time","","","","","2"
"Often","2006","Employed","Not Working","","","","","2"
