"pld0043","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","no migration background","Urban Area","1816","0.180662882763486","0.173778875070021","0.187546890456951","5"
"Never","2003","no migration background","Rural Area","1197","0.214683205936461","0.204892257821509","0.224474154051413","5"
"Never","2003","direct migration background","Urban Area","535","0.236700308194578","0.218766631914661","0.254633984474495","5"
"Never","2003","direct migration background","Rural Area","105","0.211114344199029","0.173657466699571","0.248571221698487","5"
"Never","2003","indirect migration background","Urban Area","73","0.122771299311472","0.0982312989574061","0.147311299665537","5"
"Never","2003","indirect migration background","Rural Area","8","","","","5"
"Often","2003","direct migration background","Urban Area","326","0.166572245016385","0.150852059386288","0.182292430646482","2"
"Often","2003","no migration background","Urban Area","2109","0.162515033680427","0.155914016769891","0.169116050590964","2"
"Often","2003","no migration background","Rural Area","1030","0.143592695534936","0.135230705877049","0.151954685192823","2"
"Often","2003","indirect migration background","Urban Area","199","0.284961679851544","0.251207495954774","0.318715863748315","2"
"Often","2003","direct migration background","Rural Area","56","0.155942623730209","0.122643402794028","0.18924184466639","2"
"Often","2003","indirect migration background","Rural Area","21","","","","2"
"Rarely","2003","direct migration background","Urban Area","523","0.234153811991943","0.216287135880059","0.252020488103826","4"
"Rarely","2003","no migration background","Urban Area","3286","0.271456302431726","0.263499229627116","0.279413375236335","4"
"Rarely","2003","no migration background","Rural Area","1970","0.286132277892595","0.275355335298552","0.296909220486639","4"
"Rarely","2003","indirect migration background","Urban Area","104","0.140183899561553","0.114222889978348","0.166144909144758","4"
"Rarely","2003","direct migration background","Rural Area","139","0.316866384237391","0.274163561652407","0.359569206822375","4"
"Rarely","2003","indirect migration background","Rural Area","26","","","","4"
"Sometimes","2003","no migration background","Urban Area","4273","0.344803278348385","0.336298811052262","0.353307745644507","3"
"Sometimes","2003","no migration background","Rural Area","2312","0.321079210427521","0.309946038456531","0.332212382398512","3"
"Sometimes","2003","direct migration background","Urban Area","693","0.31877344641457","0.299112282506172","0.338434610322969","3"
"Sometimes","2003","indirect migration background","Urban Area","252","0.339299997277317","0.303895061994578","0.374704932560055","3"
"Sometimes","2003","direct migration background","Rural Area","143","0.287180215198751","0.245653000744155","0.328707429653347","3"
"Sometimes","2003","indirect migration background","Rural Area","43","0.446197363673278","0.349251694323362","0.543143033023194","3"
"Very often","2003","no migration background","Urban Area","515","0.0405625027759762","0.0370327338120966","0.0440922717398559","1"
"Very often","2003","no migration background","Rural Area","247","0.0345126102084863","0.0301598426434918","0.0388653777734808","1"
"Very often","2003","direct migration background","Urban Area","81","0.0438001883825244","0.035165738223741","0.0524346385413078","1"
"Very often","2003","direct migration background","Rural Area","13","","","","1"
"Very often","2003","indirect migration background","Urban Area","59","0.112783123998114","0.0891290103259226","0.136437237670305","1"
"Very often","2003","indirect migration background","Rural Area","3","","","","1"
"Never","2004","no migration background","Urban Area","","","","","5"
"Never","2004","no migration background","Rural Area","","","","","5"
"Never","2004","direct migration background","Urban Area","","","","","5"
"Never","2004","direct migration background","Rural Area","","","","","5"
"Never","2004","indirect migration background","Urban Area","","","","","5"
"Never","2004","indirect migration background","Rural Area","","","","","5"
"Often","2004","no migration background","Rural Area","","","","","2"
"Often","2004","no migration background","Urban Area","","","","","2"
"Often","2004","direct migration background","Urban Area","","","","","2"
"Often","2004","direct migration background","Rural Area","","","","","2"
"Often","2004","indirect migration background","Urban Area","","","","","2"
"Often","2004","indirect migration background","Rural Area","","","","","2"
"Rarely","2004","no migration background","Urban Area","","","","","4"
"Rarely","2004","direct migration background","Urban Area","","","","","4"
"Rarely","2004","no migration background","Rural Area","","","","","4"
"Rarely","2004","indirect migration background","Urban Area","","","","","4"
"Rarely","2004","direct migration background","Rural Area","","","","","4"
"Rarely","2004","indirect migration background","Rural Area","","","","","4"
"Sometimes","2004","no migration background","Rural Area","","","","","3"
"Sometimes","2004","indirect migration background","Urban Area","","","","","3"
"Sometimes","2004","no migration background","Urban Area","","","","","3"
