"pld0043","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Very often","2003","16-34 y.","lower secondary degree","86","0.080050378961175","0.0644204310795663","0.0956803268427837"
"Very often","2003","16-34 y.","secondary school degree","155","0.0864642596329884","0.0739060814092745","0.0990224378567024"
"Very often","2003","16-34 y.","college entrance qualification","147","0.0917775118503527","0.0780005068819445","0.105554516818761"
"Very often","2003","16-34 y.","Other degree","13","","",""
"Very often","2003","16-34 y.","no degree/no degree yet","79","0.109417569855846","0.0857452699818688","0.133089869729824"
"Very often","2003","35-65 y.","lower secondary degree","98","0.0221768347195335","0.0177927031573353","0.0265609662817316"
"Very often","2003","35-65 y.","secondary school degree","122","0.0363216151346055","0.0305302799935292","0.0421129502756819"
"Very often","2003","35-65 y.","college entrance qualification","150","0.0500957880498131","0.0425902599792545","0.0576013161203717"
"Very often","2003","35-65 y.","Other degree","25","","",""
"Very often","2003","35-65 y.","no degree/no degree yet","","","",""
"Very often","2003","66 and older","lower secondary degree","13","","",""
"Very often","2003","66 and older","secondary school degree","4","","",""
"Very often","2003","66 and older","college entrance qualification","3","","",""
"Very often","2003","66 and older","Other degree","","","",""
"Very often","2003","66 and older","no degree/no degree yet","1","","",""
"Often","2003","16-34 y.","lower secondary degree","251","0.228723601610532","0.204532573686732","0.252914629534331"
"Often","2003","16-34 y.","secondary school degree","469","0.230253919791239","0.211442446239164","0.249065393343315"
"Often","2003","16-34 y.","college entrance qualification","556","0.332795828202235","0.310310001303129","0.355281655101342"
"Often","2003","16-34 y.","Other degree","32","0.170764225405197","0.119747519973811","0.221780930836584"
"Often","2003","16-34 y.","no degree/no degree yet","258","0.386294031750415","0.349370857287332","0.423217206213498"
"Often","2003","35-65 y.","lower secondary degree","492","0.117785963222161","0.108188921382163","0.127383005062158"
"Often","2003","35-65 y.","secondary school degree","628","0.166089770866056","0.154569540690297","0.177610001041814"
"Often","2003","35-65 y.","college entrance qualification","661","0.207190259903074","0.193245536749685","0.221134983056462"
"Often","2003","35-65 y.","Other degree","99","0.124494930618046","0.10240422372172","0.146585637514371"
"Often","2003","35-65 y.","no degree/no degree yet","10","","",""
"Often","2003","66 and older","lower secondary degree","110","0.04689184303516","0.038416273621833","0.0553674124484869"
"Often","2003","66 and older","secondary school degree","33","0.0586444677339093","0.0382527708406148","0.0790361646272038"
"Often","2003","66 and older","college entrance qualification","50","0.0857469038289749","0.0612051535648444","0.110288654093105"
"Often","2003","66 and older","Other degree","10","","",""
"Often","2003","66 and older","no degree/no degree yet","5","","",""
"Sometimes","2003","16-34 y.","lower secondary degree","471","0.384758926260997","0.35673617163136","0.412781680890635"
"Sometimes","2003","16-34 y.","secondary school degree","771","0.423556770818785","0.401477758455463","0.445635783182107"
"Sometimes","2003","16-34 y.","college entrance qualification","664","0.391957501304245","0.368661734651301","0.415253267957189"
"Sometimes","2003","16-34 y.","Other degree","79","0.38277517652604","0.316877739648803","0.448672613403278"
"Sometimes","2003","16-34 y.","no degree/no degree yet","221","0.327073600772109","0.291496841188719","0.362650360355499"
"Sometimes","2003","35-65 y.","lower secondary degree","1425","0.3294103830007","0.315417709779665","0.343403056221735"
"Sometimes","2003","35-65 y.","secondary school degree","1509","0.369490075591976","0.354549153015128","0.384430998168825"
"Sometimes","2003","35-65 y.","college entrance qualification","1387","0.42635648582337","0.409340848462809","0.443372123183931"
"Sometimes","2003","35-65 y.","Other degree","265","0.294176951152703","0.263687002952197","0.324666899353209"
"Sometimes","2003","35-65 y.","no degree/no degree yet","47","0.315806723127652","0.244004938315107","0.387608507940197"
"Sometimes","2003","66 and older","lower secondary degree","437","0.175033469587322","0.159798981835679","0.190267957338966"
"Sometimes","2003","66 and older","secondary school degree","138","0.260353894543139","0.222268625345601","0.298439163740677"
"Sometimes","2003","66 and older","college entrance qualification","155","0.293460097039005","0.253547869721676","0.333372324356335"
"Sometimes","2003","66 and older","Other degree","38","0.268096155578146","0.201112976215681","0.335079334940611"
"Sometimes","2003","66 and older","no degree/no degree yet","12","","",""
"Rarely","2003","16-34 y.","lower secondary degree","238","0.206664961190484","0.183343510881954","0.229986411499014"
"Rarely","2003","16-34 y.","secondary school degree","431","0.205503349648349","0.187448201969483","0.223558497327216"
"Rarely","2003","16-34 y.","college entrance qualification","269","0.163767927365817","0.146108834670875","0.181427020060759"
"Rarely","2003","16-34 y.","Other degree","48","0.253270544162135","0.194311704037299","0.312229384286971"
"Rarely","2003","16-34 y.","no degree/no degree yet","85","0.126722467260187","0.101495629552671","0.151949304967703"
"Rarely","2003","35-65 y.","lower secondary degree","1408","0.312923189239347","0.299118546967273","0.326727831511421"
"Rarely","2003","35-65 y.","secondary school degree","1292","0.312820931183847","0.298468914636405","0.32717294773129"
"Rarely","2003","35-65 y.","college entrance qualification","839","0.245893230720858","0.231077248553448","0.260709212888268"
"Rarely","2003","35-65 y.","Other degree","222","0.24973209604101","0.22076867802911","0.278695514052911"
