"ple0013","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","no migration background","Male","342","0.0459929711655944","0.0412636460939898","0.0507222962371991"
"Yes","2009","no migration background","Female","428","0.0588963665695521","0.0538028367743371","0.0639898963647671"
"Yes","2009","direct migration background","Male","30","0.0334313498613702","0.0206763889852153","0.046186310737525"
"Yes","2009","direct migration background","Female","44","0.0381902821880087","0.0257036644807411","0.0506768998952763"
"Yes","2009","indirect migration background","Male","16","","",""
"Yes","2009","indirect migration background","Female","16","","",""
"No","2009","no migration background","Male","7194","0.954007028834406","0.949277703762801","0.95873635390601"
"No","2009","no migration background","Female","7779","0.941103633430448","0.936010103635233","0.946197163225663"
"No","2009","direct migration background","Male","733","0.96656865013863","0.953813689262475","0.979323611014785"
"No","2009","direct migration background","Female","861","0.961809717811991","0.949323100104724","0.974296335519259"
"No","2009","indirect migration background","Male","329","0.938044812042503","0.912606448132472","0.963483175952534"
"No","2009","indirect migration background","Female","354","0.968031542724738","0.95010680446553","0.985956280983946"
"Yes","2010","no migration background","Male","","","",""
"Yes","2010","no migration background","Female","","","",""
"Yes","2010","direct migration background","Male","","","",""
"Yes","2010","direct migration background","Female","","","",""
"Yes","2010","indirect migration background","Male","","","",""
"Yes","2010","indirect migration background","Female","","","",""
"No","2010","no migration background","Male","","","",""
"No","2010","no migration background","Female","","","",""
"No","2010","direct migration background","Male","","","",""
"No","2010","direct migration background","Female","","","",""
"No","2010","indirect migration background","Male","","","",""
"No","2010","indirect migration background","Female","","","",""
"Yes","2011","no migration background","Male","420","0.0522039056854829","0.0474928447979648","0.0569149665730011"
"Yes","2011","no migration background","Female","555","0.0630968179383412","0.0582016934985829","0.0679919423780995"
"Yes","2011","direct migration background","Male","35","0.0378448960662463","0.0253363873921946","0.050353404740298"
"Yes","2011","direct migration background","Female","54","0.0411222393879319","0.0295238176256986","0.0527206611501653"
"Yes","2011","indirect migration background","Male","29","","",""
"Yes","2011","indirect migration background","Female","23","","",""
"No","2011","no migration background","Male","8144","0.947796094314517","0.943085033426999","0.952507155202035"
"No","2011","no migration background","Female","8922","0.936903182061659","0.9320080576219","0.941798306501417"
"No","2011","direct migration background","Male","859","0.962155103933754","0.949646595259702","0.974663612607805"
"No","2011","direct migration background","Female","1072","0.958877760612068","0.947279338849835","0.970476182374301"
"No","2011","indirect migration background","Male","352","0.901430483651921","0.871499358957083","0.93136160834676"
"No","2011","indirect migration background","Female","395","0.950085112453835","0.929208681421485","0.970961543486185"
"Yes","2012","no migration background","Male","","","",""
"Yes","2012","no migration background","Female","","","",""
"Yes","2012","direct migration background","Male","","","",""
"Yes","2012","direct migration background","Female","","","",""
"Yes","2012","indirect migration background","Male","","","",""
"Yes","2012","indirect migration background","Female","","","",""
"No","2012","no migration background","Male","","","",""
"No","2012","no migration background","Female","","","",""
"No","2012","direct migration background","Male","","","",""
"No","2012","direct migration background","Female","","","",""
"No","2012","indirect migration background","Male","","","",""
"No","2012","indirect migration background","Female","","","",""
"Yes","2013","no migration background","Male","428","0.0572517707427478","0.0520940216096868","0.0624095198758087"
"Yes","2013","no migration background","Female","580","0.0690069398974995","0.0637006406633872","0.0743132391316119"
"Yes","2013","direct migration background","Male","25","","",""
"Yes","2013","direct migration background","Female","53","0.0671391921752504","0.0513164090063666","0.0829619753441343"
"Yes","2013","indirect migration background","Male","22","","",""
"Yes","2013","indirect migration background","Female","29","","",""
"No","2013","no migration background","Male","7366","0.942748229257252","0.937590480124191","0.947905978390313"
"No","2013","no migration background","Female","8185","0.9309930601025","0.925686760868388","0.936299359336613"
"No","2013","direct migration background","Male","710","0.962245354762003","0.948465884243109","0.976024825280898"
"No","2013","direct migration background","Female","908","0.93286080782475","0.917038024655866","0.948683590993633"
"No","2013","indirect migration background","Male","323","0.941767499307056","0.917056340420931","0.966478658193182"
"No","2013","indirect migration background","Female","342","0.902608992255283","0.872439333775901","0.932778650734665"
"Yes","2014","no migration background","Male","","","",""
"Yes","2014","no migration background","Female","","","",""
"Yes","2014","direct migration background","Male","","","",""
"Yes","2014","direct migration background","Female","","","",""
"Yes","2014","indirect migration background","Male","","","",""
"Yes","2014","indirect migration background","Female","","","",""
"No","2014","no migration background","Male","","","",""
"No","2014","no migration background","Female","","","",""
"No","2014","direct migration background","Male","","","",""
"No","2014","direct migration background","Female","","","",""
"No","2014","indirect migration background","Male","","","",""
"No","2014","indirect migration background","Female","","","",""
"Yes","2015","no migration background","Male","499","0.0596170024516045","0.0546750280003683","0.0645589769028408"
"Yes","2015","no migration background","Female","732","0.0683143911671936","0.0634652594706924","0.0731635228636947"
"Yes","2015","direct migration background","Male","73","0.0333633748387278","0.0253844700344598","0.0413422796429958"
"Yes","2015","direct migration background","Female","115","0.0700378979892154","0.0597739259341251","0.0803018700443057"
"Yes","2015","indirect migration background","Male","55","0.0978489084872575","0.0766277917173634","0.119070025257152"
"Yes","2015","indirect migration background","Female","69","0.0881304880484427","0.0694005564966243","0.106860419600261"
"No","2015","no migration background","Male","8319","0.940382997548395","0.935441023097159","0.945324971999632"
"No","2015","no migration background","Female","9666","0.931685608832806","0.926836477136305","0.936534740529308"
"No","2015","direct migration background","Male","1873","0.966636625161272","0.958657720357004","0.97461552996554"
"No","2015","direct migration background","Female","2260","0.929962102010785","0.919698129955694","0.940226074065875"
"No","2015","indirect migration background","Male","698","0.902151091512743","0.880929974742848","0.923372208282637"
"No","2015","indirect migration background","Female","811","0.911869511951557","0.893139580399739","0.930599443503376"
"Yes","2016","no migration background","Male","","","",""
"Yes","2016","no migration background","Female","","","",""
"Yes","2016","direct migration background","Male","","","",""
"Yes","2016","direct migration background","Female","","","",""
"Yes","2016","indirect migration background","Male","","","",""
"Yes","2016","indirect migration background","Female","","","",""
"No","2016","no migration background","Male","","","",""
"No","2016","no migration background","Female","","","",""
"No","2016","direct migration background","Male","","","",""
"No","2016","direct migration background","Female","","","",""
"No","2016","indirect migration background","Male","","","",""
"No","2016","indirect migration background","Female","","","",""
"Yes","2017","no migration background","Male","600","0.0611520141199986","0.0563253739307622","0.065978654309235"
"Yes","2017","no migration background","Female","811","0.0779940528001091","0.0729535831711781","0.0830345224290401"
"Yes","2017","direct migration background","Male","83","0.0391671659133506","0.0308363325488982","0.0474979992778029"
"Yes","2017","direct migration background","Female","123","0.0661538204006425","0.0565723325015647","0.0757353082997204"
"Yes","2017","indirect migration background","Male","51","0.0662107629332754","0.0488608093412796","0.0835607165252711"
"Yes","2017","indirect migration background","Female","71","0.0858823093734134","0.0678357044183712","0.103928914328456"
"No","2017","no migration background","Male","8867","0.938847985880001","0.934021345690765","0.943674626069238"
"No","2017","no migration background","Female","10062","0.922005947199891","0.91696547757096","0.927046416828822"
"No","2017","direct migration background","Male","2000","0.960832834086649","0.952502000722197","0.969163667451102"
"No","2017","direct migration background","Female","2462","0.933846179599357","0.92426469170028","0.943427667498435"
"No","2017","indirect migration background","Male","738","0.933789237066725","0.916439283474729","0.95113919065872"
"No","2017","indirect migration background","Female","855","0.914117690626587","0.896071085671544","0.932164295581629"
"Yes","2018","no migration background","Male","","","",""
"Yes","2018","no migration background","Female","","","",""
"Yes","2018","direct migration background","Male","","","",""
"Yes","2018","direct migration background","Female","","","",""
"Yes","2018","indirect migration background","Male","","","",""
"Yes","2018","indirect migration background","Female","","","",""
"No","2018","no migration background","Male","","","",""
"No","2018","no migration background","Female","","","",""
"No","2018","direct migration background","Male","","","",""
"No","2018","direct migration background","Female","","","",""
"No","2018","indirect migration background","Male","","","",""
"No","2018","indirect migration background","Female","","","",""
"Yes","2019","no migration background","Male","689","0.0699562591150175","0.064907188836289","0.0750053293937459"
"Yes","2019","no migration background","Female","844","0.0801235672866801","0.074930311766621","0.0853168228067392"
"Yes","2019","direct migration background","Male","69","0.0367734191833005","0.0279455232100234","0.0456013151565775"
"Yes","2019","direct migration background","Female","112","0.0717112521108641","0.0607102173136702","0.0827122869080581"
"Yes","2019","indirect migration background","Male","63","0.0831985395718488","0.0640962326778168","0.102300846465881"
"Yes","2019","indirect migration background","Female","70","0.0900768715649219","0.0714451302091648","0.108708612920679"
"No","2019","no migration background","Male","9115","0.930043740884983","0.924994670606254","0.935092811163711"
"No","2019","no migration background","Female","9654","0.91987643271332","0.914683177193261","0.925069688233379"
"No","2019","direct migration background","Male","1677","0.9632265808167","0.954398684843422","0.972054476789977"
"No","2019","direct migration background","Female","2001","0.928288747889136","0.917287713091942","0.93928978268633"
"No","2019","indirect migration background","Male","740","0.916801460428151","0.897699153534119","0.935903767322183"
"No","2019","indirect migration background","Female","837","0.909923128435078","0.891291387079321","0.928554869790835"
