"ple0013","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2009","16-34 y.","(0) in school","26","","",""
"Yes","2009","16-34 y.","(1a) inadequately completed","1","","",""
"Yes","2009","16-34 y.","(1b) general elementary school","13","","",""
"Yes","2009","16-34 y.","(1c) basic vocational qualification","16","","",""
"Yes","2009","16-34 y.","(2b) intermediate general qualification","16","","",""
"Yes","2009","16-34 y.","(2a) intermediate vocational","32","1","1","1"
"Yes","2009","16-34 y.","(2c_gen) general maturity certificate","35","1","1","1"
"Yes","2009","16-34 y.","(2c_voc) vocational maturity certificate","19","","",""
"Yes","2009","16-34 y.","(3a) lower tertiary education","5","","",""
"Yes","2009","16-34 y.","(3b) higher tertiary education","16","","",""
"Yes","2009","35-65 y.","(0) in school","","","",""
"Yes","2009","35-65 y.","(1a) inadequately completed","3","","",""
"Yes","2009","35-65 y.","(1b) general elementary school","30","1","1","1"
"Yes","2009","35-65 y.","(1c) basic vocational qualification","126","1","1","1"
"Yes","2009","35-65 y.","(2b) intermediate general qualification","4","","",""
"Yes","2009","35-65 y.","(2a) intermediate vocational","128","1","1","1"
"Yes","2009","35-65 y.","(2c_gen) general maturity certificate","8","","",""
"Yes","2009","35-65 y.","(2c_voc) vocational maturity certificate","38","1","1","1"
"Yes","2009","35-65 y.","(3a) lower tertiary education","43","1","1","1"
"Yes","2009","35-65 y.","(3b) higher tertiary education","66","1","1","1"
"Yes","2009","66 and older","(0) in school","","","",""
"Yes","2009","66 and older","(1a) inadequately completed","5","","",""
"Yes","2009","66 and older","(1b) general elementary school","31","1","1","1"
"Yes","2009","66 and older","(1c) basic vocational qualification","111","1","1","1"
"Yes","2009","66 and older","(2b) intermediate general qualification","2","","",""
"Yes","2009","66 and older","(2a) intermediate vocational","25","","",""
"Yes","2009","66 and older","(2c_gen) general maturity certificate","1","","",""
"Yes","2009","66 and older","(2c_voc) vocational maturity certificate","13","","",""
"Yes","2009","66 and older","(3a) lower tertiary education","26","","",""
"Yes","2009","66 and older","(3b) higher tertiary education","20","","",""
"Yes","2010","16-34 y.","(0) in school","","","",""
"Yes","2010","16-34 y.","(1a) inadequately completed","","","",""
"Yes","2010","16-34 y.","(1b) general elementary school","","","",""
"Yes","2010","16-34 y.","(1c) basic vocational qualification","","","",""
"Yes","2010","16-34 y.","(2b) intermediate general qualification","","","",""
"Yes","2010","16-34 y.","(2a) intermediate vocational","","","",""
"Yes","2010","16-34 y.","(2c_gen) general maturity certificate","","","",""
"Yes","2010","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","16-34 y.","(3a) lower tertiary education","","","",""
"Yes","2010","16-34 y.","(3b) higher tertiary education","","","",""
"Yes","2010","35-65 y.","(0) in school","","","",""
"Yes","2010","35-65 y.","(1a) inadequately completed","","","",""
"Yes","2010","35-65 y.","(1b) general elementary school","","","",""
"Yes","2010","35-65 y.","(1c) basic vocational qualification","","","",""
"Yes","2010","35-65 y.","(2b) intermediate general qualification","","","",""
"Yes","2010","35-65 y.","(2a) intermediate vocational","","","",""
"Yes","2010","35-65 y.","(2c_gen) general maturity certificate","","","",""
"Yes","2010","35-65 y.","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","35-65 y.","(3a) lower tertiary education","","","",""
"Yes","2010","35-65 y.","(3b) higher tertiary education","","","",""
"Yes","2010","66 and older","(0) in school","","","",""
"Yes","2010","66 and older","(1a) inadequately completed","","","",""
"Yes","2010","66 and older","(1b) general elementary school","","","",""
"Yes","2010","66 and older","(1c) basic vocational qualification","","","",""
"Yes","2010","66 and older","(2b) intermediate general qualification","","","",""
"Yes","2010","66 and older","(2a) intermediate vocational","","","",""
"Yes","2010","66 and older","(2c_gen) general maturity certificate","","","",""
"Yes","2010","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","66 and older","(3a) lower tertiary education","","","",""
"Yes","2010","66 and older","(3b) higher tertiary education","","","",""
"Yes","2011","16-34 y.","(0) in school","27","","",""
"Yes","2011","16-34 y.","(1a) inadequately completed","3","","",""
"Yes","2011","16-34 y.","(1b) general elementary school","16","","",""
"Yes","2011","16-34 y.","(1c) basic vocational qualification","16","","",""
"Yes","2011","16-34 y.","(2b) intermediate general qualification","21","","",""
"Yes","2011","16-34 y.","(2a) intermediate vocational","41","1","1","1"
"Yes","2011","16-34 y.","(2c_gen) general maturity certificate","58","1","1","1"
"Yes","2011","16-34 y.","(2c_voc) vocational maturity certificate","32","1","1","1"
"Yes","2011","16-34 y.","(3a) lower tertiary education","7","","",""
"Yes","2011","16-34 y.","(3b) higher tertiary education","19","","",""
"Yes","2011","35-65 y.","(0) in school","","","",""
"Yes","2011","35-65 y.","(1a) inadequately completed","11","","",""
"Yes","2011","35-65 y.","(1b) general elementary school","42","1","1","1"
"Yes","2011","35-65 y.","(1c) basic vocational qualification","153","1","1","1"
"Yes","2011","35-65 y.","(2b) intermediate general qualification","8","","",""
"Yes","2011","35-65 y.","(2a) intermediate vocational","171","1","1","1"
"Yes","2011","35-65 y.","(2c_gen) general maturity certificate","8","","",""
"Yes","2011","35-65 y.","(2c_voc) vocational maturity certificate","50","1","1","1"
"Yes","2011","35-65 y.","(3a) lower tertiary education","49","1","1","1"
"Yes","2011","35-65 y.","(3b) higher tertiary education","70","1","1","1"
"Yes","2011","66 and older","(0) in school","","","",""
"Yes","2011","66 and older","(1a) inadequately completed","6","","",""
"Yes","2011","66 and older","(1b) general elementary school","40","1","1","1"
"Yes","2011","66 and older","(1c) basic vocational qualification","124","1","1","1"
"Yes","2011","66 and older","(2b) intermediate general qualification","7","","",""
"Yes","2011","66 and older","(2a) intermediate vocational","33","1","1","1"
"Yes","2011","66 and older","(2c_gen) general maturity certificate","2","","",""
"Yes","2011","66 and older","(2c_voc) vocational maturity certificate","13","","",""
"Yes","2011","66 and older","(3a) lower tertiary education","26","","",""
"Yes","2011","66 and older","(3b) higher tertiary education","33","1","1","1"
"Yes","2012","16-34 y.","(0) in school","","","",""
"Yes","2012","16-34 y.","(1a) inadequately completed","","","",""
"Yes","2012","16-34 y.","(1b) general elementary school","","","",""
"Yes","2012","16-34 y.","(1c) basic vocational qualification","","","",""
"Yes","2012","16-34 y.","(2b) intermediate general qualification","","","",""
"Yes","2012","16-34 y.","(2a) intermediate vocational","","","",""
"Yes","2012","16-34 y.","(2c_gen) general maturity certificate","","","",""
"Yes","2012","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","16-34 y.","(3a) lower tertiary education","","","",""
"Yes","2012","16-34 y.","(3b) higher tertiary education","","","",""
"Yes","2012","35-65 y.","(0) in school","","","",""
"Yes","2012","35-65 y.","(1a) inadequately completed","","","",""
"Yes","2012","35-65 y.","(1b) general elementary school","","","",""
"Yes","2012","35-65 y.","(1c) basic vocational qualification","","","",""
"Yes","2012","35-65 y.","(2b) intermediate general qualification","","","",""
"Yes","2012","35-65 y.","(2a) intermediate vocational","","","",""
"Yes","2012","35-65 y.","(2c_gen) general maturity certificate","","","",""
"Yes","2012","35-65 y.","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","35-65 y.","(3a) lower tertiary education","","","",""
