"ple0013","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","no migration background","285","1","1","1"
"Yes","2009","lower secondary degree","direct migration background","17","","",""
"Yes","2009","lower secondary degree","indirect migration background","10","","",""
"Yes","2009","secondary school degree","no migration background","210","1","1","1"
"Yes","2009","secondary school degree","direct migration background","7","","",""
"Yes","2009","secondary school degree","indirect migration background","7","","",""
"Yes","2009","college entrance qualification","no migration background","227","1","1","1"
"Yes","2009","college entrance qualification","direct migration background","5","","",""
"Yes","2009","college entrance qualification","indirect migration background","11","","",""
"Yes","2009","Other degree","no migration background","2","","",""
"Yes","2009","Other degree","direct migration background","40","1","1","1"
"Yes","2009","Other degree","indirect migration background","","","",""
"Yes","2009","no degree/no degree yet","no migration background","30","1","1","1"
"Yes","2009","no degree/no degree yet","direct migration background","3","","",""
"Yes","2009","no degree/no degree yet","indirect migration background","2","","",""
"Yes","2010","lower secondary degree","no migration background","","","",""
"Yes","2010","lower secondary degree","direct migration background","","","",""
"Yes","2010","lower secondary degree","indirect migration background","","","",""
"Yes","2010","secondary school degree","no migration background","","","",""
"Yes","2010","secondary school degree","direct migration background","","","",""
"Yes","2010","secondary school degree","indirect migration background","","","",""
"Yes","2010","college entrance qualification","no migration background","","","",""
"Yes","2010","college entrance qualification","direct migration background","","","",""
"Yes","2010","college entrance qualification","indirect migration background","","","",""
"Yes","2010","Other degree","no migration background","","","",""
"Yes","2010","Other degree","direct migration background","","","",""
"Yes","2010","Other degree","indirect migration background","","","",""
"Yes","2010","no degree/no degree yet","no migration background","","","",""
"Yes","2010","no degree/no degree yet","direct migration background","","","",""
"Yes","2010","no degree/no degree yet","indirect migration background","","","",""
"Yes","2011","lower secondary degree","no migration background","334","1","1","1"
"Yes","2011","lower secondary degree","direct migration background","20","","",""
"Yes","2011","lower secondary degree","indirect migration background","10","","",""
"Yes","2011","secondary school degree","no migration background","287","1","1","1"
"Yes","2011","secondary school degree","direct migration background","7","","",""
"Yes","2011","secondary school degree","indirect migration background","11","","",""
"Yes","2011","college entrance qualification","no migration background","285","1","1","1"
"Yes","2011","college entrance qualification","direct migration background","11","","",""
"Yes","2011","college entrance qualification","indirect migration background","19","","",""
"Yes","2011","Other degree","no migration background","7","","",""
"Yes","2011","Other degree","direct migration background","41","1","1","1"
"Yes","2011","Other degree","indirect migration background","1","","",""
"Yes","2011","no degree/no degree yet","no migration background","34","1","1","1"
"Yes","2011","no degree/no degree yet","direct migration background","7","","",""
"Yes","2011","no degree/no degree yet","indirect migration background","6","","",""
"Yes","2012","lower secondary degree","no migration background","","","",""
"Yes","2012","lower secondary degree","direct migration background","","","",""
"Yes","2012","lower secondary degree","indirect migration background","","","",""
"Yes","2012","secondary school degree","no migration background","","","",""
"Yes","2012","secondary school degree","direct migration background","","","",""
"Yes","2012","secondary school degree","indirect migration background","","","",""
"Yes","2012","college entrance qualification","no migration background","","","",""
"Yes","2012","college entrance qualification","direct migration background","","","",""
"Yes","2012","college entrance qualification","indirect migration background","","","",""
"Yes","2012","Other degree","no migration background","","","",""
