"ple0013","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Full Time","no migration background","253","0.0426666140765732","0.0376249298096928","0.0477082983434535"
"Yes","2009","Full Time","direct migration background","14","","",""
"Yes","2009","Full Time","indirect migration background","18","","",""
"Yes","2009","Part Time","no migration background","173","0.0603068273232767","0.0524968262519371","0.0681168283946162"
"Yes","2009","Part Time","direct migration background","17","","",""
"Yes","2009","Part Time","indirect migration background","6","","",""
"Yes","2009","Not Working","no migration background","344","0.0581629971950291","0.0522412816593716","0.0640847127306866"
"Yes","2009","Not Working","direct migration background","43","0.0484114048908374","0.0323382450935608","0.0644845646881141"
"Yes","2009","Not Working","indirect migration background","8","","",""
"No","2009","Full Time","no migration background","5920","0.957333385923427","0.952291701656547","0.962375070190307"
"No","2009","Full Time","direct migration background","517","0.974658771249347","0.961291555342051","0.988025987156643"
"No","2009","Full Time","indirect migration background","292","0.930376801559095","0.9020450342742","0.958708568843989"
"No","2009","Part Time","no migration background","3396","0.939693172676723","0.931883171605384","0.947503173748063"
"No","2009","Part Time","direct migration background","435","0.969630045198994","0.953810136290366","0.985449954107622"
"No","2009","Part Time","indirect migration background","205","0.98483587490844","0.968346755131415","1.00132499468547"
"No","2009","Not Working","no migration background","5657","0.941837002804971","0.935915287269313","0.947758718340628"
"No","2009","Not Working","direct migration background","642","0.951588595109163","0.935515435311886","0.967661754906439"
"No","2009","Not Working","indirect migration background","186","0.952840802309572","0.923011671195732","0.982669933423412"
"Yes","2010","Full Time","no migration background","","","",""
"Yes","2010","Full Time","direct migration background","","","",""
"Yes","2010","Full Time","indirect migration background","","","",""
"Yes","2010","Part Time","no migration background","","","",""
"Yes","2010","Part Time","direct migration background","","","",""
"Yes","2010","Part Time","indirect migration background","","","",""
"Yes","2010","Not Working","no migration background","","","",""
"Yes","2010","Not Working","direct migration background","","","",""
"Yes","2010","Not Working","indirect migration background","","","",""
"No","2010","Full Time","no migration background","","","",""
"No","2010","Full Time","direct migration background","","","",""
"No","2010","Full Time","indirect migration background","","","",""
"No","2010","Part Time","no migration background","","","",""
"No","2010","Part Time","direct migration background","","","",""
"No","2010","Part Time","indirect migration background","","","",""
"No","2010","Not Working","no migration background","","","",""
"No","2010","Not Working","direct migration background","","","",""
"No","2010","Not Working","indirect migration background","","","",""
"Yes","2011","Full Time","no migration background","311","0.0504579906443822","0.0452676456005539","0.0556483356882104"
"Yes","2011","Full Time","direct migration background","11","","",""
"Yes","2011","Full Time","indirect migration background","18","","",""
"Yes","2011","Part Time","no migration background","235","0.0646229272005238","0.057137356939877","0.0721084974611707"
"Yes","2011","Part Time","direct migration background","27","","",""
"Yes","2011","Part Time","indirect migration background","16","","",""
"Yes","2011","Not Working","no migration background","429","0.0615348354423908","0.0559313066485256","0.067138364236256"
"Yes","2011","Not Working","direct migration background","51","0.0537681397571092","0.0386490264164495","0.0688872530977688"
"Yes","2011","Not Working","indirect migration background","18","","",""
"No","2011","Full Time","no migration background","6521","0.949542009355618","0.94435166431179","0.954732354399446"
"No","2011","Full Time","direct migration background","635","0.986306747784205","0.977345032587018","0.995268462981392"
"No","2011","Full Time","indirect migration background","314","0.93994858460674","0.914392593853967","0.965504575359513"
"No","2011","Part Time","no migration background","3909","0.935377072799476","0.927891502538829","0.942862643060123"
"No","2011","Part Time","direct migration background","492","0.949232354081564","0.930346171181514","0.968118536981614"
"No","2011","Part Time","indirect migration background","225","0.922427000451597","0.888654682795176","0.956199318108018"
"No","2011","Not Working","no migration background","6636","0.938465164557609","0.932861635763744","0.944068693351474"
"No","2011","Not Working","direct migration background","804","0.946231860242891","0.931112746902231","0.96135097358355"
"No","2011","Not Working","indirect migration background","208","0.895625240826947","0.85576363622725","0.935486845426645"
"Yes","2012","Full Time","no migration background","","","",""
"Yes","2012","Full Time","direct migration background","","","",""
"Yes","2012","Full Time","indirect migration background","","","",""
"Yes","2012","Part Time","no migration background","","","",""
"Yes","2012","Part Time","direct migration background","","","",""
"Yes","2012","Part Time","indirect migration background","","","",""
"Yes","2012","Not Working","no migration background","","","",""
"Yes","2012","Not Working","direct migration background","","","",""
"Yes","2012","Not Working","indirect migration background","","","",""
"No","2012","Full Time","no migration background","","","",""
"No","2012","Full Time","direct migration background","","","",""
"No","2012","Full Time","indirect migration background","","","",""
"No","2012","Part Time","no migration background","","","",""
"No","2012","Part Time","direct migration background","","","",""
"No","2012","Part Time","indirect migration background","","","",""
"No","2012","Not Working","no migration background","","","",""
"No","2012","Not Working","direct migration background","","","",""
"No","2012","Not Working","indirect migration background","","","",""
"Yes","2013","Full Time","no migration background","328","0.0562925690606778","0.0505142616855253","0.0620708764358303"
"Yes","2013","Full Time","direct migration background","16","","",""
"Yes","2013","Full Time","indirect migration background","27","","",""
"Yes","2013","Part Time","no migration background","248","0.0649445105336382","0.0572282693939175","0.0726607516733589"
"Yes","2013","Part Time","direct migration background","17","","",""
"Yes","2013","Part Time","indirect migration background","12","","",""
