"ple0013","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Not Employed","in school","21","","",""
"Yes","2009","Not Employed","inadequately","8","","",""
"Yes","2009","Not Employed","general elemantary","57","0.0511819846432451","0.0379032932003649","0.0644606760861253"
"Yes","2009","Not Employed","middle vocational","203","0.0559244624190334","0.0483701722841632","0.0634787525539035"
"Yes","2009","Not Employed","vocational + Abi","14","","",""
"Yes","2009","Not Employed","higher vocational","29","","",""
"Yes","2009","Not Employed","higher education","60","0.0613442024761508","0.0472086031577947","0.075479801794507"
"Yes","2009","Employed","in school","5","","",""
"Yes","2009","Employed","inadequately","2","","",""
"Yes","2009","Employed","general elemantary","38","0.0396203927464183","0.025697057794035","0.0535437276988015"
"Yes","2009","Employed","middle vocational","241","0.0478538034099592","0.0422415413526039","0.0534660654673144"
"Yes","2009","Employed","vocational + Abi","40","0.0602652367856002","0.0433349902173813","0.077195483353819"
"Yes","2009","Employed","higher vocational","30","0.0385846664459712","0.0260845640909936","0.0510847688009488"
"Yes","2009","Employed","higher education","116","0.040773528237083","0.0336273066021855","0.0479197498719805"
"No","2009","Not Employed","in school","231","0.908442973114924","0.872835390028361","0.944050556201487"
"No","2009","Not Employed","inadequately","89","0.942633400880216","0.896356614953587","0.988910186806844"
"No","2009","Not Employed","general elemantary","1001","0.948818015356755","0.935539323913875","0.962096706799635"
"No","2009","Not Employed","middle vocational","3351","0.944075537580967","0.936521247446096","0.951629827715837"
"No","2009","Not Employed","vocational + Abi","230","0.948700083618425","0.921019453259988","0.976380713976861"
"No","2009","Not Employed","higher vocational","397","0.931140570360817","0.907095135991515","0.95518600473012"
"No","2009","Not Employed","higher education","1047","0.938655797523849","0.924520198205493","0.952791396842205"
"No","2009","Employed","in school","56","0.872629263113187","0.788966367710413","0.956292158515962"
"No","2009","Employed","inadequately","70","0.950416405344747","0.900273694520594","1.0005591161689"
"No","2009","Employed","general elemantary","716","0.960379607253582","0.946456272301199","0.974302942205965"
"No","2009","Employed","middle vocational","5316","0.952146196590041","0.946533934532686","0.957758458647396"
"No","2009","Employed","vocational + Abi","719","0.9397347632144","0.922804516646181","0.956665009782619"
"No","2009","Employed","higher vocational","882","0.961415333554029","0.948915231199051","0.973915435909006"
"No","2009","Employed","higher education","2826","0.959226471762917","0.95208025012802","0.966372693397815"
"Yes","2010","Not Employed","in school","","","",""
"Yes","2010","Not Employed","inadequately","","","",""
"Yes","2010","Not Employed","general elemantary","","","",""
"Yes","2010","Not Employed","middle vocational","","","",""
"Yes","2010","Not Employed","vocational + Abi","","","",""
"Yes","2010","Not Employed","higher vocational","","","",""
"Yes","2010","Not Employed","higher education","","","",""
"Yes","2010","Employed","in school","","","",""
"Yes","2010","Employed","inadequately","","","",""
