"ple0013","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2009","indirect migration background","West Germany","643","0.954156217696124","0.938366727574834","0.969945707817414","2"
"No","2009","no migration background","West Germany","10720","0.946728272954608","0.942587059765756","0.95086948614346","2"
"No","2009","no migration background","East Germany","4253","0.949816637287408","0.943399177916765","0.956234096658052","2"
"No","2009","indirect migration background","East Germany","40","0.91481129389349","0.829361123621902","1.00026146416508","2"
"No","2009","direct migration background","West Germany","1521","0.964178043314201","0.955048904093375","0.973307182535027","2"
"No","2009","direct migration background","East Germany","73","0.959495470275549","0.915173959426762","1.00381698112434","2"
"Yes","2009","no migration background","West Germany","577","0.0532717270453923","0.0491305138565403","0.0574129402342443","1"
"Yes","2009","no migration background","East Germany","193","0.0501833627125918","0.0437659033419481","0.0566008220832354","1"
"Yes","2009","direct migration background","West Germany","71","0.0358219566857993","0.0266928174649734","0.0449510959066253","1"
"Yes","2009","direct migration background","East Germany","3","","","","1"
"Yes","2009","indirect migration background","West Germany","31","0.0458437823038758","0.0300542921825857","0.0616332724251659","1"
"Yes","2009","indirect migration background","East Germany","1","","","","1"
"No","2010","indirect migration background","West Germany","","","","","2"
"No","2010","no migration background","West Germany","","","","","2"
"No","2010","indirect migration background","East Germany","","","","","2"
"No","2010","no migration background","East Germany","","","","","2"
"No","2010","direct migration background","West Germany","","","","","2"
"No","2010","direct migration background","East Germany","","","","","2"
"Yes","2010","no migration background","West Germany","","","","","1"
"Yes","2010","no migration background","East Germany","","","","","1"
"Yes","2010","direct migration background","West Germany","","","","","1"
"Yes","2010","direct migration background","East Germany","","","","","1"
"Yes","2010","indirect migration background","West Germany","","","","","1"
"Yes","2010","indirect migration background","East Germany","","","","","1"
"No","2011","no migration background","West Germany","12509","0.940837664429813","0.936820343348603","0.944854985511023","2"
"No","2011","indirect migration background","West Germany","705","0.925403889687873","0.90665022400634","0.944157555369406","2"
"No","2011","indirect migration background","East Germany","42","0.87687141027715","0.780867429351627","0.972875391202674","2"
"No","2011","no migration background","East Germany","4557","0.94746784019275","0.941151223065595","0.953784457319905","2"
"No","2011","direct migration background","West Germany","1839","0.959607972820175","0.950813142340194","0.968402803300156","2"
"No","2011","direct migration background","East Germany","92","0.985427446416761","0.961330253977692","1.00952463885583","2"
"Yes","2011","no migration background","West Germany","740","0.0591623355701869","0.055145014488977","0.0631796566513967","1"
"Yes","2011","no migration background","East Germany","235","0.05253215980725","0.0462155426800947","0.0588487769344053","1"
"Yes","2011","direct migration background","West Germany","86","0.0403920271798251","0.0315971966998444","0.0491868576598058","1"
"Yes","2011","direct migration background","East Germany","3","","","","1"
"Yes","2011","indirect migration background","West Germany","49","0.074596110312127","0.0558424446305942","0.0933497759936599","1"
"Yes","2011","indirect migration background","East Germany","3","","","","1"
"No","2012","no migration background","West Germany","","","","","2"
"No","2012","no migration background","East Germany","","","","","2"
"No","2012","indirect migration background","West Germany","","","","","2"
"No","2012","indirect migration background","East Germany","","","","","2"
"No","2012","direct migration background","West Germany","","","","","2"
"No","2012","direct migration background","East Germany","","","","","2"
"Yes","2012","no migration background","West Germany","","","","","1"
"Yes","2012","no migration background","East Germany","","","","","1"
"Yes","2012","direct migration background","West Germany","","","","","1"
"Yes","2012","direct migration background","East Germany","","","","","1"
"Yes","2012","indirect migration background","West Germany","","","","","1"
"Yes","2012","indirect migration background","East Germany","","","","","1"
"No","2013","no migration background","West Germany","11412","0.933917221135619","0.929509509988626","0.938324932282611","2"
"No","2013","no migration background","East Germany","4139","0.947146184055826","0.940501859528947","0.953790508582704","2"
"No","2013","direct migration background","West Germany","1539","0.945039449175282","0.933924375776481","0.956154522574082","2"
"No","2013","direct migration background","East Germany","79","0.988778724278003","0.96583963059989","1.01171781795612","2"
"No","2013","indirect migration background","West Germany","622","0.919490807909359","0.898904272614698","0.940077343204019","2"
