"ple0013","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","(0) in school","Male","21","","",""
"Yes","2009","(0) in school","Female","5","","",""
"Yes","2009","(1a) inadequately completed","Male","3","","",""
"Yes","2009","(1a) inadequately completed","Female","6","","",""
"Yes","2009","(1b) general elementary school","Male","17","","",""
"Yes","2009","(1b) general elementary school","Female","57","1","1","1"
"Yes","2009","(1c) basic vocational qualification","Male","126","1","1","1"
"Yes","2009","(1c) basic vocational qualification","Female","127","1","1","1"
"Yes","2009","(2b) intermediate general qualification","Male","9","","",""
"Yes","2009","(2b) intermediate general qualification","Female","13","","",""
"Yes","2009","(2a) intermediate vocational","Male","74","1","1","1"
"Yes","2009","(2a) intermediate vocational","Female","111","1","1","1"
"Yes","2009","(2c_gen) general maturity certificate","Male","25","","",""
"Yes","2009","(2c_gen) general maturity certificate","Female","19","","",""
"Yes","2009","(2c_voc) vocational maturity certificate","Male","30","1","1","1"
"Yes","2009","(2c_voc) vocational maturity certificate","Female","40","1","1","1"
"Yes","2009","(3a) lower tertiary education","Male","34","1","1","1"
"Yes","2009","(3a) lower tertiary education","Female","40","1","1","1"
"Yes","2009","(3b) higher tertiary education","Male","40","1","1","1"
"Yes","2009","(3b) higher tertiary education","Female","62","1","1","1"
"Yes","2010","(0) in school","Male","","","",""
"Yes","2010","(0) in school","Female","","","",""
"Yes","2010","(1a) inadequately completed","Male","","","",""
"Yes","2010","(1a) inadequately completed","Female","","","",""
"Yes","2010","(1b) general elementary school","Male","","","",""
"Yes","2010","(1b) general elementary school","Female","","","",""
"Yes","2010","(1c) basic vocational qualification","Male","","","",""
"Yes","2010","(1c) basic vocational qualification","Female","","","",""
"Yes","2010","(2b) intermediate general qualification","Male","","","",""
"Yes","2010","(2b) intermediate general qualification","Female","","","",""
"Yes","2010","(2a) intermediate vocational","Male","","","",""
"Yes","2010","(2a) intermediate vocational","Female","","","",""
"Yes","2010","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2010","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2010","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2010","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2010","(3a) lower tertiary education","Male","","","",""
"Yes","2010","(3a) lower tertiary education","Female","","","",""
"Yes","2010","(3b) higher tertiary education","Male","","","",""
"Yes","2010","(3b) higher tertiary education","Female","","","",""
"Yes","2011","(0) in school","Male","15","","",""
"Yes","2011","(0) in school","Female","12","","",""
"Yes","2011","(1a) inadequately completed","Male","7","","",""
"Yes","2011","(1a) inadequately completed","Female","13","","",""
"Yes","2011","(1b) general elementary school","Male","27","","",""
"Yes","2011","(1b) general elementary school","Female","71","1","1","1"
"Yes","2011","(1c) basic vocational qualification","Male","151","1","1","1"
"Yes","2011","(1c) basic vocational qualification","Female","142","1","1","1"
"Yes","2011","(2b) intermediate general qualification","Male","10","","",""
"Yes","2011","(2b) intermediate general qualification","Female","26","","",""
"Yes","2011","(2a) intermediate vocational","Male","88","1","1","1"
"Yes","2011","(2a) intermediate vocational","Female","157","1","1","1"
"Yes","2011","(2c_gen) general maturity certificate","Male","30","1","1","1"
"Yes","2011","(2c_gen) general maturity certificate","Female","38","1","1","1"
"Yes","2011","(2c_voc) vocational maturity certificate","Male","44","1","1","1"
"Yes","2011","(2c_voc) vocational maturity certificate","Female","51","1","1","1"
"Yes","2011","(3a) lower tertiary education","Male","41","1","1","1"
"Yes","2011","(3a) lower tertiary education","Female","41","1","1","1"
"Yes","2011","(3b) higher tertiary education","Male","56","1","1","1"
"Yes","2011","(3b) higher tertiary education","Female","66","1","1","1"
"Yes","2012","(0) in school","Male","","","",""
"Yes","2012","(0) in school","Female","","","",""
"Yes","2012","(1a) inadequately completed","Male","","","",""
"Yes","2012","(1a) inadequately completed","Female","","","",""
"Yes","2012","(1b) general elementary school","Male","","","",""
"Yes","2012","(1b) general elementary school","Female","","","",""
"Yes","2012","(1c) basic vocational qualification","Male","","","",""
"Yes","2012","(1c) basic vocational qualification","Female","","","",""
"Yes","2012","(2b) intermediate general qualification","Male","","","",""
"Yes","2012","(2b) intermediate general qualification","Female","","","",""
"Yes","2012","(2a) intermediate vocational","Male","","","",""
"Yes","2012","(2a) intermediate vocational","Female","","","",""
"Yes","2012","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2012","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2012","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2012","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2012","(3a) lower tertiary education","Male","","","",""
"Yes","2012","(3a) lower tertiary education","Female","","","",""
"Yes","2012","(3b) higher tertiary education","Male","","","",""
"Yes","2012","(3b) higher tertiary education","Female","","","",""
"Yes","2013","(0) in school","Male","8","","",""
"Yes","2013","(0) in school","Female","10","","",""
"Yes","2013","(1a) inadequately completed","Male","5","","",""
"Yes","2013","(1a) inadequately completed","Female","13","","",""
"Yes","2013","(1b) general elementary school","Male","23","","",""
"Yes","2013","(1b) general elementary school","Female","83","1","1","1"
"Yes","2013","(1c) basic vocational qualification","Male","146","1","1","1"
"Yes","2013","(1c) basic vocational qualification","Female","151","1","1","1"
"Yes","2013","(2b) intermediate general qualification","Male","6","","",""
"Yes","2013","(2b) intermediate general qualification","Female","20","","",""
"Yes","2013","(2a) intermediate vocational","Male","99","1","1","1"
"Yes","2013","(2a) intermediate vocational","Female","167","1","1","1"
"Yes","2013","(2c_gen) general maturity certificate","Male","26","","",""
"Yes","2013","(2c_gen) general maturity certificate","Female","33","1","1","1"
"Yes","2013","(2c_voc) vocational maturity certificate","Male","38","1","1","1"
"Yes","2013","(2c_voc) vocational maturity certificate","Female","36","1","1","1"
"Yes","2013","(3a) lower tertiary education","Male","48","1","1","1"
"Yes","2013","(3a) lower tertiary education","Female","54","1","1","1"
"Yes","2013","(3b) higher tertiary education","Male","68","1","1","1"
"Yes","2013","(3b) higher tertiary education","Female","74","1","1","1"
"Yes","2014","(0) in school","Male","","","",""
"Yes","2014","(0) in school","Female","","","",""
"Yes","2014","(1a) inadequately completed","Male","","","",""
"Yes","2014","(1a) inadequately completed","Female","","","",""
"Yes","2014","(1b) general elementary school","Male","","","",""
"Yes","2014","(1b) general elementary school","Female","","","",""
"Yes","2014","(1c) basic vocational qualification","Male","","","",""
"Yes","2014","(1c) basic vocational qualification","Female","","","",""
"Yes","2014","(2b) intermediate general qualification","Male","","","",""
"Yes","2014","(2b) intermediate general qualification","Female","","","",""
"Yes","2014","(2a) intermediate vocational","Male","","","",""
"Yes","2014","(2a) intermediate vocational","Female","","","",""
"Yes","2014","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2014","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2014","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2014","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2014","(3a) lower tertiary education","Male","","","",""
"Yes","2014","(3a) lower tertiary education","Female","","","",""
"Yes","2014","(3b) higher tertiary education","Male","","","",""
"Yes","2014","(3b) higher tertiary education","Female","","","",""
"Yes","2015","(0) in school","Male","10","","",""
"Yes","2015","(0) in school","Female","16","","",""
"Yes","2015","(1a) inadequately completed","Male","14","","",""
"Yes","2015","(1a) inadequately completed","Female","28","","",""
"Yes","2015","(1b) general elementary school","Male","35","1","1","1"
