"ple0013","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2009","higher education","3873","0.953844119189405","0.947381234200316","0.960307004178493","2"
"No","2009","higher vocational","1279","0.951535344568203","0.940028796359827","0.963041892776579","2"
"No","2009","vocational + Abi","949","0.942052553654075","0.927593084767174","0.956512022540976","2"
"No","2009","middle vocational","8667","0.949055649662928","0.944540637534404","0.953570661791453","2"
"No","2009","general elemantary","1717","0.953591838574393","0.943905772247327","0.96327790490146","2"
"No","2009","inadequately","159","0.946146753015077","0.912114559891049","0.980178946139106","2"
"No","2009","in school","287","0.901573429304716","0.86857200748737","0.934574851122062","2"
"Yes","2009","in school","26","","","","1"
"Yes","2009","inadequately","10","","","","1"
"Yes","2009","general elemantary","95","0.0464081614256065","0.0367220950985402","0.0560942277526727","1"
"Yes","2009","middle vocational","444","0.0509443503370716","0.046429338208547","0.0554593624655963","1"
"Yes","2009","vocational + Abi","54","0.0579474463459247","0.0434879774590237","0.0724069152328257","1"
"Yes","2009","higher vocational","59","0.048464655431797","0.0369581072234207","0.0599712036401734","1"
"Yes","2009","higher education","176","0.0461558808105951","0.0396929958215066","0.0526187657996836","1"
"No","2010","higher education","","","","","2"
"No","2010","vocational + Abi","","","","","2"
"No","2010","higher vocational","","","","","2"
"No","2010","general elemantary","","","","","2"
"No","2010","middle vocational","","","","","2"
"No","2010","in school","","","","","2"
"No","2010","inadequately","","","","","2"
"Yes","2010","in school","","","","","1"
"Yes","2010","inadequately","","","","","1"
"Yes","2010","general elemantary","","","","","1"
"Yes","2010","middle vocational","","","","","1"
"Yes","2010","vocational + Abi","","","","","1"
"Yes","2010","higher vocational","","","","","1"
"Yes","2010","higher education","","","","","1"
"No","2011","higher education","4396","0.950692474264934","0.944435767399351","0.956949181130518","2"
"No","2011","vocational + Abi","1136","0.943020805937307","0.929954472730903","0.956087139143711","2"
"No","2011","higher vocational","1392","0.947424377062595","0.935952608447168","0.958896145678022","2"
"No","2011","general elemantary","2056","0.941561277898153","0.931732509937743","0.951390045858562","2"
"No","2011","middle vocational","9969","0.94323689790513","0.938821127526166","0.947652668284095","2"
"No","2011","inadequately","216","0.911070906100325","0.874522524285497","0.947619287915152","2"
"No","2011","in school","286","0.897189687121202","0.863543457916621","0.930835916325783","2"
"Yes","2011","general elemantary","132","0.0584387221018473","0.0486099541414378","0.0682674900622569","1"
"Yes","2011","middle vocational","579","0.0567631020948696","0.0523473317159048","0.0611788724738344","1"
"Yes","2011","in school","27","","","","1"
"Yes","2011","inadequately","17","","","","1"
"Yes","2011","higher education","204","0.0493075257350657","0.0430508188694819","0.0555642326006495","1"
"Yes","2011","vocational + Abi","73","0.0569791940626927","0.0439128608562887","0.0700455272690967","1"
"Yes","2011","higher vocational","62","0.0525756229374051","0.0411038543219783","0.0640473915528319","1"
"No","2012","vocational + Abi","","","","","2"
"No","2012","higher education","","","","","2"
"No","2012","higher vocational","","","","","2"
"No","2012","general elemantary","","","","","2"
"No","2012","middle vocational","","","","","2"
"No","2012","in school","","","","","2"
"No","2012","inadequately","","","","","2"
"Yes","2012","higher vocational","","","","","1"
"Yes","2012","higher education","","","","","1"
"Yes","2012","inadequately","","","","","1"
"Yes","2012","in school","","","","","1"
"Yes","2012","general elemantary","","","","","1"
"Yes","2012","middle vocational","","","","","1"
"Yes","2012","vocational + Abi","","","","","1"
"No","2013","vocational + Abi","1049","0.947685590544798","0.934545355398896","0.9608258256907","2"
