"ple0013","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Yes","2009","16-34 y.","lower secondary degree","27","","",""
"Yes","2009","16-34 y.","secondary school degree","50","1","1","1"
"Yes","2009","16-34 y.","college entrance qualification","71","1","1","1"
"Yes","2009","16-34 y.","Other degree","3","","",""
"Yes","2009","16-34 y.","no degree/no degree yet","27","","",""
"Yes","2009","35-65 y.","lower secondary degree","146","1","1","1"
"Yes","2009","35-65 y.","secondary school degree","137","1","1","1"
"Yes","2009","35-65 y.","college entrance qualification","136","1","1","1"
"Yes","2009","35-65 y.","Other degree","24","","",""
"Yes","2009","35-65 y.","no degree/no degree yet","3","","",""
"Yes","2009","66 and older","lower secondary degree","139","1","1","1"
"Yes","2009","66 and older","secondary school degree","37","1","1","1"
"Yes","2009","66 and older","college entrance qualification","36","1","1","1"
"Yes","2009","66 and older","Other degree","15","","",""
"Yes","2009","66 and older","no degree/no degree yet","5","","",""
"Yes","2010","16-34 y.","lower secondary degree","","","",""
"Yes","2010","16-34 y.","secondary school degree","","","",""
"Yes","2010","16-34 y.","college entrance qualification","","","",""
"Yes","2010","16-34 y.","Other degree","","","",""
"Yes","2010","16-34 y.","no degree/no degree yet","","","",""
"Yes","2010","35-65 y.","lower secondary degree","","","",""
"Yes","2010","35-65 y.","secondary school degree","","","",""
"Yes","2010","35-65 y.","college entrance qualification","","","",""
"Yes","2010","35-65 y.","Other degree","","","",""
"Yes","2010","35-65 y.","no degree/no degree yet","","","",""
"Yes","2010","66 and older","lower secondary degree","","","",""
"Yes","2010","66 and older","secondary school degree","","","",""
"Yes","2010","66 and older","college entrance qualification","","","",""
"Yes","2010","66 and older","Other degree","","","",""
"Yes","2010","66 and older","no degree/no degree yet","","","",""
"Yes","2011","16-34 y.","lower secondary degree","30","1","1","1"
"Yes","2011","16-34 y.","secondary school degree","63","1","1","1"
"Yes","2011","16-34 y.","college entrance qualification","112","1","1","1"
"Yes","2011","16-34 y.","Other degree","2","","",""
"Yes","2011","16-34 y.","no degree/no degree yet","30","1","1","1"
"Yes","2011","35-65 y.","lower secondary degree","175","1","1","1"
"Yes","2011","35-65 y.","secondary school degree","188","1","1","1"
"Yes","2011","35-65 y.","college entrance qualification","154","1","1","1"
"Yes","2011","35-65 y.","Other degree","33","1","1","1"
"Yes","2011","35-65 y.","no degree/no degree yet","11","","",""
"Yes","2011","66 and older","lower secondary degree","159","1","1","1"
"Yes","2011","66 and older","secondary school degree","54","1","1","1"
"Yes","2011","66 and older","college entrance qualification","49","1","1","1"
"Yes","2011","66 and older","Other degree","14","","",""
"Yes","2011","66 and older","no degree/no degree yet","6","","",""
"Yes","2012","16-34 y.","lower secondary degree","","","",""
"Yes","2012","16-34 y.","secondary school degree","","","",""
"Yes","2012","16-34 y.","college entrance qualification","","","",""
"Yes","2012","16-34 y.","Other degree","","","",""
"Yes","2012","16-34 y.","no degree/no degree yet","","","",""
"Yes","2012","35-65 y.","lower secondary degree","","","",""
"Yes","2012","35-65 y.","secondary school degree","","","",""
"Yes","2012","35-65 y.","college entrance qualification","","","",""
"Yes","2012","35-65 y.","Other degree","","","",""
"Yes","2012","35-65 y.","no degree/no degree yet","","","",""
"Yes","2012","66 and older","lower secondary degree","","","",""
"Yes","2012","66 and older","secondary school degree","","","",""
"Yes","2012","66 and older","college entrance qualification","","","",""
"Yes","2012","66 and older","Other degree","","","",""
"Yes","2012","66 and older","no degree/no degree yet","","","",""
"Yes","2013","16-34 y.","lower secondary degree","34","1","1","1"
"Yes","2013","16-34 y.","secondary school degree","57","1","1","1"
"Yes","2013","16-34 y.","college entrance qualification","99","1","1","1"
"Yes","2013","16-34 y.","Other degree","1","","",""
"Yes","2013","16-34 y.","no degree/no degree yet","22","","",""
"Yes","2013","35-65 y.","lower secondary degree","193","1","1","1"
"Yes","2013","35-65 y.","secondary school degree","204","1","1","1"
"Yes","2013","35-65 y.","college entrance qualification","166","1","1","1"
"Yes","2013","35-65 y.","Other degree","28","","",""
"Yes","2013","35-65 y.","no degree/no degree yet","12","","",""
"Yes","2013","66 and older","lower secondary degree","156","1","1","1"
"Yes","2013","66 and older","secondary school degree","61","1","1","1"
"Yes","2013","66 and older","college entrance qualification","53","1","1","1"
"Yes","2013","66 and older","Other degree","13","","",""
"Yes","2013","66 and older","no degree/no degree yet","2","","",""
"Yes","2014","16-34 y.","lower secondary degree","","","",""
"Yes","2014","16-34 y.","secondary school degree","","","",""
"Yes","2014","16-34 y.","college entrance qualification","","","",""
