"ple0013","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2009","no migration background","in school","24","","",""
"Yes","2009","no migration background","inadequately","7","","",""
"Yes","2009","no migration background","general elemantary","70","0.0533830175208647","0.0411772642043567","0.0655887708373726"
"Yes","2009","no migration background","middle vocational","400","0.0507498851449925","0.0460010160768796","0.0554987542131055"
"Yes","2009","no migration background","vocational + Abi","44","0.0605155484394184","0.0439513722099088","0.0770797246689281"
"Yes","2009","no migration background","higher vocational","53","0.0476325644016121","0.0356416851038592","0.0596234436993651"
"Yes","2009","no migration background","higher education","162","0.0497448676682478","0.0427078784124672","0.0567818569240284"
"Yes","2009","direct migration background","in school","","","",""
"Yes","2009","direct migration background","inadequately","3","","",""
"Yes","2009","direct migration background","general elemantary","19","","",""
"Yes","2009","direct migration background","middle vocational","26","","",""
"Yes","2009","direct migration background","vocational + Abi","8","","",""
"Yes","2009","direct migration background","higher vocational","5","","",""
"Yes","2009","direct migration background","higher education","12","","",""
"Yes","2009","indirect migration background","in school","2","","",""
"Yes","2009","indirect migration background","inadequately","","","",""
"Yes","2009","indirect migration background","general elemantary","6","","",""
"Yes","2009","indirect migration background","middle vocational","18","","",""
"Yes","2009","indirect migration background","vocational + Abi","2","","",""
"Yes","2009","indirect migration background","higher vocational","1","","",""
"Yes","2009","indirect migration background","higher education","2","","",""
"No","2009","no migration background","in school","229","0.87133470729759","0.830076434481522","0.912592980113659"
"No","2009","no migration background","inadequately","61","0.893605183365733","0.820318222976664","0.966892143754802"
"No","2009","no migration background","general elemantary","1233","0.946616982479135","0.934411229162627","0.958822735795643"
"No","2009","no migration background","middle vocational","7806","0.949250114855007","0.944501245786894","0.95399898392312"
"No","2009","no migration background","vocational + Abi","752","0.939484451560581","0.922920275331072","0.956048627790091"
"No","2009","no migration background","higher vocational","1159","0.952367435598388","0.940376556300635","0.964358314896141"
"No","2009","no migration background","higher education","3505","0.950255132331752","0.943218143075972","0.957292121587533"
"No","2009","direct migration background","in school","11","","",""
"No","2009","direct migration background","inadequately","89","0.980641015477542","0.952486342290463","1.00879568866462"
"No","2009","direct migration background","general elemantary","344","0.967424678936607","0.949162705281707","0.985686652591507"
"No","2009","direct migration background","middle vocational","591","0.9592354244626","0.943632371749516","0.974838477175685"
"No","2009","direct migration background","vocational + Abi","162","0.947847208932761","0.914425275036084","0.981269142829438"
"No","2009","direct migration background","higher vocational","91","0.95273098388738","0.910280181798695","0.995181785976065"
"No","2009","direct migration background","higher education","282","0.973234691079858","0.954785839097541","0.991683543062175"
"No","2009","indirect migration background","in school","47","0.977112868848984","0.935241409592245","1.01898432810572"
"No","2009","indirect migration background","inadequately","9","","",""
"No","2009","indirect migration background","general elemantary","140","0.975597124074162","0.950569050399784","1.00062519774854"
"No","2009","indirect migration background","middle vocational","270","0.924234152267569","0.893672305294844","0.954795999240293"
"No","2009","indirect migration background","vocational + Abi","35","0.96432959330074","0.904569122977308","1.02409006362417"
"No","2009","indirect migration background","higher vocational","29","","",""
"No","2009","indirect migration background","higher education","86","0.980857626364338","0.952228530290449","1.00948672243823"
"Yes","2010","no migration background","in school","","","",""
"Yes","2010","no migration background","inadequately","","","",""
"Yes","2010","no migration background","general elemantary","","","",""
"Yes","2010","no migration background","middle vocational","","","",""
"Yes","2010","no migration background","vocational + Abi","","","",""
"Yes","2010","no migration background","higher vocational","","","",""
"Yes","2010","no migration background","higher education","","","",""
"Yes","2010","direct migration background","in school","","","",""
"Yes","2010","direct migration background","inadequately","","","",""
"Yes","2010","direct migration background","general elemantary","","","",""
"Yes","2010","direct migration background","middle vocational","","","",""
"Yes","2010","direct migration background","vocational + Abi","","","",""
"Yes","2010","direct migration background","higher vocational","","","",""
"Yes","2010","direct migration background","higher education","","","",""
"Yes","2010","indirect migration background","in school","","","",""
"Yes","2010","indirect migration background","inadequately","","","",""
"Yes","2010","indirect migration background","general elemantary","","","",""
"Yes","2010","indirect migration background","middle vocational","","","",""
"Yes","2010","indirect migration background","vocational + Abi","","","",""
"Yes","2010","indirect migration background","higher vocational","","","",""
"Yes","2010","indirect migration background","higher education","","","",""
"No","2010","no migration background","in school","","","",""
"No","2010","no migration background","inadequately","","","",""
"No","2010","no migration background","general elemantary","","","",""
"No","2010","no migration background","middle vocational","","","",""
"No","2010","no migration background","vocational + Abi","","","",""
"No","2010","no migration background","higher vocational","","","",""
"No","2010","no migration background","higher education","","","",""
"No","2010","direct migration background","in school","","","",""
"No","2010","direct migration background","inadequately","","","",""
"No","2010","direct migration background","general elemantary","","","",""
"No","2010","direct migration background","middle vocational","","","",""
"No","2010","direct migration background","vocational + Abi","","","",""
"No","2010","direct migration background","higher vocational","","","",""
"No","2010","direct migration background","higher education","","","",""
"No","2010","indirect migration background","in school","","","",""
"No","2010","indirect migration background","inadequately","","","",""
"No","2010","indirect migration background","general elemantary","","","",""
"No","2010","indirect migration background","middle vocational","","","",""
"No","2010","indirect migration background","vocational + Abi","","","",""
"No","2010","indirect migration background","higher vocational","","","",""
"No","2010","indirect migration background","higher education","","","",""
"Yes","2011","no migration background","in school","23","","",""
"Yes","2011","no migration background","inadequately","12","","",""
"Yes","2011","no migration background","general elemantary","104","0.0603055456584753","0.0487737826391449","0.0718373086778057"
"Yes","2011","no migration background","middle vocational","515","0.0572550098983199","0.0525675779350089","0.0619424418616309"
"Yes","2011","no migration background","vocational + Abi","61","0.0566056360731759","0.0419263108337868","0.071284961312565"
"Yes","2011","no migration background","higher vocational","54","0.0495270868573901","0.0378402935607907","0.0612138801539895"
"Yes","2011","no migration background","higher education","190","0.0538486235217736","0.04695627708115","0.0607409699623971"
"Yes","2011","direct migration background","in school","","","",""
"Yes","2011","direct migration background","inadequately","3","","",""
"Yes","2011","direct migration background","general elemantary","20","","",""
"Yes","2011","direct migration background","middle vocational","39","0.0472576680319335","0.0322896838510119","0.062225652212855"
"Yes","2011","direct migration background","vocational + Abi","10","","",""
"Yes","2011","direct migration background","higher vocational","6","","",""
"Yes","2011","direct migration background","higher education","10","","",""
"Yes","2011","indirect migration background","in school","4","","",""
"Yes","2011","indirect migration background","inadequately","2","","",""
"Yes","2011","indirect migration background","general elemantary","8","","",""
"Yes","2011","indirect migration background","middle vocational","25","","",""
"Yes","2011","indirect migration background","vocational + Abi","2","","",""
"Yes","2011","indirect migration background","higher vocational","2","","",""
"Yes","2011","indirect migration background","higher education","4","","",""
"No","2011","no migration background","in school","219","0.881455582837603","0.840728699432356","0.922182466242851"
"No","2011","no migration background","inadequately","108","0.855337229599674","0.792400445948679","0.918274013250669"
"No","2011","no migration background","general elemantary","1533","0.939694454341525","0.928162691322194","0.951226217360855"
"No","2011","no migration background","middle vocational","8922","0.94274499010168","0.938057558138369","0.947432422064991"
"No","2011","no migration background","vocational + Abi","891","0.943394363926824","0.928715038687435","0.958073689166213"
"No","2011","no migration background","higher vocational","1270","0.95047291314261","0.938786119846011","0.962159706439209"
"No","2011","no migration background","higher education","3930","0.946151376478226","0.939259030037603","0.95304372291885"
"No","2011","direct migration background","in school","13","","",""
"No","2011","direct migration background","inadequately","95","0.973900068450015","0.942334622049279","1.00546551485075"
"No","2011","direct migration background","general elemantary","399","0.959720320381234","0.940894390860465","0.978546249902004"
"No","2011","direct migration background","middle vocational","733","0.952742331968066","0.937774347787145","0.967710316148988"
"No","2011","direct migration background","vocational + Abi","201","0.947299207332947","0.91715117141293","0.977447243252965"
"No","2011","direct migration background","higher vocational","88","0.9293924666223","0.877606837322449","0.981178095922152"
"No","2011","direct migration background","higher education","361","0.981833580675729","0.968243728135348","0.995423433216111"
"No","2011","indirect migration background","in school","54","0.922230522305291","0.853308433481807","0.991152611128776"
"No","2011","indirect migration background","inadequately","13","","",""
"No","2011","indirect migration background","general elemantary","124","0.892365515362953","0.839495646549019","0.945235384176888"
"No","2011","indirect migration background","middle vocational","314","0.9310344181056","0.904060296416307","0.958008539794894"
"No","2011","indirect migration background","vocational + Abi","44","0.906510502212311","0.822383191027121","0.9906378133975"
"No","2011","indirect migration background","higher vocational","34","0.884378315261255","0.779921800843858","0.988834829678652"
"No","2011","indirect migration background","higher education","105","0.957120622427416","0.919089213457985","0.995152031396848"
"Yes","2012","no migration background","in school","","","",""
"Yes","2012","no migration background","inadequately","","","",""
"Yes","2012","no migration background","general elemantary","","","",""
"Yes","2012","no migration background","middle vocational","","","",""
"Yes","2012","no migration background","vocational + Abi","","","",""
"Yes","2012","no migration background","higher vocational","","","",""
"Yes","2012","no migration background","higher education","","","",""
"Yes","2012","direct migration background","in school","","","",""
"Yes","2012","direct migration background","inadequately","","","",""
"Yes","2012","direct migration background","general elemantary","","","",""
"Yes","2012","direct migration background","middle vocational","","","",""
"Yes","2012","direct migration background","vocational + Abi","","","",""
"Yes","2012","direct migration background","higher vocational","","","",""
"Yes","2012","direct migration background","higher education","","","",""
"Yes","2012","indirect migration background","in school","","","",""
"Yes","2012","indirect migration background","inadequately","","","",""
"Yes","2012","indirect migration background","general elemantary","","","",""
"Yes","2012","indirect migration background","middle vocational","","","",""
"Yes","2012","indirect migration background","vocational + Abi","","","",""
"Yes","2012","indirect migration background","higher vocational","","","",""
"Yes","2012","indirect migration background","higher education","","","",""
"No","2012","no migration background","in school","","","",""
"No","2012","no migration background","inadequately","","","",""
"No","2012","no migration background","general elemantary","","","",""
"No","2012","no migration background","middle vocational","","","",""
"No","2012","no migration background","vocational + Abi","","","",""
"No","2012","no migration background","higher vocational","","","",""
"No","2012","no migration background","higher education","","","",""
"No","2012","direct migration background","in school","","","",""
"No","2012","direct migration background","inadequately","","","",""
"No","2012","direct migration background","general elemantary","","","",""
"No","2012","direct migration background","middle vocational","","","",""
"No","2012","direct migration background","vocational + Abi","","","",""
"No","2012","direct migration background","higher vocational","","","",""
"No","2012","direct migration background","higher education","","","",""
"No","2012","indirect migration background","in school","","","",""
"No","2012","indirect migration background","inadequately","","","",""
"No","2012","indirect migration background","general elemantary","","","",""
"No","2012","indirect migration background","middle vocational","","","",""
"No","2012","indirect migration background","vocational + Abi","","","",""
"No","2012","indirect migration background","higher vocational","","","",""
"No","2012","indirect migration background","higher education","","","",""
"Yes","2013","no migration background","in school","15","","",""
"Yes","2013","no migration background","inadequately","10","","",""
"Yes","2013","no migration background","general elemantary","106","0.0768756345846509","0.062980741590033","0.0907705275792688"
"Yes","2013","no migration background","middle vocational","538","0.0634779693986413","0.0582995076037214","0.0686564311935611"
"Yes","2013","no migration background","vocational + Abi","47","0.0487240244666585","0.0344753936163922","0.0629726553169247"
"Yes","2013","no migration background","higher vocational","57","0.0464360049998295","0.0346810380763908","0.0581909719232683"
"Yes","2013","no migration background","higher education","220","0.0653642754990065","0.057713217796972","0.073015333201041"
"Yes","2013","direct migration background","in school","","","",""
"Yes","2013","direct migration background","inadequately","5","","",""
"Yes","2013","direct migration background","general elemantary","18","","",""
"Yes","2013","direct migration background","middle vocational","28","","",""
"Yes","2013","direct migration background","vocational + Abi","7","","",""
"Yes","2013","direct migration background","higher vocational","2","","",""
"Yes","2013","direct migration background","higher education","15","","",""
"Yes","2013","indirect migration background","in school","3","","",""
"Yes","2013","indirect migration background","inadequately","1","","",""
"Yes","2013","indirect migration background","general elemantary","7","","",""
"Yes","2013","indirect migration background","middle vocational","27","","",""
"Yes","2013","indirect migration background","vocational + Abi","","","",""
"Yes","2013","indirect migration background","higher vocational","2","","",""
"Yes","2013","indirect migration background","higher education","9","","",""
"No","2013","no migration background","in school","181","0.92312636005814","0.885832326761955","0.960420393354325"
"No","2013","no migration background","inadequately","105","0.94404856561958","0.902043472528216","0.986053658710943"
"No","2013","no migration background","general elemantary","1306","0.923124365415349","0.909229472420731","0.937019258409967"
"No","2013","no migration background","middle vocational","7978","0.936522030601359","0.931343568806439","0.941700492396279"
"No","2013","no migration background","vocational + Abi","830","0.951275975533342","0.937027344683075","0.965524606383608"
"No","2013","no migration background","higher vocational","1174","0.953563995000171","0.941809028076732","0.965318961923609"
"No","2013","no migration background","higher education","3789","0.934635724500993","0.926984666798959","0.942286782203028"
"No","2013","direct migration background","in school","11","","",""
"No","2013","direct migration background","inadequately","62","0.904473216711904","0.834089674144361","0.974856759279447"
"No","2013","direct migration background","general elemantary","319","0.93210709504015","0.90524881218972","0.958965377890579"
"No","2013","direct migration background","middle vocational","608","0.950377402885298","0.933499933489723","0.967254872280873"
"No","2013","direct migration background","vocational + Abi","182","0.920296949791122","0.881685273970076","0.958908625612168"
"No","2013","direct migration background","higher vocational","70","0.967926858189256","0.927228783403221","1.00862493297529"
"No","2013","direct migration background","higher education","340","0.968863100880434","0.950795403728985","0.986930798031883"
"No","2013","indirect migration background","in school","50","0.985601399868609","0.953529776178347","1.01767302355887"
"No","2013","indirect migration background","inadequately","12","","",""
"No","2013","indirect migration background","general elemantary","110","0.929470370619584","0.883076699871495","0.975864041367673"
"No","2013","indirect migration background","middle vocational","280","0.913214752056246","0.881723616832432","0.944705887280061"
"No","2013","indirect migration background","vocational + Abi","37","1","1","1"
"No","2013","indirect migration background","higher vocational","28","","",""
"No","2013","indirect migration background","higher education","105","0.869429714894813","0.807580373248675","0.931279056540951"
"Yes","2014","no migration background","in school","","","",""
"Yes","2014","no migration background","inadequately","","","",""
"Yes","2014","no migration background","general elemantary","","","",""
"Yes","2014","no migration background","middle vocational","","","",""
"Yes","2014","no migration background","vocational + Abi","","","",""
"Yes","2014","no migration background","higher vocational","","","",""
"Yes","2014","no migration background","higher education","","","",""
"Yes","2014","direct migration background","in school","","","",""
"Yes","2014","direct migration background","inadequately","","","",""
"Yes","2014","direct migration background","general elemantary","","","",""
"Yes","2014","direct migration background","middle vocational","","","",""
"Yes","2014","direct migration background","vocational + Abi","","","",""
"Yes","2014","direct migration background","higher vocational","","","",""
"Yes","2014","direct migration background","higher education","","","",""
"Yes","2014","indirect migration background","in school","","","",""
"Yes","2014","indirect migration background","inadequately","","","",""
"Yes","2014","indirect migration background","general elemantary","","","",""
"Yes","2014","indirect migration background","middle vocational","","","",""
"Yes","2014","indirect migration background","vocational + Abi","","","",""
"Yes","2014","indirect migration background","higher vocational","","","",""
"Yes","2014","indirect migration background","higher education","","","",""
"No","2014","no migration background","in school","","","",""
"No","2014","no migration background","inadequately","","","",""
"No","2014","no migration background","general elemantary","","","",""
"No","2014","no migration background","middle vocational","","","",""
"No","2014","no migration background","vocational + Abi","","","",""
"No","2014","no migration background","higher vocational","","","",""
"No","2014","no migration background","higher education","","","",""
"No","2014","direct migration background","in school","","","",""
"No","2014","direct migration background","inadequately","","","",""
"No","2014","direct migration background","general elemantary","","","",""
"No","2014","direct migration background","middle vocational","","","",""
"No","2014","direct migration background","vocational + Abi","","","",""
"No","2014","direct migration background","higher vocational","","","",""
"No","2014","direct migration background","higher education","","","",""
"No","2014","indirect migration background","in school","","","",""
"No","2014","indirect migration background","inadequately","","","",""
"No","2014","indirect migration background","general elemantary","","","",""
"No","2014","indirect migration background","middle vocational","","","",""
"No","2014","indirect migration background","vocational + Abi","","","",""
"No","2014","indirect migration background","higher vocational","","","",""
"No","2014","indirect migration background","higher education","","","",""
"Yes","2015","no migration background","in school","16","","",""
"Yes","2015","no migration background","inadequately","26","","",""
"Yes","2015","no migration background","general elemantary","120","0.0765817525399108","0.0635921150971112","0.0895713899827104"
"Yes","2015","no migration background","middle vocational","626","0.0647003013435146","0.0597691572441615","0.0696314454428677"
"Yes","2015","no migration background","vocational + Abi","84","0.0662680912687652","0.052355365059993","0.0801808174775374"
"Yes","2015","no migration background","higher vocational","72","0.0414069426588655","0.0308802341753928","0.0519336511423383"
"Yes","2015","no migration background","higher education","261","0.0646338216153354","0.0575750474364286","0.0716925957942422"
