"ple0013","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2009","1-pers.-HH","no migration background","2492","0.937099667314451","0.927850758804038","0.946348575824864","2"
"No","2009","(Married) couple without C. ","direct migration background","496","0.954574161421439","0.936795498439881","0.972352824402997","2"
"No","2009","Couple + C. LE 16 ","direct migration background","330","0.971939002602315","0.95433299854145","0.98954500666318","2"
"No","2009","1-pers.-HH","indirect migration background","69","0.904564426119512","0.839360208761279","0.969768643477746","2"
"No","2009","(Married) couple without C. ","no migration background","5749","0.945435744091484","0.939707787090874","0.951163701092093","2"
"No","2009","Couple + C. GT 16 ","no migration background","2590","0.967738132674947","0.961057187076828","0.974419078273066","2"
"No","2009","Couple + C. GT 16 ","direct migration background","305","0.982803663539698","0.96844730934973","0.997160017729667","2"
"No","2009","Couple + C. LE and GT 16","no migration background","859","0.939571195672993","0.924089652702122","0.955052738643864","2"
"No","2009","Couple + C. LE and GT 16","direct migration background","161","0.966414111539061","0.939251921036272","0.993576302041851","2"
"No","2009","Couple + C. LE and GT 16","indirect migration background","100","0.949397745633707","0.906861707572869","0.991933783694545","2"
"No","2009","Couple + C. LE 16 ","indirect migration background","163","0.972462783011679","0.947717639990277","0.997207926033081","2"
"No","2009","1-pers.-HH","direct migration background","175","0.954203871369691","0.924080942436446","0.984326800302937","2"
"No","2009","Couple + C. GT 16 ","indirect migration background","156","0.959287045391627","0.928948490582142","0.989625600201112","2"
"No","2009","(Married) couple without C. ","indirect migration background","109","0.956691605340059","0.919326372763954","0.994056837916163","2"
"No","2009","Single parent ","no migration background","793","0.952218760925857","0.937733622124015","0.966703899727699","2"
"No","2009","Single parent ","direct migration background","84","0.953596479713949","0.909893517822918","0.997299441604981","2"
"No","2009","Single parent ","indirect migration background","70","0.972468512052302","0.935187744348985","1.00974927975562","2"
"No","2009","Couple + C. LE 16 ","no migration background","2237","0.953518887812479","0.945014407747659","0.962023367877299","2"
"Yes","2009","1-pers.-HH","no migration background","155","0.0629003326855492","0.0536514241751364","0.072149241195962","1"
"Yes","2009","1-pers.-HH","direct migration background","10","","","","1"
"Yes","2009","1-pers.-HH","indirect migration background","9","","","","1"
"Yes","2009","(Married) couple without C. ","no migration background","291","0.0545642559085165","0.048836298907907","0.060292212909126","1"
"Yes","2009","(Married) couple without C. ","direct migration background","31","0.0454258385785609","0.0276471755970028","0.063204501560119","1"
"Yes","2009","(Married) couple without C. ","indirect migration background","5","","","","1"
"Yes","2009","Single parent ","no migration background","40","0.0477812390741433","0.0332961002723014","0.0622663778759852","1"
"Yes","2009","Single parent ","direct migration background","5","","","","1"
"Yes","2009","Single parent ","indirect migration background","4","","","","1"
"Yes","2009","Couple + C. LE 16 ","no migration background","117","0.0464811121875213","0.0379766321227014","0.0549855922523412","1"
"Yes","2009","Couple + C. LE 16 ","direct migration background","8","","","","1"
"Yes","2009","Couple + C. LE 16 ","indirect migration background","5","","","","1"
"Yes","2009","Couple + C. GT 16 ","no migration background","97","0.0322618673250527","0.0255809217269335","0.0389428129231719","1"
"Yes","2009","Couple + C. GT 16 ","direct migration background","10","","","","1"
"Yes","2009","Couple + C. GT 16 ","indirect migration background","7","","","","1"
"Yes","2009","Couple + C. LE and GT 16","no migration background","51","0.0604288043270073","0.0449472613561362","0.0759103472978784","1"
"Yes","2009","Couple + C. LE and GT 16","direct migration background","8","","","","1"
"Yes","2009","Couple + C. LE and GT 16","indirect migration background","2","","","","1"
"No","2010","Couple + C. LE 16 ","direct migration background","","","","","2"
"No","2010","Couple + C. LE 16 ","indirect migration background","","","","","2"
"No","2010","Couple + C. GT 16 ","no migration background","","","","","2"
"No","2010","Couple + C. GT 16 ","direct migration background","","","","","2"
"No","2010","1-pers.-HH","no migration background","","","","","2"
"No","2010","1-pers.-HH","indirect migration background","","","","","2"
"No","2010","(Married) couple without C. ","no migration background","","","","","2"
"No","2010","(Married) couple without C. ","direct migration background","","","","","2"
"No","2010","Couple + C. GT 16 ","indirect migration background","","","","","2"
"No","2010","Couple + C. LE and GT 16","no migration background","","","","","2"
"No","2010","Couple + C. LE and GT 16","direct migration background","","","","","2"
"No","2010","Couple + C. LE and GT 16","indirect migration background","","","","","2"
"No","2010","1-pers.-HH","direct migration background","","","","","2"
"No","2010","(Married) couple without C. ","indirect migration background","","","","","2"
"No","2010","Single parent ","no migration background","","","","","2"
"No","2010","Single parent ","direct migration background","","","","","2"
"No","2010","Single parent ","indirect migration background","","","","","2"
"No","2010","Couple + C. LE 16 ","no migration background","","","","","2"
"Yes","2010","1-pers.-HH","no migration background","","","","","1"
"Yes","2010","1-pers.-HH","direct migration background","","","","","1"
"Yes","2010","1-pers.-HH","indirect migration background","","","","","1"
"Yes","2010","(Married) couple without C. ","no migration background","","","","","1"
"Yes","2010","(Married) couple without C. ","direct migration background","","","","","1"
"Yes","2010","(Married) couple without C. ","indirect migration background","","","","","1"
"Yes","2010","Single parent ","no migration background","","","","","1"
"Yes","2010","Single parent ","direct migration background","","","","","1"
"Yes","2010","Single parent ","indirect migration background","","","","","1"
"Yes","2010","Couple + C. LE 16 ","no migration background","","","","","1"
"Yes","2010","Couple + C. LE 16 ","direct migration background","","","","","1"
"Yes","2010","Couple + C. LE 16 ","indirect migration background","","","","","1"
"Yes","2010","Couple + C. GT 16 ","no migration background","","","","","1"
"Yes","2010","Couple + C. GT 16 ","direct migration background","","","","","1"
"Yes","2010","Couple + C. GT 16 ","indirect migration background","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","no migration background","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","direct migration background","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","indirect migration background","","","","","1"
"No","2011","1-pers.-HH","no migration background","3030","0.935151288659493","0.926666609040439","0.943635968278546","2"
"No","2011","Couple + C. LE 16 ","direct migration background","369","0.97885526584323","0.964352108904071","0.993358422782389","2"
"No","2011","Couple + C. LE 16 ","indirect migration background","193","0.982329613759844","0.963837675919898","1.00082155159979","2"
"No","2011","Couple + C. GT 16 ","no migration background","2579","0.948646600707451","0.940341210913208","0.956951990501693","2"
"No","2011","Couple + C. GT 16 ","direct migration background","301","0.962712103498277","0.941855162234134","0.98356904476242","2"
"No","2011","Couple + C. GT 16 ","indirect migration background","157","0.920767864484937","0.880284575059159","0.961251153910715","2"
"No","2011","Couple + C. LE and GT 16","no migration background","879","0.947129135069048","0.932700511233531","0.961557758904565","2"
"No","2011","Couple + C. LE and GT 16","direct migration background","206","0.985233957658889","0.96892071920519","1.00154719611259","2"
"No","2011","Couple + C. LE and GT 16","indirect migration background","96","0.972321011148654","0.940167527237529","1.00447449505978","2"
"No","2011","1-pers.-HH","direct migration background","237","0.958116299551343","0.933184485032601","0.983048114070086","2"
"No","2011","1-pers.-HH","indirect migration background","77","0.844164075620611","0.769230913446167","0.919097237795054","2"
"No","2011","(Married) couple without C. ","no migration background","6978","0.944023685021774","0.938773376810258","0.94927399323329","2"
"No","2011","(Married) couple without C. ","direct migration background","609","0.9468493898032","0.929576891157363","0.964121888449038","2"
"No","2011","(Married) couple without C. ","indirect migration background","123","0.938588972747784","0.897786810794814","0.979391134700753","2"
"No","2011","Single parent ","no migration background","904","0.948951085382606","0.935013725757348","0.962888445007864","2"
"No","2011","Single parent ","direct migration background","126","0.949079395135354","0.911576985373854","0.986581804896854","2"
"No","2011","Single parent ","indirect migration background","77","0.931027925410361","0.876837015114723","0.985218835705998","2"
"No","2011","Couple + C. LE 16 ","no migration background","2411","0.941644955412104","0.932535921221027","0.950753989603181","2"
"Yes","2011","1-pers.-HH","no migration background","206","0.0648487113405073","0.0563640317214536","0.0733333909595609","1"
"Yes","2011","1-pers.-HH","direct migration background","11","","","","1"
"Yes","2011","1-pers.-HH","indirect migration background","13","","","","1"
"Yes","2011","(Married) couple without C. ","no migration background","386","0.0559763149782263","0.0507260067667102","0.0612266231897425","1"
"Yes","2011","(Married) couple without C. ","direct migration background","39","0.0531506101967998","0.0358781115509621","0.0704231088426375","1"
"Yes","2011","(Married) couple without C. ","indirect migration background","10","","","","1"
"Yes","2011","Single parent ","no migration background","54","0.0510489146173941","0.0371115549921361","0.0649862742426522","1"
"Yes","2011","Single parent ","direct migration background","6","","","","1"
"Yes","2011","Single parent ","indirect migration background","7","","","","1"
"Yes","2011","Couple + C. LE 16 ","no migration background","133","0.0583550445878962","0.049246010396819","0.0674640787789734","1"
"Yes","2011","Couple + C. LE 16 ","direct migration background","9","","","","1"
"Yes","2011","Couple + C. LE 16 ","indirect migration background","2","","","","1"
"Yes","2011","Couple + C. GT 16 ","no migration background","134","0.0513533992925494","0.0430480094983067","0.059658789086792","1"
"Yes","2011","Couple + C. GT 16 ","direct migration background","16","","","","1"
"Yes","2011","Couple + C. GT 16 ","indirect migration background","14","","","","1"
