"ple0013","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","Male","138","1","1","1"
"Yes","2009","lower secondary degree","Female","174","1","1","1"
"Yes","2009","secondary school degree","Male","86","1","1","1"
"Yes","2009","secondary school degree","Female","138","1","1","1"
"Yes","2009","college entrance qualification","Male","112","1","1","1"
"Yes","2009","college entrance qualification","Female","131","1","1","1"
"Yes","2009","Other degree","Male","18","","",""
"Yes","2009","Other degree","Female","24","","",""
"Yes","2009","no degree/no degree yet","Male","24","","",""
"Yes","2009","no degree/no degree yet","Female","11","","",""
"Yes","2010","lower secondary degree","Male","","","",""
"Yes","2010","lower secondary degree","Female","","","",""
"Yes","2010","secondary school degree","Male","","","",""
"Yes","2010","secondary school degree","Female","","","",""
"Yes","2010","college entrance qualification","Male","","","",""
"Yes","2010","college entrance qualification","Female","","","",""
"Yes","2010","Other degree","Male","","","",""
"Yes","2010","Other degree","Female","","","",""
"Yes","2010","no degree/no degree yet","Male","","","",""
"Yes","2010","no degree/no degree yet","Female","","","",""
"Yes","2011","lower secondary degree","Male","167","1","1","1"
"Yes","2011","lower secondary degree","Female","197","1","1","1"
"Yes","2011","secondary school degree","Male","110","1","1","1"
"Yes","2011","secondary school degree","Female","195","1","1","1"
"Yes","2011","college entrance qualification","Male","149","1","1","1"
"Yes","2011","college entrance qualification","Female","166","1","1","1"
"Yes","2011","Other degree","Male","18","","",""
"Yes","2011","Other degree","Female","31","1","1","1"
"Yes","2011","no degree/no degree yet","Male","22","","",""
"Yes","2011","no degree/no degree yet","Female","25","","",""
"Yes","2012","lower secondary degree","Male","","","",""
"Yes","2012","lower secondary degree","Female","","","",""
"Yes","2012","secondary school degree","Male","","","",""
"Yes","2012","secondary school degree","Female","","","",""
"Yes","2012","college entrance qualification","Male","","","",""
"Yes","2012","college entrance qualification","Female","","","",""
"Yes","2012","Other degree","Male","","","",""
"Yes","2012","Other degree","Female","","","",""
"Yes","2012","no degree/no degree yet","Male","","","",""
"Yes","2012","no degree/no degree yet","Female","","","",""
"Yes","2013","lower secondary degree","Male","164","1","1","1"
"Yes","2013","lower secondary degree","Female","219","1","1","1"
"Yes","2013","secondary school degree","Male","120","1","1","1"
"Yes","2013","secondary school degree","Female","202","1","1","1"
"Yes","2013","college entrance qualification","Male","153","1","1","1"
"Yes","2013","college entrance qualification","Female","165","1","1","1"
"Yes","2013","Other degree","Male","14","","",""
"Yes","2013","Other degree","Female","28","","",""
"Yes","2013","no degree/no degree yet","Male","13","","",""
"Yes","2013","no degree/no degree yet","Female","23","","",""
"Yes","2014","lower secondary degree","Male","","","",""
"Yes","2014","lower secondary degree","Female","","","",""
"Yes","2014","secondary school degree","Male","","","",""
"Yes","2014","secondary school degree","Female","","","",""
"Yes","2014","college entrance qualification","Male","","","",""
"Yes","2014","college entrance qualification","Female","","","",""
"Yes","2014","Other degree","Male","","","",""
"Yes","2014","Other degree","Female","","","",""
"Yes","2014","no degree/no degree yet","Male","","","",""
"Yes","2014","no degree/no degree yet","Female","","","",""
"Yes","2015","lower secondary degree","Male","182","1","1","1"
"Yes","2015","lower secondary degree","Female","241","1","1","1"
"Yes","2015","secondary school degree","Male","154","1","1","1"
"Yes","2015","secondary school degree","Female","280","1","1","1"
"Yes","2015","college entrance qualification","Male","204","1","1","1"
"Yes","2015","college entrance qualification","Female","244","1","1","1"
"Yes","2015","Other degree","Male","47","1","1","1"
"Yes","2015","Other degree","Female","63","1","1","1"
"Yes","2015","no degree/no degree yet","Male","25","","",""
"Yes","2015","no degree/no degree yet","Female","44","1","1","1"
"Yes","2016","lower secondary degree","Male","","","",""
"Yes","2016","lower secondary degree","Female","","","",""
"Yes","2016","secondary school degree","Male","","","",""
"Yes","2016","secondary school degree","Female","","","",""
"Yes","2016","college entrance qualification","Male","","","",""
"Yes","2016","college entrance qualification","Female","","","",""
"Yes","2016","Other degree","Male","","","",""
"Yes","2016","Other degree","Female","","","",""
"Yes","2016","no degree/no degree yet","Male","","","",""
"Yes","2016","no degree/no degree yet","Female","","","",""
"Yes","2017","lower secondary degree","Male","212","1","1","1"
"Yes","2017","lower secondary degree","Female","250","1","1","1"
"Yes","2017","secondary school degree","Male","170","1","1","1"
