"ple0013","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2009","1-pers.-HH","(0) in school","","","",""
"Yes","2009","1-pers.-HH","(1a) inadequately completed","3","","",""
"Yes","2009","1-pers.-HH","(1b) general elementary school","16","","",""
"Yes","2009","1-pers.-HH","(1c) basic vocational qualification","57","1","1","1"
"Yes","2009","1-pers.-HH","(2b) intermediate general qualification","3","","",""
"Yes","2009","1-pers.-HH","(2a) intermediate vocational","29","","",""
"Yes","2009","1-pers.-HH","(2c_gen) general maturity certificate","14","","",""
"Yes","2009","1-pers.-HH","(2c_voc) vocational maturity certificate","18","","",""
"Yes","2009","1-pers.-HH","(3a) lower tertiary education","10","","",""
"Yes","2009","1-pers.-HH","(3b) higher tertiary education","20","","",""
"Yes","2009","(Married) couple without C. ","(0) in school","","","",""
"Yes","2009","(Married) couple without C. ","(1a) inadequately completed","4","","",""
"Yes","2009","(Married) couple without C. ","(1b) general elementary school","24","","",""
"Yes","2009","(Married) couple without C. ","(1c) basic vocational qualification","121","1","1","1"
"Yes","2009","(Married) couple without C. ","(2b) intermediate general qualification","6","","",""
"Yes","2009","(Married) couple without C. ","(2a) intermediate vocational","68","1","1","1"
"Yes","2009","(Married) couple without C. ","(2c_gen) general maturity certificate","11","","",""
"Yes","2009","(Married) couple without C. ","(2c_voc) vocational maturity certificate","25","","",""
"Yes","2009","(Married) couple without C. ","(3a) lower tertiary education","33","1","1","1"
"Yes","2009","(Married) couple without C. ","(3b) higher tertiary education","34","1","1","1"
"Yes","2009","Single parent ","(0) in school","6","","",""
"Yes","2009","Single parent ","(1a) inadequately completed","1","","",""
"Yes","2009","Single parent ","(1b) general elementary school","6","","",""
"Yes","2009","Single parent ","(1c) basic vocational qualification","10","","",""
"Yes","2009","Single parent ","(2b) intermediate general qualification","4","","",""
"Yes","2009","Single parent ","(2a) intermediate vocational","13","","",""
"Yes","2009","Single parent ","(2c_gen) general maturity certificate","1","","",""
"Yes","2009","Single parent ","(2c_voc) vocational maturity certificate","2","","",""
"Yes","2009","Single parent ","(3a) lower tertiary education","","","",""
"Yes","2009","Single parent ","(3b) higher tertiary education","6","","",""
"Yes","2009","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","2009","Couple + C. LE 16 ","(1a) inadequately completed","","","",""
"Yes","2009","Couple + C. LE 16 ","(1b) general elementary school","8","","",""
"Yes","2009","Couple + C. LE 16 ","(1c) basic vocational qualification","27","","",""
"Yes","2009","Couple + C. LE 16 ","(2b) intermediate general qualification","3","","",""
"Yes","2009","Couple + C. LE 16 ","(2a) intermediate vocational","38","1","1","1"
"Yes","2009","Couple + C. LE 16 ","(2c_gen) general maturity certificate","1","","",""
"Yes","2009","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","12","","",""
"Yes","2009","Couple + C. LE 16 ","(3a) lower tertiary education","17","","",""
"Yes","2009","Couple + C. LE 16 ","(3b) higher tertiary education","23","","",""
"Yes","2009","Couple + C. GT 16 ","(0) in school","9","","",""
"Yes","2009","Couple + C. GT 16 ","(1a) inadequately completed","1","","",""
"Yes","2009","Couple + C. GT 16 ","(1b) general elementary school","10","","",""
"Yes","2009","Couple + C. GT 16 ","(1c) basic vocational qualification","25","","",""
"Yes","2009","Couple + C. GT 16 ","(2b) intermediate general qualification","6","","",""
"Yes","2009","Couple + C. GT 16 ","(2a) intermediate vocational","23","","",""
"Yes","2009","Couple + C. GT 16 ","(2c_gen) general maturity certificate","13","","",""
"Yes","2009","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","4","","",""
"Yes","2009","Couple + C. GT 16 ","(3a) lower tertiary education","6","","",""
"Yes","2009","Couple + C. GT 16 ","(3b) higher tertiary education","10","","",""
"Yes","2009","Couple + C. LE and GT 16","(0) in school","10","","",""
"Yes","2009","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"Yes","2009","Couple + C. LE and GT 16","(1b) general elementary school","1","","",""
"Yes","2009","Couple + C. LE and GT 16","(1c) basic vocational qualification","8","","",""
"Yes","2009","Couple + C. LE and GT 16","(2b) intermediate general qualification","","","",""
"Yes","2009","Couple + C. LE and GT 16","(2a) intermediate vocational","10","","",""
"Yes","2009","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","4","","",""
"Yes","2009","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","7","","",""
"Yes","2009","Couple + C. LE and GT 16","(3a) lower tertiary education","8","","",""
"Yes","2009","Couple + C. LE and GT 16","(3b) higher tertiary education","9","","",""
"Yes","2010","1-pers.-HH","(0) in school","","","",""
"Yes","2010","1-pers.-HH","(1a) inadequately completed","","","",""
"Yes","2010","1-pers.-HH","(1b) general elementary school","","","",""
"Yes","2010","1-pers.-HH","(1c) basic vocational qualification","","","",""
"Yes","2010","1-pers.-HH","(2b) intermediate general qualification","","","",""
"Yes","2010","1-pers.-HH","(2a) intermediate vocational","","","",""
"Yes","2010","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"Yes","2010","1-pers.-HH","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","1-pers.-HH","(3a) lower tertiary education","","","",""
"Yes","2010","1-pers.-HH","(3b) higher tertiary education","","","",""
"Yes","2010","(Married) couple without C. ","(0) in school","","","",""
"Yes","2010","(Married) couple without C. ","(1a) inadequately completed","","","",""
"Yes","2010","(Married) couple without C. ","(1b) general elementary school","","","",""
"Yes","2010","(Married) couple without C. ","(1c) basic vocational qualification","","","",""
"Yes","2010","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"Yes","2010","(Married) couple without C. ","(2a) intermediate vocational","","","",""
"Yes","2010","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"Yes","2010","(Married) couple without C. ","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"Yes","2010","(Married) couple without C. ","(3b) higher tertiary education","","","",""
"Yes","2010","Single parent ","(0) in school","","","",""
"Yes","2010","Single parent ","(1a) inadequately completed","","","",""
"Yes","2010","Single parent ","(1b) general elementary school","","","",""
"Yes","2010","Single parent ","(1c) basic vocational qualification","","","",""
"Yes","2010","Single parent ","(2b) intermediate general qualification","","","",""
"Yes","2010","Single parent ","(2a) intermediate vocational","","","",""
"Yes","2010","Single parent ","(2c_gen) general maturity certificate","","","",""
"Yes","2010","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","Single parent ","(3a) lower tertiary education","","","",""
"Yes","2010","Single parent ","(3b) higher tertiary education","","","",""
"Yes","2010","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","2010","Couple + C. LE 16 ","(1a) inadequately completed","","","",""
"Yes","2010","Couple + C. LE 16 ","(1b) general elementary school","","","",""
"Yes","2010","Couple + C. LE 16 ","(1c) basic vocational qualification","","","",""
"Yes","2010","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"Yes","2010","Couple + C. LE 16 ","(2a) intermediate vocational","","","",""
"Yes","2010","Couple + C. LE 16 ","(2c_gen) general maturity certificate","","","",""
"Yes","2010","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","Couple + C. LE 16 ","(3a) lower tertiary education","","","",""
"Yes","2010","Couple + C. LE 16 ","(3b) higher tertiary education","","","",""
"Yes","2010","Couple + C. GT 16 ","(0) in school","","","",""
"Yes","2010","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"Yes","2010","Couple + C. GT 16 ","(1b) general elementary school","","","",""
"Yes","2010","Couple + C. GT 16 ","(1c) basic vocational qualification","","","",""
"Yes","2010","Couple + C. GT 16 ","(2b) intermediate general qualification","","","",""
"Yes","2010","Couple + C. GT 16 ","(2a) intermediate vocational","","","",""
"Yes","2010","Couple + C. GT 16 ","(2c_gen) general maturity certificate","","","",""
"Yes","2010","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"Yes","2010","Couple + C. GT 16 ","(3b) higher tertiary education","","","",""
"Yes","2010","Couple + C. LE and GT 16","(0) in school","","","",""
"Yes","2010","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"Yes","2010","Couple + C. LE and GT 16","(1b) general elementary school","","","",""
"Yes","2010","Couple + C. LE and GT 16","(1c) basic vocational qualification","","","",""
"Yes","2010","Couple + C. LE and GT 16","(2b) intermediate general qualification","","","",""
"Yes","2010","Couple + C. LE and GT 16","(2a) intermediate vocational","","","",""
"Yes","2010","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"Yes","2010","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"Yes","2010","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"Yes","2011","1-pers.-HH","(0) in school","","","",""
"Yes","2011","1-pers.-HH","(1a) inadequately completed","7","","",""
"Yes","2011","1-pers.-HH","(1b) general elementary school","27","","",""
"Yes","2011","1-pers.-HH","(1c) basic vocational qualification","65","1","1","1"
"Yes","2011","1-pers.-HH","(2b) intermediate general qualification","6","","",""
"Yes","2011","1-pers.-HH","(2a) intermediate vocational","36","1","1","1"
"Yes","2011","1-pers.-HH","(2c_gen) general maturity certificate","17","","",""
"Yes","2011","1-pers.-HH","(2c_voc) vocational maturity certificate","14","","",""
"Yes","2011","1-pers.-HH","(3a) lower tertiary education","16","","",""
"Yes","2011","1-pers.-HH","(3b) higher tertiary education","35","1","1","1"
"Yes","2011","(Married) couple without C. ","(0) in school","","","",""
"Yes","2011","(Married) couple without C. ","(1a) inadequately completed","5","","",""
"Yes","2011","(Married) couple without C. ","(1b) general elementary school","33","1","1","1"
"Yes","2011","(Married) couple without C. ","(1c) basic vocational qualification","145","1","1","1"
"Yes","2011","(Married) couple without C. ","(2b) intermediate general qualification","10","","",""
"Yes","2011","(Married) couple without C. ","(2a) intermediate vocational","98","1","1","1"
"Yes","2011","(Married) couple without C. ","(2c_gen) general maturity certificate","19","","",""
"Yes","2011","(Married) couple without C. ","(2c_voc) vocational maturity certificate","36","1","1","1"
"Yes","2011","(Married) couple without C. ","(3a) lower tertiary education","39","1","1","1"
"Yes","2011","(Married) couple without C. ","(3b) higher tertiary education","47","1","1","1"
"Yes","2011","Single parent ","(0) in school","5","","",""
"Yes","2011","Single parent ","(1a) inadequately completed","3","","",""
"Yes","2011","Single parent ","(1b) general elementary school","9","","",""
"Yes","2011","Single parent ","(1c) basic vocational qualification","9","","",""
"Yes","2011","Single parent ","(2b) intermediate general qualification","5","","",""
"Yes","2011","Single parent ","(2a) intermediate vocational","17","","",""
"Yes","2011","Single parent ","(2c_gen) general maturity certificate","2","","",""
"Yes","2011","Single parent ","(2c_voc) vocational maturity certificate","6","","",""
"Yes","2011","Single parent ","(3a) lower tertiary education","","","",""
"Yes","2011","Single parent ","(3b) higher tertiary education","4","","",""
"Yes","2011","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","2011","Couple + C. LE 16 ","(1a) inadequately completed","1","","",""
"Yes","2011","Couple + C. LE 16 ","(1b) general elementary school","2","","",""
"Yes","2011","Couple + C. LE 16 ","(1c) basic vocational qualification","28","","",""
"Yes","2011","Couple + C. LE 16 ","(2b) intermediate general qualification","1","","",""
"Yes","2011","Couple + C. LE 16 ","(2a) intermediate vocational","47","1","1","1"
"Yes","2011","Couple + C. LE 16 ","(2c_gen) general maturity certificate","4","","",""
"Yes","2011","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","22","","",""
"Yes","2011","Couple + C. LE 16 ","(3a) lower tertiary education","16","","",""
"Yes","2011","Couple + C. LE 16 ","(3b) higher tertiary education","23","","",""
"Yes","2011","Couple + C. GT 16 ","(0) in school","15","","",""
"Yes","2011","Couple + C. GT 16 ","(1a) inadequately completed","2","","",""
"Yes","2011","Couple + C. GT 16 ","(1b) general elementary school","18","","",""
"Yes","2011","Couple + C. GT 16 ","(1c) basic vocational qualification","30","1","1","1"
"Yes","2011","Couple + C. GT 16 ","(2b) intermediate general qualification","8","","",""
"Yes","2011","Couple + C. GT 16 ","(2a) intermediate vocational","32","1","1","1"
"Yes","2011","Couple + C. GT 16 ","(2c_gen) general maturity certificate","19","","",""
"Yes","2011","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","11","","",""
"Yes","2011","Couple + C. GT 16 ","(3a) lower tertiary education","8","","",""
"Yes","2011","Couple + C. GT 16 ","(3b) higher tertiary education","12","","",""
"Yes","2011","Couple + C. LE and GT 16","(0) in school","6","","",""
"Yes","2011","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"Yes","2011","Couple + C. LE and GT 16","(1b) general elementary school","3","","",""
"Yes","2011","Couple + C. LE and GT 16","(1c) basic vocational qualification","12","","",""
"Yes","2011","Couple + C. LE and GT 16","(2b) intermediate general qualification","5","","",""
"Yes","2011","Couple + C. LE and GT 16","(2a) intermediate vocational","10","","",""
"Yes","2011","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","7","","",""
"Yes","2011","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","3","","",""
"Yes","2011","Couple + C. LE and GT 16","(3a) lower tertiary education","3","","",""
"Yes","2011","Couple + C. LE and GT 16","(3b) higher tertiary education","1","","",""
"Yes","2012","1-pers.-HH","(0) in school","","","",""
"Yes","2012","1-pers.-HH","(1a) inadequately completed","","","",""
"Yes","2012","1-pers.-HH","(1b) general elementary school","","","",""
"Yes","2012","1-pers.-HH","(1c) basic vocational qualification","","","",""
"Yes","2012","1-pers.-HH","(2b) intermediate general qualification","","","",""
"Yes","2012","1-pers.-HH","(2a) intermediate vocational","","","",""
"Yes","2012","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"Yes","2012","1-pers.-HH","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","1-pers.-HH","(3a) lower tertiary education","","","",""
"Yes","2012","1-pers.-HH","(3b) higher tertiary education","","","",""
"Yes","2012","(Married) couple without C. ","(0) in school","","","",""
"Yes","2012","(Married) couple without C. ","(1a) inadequately completed","","","",""
"Yes","2012","(Married) couple without C. ","(1b) general elementary school","","","",""
"Yes","2012","(Married) couple without C. ","(1c) basic vocational qualification","","","",""
"Yes","2012","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"Yes","2012","(Married) couple without C. ","(2a) intermediate vocational","","","",""
"Yes","2012","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"Yes","2012","(Married) couple without C. ","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"Yes","2012","(Married) couple without C. ","(3b) higher tertiary education","","","",""
"Yes","2012","Single parent ","(0) in school","","","",""
"Yes","2012","Single parent ","(1a) inadequately completed","","","",""
"Yes","2012","Single parent ","(1b) general elementary school","","","",""
"Yes","2012","Single parent ","(1c) basic vocational qualification","","","",""
"Yes","2012","Single parent ","(2b) intermediate general qualification","","","",""
"Yes","2012","Single parent ","(2a) intermediate vocational","","","",""
"Yes","2012","Single parent ","(2c_gen) general maturity certificate","","","",""
"Yes","2012","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","Single parent ","(3a) lower tertiary education","","","",""
"Yes","2012","Single parent ","(3b) higher tertiary education","","","",""
"Yes","2012","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","2012","Couple + C. LE 16 ","(1a) inadequately completed","","","",""
"Yes","2012","Couple + C. LE 16 ","(1b) general elementary school","","","",""
"Yes","2012","Couple + C. LE 16 ","(1c) basic vocational qualification","","","",""
"Yes","2012","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"Yes","2012","Couple + C. LE 16 ","(2a) intermediate vocational","","","",""
"Yes","2012","Couple + C. LE 16 ","(2c_gen) general maturity certificate","","","",""
"Yes","2012","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","Couple + C. LE 16 ","(3a) lower tertiary education","","","",""
"Yes","2012","Couple + C. LE 16 ","(3b) higher tertiary education","","","",""
"Yes","2012","Couple + C. GT 16 ","(0) in school","","","",""
"Yes","2012","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"Yes","2012","Couple + C. GT 16 ","(1b) general elementary school","","","",""
"Yes","2012","Couple + C. GT 16 ","(1c) basic vocational qualification","","","",""
"Yes","2012","Couple + C. GT 16 ","(2b) intermediate general qualification","","","",""
"Yes","2012","Couple + C. GT 16 ","(2a) intermediate vocational","","","",""
"Yes","2012","Couple + C. GT 16 ","(2c_gen) general maturity certificate","","","",""
"Yes","2012","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"Yes","2012","Couple + C. GT 16 ","(3b) higher tertiary education","","","",""
"Yes","2012","Couple + C. LE and GT 16","(0) in school","","","",""
"Yes","2012","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"Yes","2012","Couple + C. LE and GT 16","(1b) general elementary school","","","",""
"Yes","2012","Couple + C. LE and GT 16","(1c) basic vocational qualification","","","",""
"Yes","2012","Couple + C. LE and GT 16","(2b) intermediate general qualification","","","",""
"Yes","2012","Couple + C. LE and GT 16","(2a) intermediate vocational","","","",""
"Yes","2012","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"Yes","2012","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"Yes","2012","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"Yes","2013","1-pers.-HH","(0) in school","","","",""
"Yes","2013","1-pers.-HH","(1a) inadequately completed","5","","",""
"Yes","2013","1-pers.-HH","(1b) general elementary school","30","1","1","1"
"Yes","2013","1-pers.-HH","(1c) basic vocational qualification","71","1","1","1"
"Yes","2013","1-pers.-HH","(2b) intermediate general qualification","2","","",""
"Yes","2013","1-pers.-HH","(2a) intermediate vocational","43","1","1","1"
"Yes","2013","1-pers.-HH","(2c_gen) general maturity certificate","18","","",""
"Yes","2013","1-pers.-HH","(2c_voc) vocational maturity certificate","15","","",""
"Yes","2013","1-pers.-HH","(3a) lower tertiary education","25","","",""
"Yes","2013","1-pers.-HH","(3b) higher tertiary education","34","1","1","1"
"Yes","2013","(Married) couple without C. ","(0) in school","1","","",""
"Yes","2013","(Married) couple without C. ","(1a) inadequately completed","7","","",""
"Yes","2013","(Married) couple without C. ","(1b) general elementary school","36","1","1","1"
"Yes","2013","(Married) couple without C. ","(1c) basic vocational qualification","134","1","1","1"
"Yes","2013","(Married) couple without C. ","(2b) intermediate general qualification","9","","",""
"Yes","2013","(Married) couple without C. ","(2a) intermediate vocational","109","1","1","1"
"Yes","2013","(Married) couple without C. ","(2c_gen) general maturity certificate","9","","",""
"Yes","2013","(Married) couple without C. ","(2c_voc) vocational maturity certificate","27","","",""
"Yes","2013","(Married) couple without C. ","(3a) lower tertiary education","39","1","1","1"
"Yes","2013","(Married) couple without C. ","(3b) higher tertiary education","60","1","1","1"
"Yes","2013","Single parent ","(0) in school","4","","",""
"Yes","2013","Single parent ","(1a) inadequately completed","2","","",""
"Yes","2013","Single parent ","(1b) general elementary school","16","","",""
"Yes","2013","Single parent ","(1c) basic vocational qualification","16","","",""
"Yes","2013","Single parent ","(2b) intermediate general qualification","4","","",""
"Yes","2013","Single parent ","(2a) intermediate vocational","16","","",""
"Yes","2013","Single parent ","(2c_gen) general maturity certificate","5","","",""
"Yes","2013","Single parent ","(2c_voc) vocational maturity certificate","3","","",""
"Yes","2013","Single parent ","(3a) lower tertiary education","3","","",""
"Yes","2013","Single parent ","(3b) higher tertiary education","3","","",""
"Yes","2013","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","2013","Couple + C. LE 16 ","(1a) inadequately completed","2","","",""
"Yes","2013","Couple + C. LE 16 ","(1b) general elementary school","3","","",""
"Yes","2013","Couple + C. LE 16 ","(1c) basic vocational qualification","29","","",""
"Yes","2013","Couple + C. LE 16 ","(2b) intermediate general qualification","2","","",""
"Yes","2013","Couple + C. LE 16 ","(2a) intermediate vocational","42","1","1","1"
"Yes","2013","Couple + C. LE 16 ","(2c_gen) general maturity certificate","3","","",""
"Yes","2013","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","15","","",""
"Yes","2013","Couple + C. LE 16 ","(3a) lower tertiary education","21","","",""
"Yes","2013","Couple + C. LE 16 ","(3b) higher tertiary education","23","","",""
"Yes","2013","Couple + C. GT 16 ","(0) in school","7","","",""
"Yes","2013","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"Yes","2013","Couple + C. GT 16 ","(1b) general elementary school","12","","",""
"Yes","2013","Couple + C. GT 16 ","(1c) basic vocational qualification","32","1","1","1"
"Yes","2013","Couple + C. GT 16 ","(2b) intermediate general qualification","5","","",""
"Yes","2013","Couple + C. GT 16 ","(2a) intermediate vocational","41","1","1","1"
"Yes","2013","Couple + C. GT 16 ","(2c_gen) general maturity certificate","18","","",""
"Yes","2013","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","7","","",""
"Yes","2013","Couple + C. GT 16 ","(3a) lower tertiary education","13","","",""
"Yes","2013","Couple + C. GT 16 ","(3b) higher tertiary education","17","","",""
"Yes","2013","Couple + C. LE and GT 16","(0) in school","4","","",""
"Yes","2013","Couple + C. LE and GT 16","(1a) inadequately completed","1","","",""
"Yes","2013","Couple + C. LE and GT 16","(1b) general elementary school","3","","",""
"Yes","2013","Couple + C. LE and GT 16","(1c) basic vocational qualification","10","","",""
"Yes","2013","Couple + C. LE and GT 16","(2b) intermediate general qualification","3","","",""
"Yes","2013","Couple + C. LE and GT 16","(2a) intermediate vocational","10","","",""
"Yes","2013","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","6","","",""
"Yes","2013","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","6","","",""
"Yes","2013","Couple + C. LE and GT 16","(3a) lower tertiary education","1","","",""
"Yes","2013","Couple + C. LE and GT 16","(3b) higher tertiary education","3","","",""
"Yes","2014","1-pers.-HH","(0) in school","","","",""
"Yes","2014","1-pers.-HH","(1a) inadequately completed","","","",""
"Yes","2014","1-pers.-HH","(1b) general elementary school","","","",""
"Yes","2014","1-pers.-HH","(1c) basic vocational qualification","","","",""
"Yes","2014","1-pers.-HH","(2b) intermediate general qualification","","","",""
"Yes","2014","1-pers.-HH","(2a) intermediate vocational","","","",""
"Yes","2014","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"Yes","2014","1-pers.-HH","(2c_voc) vocational maturity certificate","","","",""
"Yes","2014","1-pers.-HH","(3a) lower tertiary education","","","",""
"Yes","2014","1-pers.-HH","(3b) higher tertiary education","","","",""
"Yes","2014","(Married) couple without C. ","(0) in school","","","",""
"Yes","2014","(Married) couple without C. ","(1a) inadequately completed","","","",""
"Yes","2014","(Married) couple without C. ","(1b) general elementary school","","","",""
"Yes","2014","(Married) couple without C. ","(1c) basic vocational qualification","","","",""
"Yes","2014","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"Yes","2014","(Married) couple without C. ","(2a) intermediate vocational","","","",""
"Yes","2014","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"Yes","2014","(Married) couple without C. ","(2c_voc) vocational maturity certificate","","","",""
"Yes","2014","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"Yes","2014","(Married) couple without C. ","(3b) higher tertiary education","","","",""
"Yes","2014","Single parent ","(0) in school","","","",""
"Yes","2014","Single parent ","(1a) inadequately completed","","","",""
"Yes","2014","Single parent ","(1b) general elementary school","","","",""
"Yes","2014","Single parent ","(1c) basic vocational qualification","","","",""
"Yes","2014","Single parent ","(2b) intermediate general qualification","","","",""
"Yes","2014","Single parent ","(2a) intermediate vocational","","","",""
"Yes","2014","Single parent ","(2c_gen) general maturity certificate","","","",""
"Yes","2014","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"Yes","2014","Single parent ","(3a) lower tertiary education","","","",""
"Yes","2014","Single parent ","(3b) higher tertiary education","","","",""
"Yes","2014","Couple + C. LE 16 ","(0) in school","","","",""
