"ple0013","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Couple + C. GT 16 ","Female","1415","0.966893667396761","0.957735132580302","0.976052202213221","2"
"No","2009","(Married) couple without C. ","Male","3160","0.952218335599993","0.944950608452846","0.959486062747141","2"
"No","2009","(Married) couple without C. ","Female","3194","0.940983921425205","0.933030013051849","0.948937829798561","2"
"No","2009","1-pers.-HH","Female","1576","0.931998303643598","0.919985123654503","0.944011483632692","2"
"No","2009","Couple + C. GT 16 ","Male","1636","0.971403549621155","0.963478402943862","0.979328696298447","2"
"No","2009","Couple + C. LE and GT 16","Male","560","0.940220828623288","0.921171508179198","0.959270149067378","2"
"No","2009","Couple + C. LE and GT 16","Female","560","0.952352772648538","0.935105635174325","0.969599910122752","2"
"No","2009","1-pers.-HH","Male","1160","0.94349759329883","0.930557460471934","0.956437726125726","2"
"No","2009","Single parent ","Male","279","0.959544616828554","0.936868439830527","0.982220793826582","2"
"No","2009","Single parent ","Female","668","0.951837129995947","0.936043453401759","0.967630806590135","2"
"No","2009","Couple + C. LE 16 ","Male","1327","0.964282614811797","0.95451230189974","0.974052927723853","2"
"No","2009","Couple + C. LE 16 ","Female","1403","0.951594038096613","0.940637467715919","0.962550608477307","2"
"Yes","2009","1-pers.-HH","Male","63","0.0565024067011704","0.0435622738742745","0.0694425395280663","1"
"Yes","2009","1-pers.-HH","Female","111","0.0680016963564023","0.0559885163673077","0.0800148763454969","1"
"Yes","2009","(Married) couple without C. ","Male","149","0.0477816644000068","0.0405139372528592","0.0550493915471544","1"
"Yes","2009","(Married) couple without C. ","Female","178","0.0590160785747946","0.0510621702014386","0.0669699869481507","1"
"Yes","2009","Single parent ","Male","11","","","","1"
"Yes","2009","Single parent ","Female","38","0.0481628700040535","0.0323691934098654","0.0639565465982415","1"
"Yes","2009","Couple + C. LE 16 ","Male","59","0.0357173851882032","0.0259470722761466","0.0454876981002598","1"
"Yes","2009","Couple + C. LE 16 ","Female","71","0.0484059619033873","0.0374493915226932","0.0593625322840813","1"
"Yes","2009","Couple + C. GT 16 ","Male","63","0.0285964503788453","0.0206713037015528","0.0365215970561378","1"
"Yes","2009","Couple + C. GT 16 ","Female","51","0.0331063326032389","0.0239477977867793","0.0422648674196985","1"
"Yes","2009","Couple + C. LE and GT 16","Male","35","0.0597791713767119","0.0407298509326216","0.0788284918208022","1"
"Yes","2009","Couple + C. LE and GT 16","Female","26","","","","1"
"No","2010","Couple + C. GT 16 ","Female","","","","","2"
"No","2010","Couple + C. LE and GT 16","Female","","","","","2"
"No","2010","1-pers.-HH","Female","","","","","2"
"No","2010","(Married) couple without C. ","Female","","","","","2"
"No","2010","Couple + C. GT 16 ","Male","","","","","2"
"No","2010","Couple + C. LE and GT 16","Male","","","","","2"
"No","2010","1-pers.-HH","Male","","","","","2"
"No","2010","(Married) couple without C. ","Male","","","","","2"
"No","2010","Single parent ","Male","","","","","2"
"No","2010","Single parent ","Female","","","","","2"
"No","2010","Couple + C. LE 16 ","Male","","","","","2"
"No","2010","Couple + C. LE 16 ","Female","","","","","2"
"Yes","2010","1-pers.-HH","Male","","","","","1"
"Yes","2010","1-pers.-HH","Female","","","","","1"
"Yes","2010","(Married) couple without C. ","Male","","","","","1"
"Yes","2010","(Married) couple without C. ","Female","","","","","1"
"Yes","2010","Single parent ","Male","","","","","1"
"Yes","2010","Single parent ","Female","","","","","1"
"Yes","2010","Couple + C. LE 16 ","Male","","","","","1"
"Yes","2010","Couple + C. LE 16 ","Female","","","","","1"
"Yes","2010","Couple + C. GT 16 ","Male","","","","","1"
"Yes","2010","Couple + C. GT 16 ","Female","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","Female","","","","","1"
"No","2011","Couple + C. GT 16 ","Female","1438","0.946756517500865","0.935458358581651","0.958054676420078","2"
"No","2011","Couple + C. LE and GT 16","Female","579","0.952600243516117","0.935682003642031","0.969518483390203","2"
"No","2011","Couple + C. GT 16 ","Male","1599","0.950811697889837","0.940482770571219","0.961140625208454","2"
"No","2011","Couple + C. LE and GT 16","Male","602","0.96339246596789","0.948704720784406","0.978080211151374","2"
"No","2011","1-pers.-HH","Male","1386","0.932716695675964","0.919945269267094","0.945488122084835","2"
