"ple0013","year","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2009","no migration background","14973","0.947404853718501","0.943917909662747","0.950891797774254","2"
"No","2009","direct migration background","1594","0.964032363715134","0.955096185450771","0.972968541979497","2"
"No","2009","indirect migration background","683","0.952855837484778","0.937320430602809","0.968391244366747","2"
"Yes","2009","no migration background","770","0.0525951462814993","0.0491082022257456","0.0560820903372529","1"
"Yes","2009","direct migration background","74","0.035967636284866","0.0270314580205025","0.0449038145492295","1"
"Yes","2009","indirect migration background","32","0.0471441625152221","0.031608755633253","0.0626795693971912","1"
"No","2010","no migration background","","","","","2"
"No","2010","direct migration background","","","","","2"
"No","2010","indirect migration background","","","","","2"
"Yes","2010","no migration background","","","","","1"
"Yes","2010","direct migration background","","","","","1"
"Yes","2010","indirect migration background","","","","","1"
"No","2011","no migration background","17066","0.942247202318014","0.938843224434183","0.945651180201844","2"
"No","2011","direct migration background","1931","0.960381652231703","0.951875316621169","0.968887987842237","2"
"No","2011","indirect migration background","747","0.923741399665713","0.905338158376134","0.942144640955293","2"
"Yes","2011","no migration background","975","0.0577527976819863","0.0543488197981562","0.0611567755658165","1"
"Yes","2011","direct migration background","89","0.0396183477682971","0.0311120121577633","0.0481246833788308","1"
"Yes","2011","indirect migration background","52","0.0762586003342867","0.057855359044707","0.0946618416238663","1"
"No","2012","no migration background","","","","","2"
"No","2012","direct migration background","","","","","2"
"No","2012","indirect migration background","","","","","2"
"Yes","2012","no migration background","","","","","1"
"Yes","2012","direct migration background","","","","","1"
"Yes","2012","indirect migration background","","","","","1"
"No","2013","no migration background","15551","0.936723847831643","0.933015701557242","0.940431994106044","2"
"No","2013","direct migration background","1618","0.946608342312273","0.935909001211725","0.957307683412821","2"
"No","2013","indirect migration background","665","0.923098594772389","0.90358295636833","0.942614233176448","2"
"Yes","2013","no migration background","1008","0.0632761521683567","0.0595680058939556","0.0669842984427577","1"
"Yes","2013","direct migration background","78","0.0533916576877271","0.0426923165871792","0.0640909987882749","1"
"Yes","2013","indirect migration background","51","0.0769014052276109","0.0573857668235518","0.0964170436316699","1"
"No","2014","no migration background","","","","","2"
"No","2014","direct migration background","","","","","2"
"No","2014","indirect migration background","","","","","2"
"Yes","2014","no migration background","","","","","1"
"Yes","2014","direct migration background","","","","","1"
"Yes","2014","indirect migration background","","","","","1"
"No","2015","no migration background","17985","0.935915212762899","0.932452533048917","0.93937789247688","2"
"No","2015","direct migration background","4133","0.947524307138145","0.940875706781632","0.954172907494657","2"
"No","2015","indirect migration background","1509","0.906766616825959","0.892664364468932","0.920868869182985","2"
"Yes","2015","no migration background","1231","0.0640847872371015","0.0606221075231199","0.067547466951083","1"
"Yes","2015","direct migration background","188","0.0524756928618554","0.045827092505343","0.0591242932183679","1"
"Yes","2015","indirect migration background","124","0.0932333831740411","0.0791311308170147","0.107335635531068","1"
"No","2016","no migration background","","","","","2"
"No","2016","direct migration background","","","","","2"
"No","2016","indirect migration background","","","","","2"
"Yes","2016","no migration background","","","","","1"
"Yes","2016","direct migration background","","","","","1"
"Yes","2016","indirect migration background","","","","","1"
"No","2017","no migration background","18929","0.93028966086021","0.926789964936584","0.933789356783836","2"
"No","2017","direct migration background","4462","0.946436271905783","0.939977294671677","0.952895249139889","2"
"No","2017","indirect migration background","1593","0.924378226315882","0.911865143695705","0.936891308936059","2"
"Yes","2017","no migration background","1411","0.06971033913979","0.0662106432161643","0.0732100350634158","1"
"Yes","2017","direct migration background","206","0.0535637280942173","0.0471047508601113","0.0600227053283233","1"
"Yes","2017","indirect migration background","122","0.0756217736841179","0.0631086910639405","0.0881348563042953","1"
"No","2018","no migration background","","","","","2"
"No","2018","direct migration background","","","","","2"
"No","2018","indirect migration background","","","","","2"
"Yes","2018","no migration background","","","","","1"
"Yes","2018","direct migration background","","","","","1"
"Yes","2018","indirect migration background","","","","","1"
"No","2019","no migration background","18776","0.92485895517848","0.921233441924554","0.928484468432407","2"
"No","2019","direct migration background","3678","0.944900319467615","0.937701218906843","0.952099420028387","2"
"No","2019","indirect migration background","1577","0.912903212685051","0.899542287817047","0.926264137553056","2"
"Yes","2019","no migration background","1534","0.0751410448215195","0.0715155315675935","0.0787665580754456","1"
"Yes","2019","direct migration background","181","0.0550996805323848","0.0479005799716126","0.062298781093157","1"
"Yes","2019","indirect migration background","134","0.0870967873149489","0.0737358624469445","0.100457712182953","1"
