"ple0013","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"No","2009","16-34 y.","3812","0.947675464587389","0.940779815899114","0.954571113275664","2"
"No","2009","35-65 y.","9453","0.953835375473832","0.949702046929538","0.957968704018127","2"
"No","2009","66 and older","3985","0.942779597297217","0.935771116770333","0.9497880778241","2"
"Yes","2009","16-34 y.","194","0.0523245354126112","0.0454288867243359","0.0592201841008864","1"
"Yes","2009","35-65 y.","448","0.0461646245261675","0.0420312959818735","0.0502979530704615","1"
"Yes","2009","66 and older","234","0.0572204027027832","0.0502119221758997","0.0642288832296667","1"
"No","2010","16-34 y.","","","","","2"
"No","2010","35-65 y.","","","","","2"
"No","2010","66 and older","","","","","2"
"Yes","2010","16-34 y.","","","","","1"
"Yes","2010","35-65 y.","","","","","1"
"Yes","2010","66 and older","","","","","1"
"No","2011","16-34 y.","4044","0.938161641370863","0.930968336488105","0.945354946253621","2"
"No","2011","35-65 y.","10795","0.946123653076747","0.941972443992601","0.950274862160894","2"
"No","2011","66 and older","4905","0.943828642797055","0.937564401947834","0.950092883646276","2"
"Yes","2011","16-34 y.","263","0.0618383586291368","0.0546450537463789","0.0690316635118948","1"
"Yes","2011","35-65 y.","568","0.0538763469232528","0.0497251378391064","0.0580275560073993","1"
"Yes","2011","66 and older","285","0.0561713572029448","0.0499071163537235","0.0624355980521661","1"
"No","2012","16-34 y.","","","","","2"
"No","2012","35-65 y.","","","","","2"
"No","2012","66 and older","","","","","2"
"Yes","2012","16-34 y.","","","","","1"
"Yes","2012","35-65 y.","","","","","1"
"Yes","2012","66 and older","","","","","1"
"No","2013","16-34 y.","3469","0.939840590324044","0.932188174586555","0.947493006061533","2"
"No","2013","35-65 y.","9652","0.936708282197155","0.931996881604326","0.941419682789985","2"
"No","2013","66 and older","4713","0.936384326565717","0.929620610318675","0.94314804281276","2"
"Yes","2013","16-34 y.","240","0.060159409675956","0.0525069939384671","0.067811825413445","1"
"Yes","2013","35-65 y.","608","0.0632917178028446","0.0585803172100152","0.0680031183956741","1"
"Yes","2013","66 and older","289","0.0636156734342826","0.0568519571872402","0.0703793896813249","1"
"No","2014","16-34 y.","","","","","2"
"No","2014","35-65 y.","","","","","2"
"No","2014","66 and older","","","","","2"
"Yes","2014","16-34 y.","","","","","1"
"Yes","2014","35-65 y.","","","","","1"
"Yes","2014","66 and older","","","","","1"
"No","2015","16-34 y.","5391","0.93005973325632","0.923478924839139","0.936640541673502","2"
"No","2015","35-65 y.","13560","0.936887648438983","0.932922767656508","0.940852529221459","2"
"No","2015","66 and older","4676","0.939525355698489","0.932885746135389","0.946164965261589","2"
"Yes","2015","16-34 y.","379","0.0699402667436796","0.0633594583264979","0.0765210751608613","1"
"Yes","2015","35-65 y.","889","0.0631123515610165","0.0591474707785409","0.067077232343492","1"
"Yes","2015","66 and older","275","0.0604746443015107","0.0538350347384107","0.0671142538646108","1"
"No","2016","16-34 y.","","","","","2"
"No","2016","35-65 y.","","","","","2"
"No","2016","66 and older","","","","","2"
"Yes","2016","16-34 y.","","","","","1"
"Yes","2016","35-65 y.","","","","","1"
"Yes","2016","66 and older","","","","","1"
"No","2017","16-34 y.","5801","0.930252992778018","0.923935493569207","0.936570491986829","2"
"No","2017","35-65 y.","14424","0.931301120499357","0.927312028758836","0.935290212239878","2"
"No","2017","66 and older","4759","0.936784992785893","0.93006196843746","0.943508017134325","2"
"Yes","2017","16-34 y.","444","0.0697470072219818","0.063429508013171","0.0760645064307926","1"
"Yes","2017","35-65 y.","1021","0.0686988795006426","0.0647097877601215","0.0726879712411637","1"
"Yes","2017","66 and older","274","0.0632150072141072","0.0564919828656747","0.0699380315625396","1"
"No","2018","16-34 y.","","","","","2"
"No","2018","35-65 y.","","","","","2"
"No","2018","66 and older","","","","","2"
"Yes","2018","16-34 y.","","","","","1"
"Yes","2018","35-65 y.","","","","","1"
"Yes","2018","66 and older","","","","","1"
"No","2019","16-34 y.","5044","0.92529087893656","0.918314390731987","0.932267367141133","2"
"No","2019","35-65 y.","14069","0.925352065265827","0.921170705638825","0.929533424892829","2"
"No","2019","66 and older","4918","0.932907446623823","0.926138064987257","0.939676828260389","2"
"Yes","2019","16-34 y.","412","0.0747091210634404","0.0677326328588675","0.0816856092680132","1"
"Yes","2019","35-65 y.","1108","0.0746479347341729","0.0704665751071711","0.0788292943611748","1"
"Yes","2019","66 and older","329","0.0670925533761771","0.0603231717396112","0.073861935012743","1"
