"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","direct migration background","7.12","8","3396","3","5","9","10","7.03","7.21","7","8"
"1984","indirect migration background","7.39","8","127","4","5","9","10","6.97","7.81","7","8"
"1984","no migration background","7.51","8","8635","4","6","10","10","7.46","7.56","8","8"
"1985","direct migration background","7.07","8","2923","3","5","9","10","6.98","7.16","7","7"
"1985","indirect migration background","7.62","8","142","4","6","10","10","7.2","8.04","7","9"
"1985","no migration background","7.35","8","7938","4","6","9","10","7.3","7.4","8","8"
"1986","direct migration background","6.87","7","2843","3","5","9","10","6.78","6.96","7","7"
"1986","indirect migration background","7.29","7","155","5","5","10","10","6.9","7.68","7","8"
"1986","no migration background","7.24","8","7594","4","6","9","10","7.19","7.29","8","8"
"1987","direct migration background","6.95","7","2814","4","5","9","10","6.86","7.04","7","7"
"1987","indirect migration background","7.24","8","176","5","6","9","10","6.91","7.57","7","8"
"1987","no migration background","7.29","8","7466","4","6","9","10","7.24","7.34","8","8"
"1988","direct migration background","6.81","7","2681","3","5","9","10","6.72","6.9","7","7"
"1988","indirect migration background","7.29","8","219","4","6","9","10","6.97","7.61","7","8"
"1988","no migration background","7.12","8","7078","4","5","9","10","7.07","7.17","7","8"
"1989","direct migration background","6.73","7","2584","3","5","8","10","6.64","6.82","7","7"
"1989","indirect migration background","7.37","8","258","4","6","9","10","7.1","7.64","7","8"
"1989","no migration background","7.07","8","6808","4","5","9","10","7.01","7.13","7","8"
"1990","direct migration background","","","","","","","","","","",""
"1990","indirect migration background","","","","","","","","","","",""
"1990","no migration background","","","","","","","","","","",""
"1991","direct migration background","6.76","7","2634","3","5","9","10","6.67","6.85","7","7"
"1991","indirect migration background","6.84","7","349","3","5","9","10","6.59","7.09","7","8"
"1991","no migration background","6.84","7","10621","3","5","9","10","6.79","6.89","7","7"
"1992","direct migration background","6.82","7","2558","3","5","8","10","6.73","6.91","7","7"
"1992","indirect migration background","7.18","8","403","4","6","9","10","6.95","7.41","7","8"
"1992","no migration background","6.91","7","10347","4","5","9","10","6.86","6.96","7","7"
"1993","direct migration background","6.75","7","2481","3","5","8","10","6.65","6.85","7","7"
"1993","indirect migration background","7.07","8","472","4","5","9","10","6.86","7.28","7","8"
"1993","no migration background","6.81","7","10148","3","5","8","10","6.76","6.86","7","7"
"1994","direct migration background","6.69","7","2348","3","5","8","10","6.59","6.79","7","7"
"1994","indirect migration background","6.7","7","493","3","5","8","10","6.49","6.91","7","7"
"1994","no migration background","6.8","7","10011","3","5","9","10","6.75","6.85","7","7"
"1995","direct migration background","","","","","","","","","","",""
"1995","indirect migration background","","","","","","","","","","",""
"1995","no migration background","","","","","","","","","","",""
"1996","direct migration background","6.92","7","2607","4","5","9","10","6.83","7.01","7","7"
"1996","indirect migration background","7.02","7","547","4","5","9","10","6.82","7.22","7","8"
"1996","no migration background","7.03","8","9916","4","5","9","10","6.98","7.08","7","7"
"1997","direct migration background","6.77","7","2479","3","5","8","10","6.67","6.87","7","7"
"1997","indirect migration background","7.21","8","570","4","6","9","10","7.01","7.41","7","7"
"1997","no migration background","6.96","7","9786","4","5","9","10","6.91","7.01","7","7"
"1998","direct migration background","6.78","7","2408","3","5","9","10","6.68","6.88","7","7"
"1998","indirect migration background","6.96","7","602","3","5","9","10","6.77","7.15","7","7"
"1998","no migration background","7.07","8","11225","4","6","9","10","7.03","7.11","7","7"
"1999","direct migration background","6.92","7","2202","4","5","9","10","6.82","7.02","7","7"
"1999","indirect migration background","7.03","8","607","4","5","9","10","6.84","7.22","7","8"
"1999","no migration background","7.07","8","10868","4","6","9","10","7.03","7.11","7","7"
"2000","direct migration background","6.93","7","3328","4","5","9","10","6.85","7.01","7","7"
"2000","indirect migration background","6.96","7","823","4","5","9","10","6.8","7.12","7","7"
"2000","no migration background","7.17","8","20006","4","6","9","10","7.14","7.2","7","8"
"2001","direct migration background","6.87","7","2936","3","5","9","10","6.78","6.96","7","7"
"2001","indirect migration background","7.02","7.63","773","4","5","9","10","6.86","7.18","7","7"
"2001","no migration background","7.19","8","18249","4","6","9","10","7.16","7.22","7","8"
