"m11126","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Very good","1992","no migration background","West Germany","967","0.129510056940403","0.121387412722832","0.137632701157974"
"Very good","1992","no migration background","East Germany","607","0.146432935370619","0.135231928370214","0.157633942371024"
"Very good","1992","direct migration background","West Germany","374","0.151619032558307","0.137329674225506","0.165908390891108"
"Very good","1992","direct migration background","East Germany","15","","",""
"Very good","1992","indirect migration background","West Germany","167","0.365735688674636","0.318417799454593","0.41305357789468"
"Very good","1992","indirect migration background","East Germany","3","","",""
"Good","1992","no migration background","West Germany","2620","0.378553786885053","0.366820238317591","0.390287335452516"
"Good","1992","no migration background","East Germany","1749","0.420762908208065","0.405121863183583","0.436403953232548"
"Good","1992","direct migration background","West Germany","956","0.383146110591787","0.363776817431947","0.402515403751628"
"Good","1992","direct migration background","East Germany","52","0.368882578587997","0.290347578827406","0.447417578348589"
"Good","1992","indirect migration background","West Germany","161","0.395800434383879","0.347756906277613","0.443843962490146"
"Good","1992","indirect migration background","East Germany","6","","",""
"Satisfactory","1992","no migration background","West Germany","1961","0.313019383339545","0.301801222501007","0.324237544178083"
"Satisfactory","1992","no migration background","East Germany","1048","0.293570511440644","0.27914240011912","0.307998622762168"
"Satisfactory","1992","direct migration background","West Germany","638","0.272996906619028","0.255247354434713","0.290746458803343"
"Satisfactory","1992","direct migration background","East Germany","55","0.345319921790668","0.267929097982278","0.422710745599058"
"Satisfactory","1992","indirect migration background","West Germany","43","0.12718228830298","0.0944496020588076","0.159914974547152"
"Satisfactory","1992","indirect migration background","East Germany","","","",""
"Poor","1992","no migration background","West Germany","739","0.126942479291199","0.118888904024898","0.1349960545575"
"Poor","1992","no migration background","East Germany","321","0.102889855093133","0.0932642504076579","0.112515459778607"
"Poor","1992","direct migration background","West Germany","343","0.146061465345527","0.131990576229687","0.160132354461366"
"Poor","1992","direct migration background","East Germany","15","","",""
"Poor","1992","indirect migration background","West Germany","22","","",""
"Poor","1992","indirect migration background","East Germany","1","","",""
"Bad ","1992","no migration background","West Germany","277","0.0519742935438001","0.0466043692971858","0.0573442177904144"
"Bad ","1992","no migration background","East Germany","102","0.0363437898875392","0.0304146045129237","0.0422729752621547"
"Bad ","1992","direct migration background","West Germany","109","0.0461764848853508","0.0378149721512357","0.054537997619466"
"Bad ","1992","direct migration background","East Germany","8","","",""
"Bad ","1992","indirect migration background","West Germany","5","","",""
"Bad ","1992","indirect migration background","East Germany","","","",""
"Very good","1993","no migration background","West Germany","","","",""
"Very good","1993","no migration background","East Germany","","","",""
"Very good","1993","direct migration background","West Germany","","","",""
"Very good","1993","direct migration background","East Germany","","","",""
"Very good","1993","indirect migration background","West Germany","","","",""
"Very good","1993","indirect migration background","East Germany","","","",""
"Good","1993","no migration background","West Germany","","","",""
"Good","1993","no migration background","East Germany","","","",""
"Good","1993","direct migration background","West Germany","","","",""
"Good","1993","direct migration background","East Germany","","","",""
"Good","1993","indirect migration background","West Germany","","","",""
"Good","1993","indirect migration background","East Germany","","","",""
"Satisfactory","1993","no migration background","West Germany","","","",""
"Satisfactory","1993","no migration background","East Germany","","","",""
"Satisfactory","1993","direct migration background","West Germany","","","",""
"Satisfactory","1993","direct migration background","East Germany","","","",""
"Satisfactory","1993","indirect migration background","West Germany","","","",""
"Satisfactory","1993","indirect migration background","East Germany","","","",""
"Poor","1993","no migration background","West Germany","","","",""
"Poor","1993","no migration background","East Germany","","","",""
"Poor","1993","direct migration background","West Germany","","","",""
"Poor","1993","direct migration background","East Germany","","","",""
"Poor","1993","indirect migration background","West Germany","","","",""
"Poor","1993","indirect migration background","East Germany","","","",""
"Bad ","1993","no migration background","West Germany","","","",""
"Bad ","1993","no migration background","East Germany","","","",""
"Bad ","1993","direct migration background","West Germany","","","",""
"Bad ","1993","direct migration background","East Germany","","","",""
"Bad ","1993","indirect migration background","West Germany","","","",""
"Bad ","1993","indirect migration background","East Germany","","","",""
"Very good","1994","no migration background","West Germany","607","0.079799234871473","0.0731763150885247","0.0864221546544214"
"Very good","1994","no migration background","East Germany","320","0.0817721178660463","0.0728556610031861","0.0906885747289066"
"Very good","1994","direct migration background","West Germany","252","0.108975582498939","0.0960191491269568","0.121932015870921"
"Very good","1994","direct migration background","East Germany","5","","",""
"Very good","1994","indirect migration background","West Germany","156","0.311343524928466","0.269833272022317","0.352853777834615"
"Very good","1994","indirect migration background","East Germany","4","","",""
"Good","1994","no migration background","West Germany","2582","0.375012138233928","0.363179889515752","0.386844386952103"
"Good","1994","no migration background","East Germany","1502","0.378783005807816","0.362998486568697","0.394567525046936"
"Good","1994","direct migration background","West Germany","895","0.370189277909865","0.35011254661054","0.39026600920919"
"Good","1994","direct migration background","East Germany","47","0.370104061847187","0.290967641425068","0.449240482269305"
"Good","1994","indirect migration background","West Germany","201","0.384890365566349","0.341271041891346","0.428509689241352"
"Good","1994","indirect migration background","East Germany","8","","",""
"Satisfactory","1994","no migration background","West Germany","2084","0.336205703559145","0.324659794490235","0.347751612628056"
"Satisfactory","1994","no migration background","East Germany","1266","0.370184669156016","0.354472712215137","0.385896626096895"
"Satisfactory","1994","direct migration background","West Germany","596","0.293813741357528","0.274874100183084","0.312753382531972"
"Satisfactory","1994","direct migration background","East Germany","60","0.396143831883088","0.315980958688784","0.476306705077392"
"Satisfactory","1994","indirect migration background","West Germany","83","0.18284148100401","0.148189771554618","0.217493190453402"
"Satisfactory","1994","indirect migration background","East Germany","4","","",""
"Poor","1994","no migration background","West Germany","909","0.159588190557878","0.150637525931757","0.168538855184"
"Poor","1994","no migration background","East Germany","425","0.127717709042319","0.116856740909149","0.13857867717549"
"Poor","1994","direct migration background","West Germany","377","0.177395433405827","0.161512056571472","0.193278810240183"
"Poor","1994","direct migration background","East Germany","26","","",""
