"ple0044_h","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1985","66 and older","inadequately","3","","","","2"
"No","1985","66 and older","general elemantary","149","0.359121060695902","0.31361779241713","0.404624328974673","2"
"No","1985","66 and older","higher vocational","26","","","","2"
"No","1985","66 and older","in school","","","","","2"
"No","1985","66 and older","higher education","18","","","","2"
"No","1985","66 and older","middle vocational","161","0.30859767014987","0.268934176046342","0.348261164253397","2"
"No","1985","66 and older","vocational + Abi","6","","","","2"
"No","1985","16-34 y.","higher education","93","0.407947363876504","0.345771089517361","0.470123638235646","2"
"No","1985","16-34 y.","higher vocational","85","0.423094706174083","0.353928952582814","0.492260459765352","2"
"No","1985","35-65 y.","middle vocational","1118","0.401366326804088","0.382955414537748","0.419777239070428","2"
"No","1985","35-65 y.","vocational + Abi","43","0.337723294629616","0.249742708666184","0.425703880593047","2"
"No","1985","35-65 y.","higher vocational","146","0.417808698983222","0.365765960805295","0.469851437161149","2"
"No","1985","35-65 y.","higher education","185","0.410615089483447","0.365756660257908","0.455473518708986","2"
"No","1985","16-34 y.","middle vocational","859","0.453574554205937","0.431500830097673","0.475648278314202","2"
"No","1985","16-34 y.","general elemantary","446","0.405636957218855","0.377208686727949","0.434065227709761","2"
"No","1985","16-34 y.","vocational + Abi","61","0.4119166879894","0.333414142604291","0.49041923337451","2"
"No","1985","16-34 y.","inadequately","86","0.384583773791175","0.32316240091395","0.4460051466684","2"
"No","1985","35-65 y.","in school","","","","","2"
"No","1985","35-65 y.","inadequately","255","0.418764768714628","0.379089863089094","0.458439674340162","2"
"No","1985","35-65 y.","general elemantary","595","0.367740491249081","0.343387404498279","0.392093577999884","2"
"No","1985","16-34 y.","in school","71","0.373203695175106","0.303882910657439","0.442524479692774","2"
"Yes","1985","16-34 y.","in school","116","0.626796304824894","0.557475520307226","0.696117089342561","1"
"Yes","1985","16-34 y.","inadequately","155","0.615416226208825","0.5539948533316","0.67683759908605","1"
"Yes","1985","16-34 y.","general elemantary","700","0.594363042781145","0.565934772290239","0.622791313272051","1"
"Yes","1985","16-34 y.","middle vocational","1095","0.546425445794063","0.524351721685798","0.568499169902327","1"
"Yes","1985","16-34 y.","vocational + Abi","90","0.5880833120106","0.50958076662549","0.666585857395709","1"
"Yes","1985","16-34 y.","higher vocational","111","0.576905293825917","0.507739540234648","0.646071047417186","1"
"Yes","1985","16-34 y.","higher education","147","0.592052636123496","0.529876361764353","0.654228910482639","1"
"Yes","1985","35-65 y.","in school","","","","","1"
"Yes","1985","35-65 y.","inadequately","339","0.581235231285372","0.541560325659838","0.620910136910906","1"
"Yes","1985","35-65 y.","general elemantary","911","0.632259508750919","0.607906422000116","0.656612595501721","1"
"Yes","1985","35-65 y.","middle vocational","1605","0.598633673195912","0.580222760929572","0.617044585462252","1"
"Yes","1985","35-65 y.","vocational + Abi","68","0.662276705370384","0.574296119406953","0.750257291333816","1"
"Yes","1985","35-65 y.","higher vocational","199","0.582191301016778","0.530148562838851","0.634234039194705","1"
"Yes","1985","35-65 y.","higher education","277","0.589384910516553","0.544526481291014","0.634243339742092","1"
"Yes","1985","66 and older","in school","","","","","1"
"Yes","1985","66 and older","inadequately","11","","","","1"
"Yes","1985","66 and older","general elemantary","278","0.640878939304098","0.595375671025327","0.68638220758287","1"
"Yes","1985","66 and older","middle vocational","360","0.69140232985013","0.651738835746603","0.731065823953657","1"
"Yes","1985","66 and older","vocational + Abi","12","","","","1"
