"ple0044_h","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1985","(Married) couple without C. ","higher education","71","0.375107663920982","0.307154238573776","0.443061089268188","2"
"No","1985","1-pers.-HH","middle vocational","239","0.405874757923927","0.365020566178288","0.446728949669566","2"
"No","1985","(Married) couple without C. ","higher vocational","70","0.431267341121319","0.353550854057447","0.508983828185191","2"
"No","1985","(Married) couple without C. ","vocational + Abi","27","","","","2"
"No","1985","1-pers.-HH","inadequately","22","","","","2"
"No","1985","Couple + C. LE and GT 16","higher vocational","13","","","","2"
"No","1985","Couple + C. LE and GT 16","higher education","18","","","","2"
"No","1985","1-pers.-HH","general elemantary","134","0.384448512420724","0.332664043471259","0.436232981370189","2"
"No","1985","1-pers.-HH","higher vocational","33","0.388344691494318","0.282207487501348","0.494481895487288","2"
"No","1985","Couple + C. GT 16 ","inadequately","65","0.432881958542453","0.348990611768562","0.516773305316345","2"
"No","1985","Couple + C. LE and GT 16","vocational + Abi","7","","","","2"
"No","1985","1-pers.-HH","vocational + Abi","17","","","","2"
"No","1985","Couple + C. GT 16 ","general elemantary","224","0.36319432211518","0.32515463867123","0.401234005559131","2"
"No","1985","1-pers.-HH","higher education","42","0.391942219572978","0.299007368530441","0.484877070615514","2"
"No","1985","Couple + C. GT 16 ","vocational + Abi","11","","","","2"
"No","1985","1-pers.-HH","in school","","","","","2"
"No","1985","Couple + C. GT 16 ","middle vocational","372","0.409228360433919","0.37762747162234","0.440829249245498","2"
"No","1985","(Married) couple without C. ","middle vocational","542","0.40460598418","0.377884290956688","0.431327677403313","2"
"No","1985","Couple + C. GT 16 ","in school","32","0.379973943638716","0.274270907901909","0.485676979375522","2"
"No","1985","Couple + C. LE and GT 16","middle vocational","228","0.379765330837018","0.340165269273738","0.419365392400299","2"
"No","1985","Couple + C. GT 16 ","higher vocational","39","0.420263348305857","0.323519306371763","0.51700739023995","2"
"No","1985","(Married) couple without C. ","in school","","","","","2"
"No","1985","(Married) couple without C. ","inadequately","41","0.419840993421008","0.322623049113569","0.517058937728446","2"
"No","1985","(Married) couple without C. ","general elemantary","237","0.371360424610222","0.332635001819853","0.410085847400591","2"
"No","1985","Couple + C. GT 16 ","higher education","45","0.444192553523175","0.350913816024305","0.537471291022046","2"
"No","1985","Couple + C. LE and GT 16","in school","27","","","","2"
"No","1985","Couple + C. LE and GT 16","inadequately","82","0.392037414221501","0.324545422113025","0.459529406329977","2"
"No","1985","Couple + C. LE and GT 16","general elemantary","207","0.412751144572376","0.369980634216609","0.455521654928143","2"
"No","1985","Single parent ","higher vocational","7","","","","2"
"No","1985","Single parent ","higher education","3","","","","2"
"No","1985","Couple + C. LE 16 ","in school","","","","","2"
"No","1985","Couple + C. LE 16 ","inadequately","90","0.341948598280106","0.283611938893002","0.40028525766721","2"
"No","1985","Couple + C. LE 16 ","general elemantary","209","0.358881578989343","0.318938832869944","0.398824325108741","2"
"No","1985","Couple + C. LE 16 ","middle vocational","559","0.414305569114432","0.387791751663056","0.440819386565809","2"
"No","1985","Couple + C. LE 16 ","vocational + Abi","36","0.464622009723333","0.353939006205801","0.575305013240866","2"
"No","1985","Couple + C. LE 16 ","higher vocational","83","0.433747884638268","0.363093227617587","0.504402541658949","2"
"No","1985","Couple + C. LE 16 ","higher education","106","0.450531903192529","0.388483068444592","0.512580737940466","2"
"No","1985","Single parent ","in school","9","","","","2"
"No","1985","Single parent ","inadequately","16","","","","2"
"No","1985","Single parent ","general elemantary","89","0.454368563019936","0.384303574340454","0.524433551699418","2"
"No","1985","Single parent ","middle vocational","94","0.402598354347366","0.340422989053497","0.464773719641235","2"
"No","1985","Single parent ","vocational + Abi","3","","","","2"
"Yes","1985","1-pers.-HH","in school","","","","","1"
"Yes","1985","1-pers.-HH","inadequately","33","0.696891670216718","0.575427463321728","0.818355877111707","1"
"Yes","1985","1-pers.-HH","general elemantary","205","0.615551487579276","0.563767018629811","0.667335956528741","1"
"Yes","1985","1-pers.-HH","middle vocational","316","0.594125242076074","0.553271050330434","0.634979433821713","1"
"Yes","1985","1-pers.-HH","vocational + Abi","23","","","","1"
"Yes","1985","1-pers.-HH","higher vocational","48","0.611655308505682","0.505518104512712","0.717792512498652","1"
"Yes","1985","1-pers.-HH","higher education","64","0.608057780427022","0.515122929384486","0.700992631469559","1"
"Yes","1985","(Married) couple without C. ","in school","","","","","1"
"Yes","1985","(Married) couple without C. ","inadequately","58","0.580159006578992","0.482941062271554","0.677376950886431","1"
"Yes","1985","(Married) couple without C. ","general elemantary","361","0.628639575389778","0.589914152599409","0.667364998180147","1"
"Yes","1985","(Married) couple without C. ","middle vocational","754","0.59539401582","0.568672322596687","0.622115709043312","1"
"Yes","1985","(Married) couple without C. ","vocational + Abi","49","0.676855928752445","0.571711198853644","0.782000658651246","1"
"Yes","1985","(Married) couple without C. ","higher vocational","86","0.568732658878681","0.491016171814809","0.646449145942553","1"
"Yes","1985","(Married) couple without C. ","higher education","124","0.624892336079018","0.556938910731812","0.692845761426224","1"
"Yes","1985","Single parent ","in school","10","","","","1"
"Yes","1985","Single parent ","inadequately","27","","","","1"
"Yes","1985","Single parent ","general elemantary","105","0.545631436980064","0.475566448300582","0.615696425659546","1"
"Yes","1985","Single parent ","middle vocational","145","0.597401645652634","0.535226280358765","0.659577010946503","1"
"Yes","1985","Single parent ","vocational + Abi","6","","","","1"
"Yes","1985","Single parent ","higher vocational","16","","","","1"
"Yes","1985","Single parent ","higher education","12","","","","1"
"Yes","1985","Couple + C. LE 16 ","in school","1","","","","1"
"Yes","1985","Couple + C. LE 16 ","inadequately","164","0.658051401719894","0.59971474233279","0.716388061106998","1"
"Yes","1985","Couple + C. LE 16 ","general elemantary","345","0.641118421010657","0.601175674891259","0.681061167130056","1"
"Yes","1985","Couple + C. LE 16 ","middle vocational","767","0.585694430885568","0.559180613434191","0.612208248336944","1"
"Yes","1985","Couple + C. LE 16 ","vocational + Abi","42","0.535377990276667","0.424694986759134","0.646060993794199","1"
"Yes","1985","Couple + C. LE 16 ","higher vocational","106","0.566252115361732","0.495597458341051","0.636906772382413","1"
"Yes","1985","Couple + C. LE 16 ","higher education","141","0.549468096807471","0.487419262059534","0.611516931555408","1"
"Yes","1985","Couple + C. GT 16 ","in school","49","0.620026056361284","0.514323020624477","0.725729092098091","1"
