"ple0044_h","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"No","1985","1-pers.-HH","indirect migration background","4","","","","2"
"No","1985","(Married) couple without C. ","direct migration background","162","0.332689040161569","0.286857078060733","0.378521002262405","2"
"No","1985","Single parent ","no migration background","171","0.4107828117591","0.363449392511143","0.458116231007057","2"
"No","1985","1-pers.-HH","direct migration background","84","0.37047423186831","0.303711235289601","0.43723722844702","2"
"No","1985","(Married) couple without C. ","indirect migration background","3","","","","2"
"No","1985","1-pers.-HH","no migration background","400","0.39797687364796","0.367205246330839","0.428748500965081","2"
"No","1985","(Married) couple without C. ","no migration background","830","0.399361077010872","0.378003006800022","0.420719147221723","2"
"No","1985","Single parent ","direct migration background","47","0.438828007954057","0.349291067474951","0.528364948433164","2"
"No","1985","Single parent ","indirect migration background","4","","","","2"
"No","1985","Couple + C. LE 16 ","no migration background","698","0.415051119431371","0.391545504258247","0.438556734604496","2"
"No","1985","Couple + C. GT 16 ","no migration background","605","0.394239017379605","0.369980989901893","0.418497044857317","2"
"No","1985","Couple + C. GT 16 ","direct migration background","177","0.396332533307914","0.349992648091202","0.442672418524627","2"
"No","1985","Couple + C. LE 16 ","direct migration background","389","0.377482205754357","0.347085610813897","0.407878800694817","2"
"No","1985","Couple + C. LE 16 ","indirect migration background","7","","","","2"
"No","1985","Couple + C. GT 16 ","indirect migration background","13","","","","2"
"No","1985","Couple + C. LE and GT 16","no migration background","317","0.380665294768739","0.347452083889357","0.413878505648121","2"
"No","1985","Couple + C. LE and GT 16","direct migration background","258","0.397630519350452","0.359169195041132","0.436091843659771","2"
"No","1985","Couple + C. LE and GT 16","indirect migration background","17","","","","2"
"Yes","1985","1-pers.-HH","no migration background","572","0.60202312635204","0.571251499034919","0.632794753669161","1"
"Yes","1985","1-pers.-HH","direct migration background","117","0.62952576813169","0.56276277155298","0.696288764710399","1"
"Yes","1985","1-pers.-HH","indirect migration background","4","","","","1"
"Yes","1985","(Married) couple without C. ","no migration background","1190","0.600638922989128","0.579280852778277","0.621996993199978","1"
"Yes","1985","(Married) couple without C. ","direct migration background","244","0.667310959838431","0.621478997737595","0.713142921939267","1"
"Yes","1985","(Married) couple without C. ","indirect migration background","6","","","","1"
"Yes","1985","Single parent ","no migration background","244","0.5892171882409","0.541883768992943","0.636550607488857","1"
"Yes","1985","Single parent ","direct migration background","71","0.561171992045943","0.471635051566836","0.650708932525049","1"
"Yes","1985","Single parent ","indirect migration background","9","","","","1"
"Yes","1985","Couple + C. LE 16 ","no migration background","990","0.584948880568629","0.561443265395504","0.608454495741753","1"
"Yes","1985","Couple + C. LE 16 ","direct migration background","588","0.622517794245643","0.592121199305183","0.652914389186103","1"
"Yes","1985","Couple + C. LE 16 ","indirect migration background","10","","","","1"
"Yes","1985","Couple + C. GT 16 ","no migration background","954","0.605760982620395","0.581502955142683","0.630019010098107","1"
"Yes","1985","Couple + C. GT 16 ","direct migration background","251","0.603667466692086","0.557327581475373","0.650007351908798","1"
"Yes","1985","Couple + C. GT 16 ","indirect migration background","29","","","","1"
"Yes","1985","Couple + C. LE and GT 16","no migration background","504","0.619334705231261","0.586121494351879","0.652547916110643","1"
"Yes","1985","Couple + C. LE and GT 16","direct migration background","364","0.602369480649548","0.563908156340229","0.640830804958868","1"
"Yes","1985","Couple + C. LE and GT 16","indirect migration background","33","0.681733203055878","0.552621390309861","0.810845015801896","1"
"No","1986","1-pers.-HH","no migration background","672","0.770211241239766","0.742787090219816","0.797635392259717","2"
"No","1986","1-pers.-HH","direct migration background","122","0.752716812258903","0.690547604898796","0.81488601961901","2"
"No","1986","(Married) couple without C. ","indirect migration background","8","","","","2"
"No","1986","(Married) couple without C. ","direct migration background","256","0.669576323805317","0.622713523963443","0.71643912364719","2"
"No","1986","1-pers.-HH","indirect migration background","6","","","","2"
"No","1986","Single parent ","no migration background","256","0.67711853397296","0.630168110680102","0.724068957265819","2"
"No","1986","Couple + C. LE 16 ","no migration background","903","0.611131283983432","0.586320169278308","0.635942398688556","2"
"No","1986","(Married) couple without C. ","no migration background","1382","0.729873799426689","0.710231370824171","0.749516228029207","2"
"No","1986","Single parent ","direct migration background","63","0.679599563099625","0.590345799797511","0.76885332640174","2"
"No","1986","Single parent ","indirect migration background","7","","","","2"
"No","1986","Couple + C. LE 16 ","direct migration background","548","0.619603220192777","0.587527087311059","0.651679353074495","2"
"No","1986","Couple + C. LE 16 ","indirect migration background","14","","","","2"
"No","1986","Couple + C. GT 16 ","no migration background","971","0.626311540618818","0.602242860083897","0.650380221153739","2"
"No","1986","Couple + C. GT 16 ","direct migration background","316","0.700496126767805","0.659605039095771","0.741387214439839","2"
"No","1986","Couple + C. GT 16 ","indirect migration background","25","","","","2"
"No","1986","Couple + C. LE and GT 16","no migration background","478","0.62617973831911","0.591714516716626","0.660644959921594","2"
"No","1986","Couple + C. LE and GT 16","direct migration background","369","0.614980734756039","0.575276925990967","0.65468454352111","2"
"No","1986","Couple + C. LE and GT 16","indirect migration background","31","0.589035967336412","0.451276052611045","0.72679588206178","2"
"Yes","1986","1-pers.-HH","no migration background","232","0.229788758760234","0.202364607740283","0.257212909780184","1"
"Yes","1986","1-pers.-HH","direct migration background","63","0.247283187741097","0.18511398038099","0.309452395101205","1"
"Yes","1986","1-pers.-HH","indirect migration background","5","","","","1"
"Yes","1986","(Married) couple without C. ","no migration background","581","0.270126200573311","0.250483771970793","0.289768629175829","1"
"Yes","1986","(Married) couple without C. ","direct migration background","131","0.330423676194683","0.28356087635281","0.377286476036557","1"
"Yes","1986","(Married) couple without C. ","indirect migration background","4","","","","1"
"Yes","1986","Single parent ","no migration background","125","0.32288146602704","0.275931042734181","0.369831889319898","1"
"Yes","1986","Single parent ","direct migration background","42","0.320400436900375","0.23114667359826","0.409654200202489","1"
"Yes","1986","Single parent ","indirect migration background","6","","","","1"
"Yes","1986","Couple + C. LE 16 ","no migration background","580","0.388868716016568","0.364057601311444","0.413679830721692","1"
"Yes","1986","Couple + C. LE 16 ","direct migration background","332","0.380396779807223","0.348320646925505","0.412472912688941","1"
"Yes","1986","Couple + C. LE 16 ","indirect migration background","1","","","","1"
"Yes","1986","Couple + C. GT 16 ","no migration background","581","0.373688459381182","0.349619778846261","0.397757139916103","1"
"Yes","1986","Couple + C. GT 16 ","direct migration background","166","0.299503873232195","0.258612785560162","0.340394960904229","1"
"Yes","1986","Couple + C. GT 16 ","indirect migration background","22","","","","1"
"Yes","1986","Couple + C. LE and GT 16","no migration background","279","0.37382026168089","0.339355040078406","0.408285483283374","1"
"Yes","1986","Couple + C. LE and GT 16","direct migration background","208","0.385019265243961","0.34531545647889","0.424723074009033","1"
"Yes","1986","Couple + C. LE and GT 16","indirect migration background","18","","","","1"
"No","1987","1-pers.-HH","direct migration background","115","0.714045445288758","0.64839709259517","0.779693797982346","2"
"No","1987","1-pers.-HH","no migration background","710","0.816830851118551","0.791616017564291","0.842045684672811","2"
"No","1987","(Married) couple without C. ","direct migration background","270","0.745462316909231","0.701549521759588","0.789375112058874","2"
"No","1987","(Married) couple without C. ","indirect migration background","11","","","","2"
"No","1987","1-pers.-HH","indirect migration background","9","","","","2"
"No","1987","(Married) couple without C. ","no migration background","1416","0.763683621153329","0.744681541842411","0.782685700464246","2"
"No","1987","Single parent ","no migration background","265","0.646363668788355","0.599627622331428","0.693099715245283","2"
"No","1987","Single parent ","direct migration background","70","0.730926547944684","0.645694344769376","0.816158751119992","2"
"No","1987","Single parent ","indirect migration background","8","","","","2"
"No","1987","Couple + C. LE 16 ","no migration background","921","0.645012046534896","0.620254200310279","0.669769892759512","2"
"No","1987","Couple + C. LE 16 ","direct migration background","587","0.665281363616232","0.633761150805823","0.696801576426641","2"
"No","1987","Couple + C. LE 16 ","indirect migration background","16","","","","2"
"No","1987","Couple + C. GT 16 ","no migration background","1058","0.669580406021626","0.646298993473255","0.692861818569998","2"
"No","1987","Couple + C. GT 16 ","direct migration background","328","0.717959996248307","0.678035112594781","0.757884879901833","2"
"No","1987","Couple + C. GT 16 ","indirect migration background","37","0.51213732554504","0.380035518941901","0.644239132148178","2"
"No","1987","Couple + C. LE and GT 16","no migration background","420","0.647810557782619","0.610891145255919","0.684729970309319","2"
"No","1987","Couple + C. LE and GT 16","direct migration background","399","0.707911571536989","0.669735035356225","0.746088107717754","2"
"No","1987","Couple + C. LE and GT 16","indirect migration background","39","0.795134771613313","0.685436213758416","0.90483332946821","2"
"Yes","1987","1-pers.-HH","no migration background","194","0.183169148881449","0.157954315327189","0.208383982435709","1"
"Yes","1987","1-pers.-HH","direct migration background","67","0.285954554711242","0.220306202017655","0.35160290740483","1"
"Yes","1987","1-pers.-HH","indirect migration background","3","","","","1"
"Yes","1987","(Married) couple without C. ","no migration background","504","0.236316378846671","0.217314299535754","0.255318458157589","1"
"Yes","1987","(Married) couple without C. ","direct migration background","108","0.254537683090769","0.210624887941126","0.298450478240412","1"
"Yes","1987","(Married) couple without C. ","indirect migration background","2","","","","1"
"Yes","1987","Single parent ","no migration background","137","0.353636331211645","0.306900284754718","0.400372377668572","1"
"Yes","1987","Single parent ","direct migration background","34","0.269073452055316","0.183841248880008","0.354305655230624","1"
"Yes","1987","Single parent ","indirect migration background","3","","","","1"
"Yes","1987","Couple + C. LE 16 ","no migration background","514","0.354987953465104","0.330230107240488","0.379745799689721","1"
"Yes","1987","Couple + C. LE 16 ","direct migration background","274","0.334718636383768","0.303198423573359","0.366238849194177","1"
"Yes","1987","Couple + C. LE 16 ","indirect migration background","6","","","","1"
"Yes","1987","Couple + C. GT 16 ","no migration background","510","0.330419593978374","0.307138181430002","0.353701006526745","1"
"Yes","1987","Couple + C. GT 16 ","direct migration background","160","0.282040003751693","0.242115120098167","0.321964887405219","1"
"Yes","1987","Couple + C. GT 16 ","indirect migration background","18","","","","1"
"Yes","1987","Couple + C. LE and GT 16","no migration background","223","0.352189442217381","0.315270029690681","0.389108854744081","1"
"Yes","1987","Couple + C. LE and GT 16","direct migration background","146","0.292088428463011","0.253911892282246","0.330264964643775","1"
"Yes","1987","Couple + C. LE and GT 16","indirect migration background","13","","","","1"
"No","1988","(Married) couple without C. ","direct migration background","285","0.734622242883802","0.691987487112326","0.777256998655279","2"
"No","1988","1-pers.-HH","direct migration background","124","0.772104778891861","0.709048351708924","0.835161206074797","2"
"No","1988","(Married) couple without C. ","indirect migration background","13","","","","2"
"No","1988","1-pers.-HH","no migration background","684","0.807269369212051","0.781163815889623","0.833374922534478","2"
"No","1988","1-pers.-HH","indirect migration background","10","","","","2"
"No","1988","(Married) couple without C. ","no migration background","1363","0.767555394928306","0.748202891820377","0.786907898036235","2"
"No","1988","Single parent ","no migration background","244","0.607381773515461","0.558791612929201","0.655971934101721","2"
"No","1988","Single parent ","direct migration background","69","0.709375135315788","0.62125962312282","0.797490647508757","2"
"No","1988","Single parent ","indirect migration background","5","","","","2"
"No","1988","Couple + C. LE 16 ","no migration background","857","0.620559379237503","0.595058913694468","0.646059844780538","2"
"No","1988","Couple + C. LE 16 ","direct migration background","529","0.662018337162393","0.628520614322514","0.695516060002273","2"
"No","1988","Couple + C. LE 16 ","indirect migration background","16","","","","2"
"No","1988","Couple + C. GT 16 ","no migration background","1063","0.663368738140174","0.640184844774009","0.686552631506339","2"
"No","1988","Couple + C. GT 16 ","direct migration background","343","0.708308346370489","0.667645230570081","0.748971462170896","2"
"No","1988","Couple + C. GT 16 ","indirect migration background","61","0.688489890562532","0.590612198114508","0.786367583010556","2"
"No","1988","Couple + C. LE and GT 16","no migration background","320","0.60509555459127","0.563201225580543","0.646989883601996","2"
"No","1988","Couple + C. LE and GT 16","direct migration background","338","0.706083613567675","0.665329876566371","0.746837350568978","2"
"No","1988","Couple + C. LE and GT 16","indirect migration background","43","0.720543734827891","0.60405128953744","0.837036180118342","2"
"Yes","1988","1-pers.-HH","no migration background","193","0.192730630787949","0.166625077465522","0.218836184110376","1"
"Yes","1988","1-pers.-HH","direct migration background","46","0.227895221108139","0.164838793925203","0.290951648291076","1"
"Yes","1988","1-pers.-HH","indirect migration background","2","","","","1"
