"ple0044_h","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1985","1-pers.-HH","Male","191","0.388777650727947","0.344800473461142","0.432754827994752","2"
"No","1985","1-pers.-HH","Female","297","0.399547532921445","0.363493942817782","0.435601123025109","2"
"No","1985","(Married) couple without C. ","Male","488","0.382767398389823","0.35545909616716","0.410075700612486","2"
"No","1985","Couple + C. LE 16 ","Female","467","0.349098269691009","0.323566003496558","0.374630535885459","2"
"No","1985","(Married) couple without C. ","Female","507","0.405340714304457","0.377768689308581","0.432912739300334","2"
"No","1985","Single parent ","Male","73","0.377812485770172","0.30850694360225","0.447118027938094","2"
"No","1985","Single parent ","Female","149","0.428477742843649","0.377216717897281","0.479738767790017","2"
"No","1985","Couple + C. LE 16 ","Male","627","0.467647489942252","0.440962377226378","0.494332602658126","2"
"No","1985","Couple + C. GT 16 ","Male","438","0.39956193357882","0.370760293196514","0.428363573961126","2"
"No","1985","Couple + C. GT 16 ","Female","357","0.386527781614215","0.355027491212103","0.418028072016327","2"
"No","1985","Couple + C. LE and GT 16","Male","346","0.423732788127924","0.389702660966228","0.457762915289621","2"
"No","1985","Couple + C. LE and GT 16","Female","246","0.333861941528094","0.298494526405181","0.369229356651007","2"
"Yes","1985","1-pers.-HH","Male","281","0.611222349272053","0.567245172005248","0.655199526538858","1"
"Yes","1985","1-pers.-HH","Female","412","0.600452467078554","0.564398876974891","0.636506057182218","1"
"Yes","1985","(Married) couple without C. ","Male","729","0.617232601610177","0.589924299387514","0.64454090383284","1"
"Yes","1985","(Married) couple without C. ","Female","711","0.594659285695543","0.567087260699666","0.622231310691419","1"
"Yes","1985","Single parent ","Male","115","0.622187514229828","0.552881972061906","0.69149305639775","1"
"Yes","1985","Single parent ","Female","209","0.571522257156351","0.520261232209983","0.622783282102719","1"
"Yes","1985","Couple + C. LE 16 ","Male","716","0.532352510057748","0.505667397341874","0.559037622773622","1"
"Yes","1985","Couple + C. LE 16 ","Female","872","0.650901730308992","0.625369464114541","0.676433996503442","1"
"Yes","1985","Couple + C. GT 16 ","Male","673","0.60043806642118","0.571636426038874","0.629239706803486","1"
"Yes","1985","Couple + C. GT 16 ","Female","561","0.613472218385785","0.581971927983673","0.644972508787897","1"
"Yes","1985","Couple + C. LE and GT 16","Male","464","0.576267211872076","0.542237084710379","0.610297339033772","1"
"Yes","1985","Couple + C. LE and GT 16","Female","437","0.666138058471906","0.630770643348993","0.701505473594819","1"
"No","1986","1-pers.-HH","Male","267","0.621465923488308","0.576351256400239","0.666580590576377","2"
"No","1986","1-pers.-HH","Female","533","0.838490185981126","0.810329409742453","0.866650962219799","2"
"No","1986","(Married) couple without C. ","Male","766","0.679318781137993","0.652631598280311","0.706005963995675","2"
"No","1986","(Married) couple without C. ","Female","880","0.772816879278458","0.748980018411909","0.796653740145007","2"
"No","1986","Single parent ","Male","107","0.623800269889866","0.552027272168242","0.695573267611491","2"
"No","1986","Couple + C. LE 16 ","Female","865","0.731001113732999","0.705795839670449","0.756206387795549","2"
"No","1986","Single parent ","Female","219","0.703302777386909","0.653563039470106","0.753042515303712","2"
"No","1986","Couple + C. GT 16 ","Male","680","0.585810778420257","0.557291807012781","0.614329749827733","2"
"No","1986","Couple + C. LE 16 ","Male","600","0.500765324062008","0.472345154854407","0.529185493269609","2"
"No","1986","Couple + C. GT 16 ","Female","632","0.68736668591145","0.657653162541216","0.717080209281683","2"
