"ple0044_h","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"No","1985","Not Employed","no migration background","1024","0.3200188174215","0.304030218070476","0.336007416772524","2"
"No","1985","Not Employed","direct migration background","242","0.24860989984796","0.220230632279854","0.276989167416066","2"
"No","1985","Not Employed","indirect migration background","22","","","","2"
"No","1985","Employed","no migration background","2176","0.458246889897644","0.444044552467599","0.47244922732769","2"
"No","1985","Employed","direct migration background","954","0.442575664281067","0.421095648365413","0.46405568019672","2"
"No","1985","Employed","indirect migration background","27","","","","2"
"Yes","1985","Not Employed","no migration background","2246","0.6799811825785","0.663992583227476","0.695969781929524","1"
"Yes","1985","Not Employed","direct migration background","649","0.75139010015204","0.723010832583934","0.779769367720146","1"
"Yes","1985","Not Employed","indirect migration background","50","0.630360772563722","0.51886318795203","0.741858357175414","1"
"Yes","1985","Employed","no migration background","2552","0.541753110102356","0.52755077267231","0.555955447532401","1"
"Yes","1985","Employed","direct migration background","1100","0.557424335718933","0.53594431980328","0.578904351634587","1"
"Yes","1985","Employed","indirect migration background","45","0.702621463022046","0.597037645825153","0.808205280218939","1"
"No","1986","Not Employed","direct migration background","792","0.936365258945805","0.919964909655567","0.952765608236044","2"
"No","1986","Not Employed","no migration background","2798","0.940210498782491","0.931713512876057","0.948707484688924","2"
"No","1986","Employed","no migration background","2195","0.483583483455214","0.469031078161214","0.498135888749215","2"
"No","1986","Not Employed","indirect migration background","57","0.960689420754491","0.912702371916041","1.00867646959294","2"
"No","1986","Employed","direct migration background","1029","0.51419491964018","0.492118931618887","0.536270907661474","2"
"No","1986","Employed","indirect migration background","40","0.431418404792631","0.329095568602877","0.533741240982385","2"
"Yes","1986","Not Employed","no migration background","193","0.0597895012175094","0.0512925153110759","0.0682864871239429","1"
"Yes","1986","Not Employed","direct migration background","59","0.0636347410541946","0.0472343917639561","0.0800350903444332","1"
"Yes","1986","Not Employed","indirect migration background","6","","","","1"
"Yes","1986","Employed","no migration background","2335","0.516416516544786","0.501864111250785","0.530968921838786","1"
"Yes","1986","Employed","direct migration background","940","0.48580508035982","0.463729092338526","0.507881068381113","1"
"Yes","1986","Employed","indirect migration background","50","0.568581595207369","0.466258759017616","0.670904431397123","1"
"No","1987","Not Employed","no migration background","2825","0.990778590528209","0.987276106831791","0.994281074224627","2"
