"ple0044_h","year","bula_h","migback","n","percent","lower_confidence","upper_confidence","value"
"No","1985","Bremen","direct migration background","5","","","","2"
"No","1985","Bremen","indirect migration background","","","","","2"
"No","1985","Schleswig-Holstein","direct migration background","9","","","","2"
"No","1985","Schleswig-Holstein","no migration background","139","0.428690553655526","0.373952301435792","0.48342880587526","2"
"No","1985","Schleswig-Holstein","indirect migration background","","","","","2"
"No","1985","Hamburg","no migration background","97","0.450132659741575","0.382683868206974","0.517581451276176","2"
"No","1985","Hamburg","direct migration background","29","","","","2"
"No","1985","Hamburg","indirect migration background","1","","","","2"
"No","1985","Lower Saxony","no migration background","365","0.377470364881989","0.346563594009271","0.408377135754706","2"
"No","1985","Lower Saxony","direct migration background","53","0.388374087257563","0.311646718826456","0.46510145568867","2"
"No","1985","Lower Saxony","indirect migration background","3","","","","2"
"No","1985","Bremen","no migration background","27","","","","2"
"No","1985","North Rhine-Westphalia","no migration background","860","0.404669022474104","0.383790377248607","0.425547667699601","2"
"No","1985","North Rhine-Westphalia","direct migration background","307","0.363184306585454","0.330003897252151","0.396364715918758","2"
"No","1985","Hesse","no migration background","291","0.401076373503668","0.364897687030377","0.437255059976959","2"
"No","1985","Hesse","direct migration background","201","0.384751793750314","0.338386457678437","0.43111712982219","2"
"No","1985","Hesse","indirect migration background","4","","","","2"
"No","1985","Rhineland-Palatinate,Saarland","no migration background","245","0.383382096357058","0.345565258848285","0.421198933865831","2"
"No","1985","Rhineland-Palatinate,Saarland","direct migration background","61","0.379434793151189","0.296339824102046","0.462529762200331","2"
"No","1985","Rhineland-Palatinate,Saarland","indirect migration background","2","","","","2"
"No","1985","North Rhine-Westphalia","indirect migration background","14","","","","2"
"No","1985","Baden-Württemberg","no migration background","456","0.365981629306343","0.33901768509394","0.392945573518745","2"
"No","1985","Baden-Württemberg","direct migration background","318","0.3803981334475","0.346693122102882","0.414103144792119","2"
"No","1985","Baden-Württemberg","indirect migration background","16","","","","2"
"No","1985","Bavaria","no migration background","596","0.399036560736364","0.374163392214845","0.423909729257884","2"
"No","1985","Bavaria","direct migration background","167","0.374777447698536","0.327040616670435","0.422514278726637","2"
"No","1985","Bavaria","indirect migration background","9","","","","2"
"No","1985","Berlin","no migration background","124","0.483793291747728","0.423281614822206","0.544304968673251","2"
"No","1985","Berlin","direct migration background","46","0.402858796357083","0.307675015839522","0.498042576874645","2"
"No","1985","Brandenburg","no migration background","","","","","2"
"No","1985","Brandenburg","direct migration background","","","","","2"
"No","1985","Brandenburg","indirect migration background","","","","","2"
"No","1985","Mecklenburg-Western Pomerania","indirect migration background","","","","","2"
"No","1985","Saxony","no migration background","","","","","2"
"No","1985","Berlin","indirect migration background","","","","","2"
"No","1985","Mecklenburg-Western Pomerania","no migration background","","","","","2"
"No","1985","Mecklenburg-Western Pomerania","direct migration background","","","","","2"
"No","1985","Saxony","direct migration background","","","","","2"
"No","1985","Saxony","indirect migration background","","","","","2"
"No","1985","Saxony-Anhalt","no migration background","","","","","2"
"No","1985","Saxony-Anhalt","direct migration background","","","","","2"
"No","1985","Saxony-Anhalt","indirect migration background","","","","","2"
"No","1985","Thuringia","no migration background","","","","","2"
"No","1985","Thuringia","direct migration background","","","","","2"
"No","1985","Thuringia","indirect migration background","","","","","2"
"Yes","1985","Schleswig-Holstein","no migration background","175","0.571309446344474","0.51657119412474","0.626047698564208","1"
"Yes","1985","Schleswig-Holstein","direct migration background","30","0.725662773497131","0.585631324900229","0.865694222094034","1"
"Yes","1985","Schleswig-Holstein","indirect migration background","1","","","","1"
"Yes","1985","Hamburg","no migration background","112","0.549867340258425","0.482418548723824","0.617316131793026","1"
"Yes","1985","Hamburg","direct migration background","41","0.577823305626607","0.462120543776408","0.693526067476805","1"
