"ple0044_h","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1985","higher education","296","0.399082557022915","0.364220559589213","0.433944554456618","2"
"No","1985","vocational + Abi","110","0.388308211030034","0.331222989890103","0.445393432169966","2"
"No","1985","higher vocational","257","0.403903605988595","0.36531141783487","0.44249579414232","2"
"No","1985","general elemantary","1190","0.376596590990332","0.359482019684617","0.393711162296047","2"
"No","1985","middle vocational","2138","0.403526699739708","0.3901895939706","0.416863805508816","2"
"No","1985","inadequately","344","0.387633012654897","0.354860441950412","0.420405583359382","2"
"No","1985","in school","71","0.373203695175106","0.303882910657439","0.442524479692774","2"
"Yes","1985","in school","116","0.626796304824894","0.557475520307226","0.696117089342561","1"
"Yes","1985","inadequately","505","0.612366987345103","0.579594416640618","0.645139558049588","1"
"Yes","1985","general elemantary","1889","0.623403409009668","0.606288837703953","0.640517980315383","1"
"Yes","1985","middle vocational","3060","0.596473300260292","0.583136194491184","0.6098104060294","1"
"Yes","1985","vocational + Abi","170","0.611691788969966","0.554606567830035","0.668777010109897","1"
"Yes","1985","higher vocational","364","0.596096394011405","0.55750420585768","0.63468858216513","1"
"Yes","1985","higher education","462","0.600917442977085","0.566055445543382","0.635779440410787","1"
"No","1986","higher education","395","0.561857276407635","0.525987784239011","0.597726768576259","2"
"No","1986","higher vocational","341","0.618128470364955","0.578520536712736","0.657736404017174","2"
"No","1986","vocational + Abi","165","0.635230903221099","0.577919865344169","0.692541941098028","2"
"No","1986","general elemantary","2051","0.755833374923011","0.740192714644586","0.771474035201436","2"
"No","1986","inadequately","566","0.752288765624744","0.721916137675517","0.78266139357397","2"
"No","1986","middle vocational","3152","0.663525865949601","0.650348356123941","0.676703375775262","2"
"No","1986","in school","171","0.924686808080011","0.886659543631617","0.962714072528404","2"
"Yes","1986","in school","14","","","","1"
"Yes","1986","inadequately","210","0.247711234375257","0.21733860642603","0.278083862324483","1"
"Yes","1986","general elemantary","847","0.244166625076989","0.228525964798564","0.259807285355414","1"
"Yes","1986","middle vocational","1787","0.336474134050399","0.323296624224738","0.349651643876059","1"
"Yes","1986","vocational + Abi","106","0.364769096778902","0.307458058901972","0.422080134655831","1"
"Yes","1986","higher vocational","237","0.381871529635045","0.342263595982826","0.421479463287264","1"
"Yes","1986","higher education","340","0.438142723592365","0.402273231423741","0.474012215760989","1"
"No","1987","higher education","393","0.572248879315307","0.536160486139061","0.608337272491552","2"
"No","1987","higher vocational","352","0.653929110363058","0.614315805271335","0.69354241545478","2"
"No","1987","general elemantary","2105","0.791418264819915","0.776403988737166","0.806432540902663","2"
"No","1987","vocational + Abi","180","0.68075168331061","0.625451644326534","0.736051722294686","2"
"No","1987","inadequately","563","0.760395494064123","0.729888007507653","0.790902980620593","2"
"No","1987","in school","180","0.917698705067182","0.878723823777786","0.956673586356578","2"
"No","1987","middle vocational","3345","0.709035953242004","0.696293663381662","0.721778243102346","2"
"Yes","1987","in school","11","","","","1"
"Yes","1987","inadequately","189","0.239604505935877","0.209097019379407","0.270111992492347","1"
"Yes","1987","general elemantary","708","0.208581735180085","0.193567459097337","0.223596011262834","1"
"Yes","1987","middle vocational","1536","0.290964046757996","0.278221756897654","0.303706336618338","1"
"Yes","1987","vocational + Abi","93","0.31924831668939","0.263948277705314","0.374548355673466","1"
"Yes","1987","higher vocational","202","0.346070889636942","0.306457584545219","0.385684194728665","1"
"Yes","1987","higher education","329","0.427751120684693","0.391662727508448","0.463839513860939","1"
"No","1988","higher education","353","0.531737025438443","0.494314671683483","0.569159379193403","2"
"No","1988","higher vocational","321","0.648885644883687","0.608055885983489","0.689715403783884","2"
"No","1988","general elemantary","2025","0.790202872109382","0.774824902954562","0.805580841264202","2"
"No","1988","inadequately","543","0.795133005159784","0.765169846710724","0.825096163608843","2"
"No","1988","middle vocational","3133","0.6940055364921","0.680780189602642","0.707230883381557","2"
"No","1988","vocational + Abi","179","0.706240656697191","0.651708472123021","0.760772841271361","2"
"No","1988","in school","156","0.960748476198283","0.930936730930747","0.990560221465819","2"
"Yes","1988","in school","7","","","","1"
"Yes","1988","inadequately","154","0.204866994840216","0.174903836391157","0.234830153289276","1"
"Yes","1988","general elemantary","668","0.209797127890618","0.194419158735798","0.225175097045438","1"
"Yes","1988","middle vocational","1531","0.305994463507901","0.292769116618443","0.319219810397358","1"
"Yes","1988","vocational + Abi","89","0.293759343302809","0.239227158728639","0.348291527876979","1"
"Yes","1988","higher vocational","204","0.351114355116313","0.310284596216116","0.391944114016511","1"
"Yes","1988","higher education","330","0.468262974561557","0.430840620806597","0.505685328316517","1"
"No","1989","higher vocational","317","0.632403364579332","0.590639953759757","0.674166775398908","2"
"No","1989","higher education","372","0.557911196012541","0.521041547398441","0.594780844626641","2"
"No","1989","inadequately","532","0.834504539679666","0.806000993499164","0.863008085860169","2"
"No","1989","general elemantary","1936","0.798236152068147","0.782705425315515","0.81376687882078","2"
"No","1989","middle vocational","3172","0.714819175080017","0.701768833922333","0.727869516237702","2"
"No","1989","vocational + Abi","190","0.683163387495928","0.629243987999811","0.737082786992044","2"
"No","1989","in school","168","0.976332300435895","0.953810354101218","0.998854246770572","2"
"Yes","1989","in school","7","","","","1"
"Yes","1989","inadequately","121","0.165495460320334","0.136991914139831","0.193999006500836","1"
"Yes","1989","general elemantary","629","0.201763847931853","0.18623312117922","0.217294574684485","1"
"Yes","1989","middle vocational","1426","0.285180824919983","0.272130483762298","0.298231166077667","1"
"Yes","1989","vocational + Abi","96","0.316836612504072","0.262917213007956","0.370756012000189","1"
"Yes","1989","higher vocational","195","0.367596635420668","0.325833224601092","0.409360046240243","1"
"Yes","1989","higher education","325","0.442088803987459","0.405219155373359","0.478958452601559","1"
"No","1990","higher education","","","","","2"
"No","1990","higher vocational","","","","","2"
"No","1990","inadequately","","","","","2"
"No","1990","general elemantary","","","","","2"
"No","1990","middle vocational","","","","","2"
"No","1990","vocational + Abi","","","","","2"
"No","1990","in school","","","","","2"
"Yes","1990","in school","","","","","1"
"Yes","1990","inadequately","","","","","1"
"Yes","1990","general elemantary","","","","","1"
"Yes","1990","middle vocational","","","","","1"
"Yes","1990","vocational + Abi","","","","","1"
"Yes","1990","higher vocational","","","","","1"
"Yes","1990","higher education","","","","","1"
"No","1991","general elemantary","2310","0.834314908769469","0.820736197153317","0.84789362038562","2"
"No","1991","inadequately","510","0.778278747114654","0.746610894951823","0.809946599277485","2"
"No","1991","higher vocational","586","0.758416355604136","0.727863625231551","0.78896908597672","2"
"No","1991","higher education","1387","0.748150592462569","0.72738770634914","0.768913478575998","2"
"No","1991","in school","156","0.950438488255679","0.917017070909949","0.98385990560141","2"
"No","1991","middle vocational","5551","0.78035861539314","0.770600013422423","0.790117217363856","2"
"No","1991","vocational + Abi","282","0.727934135652634","0.683130675431973","0.772737595873296","2"
"Yes","1991","in school","6","","","","1"
"Yes","1991","inadequately","151","0.221721252885346","0.190053400722515","0.253389105048177","1"
"Yes","1991","general elemantary","570","0.165685091230531","0.15210637961438","0.179263802846683","1"
"Yes","1991","middle vocational","1363","0.21964138460686","0.209882782636144","0.229399986577577","1"
"Yes","1991","vocational + Abi","97","0.272065864347366","0.227262404126704","0.316869324568027","1"
"Yes","1991","higher vocational","168","0.241583644395864","0.21103091402328","0.272136374768449","1"
"Yes","1991","higher education","292","0.251849407537431","0.231086521424002","0.27261229365086","1"
"No","1992","general elemantary","2157","0.818079269479498","0.803720674487994","0.832437864471003","2"
"No","1992","inadequately","514","0.831823632697948","0.802477295242391","0.861169970153506","2"
"No","1992","higher vocational","438","0.625599911825527","0.591304684648725","0.65989513900233","2"
"No","1992","higher education","872","0.569755854576392","0.545844555344109","0.593667153808675","2"
"No","1992","in school","172","0.905185762060787","0.863084292484411","0.947287231637163","2"
"No","1992","middle vocational","4347","0.689294607932269","0.678192657302558","0.70039655856198","2"
"No","1992","vocational + Abi","260","0.675876507891611","0.629062975877309","0.722690039905914","2"
"Yes","1992","in school","14","","","","1"
"Yes","1992","inadequately","110","0.168176367302051","0.138830029846493","0.197522704757609","1"
"Yes","1992","general elemantary","616","0.181920730520502","0.167562135528997","0.196279325512006","1"
"Yes","1992","middle vocational","2328","0.310705392067731","0.29960344143802","0.321807342697442","1"
"Yes","1992","vocational + Abi","124","0.324123492108388","0.277309960094086","0.370937024122691","1"
"Yes","1992","higher vocational","327","0.374400088174473","0.34010486099767","0.408695315351275","1"
"Yes","1992","higher education","775","0.430244145423608","0.406332846191325","0.45415544465589","1"
"No","1993","inadequately","","","","","2"
"No","1993","general elemantary","","","","","2"
"No","1993","higher vocational","","","","","2"
"No","1993","higher education","","","","","2"
"No","1993","in school","","","","","2"
"No","1993","middle vocational","","","","","2"
"No","1993","vocational + Abi","","","","","2"
"Yes","1993","in school","","","","","1"
"Yes","1993","inadequately","","","","","1"
"Yes","1993","general elemantary","","","","","1"
"Yes","1993","middle vocational","","","","","1"
"Yes","1993","vocational + Abi","","","","","1"
"Yes","1993","higher vocational","","","","","1"
"Yes","1993","higher education","","","","","1"
"No","1994","in school","232","0.967222680428466","0.944649170402971","0.989796190453962","2"
"No","1994","general elemantary","1964","0.827509041733081","0.81266660576352","0.842351477702643","2"
"No","1994","inadequately","447","0.80929819167595","0.776584850783655","0.842011532568244","2"
"No","1994","higher vocational","463","0.667435442117106","0.6337175766462","0.701153307588013","2"
"No","1994","higher education","946","0.605982710141768","0.582348054939133","0.629617365344402","2"
"No","1994","middle vocational","4511","0.725196704187196","0.714384041995133","0.736009366379258","2"
"No","1994","vocational + Abi","263","0.666277516940251","0.619538451453359","0.713016582427142","2"
"Yes","1994","general elemantary","525","0.172490958266919","0.157648522297357","0.18733339423648","1"
"Yes","1994","middle vocational","2037","0.274803295812804","0.263990633620742","0.285615958004867","1"
"Yes","1994","vocational + Abi","128","0.333722483059749","0.286983417572858","0.380461548546641","1"
"Yes","1994","higher vocational","287","0.332564557882894","0.298846692411987","0.3662824233538","1"
