"ple0044_h","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Not a day","1985","in school","Male","73","1","1","1"
"Not a day","1985","in school","Female","43","1","1","1"
"Not a day","1985","inadequately","Male","200","1","1","1"
"Not a day","1985","inadequately","Female","305","1","1","1"
"Not a day","1985","general elemantary","Male","603","1","1","1"
"Not a day","1985","general elemantary","Female","1286","1","1","1"
"Not a day","1985","middle vocational","Male","1634","1","1","1"
"Not a day","1985","middle vocational","Female","1426","1","1","1"
"Not a day","1985","vocational + Abi","Male","107","1","1","1"
"Not a day","1985","vocational + Abi","Female","63","1","1","1"
"Not a day","1985","higher vocational","Male","207","1","1","1"
"Not a day","1985","higher vocational","Female","157","1","1","1"
"Not a day","1985","higher education","Male","314","1","1","1"
"Not a day","1985","higher education","Female","148","1","1","1"
"Not a day","1986","in school","Male","10","","",""
"Not a day","1986","in school","Female","4","","",""
"Not a day","1986","inadequately","Male","111","1","1","1"
"Not a day","1986","inadequately","Female","99","1","1","1"
"Not a day","1986","general elemantary","Male","392","1","1","1"
"Not a day","1986","general elemantary","Female","455","1","1","1"
"Not a day","1986","middle vocational","Male","1136","1","1","1"
"Not a day","1986","middle vocational","Female","651","1","1","1"
"Not a day","1986","vocational + Abi","Male","62","1","1","1"
"Not a day","1986","vocational + Abi","Female","44","1","1","1"
"Not a day","1986","higher vocational","Male","151","1","1","1"
"Not a day","1986","higher vocational","Female","86","1","1","1"
"Not a day","1986","higher education","Male","266","1","1","1"
"Not a day","1986","higher education","Female","74","1","1","1"
"Not a day","1987","in school","Male","8","","",""
"Not a day","1987","in school","Female","3","","",""
"Not a day","1987","inadequately","Male","101","1","1","1"
"Not a day","1987","inadequately","Female","88","1","1","1"
"Not a day","1987","general elemantary","Male","348","1","1","1"
"Not a day","1987","general elemantary","Female","360","1","1","1"
"Not a day","1987","middle vocational","Male","1026","1","1","1"
"Not a day","1987","middle vocational","Female","510","1","1","1"
"Not a day","1987","vocational + Abi","Male","52","1","1","1"
"Not a day","1987","vocational + Abi","Female","41","1","1","1"
"Not a day","1987","higher vocational","Male","140","1","1","1"
"Not a day","1987","higher vocational","Female","62","1","1","1"
"Not a day","1987","higher education","Male","247","1","1","1"
"Not a day","1987","higher education","Female","82","1","1","1"
"Not a day","1988","in school","Male","4","","",""
"Not a day","1988","in school","Female","3","","",""
"Not a day","1988","inadequately","Male","80","1","1","1"
"Not a day","1988","inadequately","Female","74","1","1","1"
"Not a day","1988","general elemantary","Male","328","1","1","1"
"Not a day","1988","general elemantary","Female","340","1","1","1"
"Not a day","1988","middle vocational","Male","983","1","1","1"
"Not a day","1988","middle vocational","Female","548","1","1","1"
"Not a day","1988","vocational + Abi","Male","57","1","1","1"
"Not a day","1988","vocational + Abi","Female","32","1","1","1"
"Not a day","1988","higher vocational","Male","144","1","1","1"
"Not a day","1988","higher vocational","Female","60","1","1","1"
"Not a day","1988","higher education","Male","249","1","1","1"
"Not a day","1988","higher education","Female","81","1","1","1"
"Not a day","1989","in school","Male","3","","",""
"Not a day","1989","in school","Female","4","","",""
"Not a day","1989","inadequately","Male","69","1","1","1"
"Not a day","1989","inadequately","Female","52","1","1","1"
"Not a day","1989","general elemantary","Male","317","1","1","1"
"Not a day","1989","general elemantary","Female","312","1","1","1"
"Not a day","1989","middle vocational","Male","885","1","1","1"
"Not a day","1989","middle vocational","Female","541","1","1","1"
"Not a day","1989","vocational + Abi","Male","50","1","1","1"
"Not a day","1989","vocational + Abi","Female","46","1","1","1"
"Not a day","1989","higher vocational","Male","127","1","1","1"
"Not a day","1989","higher vocational","Female","68","1","1","1"
"Not a day","1989","higher education","Male","255","1","1","1"
"Not a day","1989","higher education","Female","70","1","1","1"
"Not a day","1990","in school","Male","","","",""
"Not a day","1990","in school","Female","","","",""
"Not a day","1990","inadequately","Male","","","",""
"Not a day","1990","inadequately","Female","","","",""
"Not a day","1990","general elemantary","Male","","","",""
"Not a day","1990","general elemantary","Female","","","",""
"Not a day","1990","middle vocational","Male","","","",""
"Not a day","1990","middle vocational","Female","","","",""
"Not a day","1990","vocational + Abi","Male","","","",""
"Not a day","1990","vocational + Abi","Female","","","",""
"Not a day","1990","higher vocational","Male","","","",""
"Not a day","1990","higher vocational","Female","","","",""
"Not a day","1990","higher education","Male","","","",""
"Not a day","1990","higher education","Female","","","",""
"Not a day","1991","in school","Male","4","","",""
"Not a day","1991","in school","Female","2","","",""
"Not a day","1991","inadequately","Male","73","1","1","1"
"Not a day","1991","inadequately","Female","78","1","1","1"
"Not a day","1991","general elemantary","Male","272","1","1","1"
"Not a day","1991","general elemantary","Female","298","1","1","1"
"Not a day","1991","middle vocational","Male","836","1","1","1"
"Not a day","1991","middle vocational","Female","527","1","1","1"
"Not a day","1991","vocational + Abi","Male","58","1","1","1"
"Not a day","1991","vocational + Abi","Female","39","1","1","1"
"Not a day","1991","higher vocational","Male","106","1","1","1"
"Not a day","1991","higher vocational","Female","62","1","1","1"
"Not a day","1991","higher education","Male","222","1","1","1"
"Not a day","1991","higher education","Female","70","1","1","1"
"Not a day","1992","in school","Male","8","","",""
"Not a day","1992","in school","Female","6","","",""
"Not a day","1992","inadequately","Male","52","1","1","1"
"Not a day","1992","inadequately","Female","58","1","1","1"
"Not a day","1992","general elemantary","Male","292","1","1","1"
"Not a day","1992","general elemantary","Female","324","1","1","1"
"Not a day","1992","middle vocational","Male","1335","1","1","1"
"Not a day","1992","middle vocational","Female","993","1","1","1"
"Not a day","1992","vocational + Abi","Male","82","1","1","1"
"Not a day","1992","vocational + Abi","Female","42","1","1","1"
"Not a day","1992","higher vocational","Male","243","1","1","1"
"Not a day","1992","higher vocational","Female","84","1","1","1"
"Not a day","1992","higher education","Male","477","1","1","1"
"Not a day","1992","higher education","Female","298","1","1","1"
"Not a day","1993","in school","Male","","","",""
"Not a day","1993","in school","Female","","","",""
"Not a day","1993","inadequately","Male","","","",""
"Not a day","1993","inadequately","Female","","","",""
"Not a day","1993","general elemantary","Male","","","",""
"Not a day","1993","general elemantary","Female","","","",""
"Not a day","1993","middle vocational","Male","","","",""
"Not a day","1993","middle vocational","Female","","","",""
"Not a day","1993","vocational + Abi","Male","","","",""
"Not a day","1993","vocational + Abi","Female","","","",""
"Not a day","1993","higher vocational","Male","","","",""
"Not a day","1993","higher vocational","Female","","","",""
"Not a day","1993","higher education","Male","","","",""
"Not a day","1993","higher education","Female","","","",""
"Not a day","1994","in school","Male","4","","",""
"Not a day","1994","in school","Female","3","","",""
"Not a day","1994","inadequately","Male","55","1","1","1"
"Not a day","1994","inadequately","Female","52","1","1","1"
"Not a day","1994","general elemantary","Male","258","1","1","1"
"Not a day","1994","general elemantary","Female","267","1","1","1"
"Not a day","1994","middle vocational","Male","1231","1","1","1"
"Not a day","1994","middle vocational","Female","806","1","1","1"
"Not a day","1994","vocational + Abi","Male","86","1","1","1"
"Not a day","1994","vocational + Abi","Female","42","1","1","1"
"Not a day","1994","higher vocational","Male","197","1","1","1"
"Not a day","1994","higher vocational","Female","90","1","1","1"
"Not a day","1994","higher education","Male","451","1","1","1"
"Not a day","1994","higher education","Female","245","1","1","1"
"Not a day","1995","in school","Male","1","","",""
"Not a day","1995","in school","Female","","","",""
"Not a day","1995","inadequately","Male","59","1","1","1"
"Not a day","1995","inadequately","Female","51","1","1","1"
"Not a day","1995","general elemantary","Male","250","1","1","1"
"Not a day","1995","general elemantary","Female","273","1","1","1"
"Not a day","1995","middle vocational","Male","1212","1","1","1"
"Not a day","1995","middle vocational","Female","825","1","1","1"
"Not a day","1995","vocational + Abi","Male","88","1","1","1"
"Not a day","1995","vocational + Abi","Female","59","1","1","1"
"Not a day","1995","higher vocational","Male","200","1","1","1"
"Not a day","1995","higher vocational","Female","91","1","1","1"
"Not a day","1995","higher education","Male","455","1","1","1"
"Not a day","1995","higher education","Female","273","1","1","1"
"Not a day","1996","in school","Male","1","","",""
"Not a day","1996","in school","Female","4","","",""
"Not a day","1996","inadequately","Male","39","1","1","1"
"Not a day","1996","inadequately","Female","44","1","1","1"
"Not a day","1996","general elemantary","Male","242","1","1","1"
"Not a day","1996","general elemantary","Female","234","1","1","1"
"Not a day","1996","middle vocational","Male","1105","1","1","1"
"Not a day","1996","middle vocational","Female","795","1","1","1"
"Not a day","1996","vocational + Abi","Male","83","1","1","1"
"Not a day","1996","vocational + Abi","Female","63","1","1","1"
"Not a day","1996","higher vocational","Male","186","1","1","1"
"Not a day","1996","higher vocational","Female","96","1","1","1"
"Not a day","1996","higher education","Male","438","1","1","1"
"Not a day","1996","higher education","Female","273","1","1","1"
"Not a day","1997","in school","Male","3","","",""
"Not a day","1997","in school","Female","1","","",""
"Not a day","1997","inadequately","Male","45","1","1","1"
"Not a day","1997","inadequately","Female","44","1","1","1"
"Not a day","1997","general elemantary","Male","242","1","1","1"
"Not a day","1997","general elemantary","Female","224","1","1","1"
"Not a day","1997","middle vocational","Male","1080","1","1","1"
"Not a day","1997","middle vocational","Female","798","1","1","1"
"Not a day","1997","vocational + Abi","Male","100","1","1","1"
"Not a day","1997","vocational + Abi","Female","51","1","1","1"
"Not a day","1997","higher vocational","Male","193","1","1","1"
"Not a day","1997","higher vocational","Female","94","1","1","1"
"Not a day","1997","higher education","Male","436","1","1","1"
"Not a day","1997","higher education","Female","257","1","1","1"
"Not a day","1998","in school","Male","5","","",""
"Not a day","1998","in school","Female","3","","",""
"Not a day","1998","inadequately","Male","49","1","1","1"
"Not a day","1998","inadequately","Female","37","1","1","1"
"Not a day","1998","general elemantary","Male","248","1","1","1"
"Not a day","1998","general elemantary","Female","220","1","1","1"
"Not a day","1998","middle vocational","Male","1221","1","1","1"
"Not a day","1998","middle vocational","Female","872","1","1","1"
"Not a day","1998","vocational + Abi","Male","98","1","1","1"
"Not a day","1998","vocational + Abi","Female","77","1","1","1"
"Not a day","1998","higher vocational","Male","203","1","1","1"
"Not a day","1998","higher vocational","Female","92","1","1","1"
"Not a day","1998","higher education","Male","480","1","1","1"
"Not a day","1998","higher education","Female","308","1","1","1"
"Not a day","1999","in school","Male","18","","",""
"Not a day","1999","in school","Female","17","","",""
"Not a day","1999","inadequately","Male","39","1","1","1"
"Not a day","1999","inadequately","Female","38","1","1","1"
"Not a day","1999","general elemantary","Male","239","1","1","1"
"Not a day","1999","general elemantary","Female","263","1","1","1"
"Not a day","1999","middle vocational","Male","1217","1","1","1"
"Not a day","1999","middle vocational","Female","923","1","1","1"
