"ple0044_h","year","migback","n","percent","lower_confidence","upper_confidence","value"
"No","1985","indirect migration background","49","0.331370198950404","0.254489657393398","0.40825074050741","2"
"No","1985","no migration background","3200","0.396351950697388","0.385632073954277","0.407071827440499","2"
"No","1985","direct migration background","1196","0.373905186026209","0.35643062643451","0.391379745617908","2"
"Yes","1985","no migration background","4798","0.603648049302612","0.592928172559501","0.614367926045723","1"
"Yes","1985","direct migration background","1749","0.626094813973791","0.608620254382091","0.64356937356549","1"
"Yes","1985","indirect migration background","95","0.668629801049596","0.59174925949259","0.745510342606602","1"
"No","1986","indirect migration background","97","0.668327319460889","0.593725085411451","0.742929553510328","2"
"No","1986","no migration background","4993","0.684730850406592","0.674230326162053","0.695231374651131","2"
"No","1986","direct migration background","1821","0.66650761190557","0.649106818270318","0.683908405540822","2"
"Yes","1986","no migration background","2528","0.315269149593408","0.304768625348869","0.325769673837947","1"
"Yes","1986","direct migration background","999","0.33349238809443","0.316091594459178","0.350893181729682","1"
"Yes","1986","indirect migration background","56","0.331672680539111","0.257070446489672","0.406274914588549","1"
"No","1987","indirect migration background","128","0.753377509527416","0.689330901799883","0.817424117254949","2"
"No","1987","no migration background","5124","0.719833255228365","0.709551207724147","0.730115302732582","2"
"No","1987","direct migration background","1944","0.711103137771863","0.694332793907046","0.72787348163668","2"
"Yes","1987","no migration background","2204","0.280166744771635","0.269884697267418","0.290448792275853","1"
"Yes","1987","direct migration background","862","0.288896862228137","0.27212651836332","0.305667206092954","1"
"Yes","1987","indirect migration background","46","0.246622490472584","0.182575882745051","0.310669098200117","1"
"No","1988","indirect migration background","152","0.665102179726979","0.60216293001493","0.728041429439028","2"
"No","1988","no migration background","4796","0.709336872195702","0.698676976847563","0.719996767543841","2"
"No","1988","direct migration background","1858","0.710372883750015","0.693090009549862","0.727655757950168","2"
"Yes","1988","no migration background","2174","0.290663127804298","0.280003232456159","0.301323023152437","1"
"Yes","1988","direct migration background","788","0.289627116249985","0.272344242049832","0.306909990450138","1"
"Yes","1988","indirect migration background","64","0.334897820273021","0.271958570560972","0.39783706998507","1"
"No","1989","indirect migration background","188","0.751372096635915","0.69852951894411","0.80421467432772","2"
"No","1989","no migration background","4745","0.721214813287168","0.710546191251252","0.731883435323083","2"
"No","1989","direct migration background","1852","0.739499736034144","0.722570277517332","0.756429194550955","2"
"Yes","1989","no migration background","2041","0.278785186712832","0.268116564676917","0.289453808748748","1"
"Yes","1989","direct migration background","730","0.260500263965856","0.243570805449045","0.277429722482668","1"
"Yes","1989","indirect migration background","69","0.248627903364085","0.19578532567228","0.30147048105589","1"
"No","1990","indirect migration background","","","","","2"
"No","1990","no migration background","","","","","2"
"No","1990","direct migration background","","","","","2"
"Yes","1990","no migration background","","","","","1"
"Yes","1990","direct migration background","","","","","1"
"Yes","1990","indirect migration background","","","","","1"
"No","1991","indirect migration background","238","0.695776238372719","0.647368508542429","0.744183968203008","2"
"No","1991","no migration background","8756","0.79233352005766","0.784625278544538","0.800041761570782","2"
"No","1991","direct migration background","1915","0.743363523091818","0.726661161937708","0.760065884245928","2"
"Yes","1991","no migration background","1882","0.20766647994234","0.199958238429218","0.215374721455462","1"
"Yes","1991","direct migration background","712","0.256636476908182","0.239934115754072","0.273338838062292","1"
"Yes","1991","indirect migration background","109","0.304223761627281","0.255816031796992","0.352631491457571","1"
"No","1992","no migration background","6744","0.699041037883701","0.690191221477606","0.707890854289796","2"
"No","1992","indirect migration background","298","0.751618095637816","0.709381038178811","0.793855153096821","2"
"No","1992","direct migration background","1842","0.727752947641702","0.710380975284333","0.745124919999071","2"
"Yes","1992","direct migration background","680","0.272247052358298","0.254875080000929","0.289619024715667","1"
"Yes","1992","indirect migration background","104","0.248381904362184","0.206144846903179","0.290618961821188","1"
"Yes","1992","no migration background","3575","0.300958962116299","0.292109145710204","0.309808778522394","1"
"No","1993","no migration background","","","","","2"
"No","1993","indirect migration background","","","","","2"
"No","1993","direct migration background","","","","","2"
"Yes","1993","direct migration background","","","","","1"
"Yes","1993","indirect migration background","","","","","1"
"Yes","1993","no migration background","","","","","1"
"No","1994","no migration background","6915","0.727652017403143","0.718927320919755","0.736376713886532","2"
"No","1994","indirect migration background","358","0.74017094861708","0.701420618100631","0.778921279133528","2"
"No","1994","direct migration background","1707","0.745013145900174","0.72734976462471","0.762676527175638","2"
"Yes","1994","direct migration background","632","0.254986854099826","0.237323472824362","0.27265023537529","1"
"Yes","1994","indirect migration background","134","0.25982905138292","0.221078720866472","0.298579381899369","1"
"Yes","1994","no migration background","3086","0.272347982596856","0.263623286113468","0.281072679080245","1"
"No","1995","no migration background","6725","0.728482890900675","0.719658226115288","0.737307555686061","2"
"No","1995","indirect migration background","346","0.666714587829229","0.625313519208646","0.708115656449812","2"
"No","1995","direct migration background","1987","0.74556461138282","0.729148278565564","0.761980944200077","2"
"Yes","1995","direct migration background","717","0.254435388617179","0.238019055799923","0.270851721434436","1"
"Yes","1995","indirect migration background","152","0.333285412170771","0.291884343550188","0.374686480791354","1"
"Yes","1995","no migration background","3032","0.271517109099325","0.262692444313939","0.280341773884712","1"
"No","1996","no migration background","6709","0.730441421700992","0.721559110144166","0.739323733257819","2"
"No","1996","indirect migration background","385","0.761226332526996","0.724653132933291","0.797799532120701","2"
"No","1996","direct migration background","1868","0.748602824151293","0.731651692356571","0.765553955946015","2"
"Yes","1996","direct migration background","648","0.251397175848707","0.234446044053985","0.268348307643429","1"
"Yes","1996","indirect migration background","137","0.238773667473004","0.202200467879299","0.275346867066709","1"
"Yes","1996","no migration background","2878","0.269558578299008","0.260676266742181","0.278440889855834","1"
"No","1997","indirect migration background","407","0.731425822324802","0.694384710162341","0.768466934487264","2"
"No","1997","no migration background","6587","0.73336806008622","0.72445484459533","0.74228127557711","2"
"No","1997","direct migration background","1773","0.752291143073086","0.735013390767791","0.769568895378381","2"
"Yes","1997","direct migration background","625","0.247708856926914","0.230431104621619","0.264986609232209","1"
"Yes","1997","indirect migration background","143","0.268574177675198","0.231533065512736","0.305615289837659","1"
"Yes","1997","no migration background","2868","0.26663193991378","0.25771872442289","0.27554515540467","1"
"No","1998","indirect migration background","413","0.767006282966501","0.732117959139372","0.801894606793629","2"
"No","1998","no migration background","7515","0.727545041449913","0.719161820090153","0.735928262809673","2"
"No","1998","direct migration background","1711","0.7446903211967","0.726889742541462","0.762490899851938","2"
"Yes","1998","direct migration background","594","0.2553096788033","0.237509100148062","0.273110257458538","1"
"Yes","1998","indirect migration background","151","0.232993717033499","0.198105393206371","0.267882040860628","1"
"Yes","1998","no migration background","3320","0.272454958550087","0.264071737190327","0.280838179909847","1"
"No","1999","indirect migration background","391","0.700024414431845","0.6626986803659","0.737350148497789","2"
"No","1999","no migration background","7173","0.714551839902647","0.705909722886882","0.723193956918411","2"
"No","1999","direct migration background","1547","0.730159903082669","0.711256180070169","0.749063626095169","2"
"Yes","1999","direct migration background","571","0.269840096917331","0.250936373904831","0.288743819929831","1"
"Yes","1999","no migration background","3318","0.285448160097353","0.276806043081589","0.294090277113118","1"
"Yes","1999","indirect migration background","188","0.299975585568155","0.262649851502211","0.3373013196341","1"
"No","2000","indirect migration background","562","0.70863429396555","0.677206013640996","0.740062574290103","2"
"No","2000","no migration background","13562","0.716378086558373","0.710034690240409","0.722721482876338","2"
"No","2000","direct migration background","2338","0.721728760560851","0.706245007431381","0.737212513690321","2"
"Yes","2000","direct migration background","880","0.278271239439149","0.262787486309679","0.293754992568619","1"
"Yes","2000","no migration background","5835","0.283621913441627","0.277278517123662","0.289965309759591","1"
"Yes","2000","indirect migration background","241","0.29136570603445","0.259937425709897","0.322793986359004","1"
"No","2001","indirect migration background","527","0.705336957212946","0.672709846704489","0.737964067721402","2"
"No","2001","no migration background","12431","0.711857292591755","0.705205654532677","0.718508930650832","2"
"No","2001","direct migration background","2043","0.71298122108199","0.696335116263593","0.729627325900388","2"
"Yes","2001","direct migration background","794","0.28701877891801","0.270372674099612","0.303664883736407","1"
"Yes","2001","no migration background","5378","0.288142707408245","0.281491069349168","0.294794345467322","1"
"Yes","2001","indirect migration background","223","0.294663042787054","0.262035932278598","0.327290153295511","1"
"No","2002","indirect migration background","518","0.703555278866761","0.670914527730354","0.736196030003168","2"
"No","2002","no migration background","12972","0.715180590916516","0.708749906128415","0.721611275704616","2"
"No","2002","direct migration background","1959","0.728809144849473","0.7120925545443","0.745525735154645","2"
"Yes","2002","direct migration background","758","0.271190855150527","0.254474264845355","0.2879074454557","1"
"Yes","2002","indirect migration background","234","0.296444721133239","0.263803969996832","0.329085472269646","1"
"Yes","2002","no migration background","5950","0.284819409083484","0.278388724295384","0.291250093871585","1"
"No","2003","no migration background","12764","0.723904131550037","0.717428792080009","0.730379471020065","2"
"No","2003","indirect migration background","514","0.703644738145055","0.671093295801787","0.736196180488322","2"
"No","2003","direct migration background","1794","0.70510145206761","0.687402802823924","0.722800101311297","2"
"Yes","2003","direct migration background","756","0.29489854793239","0.277199898688703","0.312597197176076","1"
"Yes","2003","indirect migration background","242","0.296355261854945","0.263803819511678","0.328906704198212","1"
"Yes","2003","no migration background","5547","0.276095868449963","0.269620528979935","0.282571207919991","1"
"No","2004","no migration background","12353","0.718750256051178","0.712155616294437","0.725344895807919","2"
"No","2004","indirect migration background","543","0.726224151511691","0.695071599085482","0.7573767039379","2"
"No","2004","direct migration background","1784","0.725436545943775","0.707871741022931","0.74300135086462","2"
"Yes","2004","direct migration background","696","0.274563454056225","0.25699864913538","0.292128258977069","1"
"Yes","2004","indirect migration background","244","0.273775848488309","0.2426232960621","0.304928400914519","1"
"Yes","2004","no migration background","5503","0.281249743948822","0.274655104192081","0.287844383705563","1"
"No","2005","no migration background","11928","0.715847753042257","0.709100731955189","0.722594774129325","2"
"No","2005","indirect migration background","580","0.73446061135189","0.704066713864511","0.764854508839269","2"
"No","2005","direct migration background","1665","0.712716350250745","0.694291715384943","0.731140985116547","2"
"Yes","2005","direct migration background","652","0.287283649749255","0.268859014883453","0.305708284615056","1"
"Yes","2005","indirect migration background","231","0.26553938864811","0.235145491160731","0.295933286135489","1"
"Yes","2005","no migration background","5237","0.284152246957743","0.277405225870675","0.290899268044811","1"
"No","2006","indirect migration background","563","0.737472430131029","0.706982006999451","0.767962853262607","2"
"No","2006","no migration background","12799","0.712405558101214","0.705866748644949","0.71894436755748","2"
"No","2006","direct migration background","1656","0.71264119730252","0.694262655011713","0.731019739593327","2"
"Yes","2006","direct migration background","673","0.28735880269748","0.268980260406673","0.305737344988287","1"
"Yes","2006","indirect migration background","237","0.262527569868971","0.232037146737393","0.293017993000549","1"
"Yes","2006","no migration background","5609","0.287594441898786","0.28105563244252","0.294133251355051","1"
"No","2007","indirect migration background","527","0.700350000870516","0.667908688601046","0.732791313139987","2"
"No","2007","no migration background","12083","0.718604214137862","0.711889199887712","0.725319228388011","2"
"No","2007","direct migration background","1462","0.700089479828907","0.680350007267963","0.71982895238985","2"
"Yes","2007","direct migration background","608","0.299910520171093","0.28017104761015","0.319649992732037","1"
"Yes","2007","indirect migration background","239","0.299649999129484","0.267208686860013","0.332091311398954","1"
"Yes","2007","no migration background","5144","0.281395785862138","0.274680771611989","0.288110800112288","1"
