"ple0044_h","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1985","Full Time","Male","1640","0.451032370150085","0.43464299667127","0.467421743628901","2"
"No","1985","Full Time","Female","781","0.545768219756728","0.52009637681589","0.571440062697566","2"
"No","1985","Part Time","Male","261","0.386312906603728","0.349608530458175","0.423017282749282","2"
"No","1985","Part Time","Female","475","0.405683961919311","0.377809107502178","0.433558816336444","2"
"No","1985","Not Working","Male","384","0.321450817532752","0.295435106396473","0.347466528669032","2"
"No","1985","Not Working","Female","904","0.312008595887465","0.295415613078209","0.328601578696721","2"
"Yes","1985","Full Time","Male","1901","0.548967629849915","0.532578256371099","0.56535700332873","1"
"Yes","1985","Full Time","Female","664","0.454231780243272","0.428559937302434","0.47990362318411","1"
"Yes","1985","Part Time","Male","415","0.613687093396272","0.576982717250718","0.650391469541825","1"
"Yes","1985","Part Time","Female","717","0.594316038080689","0.566441183663556","0.622190892497822","1"
"Yes","1985","Not Working","Male","854","0.678549182467248","0.652533471330968","0.704564893603528","1"
"Yes","1985","Not Working","Female","2091","0.687991404112535","0.671398421303279","0.704584386921791","1"
"No","1986","Full Time","Female","789","0.570775590120093","0.544783127099234","0.596768053140951","2"
"No","1986","Full Time","Male","1665","0.469843502450007","0.453052724091165","0.48663428080885","2"
"No","1986","Part Time","Female","524","0.448394911723107","0.420030902894024","0.476758920552191","2"
"No","1986","Part Time","Male","286","0.465983967370767","0.426749756113945","0.505218178627589","2"
"No","1986","Not Working","Male","1078","0.933923887896958","0.919683598409477","0.94816417738444","2"
"No","1986","Not Working","Female","2569","0.942661942446348","0.933950511075698","0.951373373816997","2"
"Yes","1986","Full Time","Male","1729","0.530156497549993","0.51336571919115","0.546947275908835","1"
"Yes","1986","Full Time","Female","604","0.429224409879907","0.403231946859049","0.455216872900766","1"
"Yes","1986","Part Time","Male","335","0.534016032629233","0.494781821372411","0.573250243886055","1"
"Yes","1986","Part Time","Female","657","0.551605088276893","0.523241079447809","0.579969097105976","1"
"Yes","1986","Not Working","Male","91","0.0660761121030416","0.0518358226155602","0.080316401590523","1"
"Yes","1986","Not Working","Female","167","0.0573380575536524","0.0486266261830026","0.0660494889243022","1"
"No","1987","Full Time","Male","1747","0.49902028515708","0.482114022070797","0.515926548243363","2"
"No","1987","Full Time","Female","843","0.620906457871225","0.595346135464867","0.646466780277584","2"
"No","1987","Part Time","Female","591","0.495078551416977","0.466599782912931","0.523557319921022","2"
"No","1987","Part Time","Male","267","0.438238023014565","0.398065373005571","0.478410673023558","2"
"No","1987","Not Working","Male","1115","0.984855931933992","0.977754162729914","0.991957701138071","2"
"No","1987","Not Working","Female","2633","0.993124880647363","0.989983557207926","0.9962662040868","2"
"Yes","1987","Full Time","Male","1613","0.50097971484292","0.484073451756637","0.517885977929203","1"
"Yes","1987","Full Time","Female","541","0.379093542128775","0.353533219722416","0.404653864535133","1"
"Yes","1987","Part Time","Male","319","0.561761976985436","0.521589326976442","0.601934626994429","1"
"Yes","1987","Part Time","Female","593","0.504921448583023","0.476442680078978","0.533400217087069","1"
"Yes","1987","Not Working","Male","21","","","","1"
"Yes","1987","Not Working","Female","25","","","","1"
"No","1988","Full Time","Male","1655","0.48571369641538","0.468380714281208","0.503046678549551","2"
"No","1988","Full Time","Female","785","0.592712274281427","0.56607542098741","0.619349127575443","2"
"No","1988","Part Time","Male","264","0.455993946620518","0.415495214262787","0.496492678978249","2"
"No","1988","Part Time","Female","580","0.485853368676224","0.45750408863046","0.514202648721987","2"
"No","1988","Not Working","Male","1069","0.991883987627299","0.986532950020778","0.99723502523382","2"
"No","1988","Not Working","Female","2453","0.990631735710867","0.986837201642837","0.994426269778897","2"
"Yes","1988","Full Time","Male","1539","0.51428630358462","0.496953321450449","0.531619285718791","1"
"Yes","1988","Full Time","Female","522","0.407287725718573","0.380650872424557","0.43392457901259","1"
"Yes","1988","Part Time","Male","317","0.544006053379482","0.503507321021751","0.584504785737213","1"
"Yes","1988","Part Time","Female","614","0.514146631323776","0.485797351278013","0.54249591136954","1"
"Yes","1988","Not Working","Male","11","","","","1"
"Yes","1988","Not Working","Female","23","","","","1"
"No","1989","Full Time","Male","1702","0.518923916664031","0.501497794466816","0.536350038861247","2"
"No","1989","Full Time","Female","832","0.594566741979569","0.568395776946261","0.620737707012876","2"
"No","1989","Part Time","Male","266","0.534453514193671","0.491456399404283","0.57745062898306","2"
"No","1989","Part Time","Female","592","0.503120923203237","0.47442234641996","0.531819499986515","2"
"No","1989","Not Working","Male","1044","0.988014688444037","0.981476105435387","0.994553271452687","2"
"No","1989","Not Working","Female","2349","0.992432003337764","0.98894141938106","0.995922587294468","2"
"Yes","1989","Full Time","Male","1456","0.481076083335969","0.463649961138753","0.498502205533184","1"
"Yes","1989","Full Time","Female","520","0.405433258020431","0.379262292987124","0.431604223053739","1"
"Yes","1989","Part Time","Male","251","0.465546485806329","0.42254937101694","0.508543600595717","1"
"Yes","1989","Part Time","Female","574","0.496879076796763","0.468180500013485","0.52557765358004","1"
"Yes","1989","Not Working","Male","20","","","","1"
"Yes","1989","Not Working","Female","19","","","","1"
"No","1990","Full Time","Male","","","","","2"
"No","1990","Full Time","Female","","","","","2"
"No","1990","Part Time","Male","","","","","2"
"No","1990","Part Time","Female","","","","","2"
"No","1990","Not Working","Male","","","","","2"
"No","1990","Not Working","Female","","","","","2"
"Yes","1990","Full Time","Male","","","","","1"
"Yes","1990","Full Time","Female","","","","","1"
"Yes","1990","Part Time","Male","","","","","1"
"Yes","1990","Part Time","Female","","","","","1"
"Yes","1990","Not Working","Male","","","","","1"
"Yes","1990","Not Working","Female","","","","","1"
"No","1991","Full Time","Male","1748","0.549638506831657","0.531990165708582","0.567286847954733","2"
"No","1991","Full Time","Female","862","0.646876875583464","0.621315514393665","0.672438236773263","2"
"No","1991","Part Time","Male","259","0.508622914614661","0.46598101525378","0.551264813975542","2"
"No","1991","Part Time","Female","615","0.509173929406038","0.481133339249259","0.537214519562817","2"
"No","1991","Not Working","Male","1013","0.978540744719576","0.969733740563721","0.987347748875431","2"
"No","1991","Not Working","Female","2210","0.995581329849471","0.992825405786797","0.998337253912145","2"
"Yes","1991","Full Time","Male","1305","0.450361493168343","0.432713152045267","0.468009834291418","1"
"Yes","1991","Full Time","Female","481","0.353123124416536","0.327561763226737","0.378684485606335","1"
"Yes","1991","Part Time","Male","269","0.491377085385339","0.448735186024458","0.53401898474622","1"
"Yes","1991","Part Time","Female","606","0.490826070593962","0.462785480437183","0.518866660750741","1"
"Yes","1991","Not Working","Male","27","","","","1"
"Yes","1991","Not Working","Female","15","","","","1"
"No","1992","Full Time","Male","2197","0.508948398490361","0.494020087093599","0.523876709887123","2"
