"ple0044_h","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1985","general elemantary","Rural Area","245","0.339884099525107","0.305285592108014","0.3744826069422","2"
"No","1985","in school","Rural Area","13","","","","2"
"No","1985","general elemantary","Urban Area","945","0.390417555891904","0.370731214363498","0.410103897420311","2"
"No","1985","inadequately","Rural Area","42","0.358071573539571","0.267230045985884","0.448913101093258","2"
"No","1985","inadequately","Urban Area","302","0.395777763946146","0.360591740681331","0.430963787210961","2"
"No","1985","in school","Urban Area","58","0.375195753355021","0.297970283235559","0.452421223474483","2"
"No","1985","higher vocational","Rural Area","51","0.391610696454466","0.307379825063854","0.475841567845078","2"
"No","1985","higher education","Urban Area","250","0.40320041869238","0.365225765320889","0.441175072063872","2"
"No","1985","higher vocational","Urban Area","206","0.407332312237211","0.363916733365384","0.450747891109038","2"
"No","1985","higher education","Rural Area","46","0.378981091271814","0.291075531660973","0.466886650882654","2"
"No","1985","middle vocational","Urban Area","1677","0.405992104739359","0.390929041347843","0.421055168130875","2"
"No","1985","middle vocational","Rural Area","461","0.395339393677709","0.366641399650519","0.4240373877049","2"
"No","1985","vocational + Abi","Urban Area","99","0.413382985858202","0.350556073612566","0.476209898103838","2"
"No","1985","vocational + Abi","Rural Area","11","","","","2"
"Yes","1985","in school","Urban Area","93","0.624804246644979","0.547578776525517","0.702029716764441","1"
"Yes","1985","in school","Rural Area","23","","","","1"
"Yes","1985","inadequately","Urban Area","440","0.604222236053854","0.569036212789039","0.639408259318669","1"
"Yes","1985","inadequately","Rural Area","65","0.641928426460429","0.551086898906742","0.732769954014116","1"
"Yes","1985","general elemantary","Urban Area","1414","0.609582444108096","0.589896102579689","0.629268785636502","1"
"Yes","1985","general elemantary","Rural Area","475","0.660115900474893","0.6255173930578","0.694714407891986","1"
"Yes","1985","middle vocational","Urban Area","2406","0.594007895260641","0.578944831869124","0.609070958652157","1"
"Yes","1985","middle vocational","Rural Area","654","0.604660606322291","0.5759626122951","0.633358600349482","1"
"Yes","1985","vocational + Abi","Urban Area","137","0.586617014141798","0.523790101896162","0.649443926387434","1"
"Yes","1985","vocational + Abi","Rural Area","33","0.734071552946704","0.603522613304304","0.864620492589104","1"
"Yes","1985","higher vocational","Urban Area","286","0.592667687762789","0.549252108890963","0.636083266634616","1"
"Yes","1985","higher vocational","Rural Area","78","0.608389303545534","0.524158432154922","0.692620174936145","1"
"Yes","1985","higher education","Urban Area","391","0.59679958130762","0.558824927936128","0.634774234679111","1"
"Yes","1985","higher education","Rural Area","71","0.621018908728186","0.533113349117346","0.708924468339026","1"
"No","1986","inadequately","Urban Area","484","0.735178847180422","0.701892277473872","0.768465416886971","2"
"No","1986","in school","Rural Area","21","","","","2"
"No","1986","inadequately","Rural Area","82","0.810749441864415","0.734357189013366","0.887141694715464","2"
"No","1986","higher education","Rural Area","65","0.576433314364733","0.487654356265745","0.665212272463722","2"
"No","1986","general elemantary","Rural Area","479","0.732058402330308","0.698794938536676","0.765321866123941","2"
"No","1986","general elemantary","Urban Area","1572","0.764686749498987","0.747029208701132","0.782344290296842","2"
"No","1986","higher vocational","Rural Area","64","0.583132624681091","0.494548227502515","0.671717021859666","2"
"No","1986","higher education","Urban Area","330","0.558755849470383","0.519544818903759","0.597966880037007","2"
"No","1986","in school","Urban Area","150","0.927770194829281","0.887907283491524","0.967633106167038","2"
"No","1986","higher vocational","Urban Area","277","0.627742235115615","0.583518613481899","0.671965856749332","2"
"No","1986","middle vocational","Urban Area","2507","0.672075964922758","0.657325242778401","0.686826687067116","2"
"No","1986","middle vocational","Rural Area","645","0.634775091020361","0.605623814123442","0.66392636791728","2"
"No","1986","vocational + Abi","Urban Area","139","0.634679433717919","0.571761984705778","0.69759688273006","2"
"No","1986","vocational + Abi","Rural Area","26","","","","2"
"Yes","1986","in school","Urban Area","12","","","","1"
"Yes","1986","in school","Rural Area","2","","","","1"
"Yes","1986","inadequately","Urban Area","191","0.264821152819578","0.231534583113029","0.298107722526128","1"
"Yes","1986","inadequately","Rural Area","19","","","","1"
"Yes","1986","general elemantary","Urban Area","645","0.235313250501013","0.217655709703158","0.252970791298868","1"
"Yes","1986","general elemantary","Rural Area","202","0.267941597669692","0.234678133876059","0.301205061463324","1"
"Yes","1986","middle vocational","Urban Area","1384","0.327924035077242","0.313173312932884","0.342674757221599","1"
"Yes","1986","middle vocational","Rural Area","403","0.365224908979639","0.33607363208272","0.394376185876557","1"
"Yes","1986","vocational + Abi","Urban Area","86","0.365320566282081","0.30240311726994","0.428238015294222","1"
"Yes","1986","vocational + Abi","Rural Area","20","","","","1"
"Yes","1986","higher vocational","Urban Area","182","0.372257764884385","0.328034143250668","0.416481386518101","1"
"Yes","1986","higher vocational","Rural Area","55","0.416867375318909","0.328282978140334","0.505451772497485","1"
"Yes","1986","higher education","Urban Area","286","0.441244150529617","0.402033119962993","0.480455181096241","1"
"Yes","1986","higher education","Rural Area","54","0.423566685635267","0.334787727536278","0.512345643734255","1"
"No","1987","inadequately","Urban Area","492","0.763423410392409","0.730827724764472","0.796019096020345","2"
"No","1987","in school","Rural Area","24","","","","2"
"No","1987","higher education","Rural Area","62","0.573443810922409","0.483441708370761","0.663445913474057","2"
"No","1987","higher vocational","Rural Area","67","0.623171982835938","0.534216807968638","0.712127157703239","2"
"No","1987","inadequately","Rural Area","71","0.748321933162293","0.662835456943634","0.833808409380951","2"
"No","1987","general elemantary","Urban Area","1623","0.796069962385948","0.779101789394872","0.813038135377024","2"
"No","1987","general elemantary","Rural Area","482","0.778432705362795","0.746432017382444","0.810433393343146","2"
"No","1987","higher education","Urban Area","331","0.571998317365088","0.532604152985566","0.61139248174461","2"
"No","1987","in school","Urban Area","156","0.926007124624606","0.886067108563615","0.965947140685597","2"
"No","1987","higher vocational","Urban Area","285","0.662195857134833","0.618003469309797","0.70638824495987","2"
"No","1987","middle vocational","Urban Area","2660","0.721634740290464","0.707429277647035","0.735840202933893","2"
"No","1987","middle vocational","Rural Area","685","0.666992068644404","0.638580303186271","0.695403834102537","2"
"No","1987","vocational + Abi","Urban Area","158","0.702293288202399","0.64332810217975","0.761258474225049","2"
"No","1987","vocational + Abi","Rural Area","22","","","","2"
"Yes","1987","in school","Urban Area","9","","","","1"
"Yes","1987","in school","Rural Area","2","","","","1"
"Yes","1987","inadequately","Urban Area","161","0.236576589607591","0.203980903979655","0.269172275235528","1"
"Yes","1987","inadequately","Rural Area","28","","","","1"
"Yes","1987","general elemantary","Urban Area","543","0.203930037614052","0.186961864622976","0.220898210605128","1"
"Yes","1987","general elemantary","Rural Area","165","0.221567294637205","0.189566606656854","0.253567982617556","1"
"Yes","1987","middle vocational","Urban Area","1164","0.278365259709536","0.264159797066107","0.292570722352965","1"
"Yes","1987","middle vocational","Rural Area","372","0.333007931355596","0.304596165897463","0.361419696813729","1"
"Yes","1987","vocational + Abi","Urban Area","73","0.297706711797601","0.238741525774951","0.35667189782025","1"
"Yes","1987","vocational + Abi","Rural Area","20","","","","1"
"Yes","1987","higher vocational","Urban Area","155","0.337804142865167","0.29361175504013","0.381996530690203","1"
"Yes","1987","higher vocational","Rural Area","47","0.376828017164062","0.287872842296761","0.465783192031362","1"
"Yes","1987","higher education","Urban Area","275","0.428001682634912","0.38860751825539","0.467395847014434","1"
"Yes","1987","higher education","Rural Area","54","0.426556189077591","0.336554086525943","0.516558291629239","1"
"No","1988","inadequately","Urban Area","476","0.813062733676123","0.781945612820394","0.844179854531852","2"
"No","1988","in school","Rural Area","28","","","","2"
"No","1988","higher education","Rural Area","50","0.508537823913791","0.413367436286739","0.603708211540843","2"
"No","1988","inadequately","Rural Area","67","0.727030447280864","0.636973428150082","0.817087466411646","2"
"No","1988","general elemantary","Urban Area","1589","0.799964204006187","0.782871358799278","0.817057049213096","2"
"No","1988","higher vocational","Rural Area","63","0.640440568673671","0.549516060228018","0.731365077119323","2"
"No","1988","general elemantary","Rural Area","436","0.762273446817455","0.72789512392831","0.796651769706599","2"
"No","1988","higher education","Urban Area","303","0.536152380495278","0.495461979496848","0.576842781493708","2"
"No","1988","in school","Urban Area","128","0.950990460052533","0.914573004417616","0.98740791568745","2"
"No","1988","higher vocational","Urban Area","258","0.651112544476326","0.605421544954715","0.696803543997937","2"
"No","1988","middle vocational","Urban Area","2500","0.707699576767671","0.692960664611005","0.722438488924337","2"
"No","1988","middle vocational","Rural Area","633","0.648108717208697","0.618598168390714","0.677619266026681","2"
"No","1988","vocational + Abi","Urban Area","157","0.716429930550914","0.658430843970717","0.774429017131112","2"
"No","1988","vocational + Abi","Rural Area","22","","","","2"
"Yes","1988","in school","Urban Area","7","","","","1"
"Yes","1988","in school","Rural Area","","","","","1"
"Yes","1988","inadequately","Urban Area","127","0.186937266323877","0.155820145468148","0.218054387179606","1"
"Yes","1988","inadequately","Rural Area","27","","","","1"
"Yes","1988","general elemantary","Urban Area","515","0.200035795993813","0.182942950786904","0.217128641200722","1"
"Yes","1988","general elemantary","Rural Area","153","0.237726553182545","0.203348230293401","0.27210487607169","1"
"Yes","1988","middle vocational","Urban Area","1158","0.292300423232329","0.277561511075663","0.307039335388995","1"
"Yes","1988","middle vocational","Rural Area","373","0.351891282791303","0.322380733973319","0.381401831609286","1"
"Yes","1988","vocational + Abi","Urban Area","75","0.283570069449086","0.225570982868888","0.341569156029283","1"
"Yes","1988","vocational + Abi","Rural Area","14","","","","1"
"Yes","1988","higher vocational","Urban Area","160","0.348887455523674","0.303196456002063","0.394578455045285","1"
"Yes","1988","higher vocational","Rural Area","44","0.359559431326329","0.268634922880677","0.450483939771982","1"
"Yes","1988","higher education","Urban Area","274","0.463847619504722","0.423157218506292","0.504538020503152","1"
"Yes","1988","higher education","Rural Area","56","0.491462176086209","0.396291788459157","0.586632563713261","1"
"No","1989","inadequately","Urban Area","463","0.82609574472655","0.794952614999684","0.857238874453416","2"
"No","1989","higher vocational","Rural Area","64","0.637671003796074","0.546594556324092","0.728747451268055","2"
"No","1989","higher education","Urban Area","314","0.55357106545528","0.513458083918246","0.593684046992314","2"
"No","1989","in school","Rural Area","26","","","","2"
"No","1989","higher vocational","Urban Area","253","0.630953780306526","0.583957906032127","0.677949654580926","2"
"No","1989","higher education","Rural Area","58","0.579605791615268","0.486075794158222","0.673135789072313","2"
"No","1989","inadequately","Rural Area","69","0.867393413026924","0.7948665227725","0.939920303281347","2"
"No","1989","general elemantary","Urban Area","1511","0.797177621501823","0.779625148563426","0.81473009444022","2"
"No","1989","general elemantary","Rural Area","425","0.801411525045174","0.768040716374142","0.834782333716207","2"
"No","1989","in school","Urban Area","142","0.981224440330069","0.9593570046587","1.00309187600144","2"
"No","1989","middle vocational","Urban Area","2529","0.722702083120749","0.708131157276484","0.737273008965013","2"
"No","1989","middle vocational","Rural Area","643","0.687810558596298","0.658679351337439","0.716941765855156","2"
"No","1989","vocational + Abi","Urban Area","165","0.683031023961798","0.625237788155052","0.740824259768543","2"
"No","1989","vocational + Abi","Rural Area","25","","","","2"
"Yes","1989","in school","Urban Area","6","","","","1"
"Yes","1989","in school","Rural Area","1","","","","1"
"Yes","1989","inadequately","Urban Area","106","0.17390425527345","0.142761125546584","0.205047385000316","1"
"Yes","1989","inadequately","Rural Area","15","","","","1"
"Yes","1989","general elemantary","Urban Area","505","0.202822378498177","0.18526990555978","0.220374851436574","1"
"Yes","1989","general elemantary","Rural Area","124","0.198588474954826","0.165217666283793","0.231959283625859","1"
"Yes","1989","middle vocational","Urban Area","1097","0.277297916879251","0.262726991034987","0.291868842723516","1"
"Yes","1989","middle vocational","Rural Area","329","0.312189441403702","0.283058234144844","0.341320648662561","1"
"Yes","1989","vocational + Abi","Urban Area","84","0.316968976038202","0.259175740231457","0.374762211844948","1"
"Yes","1989","vocational + Abi","Rural Area","12","","","","1"
"Yes","1989","higher vocational","Urban Area","152","0.369046219693474","0.322050345419074","0.416042093967873","1"
"Yes","1989","higher vocational","Rural Area","43","0.362328996203926","0.271252548731945","0.453405443675908","1"
"Yes","1989","higher education","Urban Area","276","0.44642893454472","0.406315953007686","0.486541916081754","1"
