"ple0044_h","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1985","no migration background","Urban Area","2474","0.404256515524492","0.391920066057721","0.416592964991263","2"
"No","1985","no migration background","Rural Area","726","0.372089810142632","0.350463458637984","0.39371616164728","2"
"No","1985","direct migration background","Urban Area","1052","0.371942171318911","0.353353444547076","0.390530898090745","2"
"No","1985","direct migration background","Rural Area","144","0.38592250813546","0.334775514318676","0.437069501952244","2"
"No","1985","indirect migration background","Urban Area","44","0.358223724265683","0.274833482636788","0.441613965894578","2"
"No","1985","indirect migration background","Rural Area","5","","","","2"
"Yes","1985","no migration background","Urban Area","3605","0.595743484475508","0.583407035008737","0.60807993394228","1"
"Yes","1985","no migration background","Rural Area","1193","0.627910189857368","0.60628383835272","0.649536541362016","1"
"Yes","1985","direct migration background","Urban Area","1545","0.628057828681089","0.609469101909255","0.646646555452924","1"
"Yes","1985","direct migration background","Rural Area","204","0.61407749186454","0.562930498047756","0.665224485681324","1"
"Yes","1985","indirect migration background","Urban Area","83","0.641776275734317","0.558386034105422","0.725166517363212","1"
"Yes","1985","indirect migration background","Rural Area","12","","","","1"
"No","1986","no migration background","Rural Area","1149","0.666577264397287","0.644694848248632","0.688459680545942","2"
"No","1986","no migration background","Urban Area","3844","0.690563421837858","0.678602754009209","0.702524089666508","2"
"No","1986","direct migration background","Rural Area","234","0.656770092952611","0.607170740704498","0.706369445200724","2"
"No","1986","direct migration background","Urban Area","1587","0.66822671478011","0.64965046093838","0.686802968621839","2"
"No","1986","indirect migration background","Urban Area","86","0.70153212450699","0.62405593184191","0.779008317172071","2"
"No","1986","indirect migration background","Rural Area","11","","","","2"
"Yes","1986","no migration background","Urban Area","1894","0.309436578162142","0.297475910333492","0.321397245990791","1"
"Yes","1986","no migration background","Rural Area","634","0.333422735602713","0.311540319454058","0.355305151751368","1"
"Yes","1986","direct migration background","Urban Area","881","0.33177328521989","0.313197031378161","0.35034953906162","1"
"Yes","1986","direct migration background","Rural Area","118","0.343229907047389","0.293630554799276","0.392829259295502","1"
"Yes","1986","indirect migration background","Urban Area","48","0.29846787549301","0.22099168282793","0.37594406815809","1"
"Yes","1986","indirect migration background","Rural Area","8","","","","1"
"No","1987","no migration background","Urban Area","3955","0.727648978810903","0.715979064875361","0.739318892746445","2"
"No","1987","no migration background","Rural Area","1169","0.695191819646804","0.673550245812426","0.716833393481181","2"
"No","1987","direct migration background","Rural Area","238","0.663307569112029","0.614354409172146","0.712260729051913","2"
"No","1987","direct migration background","Urban Area","1706","0.718976486503399","0.701170294272073","0.736782678734725","2"
"No","1987","indirect migration background","Urban Area","112","0.723491092546108","0.652619281139342","0.794362903952875","2"
"No","1987","indirect migration background","Rural Area","16","","","","2"
"Yes","1987","no migration background","Urban Area","1635","0.272351021189097","0.260681107253555","0.284020935124639","1"
"Yes","1987","no migration background","Rural Area","569","0.304808180353196","0.283166606518819","0.326449754187574","1"
"Yes","1987","direct migration background","Urban Area","742","0.281023513496601","0.263217321265275","0.298829705727927","1"
"Yes","1987","direct migration background","Rural Area","120","0.336692430887971","0.287739270948088","0.385645590827854","1"
"Yes","1987","indirect migration background","Urban Area","41","0.276508907453891","0.205637096047125","0.347380718860658","1"
"Yes","1987","indirect migration background","Rural Area","5","","","","1"
"No","1988","no migration background","Urban Area","3734","0.718989612301958","0.706938216190462","0.731041008413455","2"
"No","1988","no migration background","Rural Area","1062","0.678228376048249","0.655521903614747","0.700934848481751","2"
"No","1988","direct migration background","Urban Area","1627","0.711292880774576","0.692841109958501","0.72974465159065","2"
"No","1988","direct migration background","Rural Area","231","0.704724897243397","0.655433246322103","0.754016548164692","2"
"No","1988","indirect migration background","Urban Area","132","0.646660834192416","0.578332106327146","0.714989562057685","2"
"No","1988","indirect migration background","Rural Area","20","","","","2"
"Yes","1988","no migration background","Urban Area","1610","0.281010387698041","0.268958991586545","0.293061783809538","1"
"Yes","1988","no migration background","Rural Area","564","0.321771623951751","0.299065151518249","0.344478096385253","1"
"Yes","1988","direct migration background","Urban Area","690","0.288707119225424","0.270255348409349","0.307158890041499","1"
"Yes","1988","direct migration background","Rural Area","98","0.295275102756603","0.245983451835308","0.344566753677897","1"
"Yes","1988","indirect migration background","Urban Area","56","0.353339165807584","0.285010437942315","0.421667893672854","1"
"Yes","1988","indirect migration background","Rural Area","8","","","","1"
"No","1989","no migration background","Urban Area","3678","0.724357052044724","0.712243496633366","0.736470607456082","2"
"No","1989","no migration background","Rural Area","1067","0.710810569582863","0.688304835668895","0.733316303496832","2"
"No","1989","direct migration background","Urban Area","1619","0.731449216912612","0.713212941425169","0.749685492400054","2"
"No","1989","direct migration background","Rural Area","233","0.786063183102603","0.740632693734713","0.831493672470493","2"
"No","1989","indirect migration background","Urban Area","165","0.757154446524083","0.701125281749068","0.813183611299097","2"
"No","1989","indirect migration background","Rural Area","23","","","","2"
"Yes","1989","no migration background","Urban Area","1549","0.275642947955276","0.263529392543918","0.287756503366634","1"
"Yes","1989","no migration background","Rural Area","492","0.289189430417137","0.266683696503168","0.311695164331105","1"
"Yes","1989","direct migration background","Urban Area","650","0.268550783087388","0.250314507599946","0.286787058574831","1"
"Yes","1989","direct migration background","Rural Area","80","0.213936816897397","0.168506327529507","0.259367306265287","1"
"Yes","1989","indirect migration background","Urban Area","60","0.242845553475917","0.186816388700903","0.298874718250932","1"
"Yes","1989","indirect migration background","Rural Area","9","","","","1"
"No","1990","no migration background","Urban Area","","","","","2"
"No","1990","no migration background","Rural Area","","","","","2"
"No","1990","direct migration background","Urban Area","","","","","2"
"No","1990","direct migration background","Rural Area","","","","","2"
"No","1990","indirect migration background","Urban Area","","","","","2"
"No","1990","indirect migration background","Rural Area","","","","","2"
"Yes","1990","no migration background","Urban Area","","","","","1"
"Yes","1990","no migration background","Rural Area","","","","","1"
"Yes","1990","direct migration background","Urban Area","","","","","1"
"Yes","1990","direct migration background","Rural Area","","","","","1"
"Yes","1990","indirect migration background","Urban Area","","","","","1"
"Yes","1990","indirect migration background","Rural Area","","","","","1"
"No","1991","no migration background","Urban Area","4965","0.768111446397031","0.757742496406424","0.778480396387638","2"
"No","1991","no migration background","Rural Area","3702","0.839098520571259","0.82796617046517","0.850230870677347","2"
"No","1991","direct migration background","Urban Area","1585","0.722542693431813","0.703930043913883","0.741155342949743","2"
"No","1991","direct migration background","Rural Area","329","0.831026464920907","0.794440683091473","0.867612246750341","2"
"No","1991","indirect migration background","Urban Area","205","0.669821929725266","0.616957312406966","0.722686547043566","2"
"No","1991","indirect migration background","Rural Area","33","0.864231593406529","0.761848489187306","0.966614697625752","2"
"Yes","1991","no migration background","Urban Area","1399","0.231888553602969","0.221519603612362","0.242257503593576","1"
"Yes","1991","no migration background","Rural Area","483","0.160901479428741","0.149769129322653","0.17203382953483","1"
"Yes","1991","direct migration background","Urban Area","638","0.277457306568187","0.258844657050258","0.296069956086117","1"
"Yes","1991","direct migration background","Rural Area","74","0.168973535079093","0.132387753249659","0.205559316908527","1"
"Yes","1991","indirect migration background","Urban Area","99","0.330178070274734","0.277313452956433","0.383042687593034","1"
"Yes","1991","indirect migration background","Rural Area","10","","","","1"
"No","1992","no migration background","Urban Area","4284","0.720169466314835","0.709042704813644","0.731296227816026","2"
"No","1992","no migration background","Rural Area","2399","0.657988098975218","0.643194318437221","0.672781879513215","2"
"No","1992","direct migration background","Urban Area","1553","0.724055279341541","0.705045908555896","0.743064650127186","2"
"No","1992","direct migration background","Rural Area","288","0.742595982114853","0.699589215117339","0.785602749112367","2"
"No","1992","indirect migration background","Urban Area","253","0.74326573191592","0.697170869928031","0.78936059390381","2"
"No","1992","indirect migration background","Rural Area","45","0.795596492548354","0.690907441060821","0.900285544035886","2"
"Yes","1992","no migration background","Urban Area","1969","0.279830533685165","0.268703772183974","0.290957295186356","1"
"Yes","1992","direct migration background","Urban Area","571","0.275944720658459","0.256935349872814","0.294954091444104","1"
"Yes","1992","direct migration background","Rural Area","109","0.257404017885147","0.214397250887633","0.300410784882661","1"
"Yes","1992","indirect migration background","Urban Area","92","0.25673426808408","0.21063940609619","0.302829130071969","1"
"Yes","1992","no migration background","Rural Area","1551","0.342011901024782","0.327218120486785","0.356805681562779","1"
"Yes","1992","indirect migration background","Rural Area","12","","","","1"
"No","1993","no migration background","Urban Area","","","","","2"
"No","1993","no migration background","Rural Area","","","","","2"
"No","1993","direct migration background","Urban Area","","","","","2"
"No","1993","direct migration background","Rural Area","","","","","2"
"No","1993","indirect migration background","Urban Area","","","","","2"
"No","1993","indirect migration background","Rural Area","","","","","2"
"Yes","1993","no migration background","Urban Area","","","","","1"
"Yes","1993","no migration background","Rural Area","","","","","1"
"Yes","1993","direct migration background","Urban Area","","","","","1"
"Yes","1993","direct migration background","Rural Area","","","","","1"
"Yes","1993","indirect migration background","Urban Area","","","","","1"
"Yes","1993","indirect migration background","Rural Area","","","","","1"
"No","1994","no migration background","Urban Area","4325","0.736806414868915","0.725804109511124","0.747808720226707","2"
"No","1994","no migration background","Rural Area","2590","0.708206976847744","0.693842012578293","0.722571941117194","2"
"No","1994","direct migration background","Urban Area","1428","0.741098903839218","0.721756074147522","0.760441733530914","2"
"No","1994","direct migration background","Rural Area","279","0.762889355872255","0.719494204178169","0.80628450756634","2"
"No","1994","indirect migration background","Urban Area","304","0.76176558677099","0.721120805741785","0.802410367800194","2"
"No","1994","indirect migration background","Rural Area","54","0.624939919335004","0.511525408007004","0.738354430663005","2"
"Yes","1994","no migration background","Urban Area","1829","0.263193585131085","0.252191279773293","0.274195890488876","1"
"Yes","1994","no migration background","Rural Area","1257","0.291793023152257","0.277428058882806","0.306157987421707","1"
"Yes","1994","direct migration background","Urban Area","542","0.258901096160782","0.239558266469086","0.278243925852478","1"
"Yes","1994","direct migration background","Rural Area","90","0.237110644127745","0.19371549243366","0.280505795821831","1"
"Yes","1994","indirect migration background","Urban Area","118","0.23823441322901","0.197589632199806","0.278879194258215","1"
"Yes","1994","indirect migration background","Rural Area","16","","","","1"
"No","1995","no migration background","Urban Area","4166","0.739678779671676","0.728500792594564","0.750856766748788","2"
"No","1995","no migration background","Rural Area","2559","0.705584980959525","0.691163600452347","0.720006361466702","2"
"No","1995","direct migration background","Urban Area","1655","0.74917891247775","0.731271405086729","0.767086419868771","2"
"No","1995","direct migration background","Rural Area","332","0.729664836956887","0.688765904859871","0.770563769053903","2"
"No","1995","indirect migration background","Urban Area","298","0.692481352606045","0.648608750296662","0.736353954915429","2"
"No","1995","indirect migration background","Rural Area","48","0.527329050051482","0.412802292513776","0.641855807589189","2"
"Yes","1995","no migration background","Urban Area","1754","0.260321220328324","0.249143233251212","0.271499207405436","1"
"Yes","1995","no migration background","Rural Area","1278","0.294415019040476","0.279993638533298","0.308836399547653","1"
"Yes","1995","direct migration background","Urban Area","596","0.25082108752225","0.232913580131229","0.268728594913271","1"
"Yes","1995","direct migration background","Rural Area","121","0.270335163043113","0.229436230946096","0.311234095140129","1"
"Yes","1995","indirect migration background","Urban Area","127","0.307518647393955","0.263646045084571","0.351391249703338","1"
"Yes","1995","indirect migration background","Rural Area","25","","","","1"
"No","1996","no migration background","Urban Area","4123","0.73121265942254","0.719855098240872","0.742570220604209","2"
"No","1996","no migration background","Rural Area","2585","0.728683208797773","0.714419685587102","0.742946732008443","2"
"No","1996","direct migration background","Urban Area","1548","0.748367561006169","0.729767607216463","0.766967514795875","2"
"No","1996","direct migration background","Rural Area","320","0.749706881774678","0.708523327100665","0.790890436448691","2"
"No","1996","indirect migration background","Urban Area","321","0.75900849156421","0.718909674591283","0.799107308537136","2"
"No","1996","indirect migration background","Rural Area","64","0.772073547627002","0.682893986622206","0.861253108631798","2"
"Yes","1996","no migration background","Urban Area","1730","0.26878734057746","0.257429779395791","0.280144901759128","1"
"Yes","1996","no migration background","Rural Area","1148","0.271316791202227","0.257053267991557","0.285580314412898","1"
"Yes","1996","direct migration background","Urban Area","543","0.251632438993831","0.233032485204125","0.270232392783537","1"
"Yes","1996","direct migration background","Rural Area","105","0.250293118225322","0.20910956355131","0.291476672899335","1"
"Yes","1996","indirect migration background","Urban Area","116","0.24099150843579","0.200892691462864","0.281090325408717","1"
"Yes","1996","indirect migration background","Rural Area","21","","","","1"
"No","1997","no migration background","Urban Area","4081","0.744079194688614","0.732801020841395","0.755357368535833","2"
"No","1997","no migration background","Rural Area","2505","0.710417831219128","0.69580904714728","0.725026615290977","2"
"No","1997","direct migration background","Urban Area","1468","0.753829757388038","0.734917261042764","0.772742253733312","2"
"No","1997","direct migration background","Rural Area","305","0.745224160457199","0.702787308143627","0.78766101277077","2"
"No","1997","indirect migration background","Urban Area","345","0.738120914232575","0.698330740698296","0.777911087766854","2"
"No","1997","indirect migration background","Rural Area","62","0.693565962035344","0.593169601566353","0.793962322504336","2"
"Yes","1997","no migration background","Urban Area","1670","0.255920805311386","0.244642631464167","0.267198979158605","1"
"Yes","1997","no migration background","Rural Area","1198","0.289582168780871","0.274973384709022","0.30419095285272","1"
"Yes","1997","direct migration background","Urban Area","525","0.246170242611962","0.227257746266688","0.265082738957236","1"
"Yes","1997","direct migration background","Rural Area","100","0.254775839542801","0.21233898722923","0.297212691856373","1"
"Yes","1997","indirect migration background","Urban Area","124","0.261879085767425","0.222088912233146","0.301669259301704","1"
"Yes","1997","indirect migration background","Rural Area","19","","","","1"
"No","1998","no migration background","Urban Area","4626","0.729896266290614","0.719197191890198","0.74059534069103","2"
"No","1998","no migration background","Rural Area","2889","0.722709879087307","0.709201833346496","0.736217924828118","2"
"No","1998","direct migration background","Urban Area","1415","0.73943832195254","0.719768661885112","0.759107982019967","2"
"No","1998","direct migration background","Rural Area","296","0.769672585968548","0.727992281530313","0.811352890406783","2"
"No","1998","indirect migration background","Urban Area","348","0.768772668985925","0.730976072566318","0.806569265405532","2"
"No","1998","indirect migration background","Rural Area","65","0.755475607836714","0.664637060020162","0.846314155653267","2"
"Yes","1998","no migration background","Urban Area","1990","0.270103733709386","0.25940465930897","0.280802808109802","1"
"Yes","1998","no migration background","Rural Area","1330","0.277290120912693","0.263782075171882","0.290798166653504","1"
"Yes","1998","direct migration background","Urban Area","498","0.26056167804746","0.240892017980033","0.280231338114888","1"
"Yes","1998","direct migration background","Rural Area","96","0.230327414031452","0.188647109593217","0.272007718469687","1"
"Yes","1998","indirect migration background","Urban Area","130","0.231227331014075","0.193430734594468","0.269023927433681","1"
"Yes","1998","indirect migration background","Rural Area","21","","","","1"
"No","1999","no migration background","Urban Area","4408","0.716302113007642","0.705263947650187","0.727340278365096","2"
"No","1999","no migration background","Rural Area","2765","0.710932285349312","0.69702894554128","0.724835625157344","2"
