"ple0044_h","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1985","indirect migration background","inadequately","","","","","2"
"No","1985","indirect migration background","general elemantary","21","","","","2"
"No","1985","indirect migration background","higher vocational","","","","","2"
"No","1985","indirect migration background","in school","4","","","","2"
"No","1985","indirect migration background","higher education","","","","","2"
"No","1985","indirect migration background","middle vocational","22","","","","2"
"No","1985","indirect migration background","vocational + Abi","","","","","2"
"No","1985","no migration background","higher education","263","0.410075620178461","0.372059065806055","0.448092174550868","2"
"No","1985","no migration background","higher vocational","243","0.417111908220814","0.376597374624107","0.457626441817521","2"
"No","1985","direct migration background","middle vocational","390","0.391371568002793","0.359678837554522","0.423064298451063","2"
"No","1985","direct migration background","vocational + Abi","42","0.358312281612885","0.266156172101406","0.450468391124365","2"
"No","1985","direct migration background","higher vocational","14","","","","2"
"No","1985","direct migration background","higher education","33","0.318873615636806","0.23217548238847","0.405571748885142","2"
"No","1985","no migration background","middle vocational","1726","0.404514728126219","0.389724305327004","0.419305150925434","2"
"No","1985","no migration background","general elemantary","789","0.375062308210568","0.354335972780975","0.395788643640162","2"
"No","1985","no migration background","vocational + Abi","68","0.393209890757018","0.32104545497849","0.465374326535546","2"
"No","1985","no migration background","inadequately","34","0.389354297172662","0.285080404464979","0.493628189880345","2"
"No","1985","direct migration background","in school","6","","","","2"
"No","1985","direct migration background","inadequately","310","0.388353611637618","0.353703457018002","0.423003766257234","2"
"No","1985","direct migration background","general elemantary","380","0.386066752551306","0.354658843957597","0.417474661145014","2"
"No","1985","no migration background","in school","61","0.385795178375839","0.30916192729121","0.462428429460468","2"
"Yes","1985","no migration background","in school","94","0.614204821624161","0.537571570539532","0.69083807270879","1"
"Yes","1985","no migration background","inadequately","50","0.610645702827338","0.506371810119655","0.714919595535021","1"
"Yes","1985","no migration background","general elemantary","1307","0.624937691789432","0.604211356359838","0.645664027219025","1"
"Yes","1985","no migration background","middle vocational","2504","0.595485271873781","0.580694849074566","0.610275694672996","1"
"Yes","1985","no migration background","vocational + Abi","108","0.606790109242982","0.534625673464454","0.67895454502151","1"
"Yes","1985","no migration background","higher vocational","326","0.582888091779186","0.542373558182479","0.623402625375893","1"
"Yes","1985","no migration background","higher education","380","0.589924379821539","0.551907825449132","0.627940934193945","1"
"Yes","1985","direct migration background","in school","16","","","","1"
"Yes","1985","direct migration background","inadequately","450","0.611646388362382","0.576996233742766","0.646296542981998","1"
"Yes","1985","direct migration background","general elemantary","543","0.613933247448694","0.582525338854985","0.645341156042403","1"
"Yes","1985","direct migration background","middle vocational","521","0.608628431997208","0.576935701548937","0.640321162445478","1"
"Yes","1985","direct migration background","vocational + Abi","62","0.641687718387115","0.549531608875635","0.733843827898594","1"
"Yes","1985","direct migration background","higher vocational","34","0.757183756606005","0.635882029445028","0.878485483766982","1"
"Yes","1985","direct migration background","higher education","78","0.681126384363194","0.594428251114858","0.767824517611529","1"
"Yes","1985","indirect migration background","in school","6","","","","1"
"Yes","1985","indirect migration background","inadequately","5","","","","1"
"Yes","1985","indirect migration background","general elemantary","39","0.545635730291984","0.419648667023031","0.671622793560936","1"
"Yes","1985","indirect migration background","middle vocational","35","0.605865538869212","0.479006623719864","0.732724454018561","1"
"Yes","1985","indirect migration background","vocational + Abi","","","","","1"
"Yes","1985","indirect migration background","higher vocational","4","","","","1"
"Yes","1985","indirect migration background","higher education","4","","","","1"
"No","1986","indirect migration background","general elemantary","37","0.759602780213176","0.650564227509148","0.868641332917205","2"
"No","1986","indirect migration background","in school","10","","","","2"
"No","1986","indirect migration background","inadequately","6","","","","2"
"No","1986","indirect migration background","higher vocational","3","","","","2"
"No","1986","indirect migration background","vocational + Abi","1","","","","2"
"No","1986","indirect migration background","higher education","1","","","","2"
"No","1986","no migration background","higher education","337","0.560067798781031","0.521090005741104","0.599045591820957","2"
"No","1986","indirect migration background","middle vocational","36","0.708359982630502","0.594299884592246","0.822420080668757","2"
"No","1986","no migration background","higher vocational","310","0.617356726033751","0.575702182417695","0.659011269649807","2"
"No","1986","no migration background","middle vocational","2593","0.665905175709478","0.651302739972149","0.680507611446807","2"
"No","1986","direct migration background","vocational + Abi","62","0.665769922575556","0.573314382173674","0.758225462977437","2"
"No","1986","direct migration background","higher education","57","0.6255158194447","0.53423656161795","0.716795077271451","2"
"No","1986","no migration background","inadequately","63","0.757856280209115","0.665696999468257","0.850015560949973","2"
"No","1986","direct migration background","middle vocational","523","0.630922440831192","0.598857143450527","0.662987738211857","2"
"No","1986","direct migration background","higher vocational","28","","","","2"
"No","1986","no migration background","general elemantary","1429","0.764754558538152","0.745797100892997","0.783712016183307","2"
"No","1986","no migration background","in school","133","0.931364043873323","0.889924434772166","0.97280365297448","2"
"No","1986","no migration background","vocational + Abi","102","0.630275734594091","0.557710617344892","0.70284085184329","2"
"No","1986","direct migration background","in school","28","","","","2"
"No","1986","direct migration background","inadequately","497","0.748418097940414","0.715946932849735","0.780889263031094","2"
"No","1986","direct migration background","general elemantary","585","0.685629573651086","0.655564244194615","0.715694903107558","2"
"Yes","1986","no migration background","in school","10","","","","1"
"Yes","1986","no migration background","inadequately","20","","","","1"
"Yes","1986","no migration background","general elemantary","494","0.235245441461848","0.216287983816693","0.254202899107003","1"
"Yes","1986","no migration background","middle vocational","1415","0.334094824290522","0.319492388553193","0.348697260027851","1"
"Yes","1986","no migration background","vocational + Abi","68","0.369724265405909","0.29715914815671","0.442289382655108","1"
"Yes","1986","no migration background","higher vocational","213","0.382643273966249","0.340988730350193","0.424297817582305","1"
"Yes","1986","no migration background","higher education","286","0.439932201218969","0.400954408179043","0.478909994258896","1"
"Yes","1986","direct migration background","in school","3","","","","1"
"Yes","1986","direct migration background","inadequately","189","0.251581902059586","0.219110736968906","0.284053067150265","1"
"Yes","1986","direct migration background","general elemantary","331","0.314370426348913","0.284305096892442","0.344435755805385","1"
"Yes","1986","direct migration background","middle vocational","347","0.369077559168808","0.337012261788143","0.401142856549473","1"
"Yes","1986","direct migration background","vocational + Abi","38","0.334230077424444","0.241774537022563","0.426685617826326","1"
"Yes","1986","direct migration background","higher vocational","22","","","","1"
"Yes","1986","direct migration background","higher education","51","0.3744841805553","0.283204922728549","0.46576343838205","1"
"Yes","1986","indirect migration background","in school","1","","","","1"
"Yes","1986","indirect migration background","inadequately","1","","","","1"
"Yes","1986","indirect migration background","general elemantary","22","","","","1"
"Yes","1986","indirect migration background","middle vocational","25","","","","1"
"Yes","1986","indirect migration background","vocational + Abi","","","","","1"
"Yes","1986","indirect migration background","higher vocational","2","","","","1"
"Yes","1986","indirect migration background","higher education","3","","","","1"
"No","1987","indirect migration background","higher vocational","4","","","","2"
"No","1987","indirect migration background","in school","9","","","","2"
"No","1987","indirect migration background","higher education","3","","","","2"
"No","1987","indirect migration background","inadequately","6","","","","2"
"No","1987","indirect migration background","general elemantary","51","0.856282439597166","0.768962046252993","0.943602832941339","2"
"No","1987","indirect migration background","vocational + Abi","1","","","","2"
"No","1987","no migration background","higher education","335","0.566716215583967","0.527679631799291","0.605752799368643","2"
"No","1987","indirect migration background","middle vocational","51","0.720020375426103","0.618406488103645","0.82163426274856","2"
"No","1987","no migration background","inadequately","58","0.790116747481666","0.697954727305522","0.882278767657809","2"
"No","1987","no migration background","general elemantary","1408","0.799124631709486","0.780687215853346","0.817562047565626","2"
"No","1987","direct migration background","vocational + Abi","67","0.691504161524745","0.601870722599321","0.781137600450169","2"
"No","1987","direct migration background","higher vocational","33","0.691496204799871","0.56714920472391","0.815843204875831","2"
"No","1987","direct migration background","higher education","55","0.613823985001593","0.517918141522909","0.709729828480277","2"
"No","1987","no migration background","middle vocational","2721","0.709865453010616","0.695712818676407","0.724018087344826","2"
"No","1987","no migration background","higher vocational","315","0.650507266806504","0.608460774805427","0.692553758807581","2"
"No","1987","direct migration background","middle vocational","573","0.697935070809569","0.667176307359482","0.728693834259655","2"
"No","1987","no migration background","in school","140","0.923200078708825","0.880588191835169","0.965811965582482","2"
"No","1987","no migration background","vocational + Abi","112","0.677620518730464","0.607361739339349","0.747879298121578","2"
"No","1987","direct migration background","in school","31","0.818367192463199","0.684786295550686","0.951948089375712","2"
"No","1987","direct migration background","inadequately","499","0.744898529838589","0.711841418609067","0.777955641068111","2"
"No","1987","direct migration background","general elemantary","646","0.735542251871846","0.707302540353931","0.763781963389762","2"
"Yes","1987","no migration background","in school","10","","","","1"
"Yes","1987","no migration background","inadequately","17","","","","1"
"Yes","1987","no migration background","general elemantary","406","0.200875368290514","0.182437952434374","0.219312784146654","1"
"Yes","1987","no migration background","middle vocational","1229","0.290134546989384","0.275981912655174","0.304287181323593","1"
"Yes","1987","no migration background","vocational + Abi","58","0.322379481269536","0.252120701878422","0.392638260660651","1"
"Yes","1987","no migration background","higher vocational","179","0.349492733193496","0.307446241192419","0.391539225194573","1"
"Yes","1987","no migration background","higher education","284","0.433283784416033","0.394247200631357","0.472320368200709","1"
"Yes","1987","direct migration background","in school","1","","","","1"
"Yes","1987","direct migration background","inadequately","169","0.255101470161411","0.222044358931889","0.288158581390933","1"
"Yes","1987","direct migration background","general elemantary","291","0.264457748128154","0.236218036610238","0.292697459646069","1"
"Yes","1987","direct migration background","middle vocational","283","0.302064929190431","0.271306165740345","0.332823692640518","1"
"Yes","1987","direct migration background","vocational + Abi","35","0.308495838475255","0.218862399549831","0.398129277400679","1"
"Yes","1987","direct migration background","higher vocational","20","","","","1"
"Yes","1987","direct migration background","higher education","44","0.386176014998407","0.290270171519723","0.482081858477091","1"
"Yes","1987","indirect migration background","in school","","","","","1"
"Yes","1987","indirect migration background","inadequately","3","","","","1"
"Yes","1987","indirect migration background","general elemantary","11","","","","1"
"Yes","1987","indirect migration background","middle vocational","24","","","","1"
"Yes","1987","indirect migration background","vocational + Abi","","","","","1"
"Yes","1987","indirect migration background","higher vocational","3","","","","1"
"Yes","1987","indirect migration background","higher education","1","","","","1"
"No","1988","no migration background","higher vocational","287","0.64363909119244","0.600155904105654","0.687122278279225","2"
"No","1988","no migration background","higher education","308","0.529814762530668","0.489811628135291","0.569817896926046","2"
"No","1988","indirect migration background","general elemantary","58","0.788568501621785","0.697952405886989","0.879184597356582","2"
"No","1988","indirect migration background","higher education","3","","","","2"
"No","1988","indirect migration background","higher vocational","2","","","","2"
"No","1988","indirect migration background","in school","17","","","","2"
"No","1988","no migration background","general elemantary","1325","0.798854197783161","0.779854824152018","0.817853571414304","2"
"No","1988","indirect migration background","inadequately","9","","","","2"
"No","1988","no migration background","vocational + Abi","114","0.699001290109807","0.629845898582659","0.768156681636955","2"
"No","1988","no migration background","inadequately","55","0.825382259569069","0.734478376135701","0.916286143002436","2"
"No","1988","indirect migration background","middle vocational","58","0.575153689918184","0.470680045219727","0.67962733461664","2"
"No","1988","indirect migration background","vocational + Abi","1","","","","2"
"No","1988","no migration background","middle vocational","2543","0.696090419651837","0.681398767930258","0.710782071373417","2"
"No","1988","no migration background","in school","119","0.957533249354772","0.922182833083055","0.992883665626488","2"
"No","1988","direct migration background","inadequately","479","0.775452994762804","0.742553803215138","0.80835218631047","2"
"No","1988","direct migration background","general elemantary","642","0.728366672045757","0.699387207187843","0.757346136903671","2"
"No","1988","direct migration background","middle vocational","532","0.679486521444504","0.647407848762505","0.711565194126504","2"
