"ple0044_h","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1985","no migration background","Male","1589","0.411069402422112","0.395462390431058","0.426676414413165","2"
"No","1985","no migration background","Female","1611","0.383496000543745","0.368755632787204","0.398236368300286","2"
"No","1985","direct migration background","Male","672","0.376309146857271","0.352352994122619","0.400265299591924","2"
"No","1985","direct migration background","Female","524","0.371351758376389","0.345804087091949","0.396899429660829","2"
"No","1985","indirect migration background","Male","24","","","","2"
"No","1985","indirect migration background","Female","25","","","","2"
"Yes","1985","no migration background","Male","2229","0.588930597577888","0.573323585586835","0.604537609568942","1"
"Yes","1985","no migration background","Female","2569","0.616503999456255","0.601763631699714","0.631244367212796","1"
"Yes","1985","direct migration background","Male","899","0.623690853142729","0.599734700408076","0.647647005877381","1"
"Yes","1985","direct migration background","Female","850","0.628648241623611","0.603100570339171","0.654195912908051","1"
"Yes","1985","indirect migration background","Male","42","0.694736795128804","0.583634379043768","0.805839211213841","1"
"Yes","1985","indirect migration background","Female","53","0.650421084799705","0.544600365184285","0.756241804415125","1"
"No","1986","no migration background","Female","2893","0.761663177893894","0.748333940192067","0.774992415595722","2"
"No","1986","no migration background","Male","2100","0.596804229840106","0.580771326309588","0.612837133370624","2"
"No","1986","direct migration background","Female","937","0.729306306405549","0.705199654950957","0.75341295786014","2"
"No","1986","direct migration background","Male","884","0.60787440426933","0.583289908865687","0.632458899672974","2"
"No","1986","indirect migration background","Male","45","0.677796703737889","0.570595076728943","0.784998330746835","2"
"No","1986","indirect migration background","Female","52","0.661450552766655","0.557754352248811","0.765146753284499","2"
"Yes","1986","no migration background","Male","1496","0.403195770159894","0.387162866629376","0.419228673690412","1"
"Yes","1986","no migration background","Female","1032","0.238336822106106","0.225007584404278","0.251666059807933","1"
"Yes","1986","direct migration background","Male","631","0.39212559573067","0.367541100327026","0.416710091134313","1"
"Yes","1986","direct migration background","Female","368","0.270693693594451","0.246587042139859","0.294800345049042","1"
"Yes","1986","indirect migration background","Male","28","","","","1"
"Yes","1986","indirect migration background","Female","28","","","","1"
"No","1987","no migration background","Male","2125","0.621659103880232","0.605601385560101","0.637716822200362","2"
"No","1987","no migration background","Female","2999","0.805295916976908","0.79274560772885","0.817846226224966","2"
"No","1987","direct migration background","Female","995","0.780571420330897","0.758151648584111","0.802991192077682","2"
"No","1987","direct migration background","Male","949","0.645556041840184","0.621324672638458","0.669787411041909","2"
"No","1987","indirect migration background","Male","55","0.757523166520278","0.664189426926791","0.850856906113764","2"
"No","1987","indirect migration background","Female","73","0.750553423573271","0.66261347733712","0.838493369809423","2"
"Yes","1987","no migration background","Male","1379","0.378340896119768","0.362283177799638","0.394398614439899","1"
"Yes","1987","no migration background","Female","825","0.194704083023092","0.182153773775034","0.20725439227115","1"
"Yes","1987","direct migration background","Male","548","0.354443958159816","0.330212588958091","0.378675327361542","1"
"Yes","1987","direct migration background","Female","314","0.219428579669103","0.197008807922318","0.241848351415889","1"
"Yes","1987","indirect migration background","Male","26","","","","1"
"Yes","1987","indirect migration background","Female","20","","","","1"
