"ple0044_h","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1985","no migration background","West Germany","3200","0.396351950697388","0.385632073954277","0.407071827440499","2"
"No","1985","no migration background","East Germany","","","","","2"
"No","1985","direct migration background","West Germany","1196","0.373905186026209","0.35643062643451","0.391379745617908","2"
"No","1985","direct migration background","East Germany","","","","","2"
"No","1985","indirect migration background","West Germany","49","0.331370198950404","0.254489657393398","0.40825074050741","2"
"No","1985","indirect migration background","East Germany","","","","","2"
"Yes","1985","no migration background","West Germany","4798","0.603648049302612","0.592928172559501","0.614367926045723","1"
"Yes","1985","no migration background","East Germany","","","","","1"
"Yes","1985","direct migration background","West Germany","1749","0.626094813973791","0.608620254382091","0.64356937356549","1"
"Yes","1985","direct migration background","East Germany","","","","","1"
"Yes","1985","indirect migration background","West Germany","95","0.668629801049596","0.59174925949259","0.745510342606602","1"
"Yes","1985","indirect migration background","East Germany","","","","","1"
"No","1986","no migration background","East Germany","","","","","2"
"No","1986","no migration background","West Germany","4993","0.684730850406592","0.674230326162053","0.695231374651131","2"
"No","1986","direct migration background","East Germany","","","","","2"
"No","1986","direct migration background","West Germany","1821","0.66650761190557","0.649106818270318","0.683908405540822","2"
"No","1986","indirect migration background","West Germany","97","0.668327319460889","0.593725085411451","0.742929553510328","2"
"No","1986","indirect migration background","East Germany","","","","","2"
"Yes","1986","no migration background","West Germany","2528","0.315269149593408","0.304768625348869","0.325769673837947","1"
"Yes","1986","no migration background","East Germany","","","","","1"
"Yes","1986","direct migration background","West Germany","999","0.33349238809443","0.316091594459178","0.350893181729682","1"
"Yes","1986","direct migration background","East Germany","","","","","1"
"Yes","1986","indirect migration background","West Germany","56","0.331672680539111","0.257070446489672","0.406274914588549","1"
"Yes","1986","indirect migration background","East Germany","","","","","1"
"No","1987","no migration background","West Germany","5124","0.719833255228365","0.709551207724147","0.730115302732582","2"
"No","1987","no migration background","East Germany","","","","","2"
"No","1987","direct migration background","East Germany","","","","","2"
"No","1987","direct migration background","West Germany","1944","0.711103137771863","0.694332793907046","0.72787348163668","2"
"No","1987","indirect migration background","West Germany","128","0.753377509527416","0.689330901799883","0.817424117254949","2"
"No","1987","indirect migration background","East Germany","","","","","2"
"Yes","1987","no migration background","West Germany","2204","0.280166744771635","0.269884697267418","0.290448792275853","1"
"Yes","1987","no migration background","East Germany","","","","","1"
"Yes","1987","direct migration background","West Germany","862","0.288896862228137","0.27212651836332","0.305667206092954","1"
"Yes","1987","direct migration background","East Germany","","","","","1"
"Yes","1987","indirect migration background","West Germany","46","0.246622490472584","0.182575882745051","0.310669098200117","1"
"Yes","1987","indirect migration background","East Germany","","","","","1"
"No","1988","no migration background","West Germany","4796","0.709336872195702","0.698676976847563","0.719996767543841","2"
"No","1988","no migration background","East Germany","","","","","2"
"No","1988","direct migration background","West Germany","1858","0.710372883750015","0.693090009549862","0.727655757950168","2"
"No","1988","direct migration background","East Germany","","","","","2"
"No","1988","indirect migration background","West Germany","152","0.665102179726979","0.60216293001493","0.728041429439028","2"
"No","1988","indirect migration background","East Germany","","","","","2"
"Yes","1988","no migration background","West Germany","2174","0.290663127804298","0.280003232456159","0.301323023152437","1"
"Yes","1988","no migration background","East Germany","","","","","1"
"Yes","1988","direct migration background","West Germany","788","0.289627116249985","0.272344242049832","0.306909990450138","1"
"Yes","1988","direct migration background","East Germany","","","","","1"
"Yes","1988","indirect migration background","West Germany","64","0.334897820273021","0.271958570560972","0.39783706998507","1"
"Yes","1988","indirect migration background","East Germany","","","","","1"
"No","1989","no migration background","West Germany","4745","0.721214813287168","0.710546191251252","0.731883435323083","2"
"No","1989","no migration background","East Germany","","","","","2"
"No","1989","direct migration background","West Germany","1852","0.739499736034144","0.722570277517332","0.756429194550955","2"
"No","1989","direct migration background","East Germany","","","","","2"
"No","1989","indirect migration background","West Germany","188","0.751372096635915","0.69852951894411","0.80421467432772","2"
"No","1989","indirect migration background","East Germany","","","","","2"
"Yes","1989","no migration background","West Germany","2041","0.278785186712832","0.268116564676917","0.289453808748748","1"
"Yes","1989","no migration background","East Germany","","","","","1"
"Yes","1989","direct migration background","West Germany","730","0.260500263965856","0.243570805449045","0.277429722482668","1"
"Yes","1989","direct migration background","East Germany","","","","","1"
"Yes","1989","indirect migration background","West Germany","69","0.248627903364085","0.19578532567228","0.30147048105589","1"
"Yes","1989","indirect migration background","East Germany","","","","","1"
"No","1990","no migration background","West Germany","","","","","2"
"No","1990","no migration background","East Germany","","","","","2"
"No","1990","direct migration background","West Germany","","","","","2"
"No","1990","direct migration background","East Germany","","","","","2"
"No","1990","indirect migration background","West Germany","","","","","2"
"No","1990","indirect migration background","East Germany","","","","","2"
"Yes","1990","no migration background","West Germany","","","","","1"
"Yes","1990","no migration background","East Germany","","","","","1"
"Yes","1990","direct migration background","West Germany","","","","","1"
"Yes","1990","direct migration background","East Germany","","","","","1"
"Yes","1990","indirect migration background","West Germany","","","","","1"
"Yes","1990","indirect migration background","East Germany","","","","","1"
"No","1991","no migration background","West Germany","4738","0.733359559787242","0.72270732858739","0.744011790987095","2"
"No","1991","no migration background","East Germany","4018","1","1","1","2"
"No","1991","direct migration background","West Germany","1773","0.721190882954298","0.703560429033614","0.738821336874983","2"
"No","1991","direct migration background","East Germany","142","1","1","1","2"
"No","1991","indirect migration background","West Germany","235","0.692593492762702","0.643833391216519","0.741353594308886","2"
"No","1991","indirect migration background","East Germany","3","","","","2"
"Yes","1991","no migration background","West Germany","1882","0.266640440212758","0.255988209012905","0.27729267141261","1"
"Yes","1991","no migration background","East Germany","","","","","1"
"Yes","1991","direct migration background","West Germany","712","0.278809117045702","0.261178663125017","0.296439570966386","1"
"Yes","1991","direct migration background","East Germany","","","","","1"
"Yes","1991","indirect migration background","West Germany","109","0.307406507237298","0.258646405691114","0.356166608783481","1"
"Yes","1991","indirect migration background","East Germany","","","","","1"
"No","1992","no migration background","West Germany","4658","0.730731842545299","0.719956548947324","0.741507136143275","2"
"No","1992","no migration background","East Germany","2086","0.585765636537918","0.570122363995807","0.601408909080028","2"
"No","1992","direct migration background","West Germany","1741","0.728700883467422","0.710830206535557","0.746571560399288","2"
"No","1992","direct migration background","East Germany","101","0.716956537756385","0.643379919364051","0.790533156148719","2"
"No","1992","indirect migration background","West Germany","290","0.750728784336473","0.70790523526857","0.793552333404377","2"
"No","1992","indirect migration background","East Germany","8","","","","2"
"Yes","1992","no migration background","West Germany","1852","0.269268157454701","0.258492863856725","0.280043451052676","1"
"Yes","1992","direct migration background","West Germany","637","0.271299116532577","0.253428439600712","0.289169793464443","1"
"Yes","1992","direct migration background","East Germany","43","0.283043462243615","0.209466843851281","0.356620080635949","1"
"Yes","1992","indirect migration background","West Germany","102","0.249271215663527","0.206447666595623","0.29209476473143","1"
"Yes","1992","no migration background","East Germany","1723","0.414234363462082","0.398591090919972","0.429877636004193","1"
"Yes","1992","indirect migration background","East Germany","2","","","","1"
"No","1993","no migration background","West Germany","","","","","2"
"No","1993","no migration background","East Germany","","","","","2"
"No","1993","direct migration background","West Germany","","","","","2"
"No","1993","direct migration background","East Germany","","","","","2"
"No","1993","indirect migration background","West Germany","","","","","2"
"No","1993","indirect migration background","East Germany","","","","","2"
"Yes","1993","no migration background","West Germany","","","","","1"
"Yes","1993","no migration background","East Germany","","","","","1"
"Yes","1993","direct migration background","West Germany","","","","","1"
"Yes","1993","direct migration background","East Germany","","","","","1"
"Yes","1993","indirect migration background","West Germany","","","","","1"
"Yes","1993","indirect migration background","East Germany","","","","","1"
"No","1994","no migration background","West Germany","4535","0.732987823199207","0.722142471964643","0.743833174433771","2"
"No","1994","no migration background","East Germany","2380","0.708438651183978","0.693611055027749","0.723266247340207","2"
"No","1994","direct migration background","West Germany","1601","0.743277405615769","0.725011526689092","0.761543284542445","2"
"No","1994","direct migration background","East Germany","106","0.764893305022635","0.695144487885326","0.834642122159944","2"
"No","1994","indirect migration background","West Germany","345","0.738628984711834","0.699157223936396","0.778100745487272","2"
"No","1994","indirect migration background","East Germany","13","","","","2"
"Yes","1994","no migration background","West Germany","1857","0.267012176800793","0.256166825566229","0.277857528035357","1"
"Yes","1994","no migration background","East Germany","1229","0.291561348816022","0.276733752659793","0.306388944972251","1"
"Yes","1994","direct migration background","West Germany","596","0.256722594384231","0.238456715457555","0.274988473310908","1"
"Yes","1994","direct migration background","East Germany","36","0.235106694977365","0.165357877840056","0.304855512114674","1"
"Yes","1994","indirect migration background","West Germany","131","0.261371015288166","0.221899254512727","0.300842776063604","1"
"Yes","1994","indirect migration background","East Germany","3","","","","1"
"No","1995","no migration background","West Germany","4467","0.738047539633295","0.727189143131105","0.748905936135484","2"
"No","1995","no migration background","East Germany","2258","0.694200559969688","0.678843912335502","0.709557207603874","2"
"No","1995","direct migration background","West Germany","1876","0.740652189776428","0.723684518716504","0.757619860836352","2"
"No","1995","direct migration background","East Germany","111","0.811774683526418","0.747254543060015","0.876294823992822","2"
"No","1995","indirect migration background","West Germany","336","0.667714317572857","0.62570692896845","0.709721706177264","2"
"No","1995","indirect migration background","East Germany","10","","","","2"
"Yes","1995","no migration background","West Germany","1832","0.261952460366705","0.251094063864516","0.272810856868895","1"
"Yes","1995","no migration background","East Germany","1200","0.305799440030312","0.290442792396126","0.321156087664498","1"
"Yes","1995","direct migration background","West Germany","687","0.259347810223572","0.242380139163648","0.276315481283496","1"
"Yes","1995","direct migration background","East Germany","30","0.188225316473582","0.123705176007178","0.252745456939985","1"
"Yes","1995","indirect migration background","West Germany","147","0.332285682427143","0.290278293822736","0.37429307103155","1"
"Yes","1995","indirect migration background","East Germany","5","","","","1"
"No","1996","no migration background","West Germany","4398","0.731709079479986","0.720697236187027","0.742720922772945","2"
"No","1996","no migration background","East Germany","2311","0.725715400389929","0.710647736250556","0.740783064529301","2"
"No","1996","direct migration background","West Germany","1754","0.741288852997086","0.723691304308099","0.758886401686073","2"
"No","1996","direct migration background","East Germany","114","0.847786015600429","0.78763288856721","0.907939142633647","2"
"No","1996","indirect migration background","West Germany","369","0.763245059498742","0.72605920560702","0.800430913390463","2"
"No","1996","indirect migration background","East Germany","16","","","","2"
"Yes","1996","no migration background","West Germany","1821","0.268290920520014","0.257279077227055","0.279302763812973","1"
"Yes","1996","no migration background","East Germany","1057","0.274284599610071","0.259216935470699","0.289352263749444","1"
"Yes","1996","direct migration background","West Germany","625","0.258711147002914","0.241113598313927","0.276308695691901","1"
"Yes","1996","direct migration background","East Germany","23","","","","1"
"Yes","1996","indirect migration background","West Germany","133","0.236754940501258","0.199569086609537","0.27394079439298","1"
"Yes","1996","indirect migration background","East Germany","4","","","","1"
"No","1997","no migration background","West Germany","4338","0.737327771111063","0.726301079213017","0.748354463009108","2"
"No","1997","no migration background","East Germany","2249","0.718620276566507","0.703361096330097","0.733879456802916","2"
"No","1997","direct migration background","West Germany","1669","0.744276089794952","0.726329255029675","0.762222924560228","2"
"No","1997","direct migration background","East Germany","104","0.86011129136765","0.800019968993135","0.920202613742164","2"
"No","1997","indirect migration background","West Germany","391","0.732733195808766","0.694986705773446","0.770479685844086","2"
"No","1997","indirect migration background","East Germany","16","","","","2"
"Yes","1997","no migration background","West Germany","1781","0.262672228888937","0.251645536990892","0.273698920786983","1"
"Yes","1997","no migration background","East Germany","1087","0.281379723433493","0.266120543197084","0.296638903669903","1"
"Yes","1997","direct migration background","West Germany","601","0.255723910205048","0.237777075439772","0.273670744970325","1"
"Yes","1997","direct migration background","East Germany","24","","","","1"
"Yes","1997","indirect migration background","West Germany","137","0.267266804191234","0.229520314155914","0.305013294226554","1"
"Yes","1997","indirect migration background","East Germany","6","","","","1"
"No","1998","no migration background","West Germany","5124","0.733301149696336","0.723136956516507","0.743465342876165","2"
"No","1998","no migration background","East Germany","2391","0.706647448043948","0.691697609147625","0.721597286940271","2"
"No","1998","direct migration background","West Germany","1614","0.737493750248253","0.719053250120929","0.755934250375578","2"
"No","1998","direct migration background","East Germany","97","0.851723380839156","0.787603499553506","0.915843262124805","2"
