"year","age_gr","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","16-34 y.","college entrance qualification","887.91","818","370","230","460","1186","1534","830.08","945.74","767","895"
"1984","16-34 y.","lower secondary degree","711.16","716","1309","215","435","920","1150","691.01","731.31","665","716"
"1984","16-34 y.","no degree/no degree yet","607.31","614","177","156","351","869","1023","560.97","653.65","665","767"
"1984","16-34 y.","Other degree","758.8","744.54","356","307","562","936","1074","723.57","794.03","716","818"
"1984","16-34 y.","secondary school degree","711.62","710.07","709","216","353","920","1176","678.16","745.08","665","716"
"1984","35-65 y.","college entrance qualification","1631.04","1602.21","428","767","1176","2045","2556","1560.84","1701.24","1534","1687"
"1984","35-65 y.","lower secondary degree","913.03","920","1961","281","588","1125","1432","889.05","937.01","920","920"
"1984","35-65 y.","no degree/no degree yet","813.01","823.8","497","435","665","971","1074","785.63","840.39","818","869"
"1984","35-65 y.","Other degree","952.4","920","735","562","741","1074","1338","918.35","986.45","869","920"
"1984","35-65 y.","secondary school degree","1137.87","1023","517","310","665","1483","1943","1074.75","1200.99","1023","1125"
"1984","66 and older","college entrance qualification","","","","","","","","","","",""
"1984","66 and older","lower secondary degree","","","","","","","","","","",""
"1984","66 and older","no degree/no degree yet","","","","","","","","","","",""
"1984","66 and older","Other degree","","","","","","","","","","",""
"1984","66 and older","secondary school degree","","","","","","","","","","",""
"1985","16-34 y.","college entrance qualification","849.25","818","381","205","394","1125","1534","792.38","906.12","741","889"
"1985","16-34 y.","lower secondary degree","717.9","741","1185","230","468","920","1125","696.07","739.73","700","741"
"1985","16-34 y.","no degree/no degree yet","536.48","587.42","123","56","192","767","920","474.99","597.97","665","767"
"1985","16-34 y.","Other degree","739.26","767","277","253","511","920","1074","701.77","776.75","767","869"
"1985","16-34 y.","secondary school degree","708.45","716","682","220","335","920","1176","675.36","741.54","665","757"
"1985","35-65 y.","college entrance qualification","1619.33","1594.05","406","704","1125","2045","2556","1546.79","1691.87","1534","1738"
"1985","35-65 y.","lower secondary degree","912.68","920","1786","256","562","1176","1527","889.41","935.95","920","950"
"1985","35-65 y.","no degree/no degree yet","829.84","818","408","486","716","971","1125","802.7","856.98","818","869"
"1985","35-65 y.","Other degree","943.53","920","646","511","748","1074","1278","910.98","976.08","869","920"
"1985","35-65 y.","secondary school degree","1232.14","1101.47","506","409","712","1548","2045","1142.07","1322.21","1048","1208"
"1985","66 and older","college entrance qualification","","","","","","","","","","",""
"1985","66 and older","lower secondary degree","","","","","","","","","","",""
"1985","66 and older","no degree/no degree yet","","","","","","","","","","",""
"1985","66 and older","Other degree","","","","","","","","","","",""
"1985","66 and older","secondary school degree","","","","","","","","","","",""
"1986","16-34 y.","college entrance qualification","877.26","851.66","404","247","447","1176","1535","824.54","929.98","777","920"
"1986","16-34 y.","lower secondary degree","739.58","767","1185","241","511","946","1176","719.35","759.81","716","767"
"1986","16-34 y.","no degree/no degree yet","609.57","613.46","116","61","383","869","1023","544.35","674.79","614","767"
"1986","16-34 y.","Other degree","745.38","767","238","244","511","997","1176","701.86","788.9","767","869"
"1986","16-34 y.","secondary school degree","737.1","716","681","227","339","971","1178","701.06","773.14","690","767"
"1986","35-65 y.","college entrance qualification","1759.71","1738","396","956","1278","2159","2659","1684.82","1834.6","1636","1790"
"1986","35-65 y.","lower secondary degree","947.07","946","1677","281","563","1176","1534","916.64","977.5","920","971"
"1986","35-65 y.","no degree/no degree yet","841.58","842.73","375","460","690","1023","1150","811.27","871.89","818","869"
"1986","35-65 y.","Other degree","986.37","920","639","594","767","1104","1391","956.02","1016.72","920","971"
"1986","35-65 y.","secondary school degree","1230.56","1125","477","409","792","1575","2045","1163.81","1297.31","1074","1227"
"1986","66 and older","college entrance qualification","","","","","","","","","","",""
"1986","66 and older","lower secondary degree","","","","","","","","","","",""
"1986","66 and older","no degree/no degree yet","","","","","","","","","","",""
