"year","migback","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1984","direct migration background","Westdeutschland, alte Bundeslaender","865.58","844.63","2290","347","562","1023","1278","2352","848.04","883.12","0","9715","818","844"
"1984","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1984","indirect migration background","Westdeutschland, alte Bundeslaender","674.96","614","68","230","307","920","1217","1636","563.37","786.55","61","2812","307","614"
"1984","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1984","no migration background","Westdeutschland, alte Bundeslaender","921.87","869","4804","235","516","1176","1585","2801","904.87","938.87","0","10737","869","876"
"1985","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1985","direct migration background","Westdeutschland, alte Bundeslaender","862.62","844","1960","308","588","1046","1329","2253","845.24","880","0","6647","818","869"
"1985","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1985","indirect migration background","Westdeutschland, alte Bundeslaender","684.36","680.66","67","196","266","869","1534","1585","589.99","778.73","38","1585","266","614"
"1985","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1985","no migration background","Westdeutschland, alte Bundeslaender","927.55","869","4502","235","511","1176","1636","2761","908.6","946.5","0","17895","869","895"
"1986","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1986","direct migration background","Westdeutschland, alte Bundeslaender","886.71","869","1884","297","614","1074","1380","2454","868.57","904.85","0","5113","844","869"
"1986","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1986","indirect migration background","Westdeutschland, alte Bundeslaender","769.53","716","91","230","409","971","1432","1687","672.64","866.42","49","3477","383","665"
"1986","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1986","no migration background","Westdeutschland, alte Bundeslaender","965.62","920","4334","253","557","1227","1687","2991","945.98","985.26","0","16361","895","920"
"1987","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1987","direct migration background","Westdeutschland, alte Bundeslaender","907.58","895","1873","317","614","1125","1432","2289","889.39","925.77","31","5113","869","897"
"1987","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1987","indirect migration background","Westdeutschland, alte Bundeslaender","700.47","716","92","233","383","920","1125","1636","610.31","790.63","118","3359","399","665"
"1987","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1987","no migration background","Westdeutschland, alte Bundeslaender","977.86","920","4332","256","557","1263","1738","2965","959.01","996.71","0","7449","905","920"
"1988","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1988","direct migration background","Westdeutschland, alte Bundeslaender","950.93","920","1747","307","614","1125","1483","2556","930.83","971.03","0","6647","887","920"
"1988","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1988","indirect migration background","Westdeutschland, alte Bundeslaender","673.08","665","121","191","332","971","1176","1636","595.79","750.37","0","3474","409","653"
"1988","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1988","no migration background","Westdeutschland, alte Bundeslaender","1013.49","963.43","4120","256","588","1278","1790","3097","993.74","1033.24","0","6647","920","971"
"1989","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1989","direct migration background","Westdeutschland, alte Bundeslaender","995.98","971","1699","358","710","1227","1534","2556","975.43","1016.53","0","5113","920","971"
"1989","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1989","indirect migration background","Westdeutschland, alte Bundeslaender","736.71","653.21","137","256","358","971","1391","1764","657.53","815.89","0","3471","496","767"
"1989","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1989","no migration background","Westdeutschland, alte Bundeslaender","1059.57","979","4044","268","623","1329","1841","3221","1038.31","1080.83","0","10226","971","997"
"1990","direct migration background","Ostdeutschland, neue Bundeslaender","482.56","460","97","289","365","563","660","1176","450.69","514.43","82","1176","435","522"
"1990","direct migration background","Westdeutschland, alte Bundeslaender","1046.49","1023","1659","383","716","1278","1636","2659","1021.92","1071.06","0","8181","971","1023"
"1990","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1990","indirect migration background","Westdeutschland, alte Bundeslaender","676.82","567.97","166","205","286","952","1278","1943","594.5","759.14","0","5113","486","767"
"1990","no migration background","Ostdeutschland, neue Bundeslaender","476.03","460.44","3338","245","358","575","690","1125","469.25","482.81","12","2045","460","473"
"1990","no migration background","Westdeutschland, alte Bundeslaender","1118.04","1048","3944","301","618","1432","1943","3375","1095.18","1140.9","0","10226","1023","1074"
"1991","direct migration background","Ostdeutschland, neue Bundeslaender","557.97","553.55","76","266","417","665","818","1227","512.76","603.18","174","1227","522","624"
"1991","direct migration background","Westdeutschland, alte Bundeslaender","1086.15","1023","1671","332","704","1329","1738","3068","1062.43","1109.87","0","6902","1023","1048"
"1991","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1991","indirect migration background","Westdeutschland, alte Bundeslaender","695.45","537.84","212","245","307","1008","1278","2045","627.07","763.83","26","4090","465","706"
"1991","no migration background","Ostdeutschland, neue Bundeslaender","591.27","562","2757","307","435","690","874","1636","580.7","601.84","0","2914","562","562"
"1991","no migration background","Westdeutschland, alte Bundeslaender","1164.39","1074","4009","304","665","1483","2045","3477","1141.09","1187.69","0","8896","1056","1111"
"1992","direct migration background","Ostdeutschland, neue Bundeslaender","795.43","716","59","409","614","920","1161","1738","706.92","883.94","153","1738","665","812"
"1992","direct migration background","Westdeutschland, alte Bundeslaender","1135.28","1098.13","1564","375","762","1400","1790","3323","1109.9","1160.66","0","6391","1074","1125"
"1992","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1992","indirect migration background","Westdeutschland, alte Bundeslaender","747.66","604.31","233","256","333","997","1432","2301","677.55","817.77","0","4090","562","767"
"1992","no migration background","Ostdeutschland, neue Bundeslaender","756.27","716","2376","385","562","910","1125","1892","742.34","770.2","0","4090","716","735"
"1992","no migration background","Westdeutschland, alte Bundeslaender","1235.61","1166","3910","335","767","1585","2071","3579","1212.52","1258.7","0","8692","1125","1176"
"1993","direct migration background","Ostdeutschland, neue Bundeslaender","985.43","912.38","48","488","716","1251","1516","2761","861.9","1108.96","205","2761","765","997"
"1993","direct migration background","Westdeutschland, alte Bundeslaender","1226.52","1125","1483","410","854","1473","2045","3835","1198.24","1254.8","0","6135","1099","1125"
"1993","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1993","indirect migration background","Westdeutschland, alte Bundeslaender","749.54","533.85","281","298","368","1023","1278","2301","690.11","808.97","0","4090","537","818"
"1993","no migration background","Ostdeutschland, neue Bundeslaender","908.66","864.4","2217","432","660","1105","1355","2147","886.79","930.53","0","12578","844","882"
"1993","no migration background","Westdeutschland, alte Bundeslaender","1322.42","1227","3881","358","767","1687","2301","4039","1295","1349.84","0","20452","1176","1227"
"1994","direct migration background","Ostdeutschland, neue Bundeslaender","1059.58","1044.93","51","472","769","1355","1552","2654","930.06","1189.1","102","2654","869","1099"
"1994","direct migration background","Westdeutschland, alte Bundeslaender","1242.5","1125","1318","436","818","1483","2000","4090","1208.23","1276.77","0","12271","1125","1176"
"1994","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1994","indirect migration background","Westdeutschland, alte Bundeslaender","825.06","650.39","285","297","398","1135","1534","2556","762.86","887.26","51","4090","641","920"
"1994","no migration background","Ostdeutschland, neue Bundeslaender","986.69","971","2158","444","716","1202","1483","2301","964.97","1008.41","0","9715","920","971"
"1994","no migration background","Westdeutschland, alte Bundeslaender","1351.38","1242.04","3761","399","818","1713","2352","4039","1325","1377.76","0","10226","1191","1250"
"1995","direct migration background","Ostdeutschland, neue Bundeslaender","1005.23","1001.84","55","553","767","1207","1424","3119","885.24","1125.22","240","3119","805","1074"
"1995","direct migration background","Westdeutschland, alte Bundeslaender","1246.25","1125","1507","320","774","1534","2045","4868","1195.93","1296.57","0","25565","1125","1176"
"1995","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1995","indirect migration background","Westdeutschland, alte Bundeslaender","783.82","665","301","286","399","1074","1470","2556","718.37","849.27","0","4602","665","900"
"1995","no migration background","Ostdeutschland, neue Bundeslaender","1027.82","983.56","2147","435","716","1233","1534","2659","999.04","1056.6","0","20452","956","1002"
"1995","no migration background","Westdeutschland, alte Bundeslaender","1372.79","1278","3864","375","818","1738","2454","4197","1345.98","1399.6","0","11966","1221","1278"
"1996","direct migration background","Ostdeutschland, neue Bundeslaender","959.21","994.18","51","526","633","1227","1437","1738","846.61","1071.81","36","1738","764","1094"
"1996","direct migration background","Westdeutschland, alte Bundeslaender","1246.37","1176","1387","381","805","1534","1943","5113","1214.21","1278.53","20","5113","1173","1227"
"1996","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1996","indirect migration background","Westdeutschland, alte Bundeslaender","933.91","814.93","309","299","396","1176","1629","8692","852.75","1015.07","26","8692","818","961"
"1996","no migration background","Ostdeutschland, neue Bundeslaender","1056.54","1023","2076","446","767","1278","1636","3068","1034.13","1078.95","61","8227","984","1023"
"1996","no migration background","Westdeutschland, alte Bundeslaender","1410.3","1278","3823","397","869","1790","2556","4244","1382.24","1438.36","44","14316","1242","1278"
"1997","direct migration background","Ostdeutschland, neue Bundeslaender","980.25","947.05","45","511","767","1227","1447","1788","864.72","1095.78","235","1788","767","1114"
"1997","direct migration background","Westdeutschland, alte Bundeslaender","1290.83","1176","1282","383","818","1554","2147","4960","1257.39","1324.27","56","5624","1176","1227"
"1997","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1997","indirect migration background","Westdeutschland, alte Bundeslaender","899.47","767","343","302","399","1138","1636","7506","833.22","965.72","19","7506","767","971"
"1997","no migration background","Ostdeutschland, neue Bundeslaender","1068.69","1023","2021","435","767","1278","1636","2761","1042.33","1095.05","51","14316","997","1023"
"1997","no migration background","Westdeutschland, alte Bundeslaender","1414.07","1287","3728","409","866","1790","2533","4110","1386.17","1441.97","24","15339","1241","1284"
"1998","direct migration background","Ostdeutschland, neue Bundeslaender","916.63","950.79","36","481","665","1176","1227","1534","807.69","1025.57","247","1534","768","1006"
"1998","direct migration background","Westdeutschland, alte Bundeslaender","1303.02","1227","1248","358","818","1534","2301","4653","1264.46","1341.58","0","7669","1176","1268"
"1998","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1998","indirect migration background","Westdeutschland, alte Bundeslaender","942.04","887.75","345","307","409","1278","1662","3068","874.56","1009.52","0","6135","818","999"
"1998","no migration background","Ostdeutschland, neue Bundeslaender","1056.95","1023","2118","396","762","1278","1687","2812","1034.3","1079.6","0","6340","997","1023"
"1998","no migration background","Westdeutschland, alte Bundeslaender","1420.01","1278","4398","368","844","1790","2556","4295","1394.79","1445.23","0","7158","1267","1278"
"1999","direct migration background","Ostdeutschland, neue Bundeslaender","931.73","896.27","35","665","818","1125","1278","1738","824.03","1039.43","256","1738","818","1033"
"1999","direct migration background","Westdeutschland, alte Bundeslaender","1382.57","1194.67","1157","328","818","1611","2366","4653","1338.77","1426.37","0","10397","1176","1278"
"1999","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1999","indirect migration background","Westdeutschland, alte Bundeslaender","924.04","920","370","297","429","1278","1738","2659","864.98","983.1","61","3579","844","1007"
"1999","no migration background","Ostdeutschland, neue Bundeslaender","1062.32","1023","2129","403","767","1278","1664","2556","1039.74","1084.9","0","5429","997","1023"
"1999","no migration background","Westdeutschland, alte Bundeslaender","1422.87","1321.61","4387","322","803","1820","2556","4602","1396.42","1449.32","0","10226","1278","1295"
"2000","direct migration background","Ostdeutschland, neue Bundeslaender","919.61","844.49","46","215","511","1125","1687","2556","760.74","1078.48","0","2556","701","1048"
"2000","direct migration background","Westdeutschland, alte Bundeslaender","1276.73","1176","1763","322","767","1585","2053","4346","1239.94","1313.52","0","8181","1202","1278"
"2000","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2000","indirect migration background","Westdeutschland, alte Bundeslaender","1001.06","1023","485","307","460","1329","1790","2710","944.11","1058.01","0","5113","971","1053"
"2000","no migration background","Ostdeutschland, neue Bundeslaender","1091.63","1023","3157","358","741","1346","1790","3323","1069.83","1113.43","0","6647","1023","1054"
"2000","no migration background","Westdeutschland, alte Bundeslaender","1448.81","1329","8381","322","767","1857","2556","4862","1427.58","1470.04","0","12782","1322","1351"
"2001","direct migration background","Ostdeutschland, neue Bundeslaender","876.45","920.79","36","131","358","1176","1790","2812","668.24","1084.66","0","2812","562","1125"
"2001","direct migration background","Westdeutschland, alte Bundeslaender","1280.72","1227","1591","322","716","1636","2137","4451","1241.12","1320.32","0","8308","1227","1278"
"2001","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2001","indirect migration background","Westdeutschland, alte Bundeslaender","1148.35","1023","455","312","489","1534","2147","4550","1078.68","1218.02","0","6647","971","1125"
"2001","no migration background","Ostdeutschland, neue Bundeslaender","1134.45","1072.21","2926","373","767","1432","1790","3221","1111.94","1156.96","0","6342","1023","1074"
