"year","migback","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","direct migration background","general elemantary","715.52","721.69","706","245","486","955","1074","692.65","738.39","716","784"
"1984","direct migration background","higher education","1340.19","1228.32","92","409","741","1892","2347","1182.25","1498.13","920","1306"
"1984","direct migration background","higher vocational","1245.04","984.87","33","563","741","1176","1534","900.18","1589.9","767","1125"
"1984","direct migration background","in school","","","","","","","","","","",""
"1984","direct migration background","inadequately","779.28","767","563","409","614","971","1074","754.3","804.26","767","818"
"1984","direct migration background","middle vocational","879.88","890.69","768","347","614","1074","1329","846.31","913.45","869","919"
"1984","direct migration background","vocational + Abi","817.73","786.87","97","445","575","1023","1227","752.46","883","767","971"
"1984","indirect migration background","general elemantary","530.89","467.1","30","203","299","716","920","329.14","732.64","215","460"
"1984","indirect migration background","higher education","","","","","","","","","","",""
"1984","indirect migration background","higher vocational","","","","","","","","","","",""
"1984","indirect migration background","in school","","","","","","","","","","",""
"1984","indirect migration background","inadequately","","","","","","","","","","",""
"1984","indirect migration background","middle vocational","","","","","","","","","","",""
"1984","indirect migration background","vocational + Abi","","","","","","","","","","",""
"1984","no migration background","general elemantary","534.79","453.8","908","171","234","794","1023","512.26","557.32","409","505"
"1984","no migration background","higher education","1539.36","1483","528","675","1023","1943","2505","1475.6","1603.12","1387","1534"
"1984","no migration background","higher vocational","1113.69","1034.97","419","427","767","1483","1790","1060.42","1166.96","1023","1125"
"1984","no migration background","in school","","","","","","","","","","",""
"1984","no migration background","inadequately","515.51","518.18","32","153","205","716","920","404.9","626.12","258","716"
"1984","no migration background","middle vocational","908.6","869","2791","307","614","1125","1432","888.82","928.38","869","895"
"1984","no migration background","vocational + Abi","1065.84","920","116","473","708","1278","1790","945.06","1186.62","844","1023"
"1985","direct migration background","general elemantary","706.27","743.49","614","230","501","920","1115","682.11","730.43","767","818"
"1985","direct migration background","higher education","1317.34","1106.97","81","557","825","1841","2253","1156.1","1478.58","1022","1340"
"1985","direct migration background","higher vocational","952.69","938.54","32","205","511","1176","1558","770.48","1134.9","818","1176"
"1985","direct migration background","in school","","","","","","","","","","",""
"1985","direct migration background","inadequately","817.33","818","440","460","665","971","1150","790.09","844.57","767","818"
"1985","direct migration background","middle vocational","889.73","871.98","674","384","614","1078","1432","858.53","920.93","859","907"
"1985","direct migration background","vocational + Abi","837.68","818.28","82","409","614","1023","1278","763.36","912","791","920"
"1985","indirect migration background","general elemantary","","","","","","","","","","",""
"1985","indirect migration background","higher education","","","","","","","","","","",""
"1985","indirect migration background","higher vocational","","","","","","","","","","",""
"1985","indirect migration background","in school","","","","","","","","","","",""
"1985","indirect migration background","inadequately","","","","","","","","","","",""
"1985","indirect migration background","middle vocational","765.42","691.82","33","240","409","920","1585","622.11","908.73","427","690"
"1985","indirect migration background","vocational + Abi","","","","","","","","","","",""
"1985","no migration background","general elemantary","544.72","460","852","174","230","818","1023","516.5","572.94","409","509"
"1985","no migration background","higher education","1534.77","1496.01","511","614","1023","1994","2533","1469.52","1600.02","1432","1585"
"1985","no migration background","higher vocational","1131.88","1074","394","484","803","1483","1790","1077.51","1186.25","1023","1176"
"1985","no migration background","in school","","","","","","","","","","",""
"1985","no migration background","inadequately","454.04","506.57","32","153","225","690","767","357.03","551.05","245","665"
"1985","no migration background","middle vocational","918.46","888.09","2574","307","614","1125","1483","895.13","941.79","869","920"
"1985","no migration background","vocational + Abi","975.08","893.92","108","256","711","1125","1534","857.13","1093.03","859","971"
"1986","direct migration background","general elemantary","753.09","767","606","251","537","971","1150","725.96","780.22","767","818"
"1986","direct migration background","higher education","1428.55","1360.93","82","463","892","1841","2383","1254.73","1602.37","1104","1534"
"1986","direct migration background","higher vocational","1126.19","1022.82","32","629","869","1176","1790","976.5","1275.88","971","1125"
"1986","direct migration background","in school","","","","","","","","","","",""
"1986","direct migration background","inadequately","818.94","818","400","437","614","1023","1176","789.72","848.16","767","844"
"1986","direct migration background","middle vocational","878.81","920","647","307","614","1074","1329","850.17","907.45","869","920"
"1986","direct migration background","vocational + Abi","835.88","860.45","81","297","614","1023","1176","772.58","899.18","844","997"
"1986","indirect migration background","general elemantary","550.8","418.06","31","217","230","818","1023","328.71","772.89","267","562"
"1986","indirect migration background","higher education","","","","","","","","","","",""
"1986","indirect migration background","higher vocational","","","","","","","","","","",""
"1986","indirect migration background","in school","","","","","","","","","","",""
"1986","indirect migration background","inadequately","","","","","","","","","","",""
"1986","indirect migration background","middle vocational","680.46","659.12","44","219","358","869","1023","581.45","779.47","409","798"
"1986","indirect migration background","vocational + Abi","","","","","","","","","","",""
"1986","no migration background","general elemantary","563.32","492.45","810","196","251","818","1023","538.33","588.31","426","511"
"1986","no migration background","higher education","1650.03","1585","502","767","1125","2045","2556","1583.24","1716.82","1534","1708"
"1986","no migration background","higher vocational","1154.17","1123.38","358","409","767","1483","1939","1093.49","1214.85","1023","1176"
"1986","no migration background","in school","","","","","","","","","","",""
"1986","no migration background","inadequately","582.9","523.6","36","138","244","810","1023","420.05","745.75","275","731"
"1986","no migration background","middle vocational","947.26","920","2480","314","631","1150","1534","923.38","971.14","920","920"
"1986","no migration background","vocational + Abi","1034.89","964.66","110","452","739","1278","1548","922.94","1146.84","844","1023"
"1987","direct migration background","general elemantary","758.28","767","609","256","511","971","1161","731.25","785.31","792","869"
"1987","direct migration background","higher education","1400.15","1287.87","74","670","920","1943","2250","1262.72","1537.58","1104","1432"
"1987","direct migration background","higher vocational","1161.47","1096.04","35","511","920","1483","1943","1000.11","1322.83","920","1227"
"1987","direct migration background","in school","","","","","","","","","","",""
"1987","direct migration background","inadequately","820.06","818","385","409","568","1023","1278","780.7","859.42","767","818"
"1987","direct migration background","middle vocational","932.69","920","653","358","690","1125","1380","903.97","961.41","895","925"
"1987","direct migration background","vocational + Abi","899.73","916.82","77","440","614","1125","1380","823.62","975.84","869","1023"
"1987","indirect migration background","general elemantary","","","","","","","","","","",""
"1987","indirect migration background","higher education","","","","","","","","","","",""
"1987","indirect migration background","higher vocational","","","","","","","","","","",""
"1987","indirect migration background","in school","","","","","","","","","","",""
"1987","indirect migration background","inadequately","","","","","","","","","","",""
