"pli0165","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","2013","no migration background","West Germany","4359","0.247115244602565","0.240459378986072","0.253771110219058","1"
"Daily","2013","no migration background","East Germany","1240","0.206983022500528","0.196268040852384","0.217698004148672","1"
"Daily","2013","direct migration background","West Germany","676","0.21966546138994","0.203507117258027","0.235823805521853","1"
"Daily","2013","direct migration background","East Germany","35","0.171195730159913","0.10765478640521","0.234736673914617","1"
"Daily","2013","indirect migration background","West Germany","551","0.503101889701963","0.473701525631074","0.532502253772852","1"
"Daily","2013","indirect migration background","East Germany","31","0.484678315038228","0.372319461638552","0.597037168437904","1"
"Min 1x per month","2013","no migration background","East Germany","141","0.022734796246573","0.0187926332440554","0.0266769592490906","3"
"Min 1x per month","2013","direct migration background","West Germany","90","0.0366312478836652","0.0292996660841353","0.043962829683195","3"
"Min 1x per month","2013","indirect migration background","East Germany","3","","","","3"
"Min 1x per month","2013","indirect migration background","West Germany","35","0.0398872443828182","0.0283800566513783","0.0513944321142581","3"
"Min 1x per month","2013","no migration background","West Germany","451","0.0283824225975294","0.0258199281284585","0.0309449170666004","3"
"Min 1x per month","2013","direct migration background","East Germany","4","","","","3"
"Min 1x per week","2013","no migration background","East Germany","581","0.0985182586495665","0.0906365630542105","0.106399954244922","2"
"Min 1x per week","2013","no migration background","West Germany","1772","0.106826051089199","0.102059578111681","0.111592524066716","2"
"Min 1x per week","2013","direct migration background","West Germany","371","0.119762280295703","0.107090560365959","0.132434000225447","2"
"Min 1x per week","2013","direct migration background","East Germany","12","","","","2"
"Min 1x per week","2013","indirect migration background","West Germany","178","0.157971307542536","0.136525440299718","0.179417174785354","2"
"Min 1x per week","2013","indirect migration background","East Germany","12","","","","2"
"Never","2013","no migration background","East Germany","3121","0.597064918230285","0.584092792649784","0.610037043810785","5"
"Never","2013","direct migration background","East Germany","72","0.606558284275117","0.524152503471514","0.688964065078721","5"
"Never","2013","indirect migration background","West Germany","268","0.243298932951046","0.218068579367617","0.268529286534476","5"
"Never","2013","indirect migration background","East Germany","22","","","","5"
"Never","2013","direct migration background","West Germany","1179","0.553533890243443","0.534132095449848","0.572935685037039","5"
"Never","2013","no migration background","West Germany","8273","0.543099908186694","0.535413189073067","0.550786627300321","5"
"Rarely","2013","no migration background","East Germany","409","0.0746990043730483","0.0677458519771731","0.0816521567689235","4"
"Rarely","2013","no migration background","West Germany","1278","0.0745763735240126","0.0705225816663364","0.0786301653816888","4"
"Rarely","2013","direct migration background","West Germany","206","0.0704071201872488","0.0604225302171019","0.0803917101573956","4"
"Rarely","2013","direct migration background","East Germany","12","","","","4"
"Rarely","2013","indirect migration background","West Germany","79","0.0557406254216364","0.0422502935801534","0.0692309572631193","4"
"Rarely","2013","indirect migration background","East Germany","8","","","","4"
"Daily","2014","direct migration background","West Germany","","","","","1"
"Daily","2014","no migration background","West Germany","","","","","1"
"Daily","2014","no migration background","East Germany","","","","","1"
"Daily","2014","direct migration background","East Germany","","","","","1"
"Daily","2014","indirect migration background","West Germany","","","","","1"
"Daily","2014","indirect migration background","East Germany","","","","","1"
"Min 1x per month","2014","no migration background","East Germany","","","","","3"
"Min 1x per month","2014","direct migration background","West Germany","","","","","3"
"Min 1x per month","2014","no migration background","West Germany","","","","","3"
"Min 1x per month","2014","direct migration background","East Germany","","","","","3"
"Min 1x per month","2014","indirect migration background","West Germany","","","","","3"
"Min 1x per month","2014","indirect migration background","East Germany","","","","","3"
"Min 1x per week","2014","no migration background","East Germany","","","","","2"
"Min 1x per week","2014","direct migration background","West Germany","","","","","2"
"Min 1x per week","2014","direct migration background","East Germany","","","","","2"
"Min 1x per week","2014","no migration background","West Germany","","","","","2"
"Min 1x per week","2014","indirect migration background","West Germany","","","","","2"
"Min 1x per week","2014","indirect migration background","East Germany","","","","","2"
"Never","2014","no migration background","East Germany","","","","","5"
"Never","2014","indirect migration background","East Germany","","","","","5"
"Never","2014","direct migration background","West Germany","","","","","5"
"Never","2014","no migration background","West Germany","","","","","5"
"Never","2014","indirect migration background","West Germany","","","","","5"
"Never","2014","direct migration background","East Germany","","","","","5"
"Rarely","2014","no migration background","East Germany","","","","","4"
"Rarely","2014","indirect migration background","West Germany","","","","","4"
"Rarely","2014","indirect migration background","East Germany","","","","","4"
"Rarely","2014","no migration background","West Germany","","","","","4"
"Rarely","2014","direct migration background","West Germany","","","","","4"
"Rarely","2014","direct migration background","East Germany","","","","","4"
"Daily","2015","no migration background","West Germany","","","","","1"
"Daily","2015","no migration background","East Germany","","","","","1"
"Daily","2015","direct migration background","West Germany","","","","","1"
"Daily","2015","direct migration background","East Germany","","","","","1"
"Daily","2015","indirect migration background","West Germany","","","","","1"
"Daily","2015","indirect migration background","East Germany","","","","","1"
"Min 1x per month","2015","direct migration background","West Germany","","","","","3"
"Min 1x per month","2015","direct migration background","East Germany","","","","","3"
"Min 1x per month","2015","no migration background","West Germany","","","","","3"
"Min 1x per month","2015","no migration background","East Germany","","","","","3"
