"pli0165","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Daily","2013","lower secondary degree","Male","671","0.174526054785537","0.161856939644862","0.187195169926212"
"Daily","2013","lower secondary degree","Female","680","0.127395872760559","0.116539112830715","0.138252632690402"
"Daily","2013","secondary school degree","Male","822","0.2576760788445","0.242327287470585","0.273024870218416"
"Daily","2013","secondary school degree","Female","1380","0.26037399633853","0.247883715412431","0.272864277264629"
"Daily","2013","college entrance qualification","Male","883","0.28446822010169","0.269544949374301","0.299391490829078"
"Daily","2013","college entrance qualification","Female","1149","0.32292820468472","0.308194258589303","0.337662150780136"
"Daily","2013","Other degree","Male","185","0.211989129472822","0.181754654252091","0.242223604693552"
"Daily","2013","Other degree","Female","240","0.192413742642045","0.166702875782786","0.218124609501305"
"Daily","2013","no degree/no degree yet","Male","224","0.509871427639747","0.459609210641043","0.560133644638451"
"Daily","2013","no degree/no degree yet","Female","243","0.440647033078009","0.393830999517154","0.487463066638865"
"Min 1x per week","2013","lower secondary degree","Male","331","0.0957293813585243","0.0859088203345425","0.105549942382506"
"Min 1x per week","2013","lower secondary degree","Female","304","0.0665559629127914","0.0584397851144357","0.0746721407111471"
"Min 1x per week","2013","secondary school degree","Male","346","0.121800917440535","0.110323024410739","0.133278810470331"
"Min 1x per week","2013","secondary school degree","Female","628","0.133655920057308","0.123970764017295","0.143341076097322"
"Min 1x per week","2013","college entrance qualification","Male","430","0.126136230518472","0.115154406818698","0.137118054218246"
"Min 1x per week","2013","college entrance qualification","Female","488","0.108690381307966","0.0988828753872095","0.118497887228722"
"Min 1x per week","2013","Other degree","Male","96","0.095632744496278","0.0738779362619379","0.117387552730618"
"Min 1x per week","2013","Other degree","Female","127","0.0937437959143944","0.0747329702252401","0.112754621603549"
"Min 1x per week","2013","no degree/no degree yet","Male","38","0.106693998198487","0.0756536622024464","0.137734334194527"
"Min 1x per week","2013","no degree/no degree yet","Female","49","0.122854830446947","0.0918993125663369","0.153810348327558"
"Min 1x per month","2013","lower secondary degree","Male","83","0.0269571593592226","0.0215512656014401","0.0323630531170051"
"Min 1x per month","2013","lower secondary degree","Female","79","0.0175615082039334","0.0132844268173396","0.0218385895905271"
"Min 1x per month","2013","secondary school degree","Male","113","0.0304995125745795","0.0244647405431906","0.0365342846059685"
"Min 1x per month","2013","secondary school degree","Female","124","0.0249722202550492","0.020530978755093","0.0294134617550055"
"Min 1x per month","2013","college entrance qualification","Male","123","0.0409702841589925","0.0344136161152869","0.0475269522026981"
"Min 1x per month","2013","college entrance qualification","Female","119","0.0308427723398115","0.0253949548485666","0.0362905898310563"
"Min 1x per month","2013","Other degree","Male","17","","",""
"Min 1x per month","2013","Other degree","Female","29","","",""
"Min 1x per month","2013","no degree/no degree yet","Male","8","","",""
"Min 1x per month","2013","no degree/no degree yet","Female","7","","",""
"Rarely","2013","lower secondary degree","Male","285","0.0774835854511599","0.0685596510719679","0.0864075198303518"
"Rarely","2013","lower secondary degree","Female","209","0.0556968429638266","0.0482291761226021","0.0631645098050511"
"Rarely","2013","secondary school degree","Male","282","0.0940002154086852","0.083758590283997","0.104241840533373"
"Rarely","2013","secondary school degree","Female","351","0.0687015779786978","0.0615021978351551","0.0759009581222405"
"Rarely","2013","college entrance qualification","Male","362","0.0987206346412094","0.0888540610463102","0.108587208236109"
"Rarely","2013","college entrance qualification","Female","330","0.0730223127872738","0.0648242515427966","0.081220374031751"
"Rarely","2013","Other degree","Male","58","0.070227413236455","0.0513248264985045","0.0891299999744056"
"Rarely","2013","Other degree","Female","57","0.0547867603890029","0.0399442649428334","0.0696292558351724"
"Rarely","2013","no degree/no degree yet","Male","14","","",""
"Rarely","2013","no degree/no degree yet","Female","13","","",""
"Never","2013","lower secondary degree","Male","2078","0.625303819045556","0.609147231569917","0.641460406521196"
"Never","2013","lower secondary degree","Female","2351","0.73278981315889","0.718380935927163","0.747198690390616"
