"pli0165","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Daily","2013","no migration background","Urban Area","3629","0.255541670892007","0.248153425682452","0.262929916101561"
"Daily","2013","no migration background","Rural Area","1970","0.206616902309424","0.197873349185054","0.215360455433793"
"Daily","2013","direct migration background","Urban Area","530","0.214397720510392","0.196460567824702","0.232334873196081"
"Daily","2013","direct migration background","Rural Area","181","0.230343287664078","0.197874345224001","0.262812230104155"
"Daily","2013","indirect migration background","Urban Area","486","0.51788035425343","0.486337447895084","0.549423260611776"
"Daily","2013","indirect migration background","Rural Area","96","0.439973993197491","0.374824167172458","0.505123819222524"
"Min 1x per week","2013","no migration background","Urban Area","1450","0.105614687048866","0.100408560424776","0.110820813672956"
"Min 1x per week","2013","no migration background","Rural Area","903","0.104027128798792","0.0974341103045005","0.110620147293083"
"Min 1x per week","2013","direct migration background","Urban Area","285","0.12166688436468","0.107379330598368","0.135954438130991"
"Min 1x per week","2013","direct migration background","Rural Area","98","0.102817669188544","0.0793966351513498","0.126238703225739"
"Min 1x per week","2013","indirect migration background","Urban Area","154","0.144502639278951","0.122307554881827","0.166697723676075"
"Min 1x per week","2013","indirect migration background","Rural Area","36","0.207624828500358","0.154389402681132","0.260860254319585"
"Min 1x per month","2013","no migration background","Urban Area","371","0.0281244833353774","0.0253239687656639","0.0309249979050909"
"Min 1x per month","2013","no migration background","Rural Area","221","0.0254111567401983","0.0220126628519011","0.0288096506284954"
"Min 1x per month","2013","direct migration background","Urban Area","81","0.0414566227425607","0.0327440804170163","0.050169165068105"
"Min 1x per month","2013","direct migration background","Rural Area","13","","",""
"Min 1x per month","2013","indirect migration background","Urban Area","30","0.0387066478890412","0.0265299277564671","0.0508833680216152"
"Min 1x per month","2013","indirect migration background","Rural Area","8","","",""
"Rarely","2013","no migration background","Urban Area","1008","0.0700474498510196","0.065724135659309","0.0743707640427303"
"Rarely","2013","no migration background","Rural Area","679","0.0832086020951919","0.0772439799604132","0.0891732242299706"
"Rarely","2013","direct migration background","Urban Area","168","0.0675467725173589","0.0565780036470536","0.0785155413876641"
"Rarely","2013","direct migration background","Rural Area","50","0.0915452209996329","0.0693069341581845","0.113783507841081"
"Rarely","2013","indirect migration background","Urban Area","60","0.0448194953223633","0.0317582141105128","0.0578807765342138"
"Rarely","2013","indirect migration background","Rural Area","27","","",""
"Never","2013","no migration background","Urban Area","6930","0.540671708872731","0.532230227634095","0.549113190111366"
"Never","2013","no migration background","Rural Area","4464","0.580736210056395","0.570080149276815","0.591392270835974"
"Never","2013","direct migration background","Urban Area","947","0.554931999865009","0.533211234449234","0.576652765280784"
"Never","2013","direct migration background","Rural Area","304","0.557255044849874","0.518951792905675","0.595558296794073"
"Never","2013","indirect migration background","Urban Area","234","0.254090863256214","0.226608943835712","0.281572782676715"
"Never","2013","indirect migration background","Rural Area","56","0.204749490016707","0.151788139391183","0.257710840642231"
"Daily","2014","no migration background","Urban Area","","","",""
"Daily","2014","no migration background","Rural Area","","","",""
"Daily","2014","direct migration background","Urban Area","","","",""
"Daily","2014","direct migration background","Rural Area","","","",""
"Daily","2014","indirect migration background","Urban Area","","","",""
"Daily","2014","indirect migration background","Rural Area","","","",""
"Min 1x per week","2014","no migration background","Urban Area","","","",""
"Min 1x per week","2014","no migration background","Rural Area","","","",""
"Min 1x per week","2014","direct migration background","Urban Area","","","",""
"Min 1x per week","2014","direct migration background","Rural Area","","","",""
"Min 1x per week","2014","indirect migration background","Urban Area","","","",""
"Min 1x per week","2014","indirect migration background","Rural Area","","","",""
"Min 1x per month","2014","no migration background","Urban Area","","","",""
