"pli0165","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Daily","2013","Schleswig-Holstein","Not Employed","80","0.149759654623736","0.109581031835831","0.18993827741164"
"Daily","2013","Schleswig-Holstein","Employed","209","0.340362164570209","0.302416855266457","0.378307473873962"
"Daily","2013","Hamburg","Not Employed","28","","",""
"Daily","2013","Hamburg","Employed","91","0.384336652334317","0.324980493367506","0.443692811301128"
"Daily","2013","Lower Saxony","Not Employed","218","0.165660004449842","0.140884619961711","0.190435388937972"
"Daily","2013","Lower Saxony","Employed","517","0.320312512194739","0.297290876297453","0.343334148092025"
"Daily","2013","Bremen","Not Employed","27","","",""
"Daily","2013","Bremen","Employed","41","0.247864124385755","0.170287728579318","0.325440520192192"
"Daily","2013","North Rhine-Westphalia","Not Employed","445","0.16188938486549","0.144738912371622","0.179039857359358"
"Daily","2013","North Rhine-Westphalia","Employed","1049","0.331855217860429","0.315857204760583","0.347853230960275"
"Daily","2013","Hesse","Not Employed","120","0.146339687041435","0.11719580008117","0.1754835740017"
"Daily","2013","Hesse","Employed","395","0.305609333849003","0.279446941481871","0.331771726216136"
"Daily","2013","Rhineland-Palatinate,Saarland","Not Employed","106","0.154491310778504","0.123062546807656","0.185920074749352"
"Daily","2013","Rhineland-Palatinate,Saarland","Employed","283","0.324617639525051","0.294094810054708","0.355140468995394"
"Daily","2013","Baden-Württemberg","Not Employed","191","0.148877459957872","0.125999508298289","0.171755411617455"
"Daily","2013","Baden-Württemberg","Employed","575","0.271006597123392","0.251900473786579","0.290112720460205"
"Daily","2013","Bavaria","Not Employed","256","0.126357079442923","0.107945705160074","0.144768453725772"
"Daily","2013","Bavaria","Employed","781","0.283603200316782","0.266796206868731","0.300410193764834"
"Daily","2013","Berlin","Not Employed","88","0.204304795487064","0.161943315988062","0.246666274986066"
"Daily","2013","Berlin","Employed","201","0.324897986243559","0.288585509345646","0.361210463141472"
"Daily","2013","Brandenburg","Not Employed","60","0.104600209377383","0.0752267677643177","0.133973650990448"
"Daily","2013","Brandenburg","Employed","151","0.239433002813026","0.205230471959932","0.27363553366612"
"Daily","2013","Mecklenburg-Western Pomerania","Not Employed","43","0.120441882819818","0.078378401699074","0.162505363940563"
"Daily","2013","Mecklenburg-Western Pomerania","Employed","100","0.230153999303746","0.18648983275207","0.273818165855422"
"Daily","2013","Saxony","Not Employed","114","0.182690505899778","0.152051212386431","0.213329799413124"
"Daily","2013","Saxony","Employed","257","0.249341951850916","0.223670261497526","0.275013642204306"
"Daily","2013","Saxony-Anhalt","Not Employed","68","0.139084901791121","0.103240054547858","0.174929749034385"
"Daily","2013","Saxony-Anhalt","Employed","178","0.299339887824886","0.262816957511913","0.335862818137859"
"Daily","2013","Thuringia","Not Employed","54","0.115908386945584","0.0830680408719511","0.148748733019217"
"Daily","2013","Thuringia","Employed","166","0.237243997956391","0.203973545806618","0.270514450106165"
"Min 1x per week","2013","Schleswig-Holstein","Not Employed","16","","",""
"Min 1x per week","2013","Schleswig-Holstein","Employed","80","0.107714220410306","0.0828872808521602","0.132541159968452"
"Min 1x per week","2013","Hamburg","Not Employed","9","","",""
"Min 1x per week","2013","Hamburg","Employed","33","0.0932165740111508","0.0577404149480902","0.128692733074211"
"Min 1x per week","2013","Lower Saxony","Not Employed","69","0.065455952150858","0.0489737780404531","0.081938126261263"
"Min 1x per week","2013","Lower Saxony","Employed","224","0.147588887734427","0.130088568426711","0.165089207042144"
"Min 1x per week","2013","Bremen","Not Employed","6","","",""
"Min 1x per week","2013","Bremen","Employed","21","","",""
"Min 1x per week","2013","North Rhine-Westphalia","Not Employed","123","0.0599606889651828","0.0489066103935589","0.0710147675368066"
"Min 1x per week","2013","North Rhine-Westphalia","Employed","450","0.135947065232469","0.124302815118262","0.147591315346677"
"Min 1x per week","2013","Hesse","Not Employed","42","0.0553553078983947","0.0364998212044368","0.0742107945923527"
"Min 1x per week","2013","Hesse","Employed","188","0.158531855206002","0.137788962492828","0.179274747919176"
"Min 1x per week","2013","Rhineland-Palatinate,Saarland","Not Employed","51","0.107619420530243","0.0806707953060939","0.134568045754392"
"Min 1x per week","2013","Rhineland-Palatinate,Saarland","Employed","138","0.166386833139668","0.142109239575761","0.190664426703575"
"Min 1x per week","2013","Baden-Württemberg","Not Employed","72","0.063230509160344","0.0475887236884822","0.0788722946322059"
"Min 1x per week","2013","Baden-Württemberg","Employed","267","0.125528827046054","0.111287012359212","0.139770641732896"
"Min 1x per week","2013","Bavaria","Not Employed","98","0.0688130533870985","0.0547857790639263","0.0828403277102707"
"Min 1x per week","2013","Bavaria","Employed","375","0.129124570470087","0.116620825348706","0.141628315591468"
"Min 1x per week","2013","Berlin","Not Employed","27","","",""
"Min 1x per week","2013","Berlin","Employed","79","0.132988180045091","0.106660251389888","0.159316108700295"
"Min 1x per week","2013","Brandenburg","Not Employed","22","","",""
"Min 1x per week","2013","Brandenburg","Employed","81","0.151001985301939","0.122304610822465","0.179699359781413"
"Min 1x per week","2013","Mecklenburg-Western Pomerania","Not Employed","27","","",""
"Min 1x per week","2013","Mecklenburg-Western Pomerania","Employed","56","0.136644606234248","0.101015491393791","0.172273721074704"
"Min 1x per week","2013","Saxony","Not Employed","44","0.0615299212954094","0.0424761529426195","0.0805836896481992"
"Min 1x per week","2013","Saxony","Employed","156","0.148671863133969","0.127561359161842","0.169782367106097"
"Min 1x per week","2013","Saxony-Anhalt","Not Employed","21","","",""
