"pli0165","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Daily","2013","16-34 y.","3381","0.612592379825378","0.599886373368254","0.625298386282502"
"Daily","2013","35-65 y.","3210","0.193472605458263","0.187127774675769","0.199817436240758"
"Daily","2013","66 and older","301","0.0535063452350636","0.0472257897867003","0.0597869006834268"
"Min 1x per week","2013","16-34 y.","780","0.142076565251312","0.132970627285742","0.151182503216883"
"Min 1x per week","2013","35-65 y.","1931","0.129024414725599","0.123639985391058","0.13440884406014"
"Min 1x per week","2013","66 and older","215","0.0377960114594505","0.0324737878219645","0.0431182350969365"
"Min 1x per month","2013","16-34 y.","162","0.0322580153580394","0.0276497464808401","0.0368662842352388"
"Min 1x per month","2013","35-65 y.","509","0.0370249789265299","0.0339920958822494","0.0400578619708103"
"Min 1x per month","2013","66 and older","53","0.00799325674814746","0.00550808876026677","0.0104784247360282"
"Rarely","2013","16-34 y.","305","0.0511124096654521","0.0453684714654449","0.0568563478654593"
"Rarely","2013","35-65 y.","1413","0.0948299433205195","0.0901240879323367","0.0995357987087022"
"Rarely","2013","66 and older","274","0.0501253216164233","0.0440355879620908","0.0562150552707558"
"Never","2013","16-34 y.","1019","0.161960629899818","0.15235167540694","0.171569584392696"
"Never","2013","35-65 y.","7827","0.545648057569089","0.537650576081919","0.553645539056258"
"Never","2013","66 and older","4089","0.850579064940915","0.840629602276584","0.860528527605246"
"Daily","2014","16-34 y.","","","",""
"Daily","2014","35-65 y.","","","",""
"Daily","2014","66 and older","","","",""
"Min 1x per week","2014","16-34 y.","","","",""
"Min 1x per week","2014","35-65 y.","","","",""
"Min 1x per week","2014","66 and older","","","",""
"Min 1x per month","2014","16-34 y.","","","",""
"Min 1x per month","2014","35-65 y.","","","",""
"Min 1x per month","2014","66 and older","","","",""
"Rarely","2014","16-34 y.","","","",""
"Rarely","2014","35-65 y.","","","",""
"Rarely","2014","66 and older","","","",""
"Never","2014","16-34 y.","","","",""
"Never","2014","35-65 y.","","","",""
"Never","2014","66 and older","","","",""
"Daily","2015","16-34 y.","","","",""
"Daily","2015","35-65 y.","","","",""
"Daily","2015","66 and older","","","",""
"Min 1x per week","2015","16-34 y.","","","",""
"Min 1x per week","2015","35-65 y.","","","",""
"Min 1x per week","2015","66 and older","","","",""
"Min 1x per month","2015","16-34 y.","","","",""
"Min 1x per month","2015","35-65 y.","","","",""
"Min 1x per month","2015","66 and older","","","",""
"Rarely","2015","16-34 y.","","","",""
"Rarely","2015","35-65 y.","","","",""
"Rarely","2015","66 and older","","","",""
"Never","2015","16-34 y.","","","",""
"Never","2015","35-65 y.","","","",""
"Never","2015","66 and older","","","",""
"Daily","2016","16-34 y.","","","",""
"Daily","2016","35-65 y.","","","",""
"Daily","2016","66 and older","","","",""
"Min 1x per week","2016","16-34 y.","","","",""
"Min 1x per week","2016","35-65 y.","","","",""
"Min 1x per week","2016","66 and older","","","",""
"Min 1x per month","2016","16-34 y.","","","",""
"Min 1x per month","2016","35-65 y.","","","",""
"Min 1x per month","2016","66 and older","","","",""
"Rarely","2016","16-34 y.","","","",""
"Rarely","2016","35-65 y.","","","",""
"Rarely","2016","66 and older","","","",""
"Never","2016","16-34 y.","","","",""
"Never","2016","35-65 y.","","","",""
"Never","2016","66 and older","","","",""
"Daily","2017","16-34 y.","2059","0.619729102892379","0.603018617077422","0.636439588707336"
"Daily","2017","35-65 y.","1214","0.531319062864681","0.510672250617073","0.551965875112289"
"Daily","2017","66 and older","12","","",""
"Min 1x per week","2017","16-34 y.","534","0.161134030020577","0.148478465894746","0.173789594146407"
"Min 1x per week","2017","35-65 y.","386","0.150535679376755","0.135740202781591","0.165331155971919"
"Min 1x per week","2017","66 and older","","","",""
"Min 1x per month","2017","16-34 y.","105","0.043206907681089","0.0362080494931663","0.0502057658690117"
"Min 1x per month","2017","35-65 y.","60","0.0281974286654754","0.0213483770367183","0.0350464802942325"
"Min 1x per month","2017","66 and older","1","","",""
"Rarely","2017","16-34 y.","146","0.0457136485996842","0.0385240625707607","0.0529032346286076"
"Rarely","2017","35-65 y.","165","0.0810966832701072","0.0698020243477257","0.0923913421924888"
"Rarely","2017","66 and older","1","","",""
"Never","2017","16-34 y.","398","0.130216310806271","0.118631741052582","0.14180088055996"
"Never","2017","35-65 y.","419","0.208851145822981","0.192032764400294","0.225669527245668"
"Never","2017","66 and older","39","0.804184428404444","0.697349909578936","0.911018947229951"
"Daily","2018","16-34 y.","1452","0.701104242253741","0.681345698474409","0.720862786033074"
"Daily","2018","35-65 y.","1049","0.555458245268733","0.532354288366091","0.578562202171376"
"Daily","2018","66 and older","8","","",""
"Min 1x per week","2018","16-34 y.","312","0.168682503724332","0.152519493773928","0.184845513674735"
"Min 1x per week","2018","35-65 y.","313","0.169603549842316","0.152154789083496","0.187052310601136"
"Min 1x per week","2018","66 and older","3","","",""
"Min 1x per month","2018","16-34 y.","50","0.017087475134176","0.0114937626118372","0.0226811876565149"
"Min 1x per month","2018","35-65 y.","66","0.0523432907009374","0.0419880449725193","0.0626985364293555"
"Min 1x per month","2018","66 and older","2","","",""
"Rarely","2018","16-34 y.","81","0.0362507909877524","0.0281831879378307","0.0443183940376741"
"Rarely","2018","35-65 y.","107","0.0834605242394734","0.0706011297703155","0.0963199187086314"
"Rarely","2018","66 and older","1","","",""
"Never","2018","16-34 y.","167","0.0768749878999988","0.0653768754960342","0.0883731003039633"
"Never","2018","35-65 y.","242","0.13913438994854","0.123043157792859","0.15522562210422"
"Never","2018","66 and older","17","","",""
"Daily","2019","16-34 y.","1306","0.736143928606197","0.715512844659602","0.756775012552793"
