"pli0165","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","2013","no migration background","in school","272","0.856942121599203","0.819165531283661","0.894718711914745","1"
"Daily","2013","no migration background","inadequately","69","0.258686481880434","0.194173177819585","0.323199785941284","1"
"Daily","2013","no migration background","general elemantary","609","0.251127871363898","0.231483123448374","0.270772619279421","1"
"Daily","2013","no migration background","middle vocational","2764","0.226327037422215","0.218481464252069","0.234172610592361","1"
"Daily","2013","no migration background","vocational + Abi","431","0.335625038428487","0.310791947833533","0.36045812902344","1"
"Daily","2013","no migration background","higher vocational","255","0.16840456903298","0.149579126776611","0.187230011289348","1"
"Daily","2013","no migration background","higher education","959","0.201275921200611","0.190240330467872","0.21231151193335","1"
"Daily","2013","direct migration background","in school","16","","","","1"
"Daily","2013","direct migration background","inadequately","18","","","","1"
"Daily","2013","direct migration background","general elemantary","116","0.160992090426821","0.129281192658127","0.192702988195516","1"
"Daily","2013","direct migration background","middle vocational","249","0.219151602098975","0.193145776527067","0.245157427670882","1"
"Daily","2013","direct migration background","vocational + Abi","91","0.227911976724675","0.181365396833552","0.274458556615798","1"
"Daily","2013","direct migration background","higher vocational","24","","","","1"
"Daily","2013","direct migration background","higher education","178","0.281469871489166","0.244189465257317","0.318750277721015","1"
"Daily","2013","indirect migration background","in school","80","0.880147217788591","0.814835965868998","0.945458469708184","1"
"Daily","2013","indirect migration background","inadequately","12","","","","1"
"Daily","2013","indirect migration background","general elemantary","117","0.46232521884113","0.39407488406988","0.53057555361238","1"
"Daily","2013","indirect migration background","middle vocational","220","0.512155499380273","0.467109197010522","0.557201801750025","1"
"Daily","2013","indirect migration background","vocational + Abi","35","0.488229684338595","0.375102469328361","0.601356899348829","1"
"Daily","2013","indirect migration background","higher vocational","16","","","","1"
"Daily","2013","indirect migration background","higher education","56","0.417898348259121","0.346826604687442","0.488970091830801","1"
"Min 1x per month","2013","no migration background","vocational + Abi","42","0.033139853031564","0.0237262888732262","0.0425534171899018","3"
"Min 1x per month","2013","no migration background","inadequately","4","","","","3"
"Min 1x per month","2013","no migration background","general elemantary","26","","","","3"
"Min 1x per month","2013","no migration background","higher vocational","45","0.0296745404323853","0.0211383731082653","0.0382107077565054","3"
"Min 1x per month","2013","no migration background","higher education","168","0.0361195517429768","0.0309840362094021","0.0412550672765515","3"
"Min 1x per month","2013","no migration background","middle vocational","293","0.0252771595133908","0.0223342124255119","0.0282201066012698","3"
"Min 1x per month","2013","no migration background","in school","5","","","","3"
"Min 1x per month","2013","direct migration background","in school","1","","","","3"
"Min 1x per month","2013","direct migration background","inadequately","2","","","","3"
"Min 1x per month","2013","direct migration background","general elemantary","12","","","","3"
"Min 1x per month","2013","direct migration background","vocational + Abi","10","","","","3"
"Min 1x per month","2013","direct migration background","higher vocational","4","","","","3"
"Min 1x per month","2013","direct migration background","higher education","23","","","","3"
"Min 1x per month","2013","indirect migration background","in school","","","","","3"
"Min 1x per month","2013","direct migration background","middle vocational","41","0.0451769102288349","0.032120172593262","0.0582336478644079","3"
"Min 1x per month","2013","indirect migration background","inadequately","","","","","3"
"Min 1x per month","2013","indirect migration background","general elemantary","5","","","","3"
"Min 1x per month","2013","indirect migration background","middle vocational","14","","","","3"
"Min 1x per month","2013","indirect migration background","vocational + Abi","1","","","","3"
"Min 1x per month","2013","indirect migration background","higher vocational","3","","","","3"
"Min 1x per month","2013","indirect migration background","higher education","13","","","","3"
"Min 1x per week","2013","no migration background","general elemantary","142","0.0610942831676254","0.0502448650299426","0.0719437013053081","2"
