"pli0165","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","2013","lower secondary degree","in school","","","",""
"Daily","2013","lower secondary degree","inadequately","","","",""
"Daily","2013","lower secondary degree","general elemantary","389","0.171119658590341","0.152322085745421","0.189917231435261"
"Daily","2013","lower secondary degree","middle vocational","895","0.148935660488989","0.139030614460391","0.158840706517587"
"Daily","2013","lower secondary degree","vocational + Abi","1","","",""
"Daily","2013","lower secondary degree","higher vocational","52","0.112379218769695","0.0815052969868378","0.143253140552553"
"Daily","2013","lower secondary degree","higher education","14","","",""
"Daily","2013","secondary school degree","in school","","","",""
"Daily","2013","secondary school degree","inadequately","","","",""
"Daily","2013","secondary school degree","general elemantary","393","0.488853513892584","0.452366147386732","0.525340880398436"
"Daily","2013","secondary school degree","middle vocational","1555","0.252774016265646","0.24150146461072","0.264046567920572"
"Daily","2013","secondary school degree","vocational + Abi","3","","",""
"Daily","2013","secondary school degree","higher vocational","138","0.190514925598948","0.162372196022628","0.218657655175268"
"Daily","2013","secondary school degree","higher education","113","0.154334347499885","0.126855741801872","0.181812953197897"
"Daily","2013","college entrance qualification","in school","","","",""
"Daily","2013","college entrance qualification","inadequately","","","",""
"Daily","2013","college entrance qualification","general elemantary","","","",""
"Daily","2013","college entrance qualification","middle vocational","552","0.648703594092578","0.617073238826746","0.680333949358411"
"Daily","2013","college entrance qualification","vocational + Abi","489","0.343985967576533","0.320167526040582","0.367804409112484"
"Daily","2013","college entrance qualification","higher vocational","89","0.209793511267494","0.172174432533895","0.247412590001093"
"Daily","2013","college entrance qualification","higher education","902","0.217418886882123","0.205402990932582","0.229434782831663"
"Daily","2013","Other degree","in school","","","",""
"Daily","2013","Other degree","inadequately","27","","",""
"Daily","2013","Other degree","general elemantary","60","0.132718757492169","0.0961140238111306","0.169323491173206"
"Daily","2013","Other degree","middle vocational","130","0.17851203528647","0.1468235840457","0.21020048652724"
"Daily","2013","Other degree","vocational + Abi","64","0.203065917501753","0.150502142071974","0.255629692931532"
"Daily","2013","Other degree","higher vocational","10","","",""
"Daily","2013","Other degree","higher education","134","0.295033614356118","0.249713265429391","0.340353963282846"
"Daily","2013","no degree/no degree yet","in school","368","0.860703862303165","0.828532866884561","0.89287485772177"
"Daily","2013","no degree/no degree yet","inadequately","72","0.162916660616772","0.119030181722678","0.206803139510866"
"Daily","2013","no degree/no degree yet","general elemantary","","","",""
"Daily","2013","no degree/no degree yet","middle vocational","25","","",""
"Daily","2013","no degree/no degree yet","vocational + Abi","","","",""
"Daily","2013","no degree/no degree yet","higher vocational","1","","",""
"Daily","2013","no degree/no degree yet","higher education","1","","",""
"Min 1x per week","2013","lower secondary degree","in school","","","",""
"Min 1x per week","2013","lower secondary degree","inadequately","","","",""
