"pli0165","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","2013","lower secondary degree","1-pers.-HH","142","0.111539507277566","0.0941714263217322","0.128907588233399"
"Daily","2013","lower secondary degree","(Married) couple without C. ","249","0.0940257601710665","0.0831508704222361","0.104900649919897"
"Daily","2013","lower secondary degree","Single parent ","225","0.305623831116859","0.268946072302028","0.342301589931691"
"Daily","2013","lower secondary degree","Couple + C. LE 16 ","424","0.343829706321982","0.316865357049824","0.370794055594141"
"Daily","2013","lower secondary degree","Couple + C. GT 16 ","157","0.22741109121732","0.196044589214245","0.258777593220396"
"Daily","2013","lower secondary degree","Couple + C. LE and GT 16","119","0.29599720357898","0.251149774562169","0.340844632595791"
"Daily","2013","secondary school degree","1-pers.-HH","216","0.22173820429707","0.195224197479333","0.248252211114808"
"Daily","2013","secondary school degree","(Married) couple without C. ","402","0.18867631704142","0.172345813883503","0.205006820199336"
"Daily","2013","secondary school degree","Single parent ","402","0.409749544246477","0.3788646571743","0.440634431318654"
"Daily","2013","secondary school degree","Couple + C. LE 16 ","665","0.29878454235777","0.279503791447371","0.31806529326817"
"Daily","2013","secondary school degree","Couple + C. GT 16 ","289","0.360118740985455","0.328348474970472","0.391889007000437"
"Daily","2013","secondary school degree","Couple + C. LE and GT 16","189","0.31664940323098","0.278561952451866","0.354736854010095"
"Daily","2013","college entrance qualification","1-pers.-HH","341","0.320001531582167","0.291444296670629","0.348558766493705"
"Daily","2013","college entrance qualification","(Married) couple without C. ","427","0.227806798666821","0.209690634605474","0.245922962728169"
"Daily","2013","college entrance qualification","Single parent ","220","0.425312801539497","0.386334416408717","0.464291186670277"
"Daily","2013","college entrance qualification","Couple + C. LE 16 ","564","0.244458220547673","0.227007968832981","0.261908472262365"
"Daily","2013","college entrance qualification","Couple + C. GT 16 ","290","0.469284172648991","0.433803628785596","0.504764716512385"
"Daily","2013","college entrance qualification","Couple + C. LE and GT 16","161","0.343960793478634","0.30297412597787","0.384947460979398"
"Daily","2013","Other degree","1-pers.-HH","22","","",""
"Daily","2013","Other degree","(Married) couple without C. ","66","0.15129825670358","0.115457515049131","0.18713899835803"
"Daily","2013","Other degree","Single parent ","44","0.364262528692893","0.27780142711663","0.450723630269156"
"Daily","2013","Other degree","Couple + C. LE 16 ","199","0.352630312420834","0.313406783511377","0.391853841330291"
"Daily","2013","Other degree","Couple + C. GT 16 ","28","","",""
"Daily","2013","Other degree","Couple + C. LE and GT 16","53","0.221321713382858","0.16244786141467","0.280195565351047"
"Daily","2013","no degree/no degree yet","1-pers.-HH","9","","",""
"Daily","2013","no degree/no degree yet","(Married) couple without C. ","11","","",""
"Daily","2013","no degree/no degree yet","Single parent ","125","0.771459151398056","0.707390659051732","0.83552764374438"
"Daily","2013","no degree/no degree yet","Couple + C. LE 16 ","48","0.365699065831723","0.27879968374289","0.452598447920557"
"Daily","2013","no degree/no degree yet","Couple + C. GT 16 ","107","0.790817594758437","0.724387085344619","0.857248104172255"
"Daily","2013","no degree/no degree yet","Couple + C. LE and GT 16","157","0.7098587389966","0.649615188699484","0.770102289293715"
"Min 1x per week","2013","lower secondary degree","1-pers.-HH","61","0.0503497638884699","0.0382855515355748","0.0624139762413649"
"Min 1x per week","2013","lower secondary degree","(Married) couple without C. ","176","0.0675232452223273","0.0581737283014201","0.0768727621432345"
"Min 1x per week","2013","lower secondary degree","Single parent ","77","0.126037293664938","0.0996127336987074","0.152461853631168"
"Min 1x per week","2013","lower secondary degree","Couple + C. LE 16 ","161","0.120170719080737","0.101711705091912","0.138629733069563"
"Min 1x per week","2013","lower secondary degree","Couple + C. GT 16 ","82","0.139017119596613","0.113127990917926","0.1649062482753"
"Min 1x per week","2013","lower secondary degree","Couple + C. LE and GT 16","68","0.188443271202546","0.150023363806411","0.226863178598681"
"Min 1x per week","2013","secondary school degree","1-pers.-HH","104","0.118351115029835","0.097734077906949","0.138968152152722"
"Min 1x per week","2013","secondary school degree","(Married) couple without C. ","214","0.124446580403907","0.110668884273067","0.138224276534747"
"Min 1x per week","2013","secondary school degree","Single parent ","147","0.149946103206462","0.127524873101826","0.172367333311098"
"Min 1x per week","2013","secondary school degree","Couple + C. LE 16 ","301","0.133201049304022","0.118888000498881","0.147514098109163"
"Min 1x per week","2013","secondary school degree","Couple + C. GT 16 ","103","0.122097572460616","0.100429267761319","0.143765877159913"
"Min 1x per week","2013","secondary school degree","Couple + C. LE and GT 16","82","0.156463149446147","0.126717130932457","0.186209167959838"
"Min 1x per week","2013","college entrance qualification","1-pers.-HH","114","0.0949262576196722","0.0769821724937231","0.112870342745621"
"Min 1x per week","2013","college entrance qualification","(Married) couple without C. ","244","0.127040333058289","0.112656063308186","0.141424602808391"
"Min 1x per week","2013","college entrance qualification","Single parent ","81","0.126148325966164","0.0999717124707095","0.152324939461618"
"Min 1x per week","2013","college entrance qualification","Couple + C. LE 16 ","333","0.148160423152205","0.133735445725233","0.162585400579177"
"Min 1x per week","2013","college entrance qualification","Couple + C. GT 16 ","85","0.108162818654623","0.0860815978687229","0.130244039440524"
"Min 1x per week","2013","college entrance qualification","Couple + C. LE and GT 16","55","0.108261109793323","0.0814522507497402","0.135069968836906"
