"pli0165","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Daily","2013","in school","Urban Area","262","0.876964145230563","0.840279907691718","0.913648382769408","1"
"Daily","2013","in school","Rural Area","106","0.809141023239493","0.743336429357533","0.874945617121452","1"
"Daily","2013","inadequately","Urban Area","64","0.203610051197475","0.149658529802204","0.257561572592747","1"
"Daily","2013","inadequately","Rural Area","35","0.205368050553422","0.131212251839506","0.279523849267337","1"
"Daily","2013","general elemantary","Urban Area","576","0.257622894019167","0.236797371804018","0.278448416234316","1"
"Daily","2013","general elemantary","Rural Area","266","0.218517031321258","0.191504166216554","0.245529896425961","1"
"Daily","2013","middle vocational","Urban Area","2023","0.24408437003441","0.234265047456985","0.253903692611836","1"
"Daily","2013","middle vocational","Rural Area","1210","0.214190796355055","0.202844119278075","0.225537473432036","1"
"Daily","2013","vocational + Abi","Urban Area","414","0.339224044705119","0.313378120760352","0.365069968649886","1"
"Daily","2013","vocational + Abi","Rural Area","143","0.273312860750386","0.233731804319663","0.312893917181108","1"
"Daily","2013","higher vocational","Urban Area","199","0.203573787820415","0.178567333159639","0.22858024248119","1"
"Daily","2013","higher vocational","Rural Area","96","0.121401743908991","0.0967272536205441","0.146076234197437","1"
"Daily","2013","higher education","Urban Area","897","0.228185995992039","0.215482060639342","0.240889931344736","1"
"Daily","2013","higher education","Rural Area","296","0.173747349276263","0.155313995517809","0.192180703034717","1"
"Min 1x per month","2013","vocational + Abi","Rural Area","10","","","","3"
"Min 1x per month","2013","in school","Urban Area","3","","","","3"
"Min 1x per month","2013","in school","Rural Area","3","","","","3"
"Min 1x per month","2013","inadequately","Urban Area","6","","","","3"
"Min 1x per month","2013","inadequately","Rural Area","","","","","3"
"Min 1x per month","2013","general elemantary","Urban Area","31","0.0169596103178628","0.0108108862555291","0.0231083343801966","3"
"Min 1x per month","2013","general elemantary","Rural Area","12","","","","3"
"Min 1x per month","2013","middle vocational","Urban Area","205","0.0269678872500114","0.0232648171941827","0.03067095730584","3"
"Min 1x per month","2013","middle vocational","Rural Area","143","0.0266077321997519","0.0221567320049932","0.0310587323945106","3"
"Min 1x per month","2013","vocational + Abi","Urban Area","43","0.036605992566486","0.0263542026892499","0.0468577824437221","3"
"Min 1x per month","2013","higher vocational","Urban Area","27","","","","3"
"Min 1x per month","2013","higher vocational","Rural Area","25","","","","3"
"Min 1x per month","2013","higher education","Urban Area","158","0.0417396598859809","0.0356855030958741","0.0477938166760877","3"
"Min 1x per month","2013","higher education","Rural Area","46","0.0280318369897269","0.0200013731568954","0.0360623008225583","3"
"Min 1x per week","2013","in school","Urban Area","28","","","","2"
"Min 1x per week","2013","in school","Rural Area","19","","","","2"
"Min 1x per week","2013","inadequately","Rural Area","18","","","","2"
"Min 1x per week","2013","general elemantary","Urban Area","157","0.0718320720962526","0.0595360718251358","0.0841280723673694","2"
"Min 1x per week","2013","inadequately","Urban Area","19","","","","2"
"Min 1x per week","2013","general elemantary","Rural Area","83","0.0574457308813766","0.0422349921314572","0.0726564696312959","2"
"Min 1x per week","2013","middle vocational","Urban Area","822","0.108204076621402","0.10110291442105","0.115305238821754","2"
"Min 1x per week","2013","middle vocational","Rural Area","559","0.1100319061068","0.101377121308622","0.118686690904978","2"
"Min 1x per week","2013","vocational + Abi","Urban Area","161","0.123043051948338","0.105110614839124","0.140975489057551","2"
"Min 1x per week","2013","vocational + Abi","Rural Area","69","0.117380537281236","0.088793548786166","0.145967525776306","2"
"Min 1x per week","2013","higher vocational","Urban Area","135","0.127029682279493","0.106348718862284","0.147710645696702","2"
"Min 1x per week","2013","higher vocational","Rural Area","67","0.100591101754589","0.0778663613210258","0.123315842188152","2"
"Min 1x per week","2013","higher education","Urban Area","533","0.118522186361479","0.108737588661728","0.12830678406123","2"
"Min 1x per week","2013","higher education","Rural Area","207","0.11834080813471","0.102626094684398","0.134055521585022","2"
"Never","2013","in school","Urban Area","11","","","","5"
"Never","2013","general elemantary","Urban Area","833","0.60971578216082","0.586485975178091","0.632945589143548","5"
"Never","2013","general elemantary","Rural Area","495","0.667731190948271","0.636940894927874","0.698521486968669","5"
"Never","2013","middle vocational","Urban Area","3804","0.554209838717612","0.542847251365311","0.565572426069913","5"
"Never","2013","middle vocational","Rural Area","2679","0.562487765302862","0.54876753573061","0.576207994875114","5"
"Never","2013","vocational + Abi","Urban Area","567","0.428551476595553","0.401536058839895","0.455566894351212","5"
"Never","2013","vocational + Abi","Rural Area","229","0.478793610912301","0.434426346792117","0.523160875032485","5"
"Never","2013","higher vocational","Urban Area","545","0.547967629627136","0.517058936565147","0.578876322689125","5"
"Never","2013","higher vocational","Rural Area","413","0.633487073882456","0.597082656441762","0.669891491323151","5"
"Never","2013","in school","Rural Area","5","","","","5"
"Never","2013","inadequately","Urban Area","116","0.632409125054295","0.567810595966529","0.697007654142062","5"
"Never","2013","inadequately","Rural Area","56","0.629485319513141","0.540832780452834","0.718137858573449","5"
"Never","2013","higher education","Urban Area","2177","0.52433337921539","0.509215441726807","0.539451316703972","5"
"Never","2013","higher education","Rural Area","914","0.589051994588742","0.565115580739445","0.61298840843804","5"
"Rarely","2013","in school","Rural Area","4","","","","4"
"Rarely","2013","middle vocational","Urban Area","497","0.0665338273765645","0.0608368377930444","0.0722308169600846","4"
"Rarely","2013","in school","Urban Area","4","","","","4"
"Rarely","2013","general elemantary","Urban Area","97","0.0438696414058982","0.0341167815373031","0.0536225012744933","4"
"Rarely","2013","general elemantary","Rural Area","43","0.0413053778532282","0.0282973430438414","0.054313412662615","4"
"Rarely","2013","inadequately","Urban Area","9","","","","4"
"Rarely","2013","inadequately","Rural Area","5","","","","4"
"Rarely","2013","middle vocational","Rural Area","431","0.0866818000355311","0.0788999160217627","0.0944636840492995","4"
