"pli0165","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"Daily","2013","Not Employed","Full Time","","","","","1"
"Daily","2013","Not Employed","Part Time","","","","","1"
"Daily","2013","Not Employed","Not Working","1898","0.15492948437051","0.147340566139258","0.162518402601763","1"
"Daily","2013","Employed","Full Time","2726","0.291441470494351","0.282366800287048","0.300516140701655","1"
"Daily","2013","Employed","Part Time","2268","0.314629418986461","0.303830268895826","0.325428569077095","1"
"Daily","2013","Employed","Not Working","","","","","1"
"Min 1x per month","2013","Not Employed","Part Time","","","","","3"
"Min 1x per month","2013","Not Employed","Not Working","155","0.0148802914563144","0.0123409764237346","0.0174196064888941","3"
"Min 1x per month","2013","Employed","Not Working","","","","","3"
"Min 1x per month","2013","Employed","Part Time","219","0.033617417418535","0.0294257781143872","0.0378090567226828","3"
"Min 1x per month","2013","Not Employed","Full Time","","","","","3"
"Min 1x per month","2013","Employed","Full Time","350","0.0386254137456436","0.0347772796109846","0.0424735478803026","3"
"Min 1x per week","2013","Not Employed","Part Time","","","","","2"
"Min 1x per week","2013","Not Employed","Full Time","","","","","2"
"Min 1x per week","2013","Not Employed","Not Working","644","0.0638333094159625","0.0587062702666013","0.0689603485653237","2"
"Min 1x per week","2013","Employed","Full Time","1324","0.140992470846524","0.134042807665125","0.147942134027922","2"
"Min 1x per week","2013","Employed","Part Time","958","0.124880305598645","0.117192402707887","0.132568208489403","2"
"Min 1x per week","2013","Employed","Not Working","","","","","2"
"Never","2013","Not Employed","Part Time","","","","","5"
"Never","2013","Employed","Full Time","4295","0.439477435234942","0.429566100316977","0.449388770152908","5"
"Never","2013","Employed","Part Time","3095","0.441766106553519","0.430217449610444","0.453314763496595","5"
"Never","2013","Employed","Not Working","","","","","5"
"Never","2013","Not Employed","Not Working","5545","0.714958989545236","0.705490938275975","0.724427040814497","5"
"Never","2013","Not Employed","Full Time","","","","","5"
"Rarely","2013","Not Employed","Part Time","","","","","4"
"Rarely","2013","Not Employed","Full Time","","","","","4"
"Rarely","2013","Not Employed","Not Working","491","0.0513979252119766","0.0467668568693988","0.0560289935545544","4"
"Rarely","2013","Employed","Full Time","938","0.0894632096785392","0.0837636894728312","0.0951627298842473","4"
"Rarely","2013","Employed","Part Time","563","0.0851067514428402","0.0786175029954812","0.0915959998901991","4"
"Rarely","2013","Employed","Not Working","","","","","4"
"Daily","2014","Not Employed","Not Working","","","","","1"
"Daily","2014","Not Employed","Full Time","","","","","1"
"Daily","2014","Not Employed","Part Time","","","","","1"
"Daily","2014","Employed","Full Time","","","","","1"
"Daily","2014","Employed","Part Time","","","","","1"
"Daily","2014","Employed","Not Working","","","","","1"
"Min 1x per month","2014","Not Employed","Part Time","","","","","3"
"Min 1x per month","2014","Not Employed","Not Working","","","","","3"
"Min 1x per month","2014","Not Employed","Full Time","","","","","3"
"Min 1x per month","2014","Employed","Full Time","","","","","3"
"Min 1x per month","2014","Employed","Part Time","","","","","3"
"Min 1x per month","2014","Employed","Not Working","","","","","3"
"Min 1x per week","2014","Not Employed","Part Time","","","","","2"
"Min 1x per week","2014","Not Employed","Not Working","","","","","2"
"Min 1x per week","2014","Employed","Full Time","","","","","2"
"Min 1x per week","2014","Not Employed","Full Time","","","","","2"
"Min 1x per week","2014","Employed","Part Time","","","","","2"
"Min 1x per week","2014","Employed","Not Working","","","","","2"
"Never","2014","Not Employed","Part Time","","","","","5"
"Never","2014","Employed","Not Working","","","","","5"
"Never","2014","Not Employed","Not Working","","","","","5"
"Never","2014","Not Employed","Full Time","","","","","5"
"Never","2014","Employed","Part Time","","","","","5"
"Never","2014","Employed","Full Time","","","","","5"
"Rarely","2014","Not Employed","Part Time","","","","","4"
"Rarely","2014","Employed","Part Time","","","","","4"
"Rarely","2014","Employed","Not Working","","","","","4"
"Rarely","2014","Not Employed","Full Time","","","","","4"
"Rarely","2014","Not Employed","Not Working","","","","","4"
"Rarely","2014","Employed","Full Time","","","","","4"
"Daily","2015","Not Employed","Full Time","","","","","1"
"Daily","2015","Not Employed","Part Time","","","","","1"
"Daily","2015","Not Employed","Not Working","","","","","1"
"Daily","2015","Employed","Full Time","","","","","1"
"Daily","2015","Employed","Part Time","","","","","1"
"Daily","2015","Employed","Not Working","","","","","1"
"Min 1x per month","2015","Not Employed","Not Working","","","","","3"
"Min 1x per month","2015","Employed","Full Time","","","","","3"
"Min 1x per month","2015","Not Employed","Full Time","","","","","3"
"Min 1x per month","2015","Not Employed","Part Time","","","","","3"
"Min 1x per month","2015","Employed","Part Time","","","","","3"
"Min 1x per month","2015","Employed","Not Working","","","","","3"
"Min 1x per week","2015","Employed","Full Time","","","","","2"
"Min 1x per week","2015","Not Employed","Full Time","","","","","2"
"Min 1x per week","2015","Not Employed","Not Working","","","","","2"
"Min 1x per week","2015","Not Employed","Part Time","","","","","2"
"Min 1x per week","2015","Employed","Part Time","","","","","2"
"Min 1x per week","2015","Employed","Not Working","","","","","2"
"Never","2015","Not Employed","Part Time","","","","","5"
"Never","2015","Not Employed","Not Working","","","","","5"
"Never","2015","Employed","Part Time","","","","","5"
"Never","2015","Employed","Not Working","","","","","5"
"Never","2015","Not Employed","Full Time","","","","","5"
"Never","2015","Employed","Full Time","","","","","5"
"Rarely","2015","Not Employed","Part Time","","","","","4"
"Rarely","2015","Not Employed","Not Working","","","","","4"
"Rarely","2015","Not Employed","Full Time","","","","","4"
"Rarely","2015","Employed","Part Time","","","","","4"
"Rarely","2015","Employed","Full Time","","","","","4"
"Rarely","2015","Employed","Not Working","","","","","4"
"Daily","2016","Not Employed","Full Time","","","","","1"
"Daily","2016","Not Employed","Part Time","","","","","1"
"Daily","2016","Not Employed","Not Working","","","","","1"
"Daily","2016","Employed","Full Time","","","","","1"
"Daily","2016","Employed","Part Time","","","","","1"
"Daily","2016","Employed","Not Working","","","","","1"
"Min 1x per month","2016","Not Employed","Full Time","","","","","3"
"Min 1x per month","2016","Not Employed","Part Time","","","","","3"
"Min 1x per month","2016","Not Employed","Not Working","","","","","3"
"Min 1x per month","2016","Employed","Full Time","","","","","3"
"Min 1x per month","2016","Employed","Part Time","","","","","3"
"Min 1x per month","2016","Employed","Not Working","","","","","3"
"Min 1x per week","2016","Not Employed","Full Time","","","","","2"
"Min 1x per week","2016","Not Employed","Part Time","","","","","2"
"Min 1x per week","2016","Not Employed","Not Working","","","","","2"
"Min 1x per week","2016","Employed","Full Time","","","","","2"
"Min 1x per week","2016","Employed","Part Time","","","","","2"
"Min 1x per week","2016","Employed","Not Working","","","","","2"
"Never","2016","Not Employed","Full Time","","","","","5"
"Never","2016","Not Employed","Part Time","","","","","5"
"Never","2016","Not Employed","Not Working","","","","","5"
"Never","2016","Employed","Full Time","","","","","5"
"Never","2016","Employed","Part Time","","","","","5"
"Never","2016","Employed","Not Working","","","","","5"
"Rarely","2016","Not Employed","Full Time","","","","","4"
"Rarely","2016","Not Employed","Part Time","","","","","4"
"Rarely","2016","Not Employed","Not Working","","","","","4"
"Rarely","2016","Employed","Full Time","","","","","4"
"Rarely","2016","Employed","Part Time","","","","","4"
"Rarely","2016","Employed","Not Working","","","","","4"
"Daily","2017","Not Employed","Not Working","3142","0.587080045916985","0.573833423962438","0.600326667871531","1"
"Daily","2017","Employed","Not Working","","","","","1"
"Daily","2017","Not Employed","Full Time","","","","","1"
"Daily","2017","Not Employed","Part Time","","","","","1"
"Daily","2017","Employed","Full Time","35","0.49738110173153","0.375830962786828","0.618931240676232","1"
"Daily","2017","Employed","Part Time","108","0.684769857050432","0.614304437455765","0.755235276645099","1"
"Min 1x per month","2017","Not Employed","Full Time","","","","","3"
"Min 1x per month","2017","Not Employed","Part Time","","","","","3"
"Min 1x per month","2017","Employed","Part Time","2","","","","3"
"Min 1x per month","2017","Employed","Not Working","","","","","3"
"Min 1x per month","2017","Not Employed","Not Working","160","0.039182759656281","0.0339625078667158","0.0444030114458462","3"
"Min 1x per month","2017","Employed","Full Time","4","","","","3"
"Min 1x per week","2017","Not Employed","Full Time","","","","","2"
"Min 1x per week","2017","Not Employed","Not Working","878","0.158423288476107","0.148599479395077","0.168247097557137","2"
"Min 1x per week","2017","Not Employed","Part Time","","","","","2"
"Min 1x per week","2017","Employed","Not Working","","","","","2"
"Min 1x per week","2017","Employed","Full Time","14","","","","2"
"Min 1x per week","2017","Employed","Part Time","28","","","","2"
"Never","2017","Not Employed","Full Time","","","","","5"
"Never","2017","Not Employed","Part Time","","","","","5"
"Never","2017","Not Employed","Not Working","832","0.161559011739875","0.151656955428508","0.171461068051242","5"
"Never","2017","Employed","Full Time","9","","","","5"
"Never","2017","Employed","Part Time","15","","","","5"
"Never","2017","Employed","Not Working","","","","","5"
"Rarely","2017","Not Employed","Full Time","","","","","4"
"Rarely","2017","Not Employed","Part Time","","","","","4"
"Rarely","2017","Employed","Part Time","14","","","","4"
"Rarely","2017","Employed","Full Time","3","","","","4"
"Rarely","2017","Employed","Not Working","","","","","4"
"Rarely","2017","Not Employed","Not Working","295","0.0537548942107529","0.0476870506407312","0.0598227377807745","4"
"Daily","2018","Not Employed","Not Working","2144","0.637792784298965","0.621536319992871","0.654049248605059","1"
"Daily","2018","Not Employed","Part Time","","","","","1"
"Daily","2018","Employed","Not Working","","","","","1"
"Daily","2018","Employed","Full Time","107","0.735364023175581","0.665691207381703","0.805036838969459","1"
"Daily","2018","Not Employed","Full Time","","","","","1"
"Daily","2018","Employed","Part Time","258","0.731963038460759","0.686080388109317","0.777845688812201","1"
"Min 1x per month","2018","Not Employed","Full Time","","","","","3"
"Min 1x per month","2018","Not Employed","Part Time","","","","","3"
"Min 1x per month","2018","Not Employed","Not Working","101","0.026988844061617","0.0215078567466713","0.0324698313765627","3"
"Min 1x per month","2018","Employed","Not Working","","","","","3"
"Min 1x per month","2018","Employed","Full Time","3","","","","3"
"Min 1x per month","2018","Employed","Part Time","14","","","","3"
"Min 1x per week","2018","Not Employed","Not Working","552","0.177070292865498","0.164159230823311","0.189981354907685","2"
"Min 1x per week","2018","Employed","Full Time","29","","","","2"
"Min 1x per week","2018","Employed","Not Working","","","","","2"
"Min 1x per week","2018","Not Employed","Full Time","","","","","2"
"Min 1x per week","2018","Not Employed","Part Time","","","","","2"
"Min 1x per week","2018","Employed","Part Time","47","0.10817084675606","0.0759970343788031","0.140344659133317","2"
"Never","2018","Not Employed","Full Time","","","","","5"
"Never","2018","Not Employed","Part Time","","","","","5"
"Never","2018","Not Employed","Not Working","392","0.103948617344861","0.0936261489750791","0.114271085714643","5"
"Never","2018","Employed","Part Time","25","","","","5"
"Never","2018","Employed","Not Working","","","","","5"
"Never","2018","Employed","Full Time","9","","","","5"
"Rarely","2018","Not Employed","Full Time","","","","","4"
"Rarely","2018","Not Employed","Part Time","","","","","4"
"Rarely","2018","Employed","Not Working","","","","","4"
"Rarely","2018","Not Employed","Not Working","169","0.054199461429059","0.0465416439812083","0.0618572788769096","4"
"Rarely","2018","Employed","Full Time","6","","","","4"
"Rarely","2018","Employed","Part Time","14","","","","4"
"Daily","2019","Employed","Not Working","","","","","1"
"Daily","2019","Employed","Full Time","258","0.75209284123338","0.706660657182071","0.797525025284689","1"
"Daily","2019","Not Employed","Full Time","","","","","1"
"Daily","2019","Not Employed","Part Time","","","","","1"
"Daily","2019","Not Employed","Not Working","1804","0.657233226020367","0.63932692988217","0.675139522158564","1"
