"pli0165","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","2013","Schleswig-Holstein","West Germany","289","0.261907494184811","0.233214611486961","0.290600376882661","1"
"Daily","2013","Schleswig-Holstein","East Germany","","","","","1"
"Daily","2013","Hamburg","West Germany","119","0.27474995738179","0.231221817672315","0.318278097091264","1"
"Daily","2013","Hamburg","East Germany","","","","","1"
"Daily","2013","Lower Saxony","West Germany","735","0.261106698039176","0.243689181614615","0.278524214463736","1"
"Daily","2013","Lower Saxony","East Germany","","","","","1"
"Daily","2013","Bremen","West Germany","68","0.373284264120444","0.303206911440656","0.443361616800232","1"
"Daily","2013","Bremen","East Germany","","","","","1"
"Daily","2013","North Rhine-Westphalia","West Germany","1494","0.267955373730432","0.255800148319362","0.280110599141502","1"
"Daily","2013","North Rhine-Westphalia","East Germany","","","","","1"
"Daily","2013","Hesse","West Germany","515","0.247593654761027","0.227406188436297","0.267781121085757","1"
"Daily","2013","Hesse","East Germany","","","","","1"
"Daily","2013","Rhineland-Palatinate,Saarland","West Germany","389","0.25921621864472","0.236359832696263","0.282072604593178","1"
"Daily","2013","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Daily","2013","Baden-Württemberg","West Germany","766","0.226722446604589","0.211761745074061","0.241683148135116","1"
"Daily","2013","Baden-Württemberg","East Germany","","","","","1"
"Daily","2013","Bavaria","West Germany","1037","0.22625254085618","0.213308920765531","0.23919616094683","1"
"Daily","2013","Bavaria","East Germany","","","","","1"
"Daily","2013","Berlin","West Germany","174","0.319045764908105","0.279841471495061","0.358250058321149","1"
"Daily","2013","Berlin","East Germany","115","0.222555992881143","0.183864916431851","0.261247069330434","1"
"Daily","2013","Brandenburg","West Germany","","","","","1"
"Daily","2013","Brandenburg","East Germany","211","0.181697554957079","0.157975815265463","0.205419294648695","1"
"Daily","2013","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Daily","2013","Mecklenburg-Western Pomerania","East Germany","143","0.183820424708684","0.152486212219485","0.215154637197882","1"
"Daily","2013","Saxony","West Germany","","","","","1"
