"pli0165","year","bula_h","migback","n","percent","lower_confidence","upper_confidence","value"
"Daily","2013","Schleswig-Holstein","no migration background","247","0.258471856026576","0.227865807101654","0.289077904951497","1"
"Daily","2013","Schleswig-Holstein","direct migration background","31","0.235113475102557","0.14496136558496","0.325265584620154","1"
"Daily","2013","Schleswig-Holstein","indirect migration background","11","","","","1"
"Daily","2013","Hamburg","no migration background","93","0.266715560209105","0.219499086220771","0.313932034197438","1"
"Daily","2013","Hamburg","direct migration background","11","","","","1"
"Daily","2013","Hamburg","indirect migration background","15","","","","1"
"Daily","2013","Lower Saxony","no migration background","640","0.260479195000524","0.24186214478643","0.279096245214618","1"
"Daily","2013","Lower Saxony","direct migration background","56","0.226004171957441","0.171834290174564","0.280174053740318","1"
"Daily","2013","Lower Saxony","indirect migration background","39","0.458578197653023","0.348700609732355","0.568455785573691","1"
"Daily","2013","Bremen","no migration background","55","0.406109917261136","0.326174559315416","0.486045275206856","1"
"Daily","2013","Bremen","direct migration background","7","","","","1"
"Daily","2013","Bremen","indirect migration background","6","","","","1"
"Daily","2013","North Rhine-Westphalia","no migration background","1134","0.264864795332447","0.25119705290037","0.278532537764524","1"
"Daily","2013","North Rhine-Westphalia","direct migration background","198","0.222960908609351","0.19346558467739","0.252456232541312","1"
"Daily","2013","North Rhine-Westphalia","indirect migration background","162","0.478547359817416","0.424732279628735","0.532362440006096","1"
"Daily","2013","Hesse","no migration background","368","0.245478205323103","0.222663955230209","0.268292455415998","1"
"Daily","2013","Hesse","direct migration background","85","0.176883863057038","0.132190427430734","0.221577298683341","1"
"Daily","2013","Hesse","indirect migration background","62","0.591234969974937","0.498945581954611","0.683524357995264","1"
"Daily","2013","Rhineland-Palatinate,Saarland","no migration background","300","0.235496018107973","0.211162308015759","0.259829728200188","1"
"Daily","2013","Rhineland-Palatinate,Saarland","direct migration background","46","0.26608036219825","0.200039226472873","0.332121497923627","1"
"Daily","2013","Rhineland-Palatinate,Saarland","indirect migration background","43","0.692716281819379","0.586147668388452","0.799284895250307","1"
"Daily","2013","Baden-Württemberg","no migration background","563","0.217641633658737","0.201018120320597","0.234265146996876","1"
"Daily","2013","Baden-Württemberg","direct migration background","103","0.20602820636639","0.1677111547156","0.244345258017181","1"
"Daily","2013","Baden-Württemberg","indirect migration background","100","0.479818145303059","0.412882548864313","0.546753741741805","1"
"Daily","2013","Bavaria","no migration background","824","0.21593684805461","0.202044615601697","0.229829080507522","1"
"Daily","2013","Bavaria","direct migration background","116","0.216040153008063","0.17727707183263","0.254803234183496","1"
"Daily","2013","Bavaria","indirect migration background","97","0.455982535854183","0.388779732651574","0.523185339056793","1"
"Daily","2013","Berlin","no migration background","242","0.271183933157005","0.241625653789228","0.300742212524782","1"
"Daily","2013","Berlin","direct migration background","28","","","","1"
"Daily","2013","Berlin","indirect migration background","19","","","","1"
"Daily","2013","Brandenburg","no migration background","201","0.181354400508269","0.157081458000322","0.205627343016216","1"
"Daily","2013","Brandenburg","direct migration background","8","","","","1"
"Daily","2013","Brandenburg","indirect migration background","2","","","","1"
"Daily","2013","Mecklenburg-Western Pomerania","no migration background","132","0.181789591991563","0.149960404951913","0.213618779031213","1"
"Daily","2013","Mecklenburg-Western Pomerania","direct migration background","4","","","","1"
"Daily","2013","Mecklenburg-Western Pomerania","indirect migration background","7","","","","1"
"Daily","2013","Saxony","no migration background","358","0.220516851786283","0.20050009351968","0.240533610052886","1"
"Daily","2013","Saxony","direct migration background","6","","","","1"
"Daily","2013","Saxony","indirect migration background","7","","","","1"
"Daily","2013","Saxony-Anhalt","no migration background","231","0.231244948630997","0.20413239946325","0.258357497798745","1"
"Daily","2013","Saxony-Anhalt","direct migration background","7","","","","1"
"Daily","2013","Saxony-Anhalt","indirect migration background","8","","","","1"
"Daily","2013","Thuringia","no migration background","211","0.189730935005299","0.165031096424286","0.214430773586312","1"
"Daily","2013","Thuringia","direct migration background","5","","","","1"
"Daily","2013","Thuringia","indirect migration background","4","","","","1"
"Min 1x per month","2013","Mecklenburg-Western Pomerania","direct migration background","","","","","3"
"Min 1x per month","2013","Mecklenburg-Western Pomerania","no migration background","14","","","","3"
"Min 1x per month","2013","Mecklenburg-Western Pomerania","indirect migration background","","","","","3"
"Min 1x per month","2013","Saxony","no migration background","49","0.0288767843312965","0.0207917648585935","0.0369618038039995","3"
"Min 1x per month","2013","Saxony","direct migration background","","","","","3"
"Min 1x per month","2013","Saxony","indirect migration background","","","","","3"
"Min 1x per month","2013","Saxony-Anhalt","no migration background","19","","","","3"
"Min 1x per month","2013","Saxony-Anhalt","direct migration background","","","","","3"
"Min 1x per month","2013","Saxony-Anhalt","indirect migration background","","","","","3"
"Min 1x per month","2013","Thuringia","no migration background","25","","","","3"
"Min 1x per month","2013","Thuringia","direct migration background","","","","","3"
"Min 1x per month","2013","Thuringia","indirect migration background","","","","","3"
"Min 1x per month","2013","Bremen","no migration background","4","","","","3"
"Min 1x per month","2013","Bremen","direct migration background","2","","","","3"
"Min 1x per month","2013","Bremen","indirect migration background","","","","","3"
"Min 1x per month","2013","North Rhine-Westphalia","no migration background","106","0.0280629682504895","0.0229474819750255","0.0331784545259535","3"
"Min 1x per month","2013","Schleswig-Holstein","no migration background","14","","","","3"
"Min 1x per month","2013","Schleswig-Holstein","direct migration background","1","","","","3"
"Min 1x per month","2013","Schleswig-Holstein","indirect migration background","2","","","","3"
"Min 1x per month","2013","Hamburg","no migration background","13","","","","3"
"Min 1x per month","2013","Hamburg","direct migration background","1","","","","3"
"Min 1x per month","2013","Hamburg","indirect migration background","1","","","","3"
"Min 1x per month","2013","Lower Saxony","no migration background","52","0.0230660267598328","0.0166985384924167","0.0294335150272489","3"
"Min 1x per month","2013","Lower Saxony","direct migration background","10","","","","3"
"Min 1x per month","2013","Lower Saxony","indirect migration background","2","","","","3"
"Min 1x per month","2013","North Rhine-Westphalia","direct migration background","29","","","","3"
"Min 1x per month","2013","North Rhine-Westphalia","indirect migration background","9","","","","3"
"Min 1x per month","2013","Hesse","no migration background","46","0.028043582415827","0.019291649595545","0.036795515236109","3"
"Min 1x per month","2013","Hesse","direct migration background","10","","","","3"
"Min 1x per month","2013","Hesse","indirect migration background","3","","","","3"
"Min 1x per month","2013","Rhineland-Palatinate,Saarland","no migration background","34","0.0287985705135057","0.0192075064552853","0.0383896345717261","3"
"Min 1x per month","2013","Rhineland-Palatinate,Saarland","direct migration background","6","","","","3"
"Min 1x per month","2013","Rhineland-Palatinate,Saarland","indirect migration background","4","","","","3"
